代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12750681.310000000521541
真實報酬,2750681.310000000521541

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21690.090996975181042
風險,175695.521237263979856
起點值,0.123452725739572
找到最佳解世代,1925
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](1),PG[21](7),V[25](2),
Stock#,HD[9](1),PG[21](7),V[25](2),
張數,69502,54156,118793,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,17.080000000074506,31.200000000186265,1.419999999925494,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3388934.600000000093132,3325209.600000000093132,3390353.639999999664724,10104498.839999999850988
FS( 3 ),3400054.920000000391155,3312753.720000000204891,3379662.270000000018626,10092471.910000000149012
FS( 4 ),3516818.280000000260770,3346872.000000000000000,3455689.790000000037253,10319381.070000000298023
FS( 5 ),3561299.560000000055879,3398861.760000000242144,3468757.020000000018626,10428919.339999999850988
FS( 6 ),3638446.780000000260770,3398320.200000000186265,3462817.369999999646097,10499585.349999999627471
FS( 7 ),3568944.780000000260770,3386947.439999999944121,3455689.790000000037253,10411583.010000001639128
FS( 8 ),3630801.560000000055879,3398861.760000000242144,3479448.389999999664724,10509112.710000000894070
FS( 9 ),3542534.020000000018626,3388572.120000000111759,3412924.310000000055879,10344031.450000001117587
FS( 10 ),3625241.399999999906868,3421607.280000000260770,3459253.580000000074506,10506103.259999999776483
FS( 11 ),3605085.819999999832362,3405360.480000000447035,3516274.220000000204891,10526721.520000001415610
FS( 12 ),3636361.720000000204891,3373408.439999999944121,3567355.209999999962747,10577126.370000001043081
FS( 13 ),3681538.020000000018626,3369075.960000000428408,3604181.040000000037253,10654796.019999999552965
FS( 14 ),3671807.739999999757856,3270512.040000000037253,3641006.869999999646097,10583327.649999998509884
FS( 15 ),3562689.600000000093132,3235852.200000000186265,3548348.330000000074506,10346891.130000000819564
FS( 16 ),3615511.120000000111759,3240184.680000000167638,3711094.739999999757856,10566791.540000000968575
FS( 17 ),3580760.120000000111759,3212023.560000000521541,3601805.180000000167638,10394589.860000001266599
FS( 18 ),3605780.840000000316650,3209857.320000000298023,3657637.889999999664724,10473277.050000000745058
FS( 19 ),3582845.179999999701977,3248308.080000000074506,3665953.399999999906868,10497107.660000000149012
FS( 20 ),3592575.459999999962747,3265096.439999999944121,3608932.759999999776483,10466605.660000000149012
FS( 21 ),3682928.060000000055879,3317086.200000000186265,3671893.049999999813735,10671908.309999998658895
FS( 22 ),3684318.100000000093132,3313836.839999999850988,3760987.799999999813735,10759143.739999998360872
FS( 23 ),3589795.379999999888241,3323043.360000000335276,3752672.290000000037253,10665512.030000001192093
FS( 24 ),3621766.299999999813735,3322501.800000000279397,3771679.169999999925494,10715948.269999999552965
FS( 25 ),3624546.379999999888241,3318710.880000000353903,3720598.180000000167638,10663856.439999999478459
FS( 26 ),3622461.319999999832362,3333333.000000000000000,3671893.049999999813735,10627688.370000001043081
FS( 27 ),3629411.520000000018626,3343081.080000000074506,3631503.430000000167638,10603997.029999999329448
FS( 28 ),3591185.420000000391155,3325209.600000000093132,3586362.089999999850988,10502758.109999999403954
FS( 29 ),3582845.179999999701977,3449768.400000000372529,3642194.799999999813735,10674809.379999998956919
FS( 30 ),3620376.260000000242144,3525045.240000000223517,3684960.279999999795109,10830382.779999999329448
FS( 31 ),3575894.980000000447035,3509881.560000000521541,3776430.889999999664724,10862208.429999999701977
FS( 32 ),3525158.520000000018626,3539125.799999999813735,3808505.000000000000000,10872790.320000000298023
FS( 33 ),3538363.899999999906868,3510423.119999999646097,3796625.700000000186265,10845413.719999998807907
FS( 34 ),3541839.000000000000000,3515838.720000000204891,3724161.970000000204891,10781840.690000001341105
FS( 35 ),3523768.480000000447035,3505549.080000000540167,3734853.339999999850988,10764171.900000000372529
FS( 36 ),3541839.000000000000000,3487136.040000000037253,3696839.580000000074506,10725815.620000001043081
FS( 37 ),3556434.420000000391155,3467098.319999999832362,3642194.799999999813735,10665728.539999999105930
FS( 38 ),3549484.220000000204891,3467098.319999999832362,3629127.569999999832362,10645711.109999999403954
FS( 39 ),3677367.899999999906868,3496342.560000000521541,3764551.589999999850988,10938263.050000000745058
FS( 40 ),3732969.500000000000000,3525045.240000000223517,3834639.459999999962747,11092655.199999999254942
FS( 41 ),3700998.580000000074506,3525586.799999999813735,3885720.450000000186265,11112306.830000000074506
FS( 42 ),3626631.439999999944121,3495259.440000000409782,3833451.530000000260770,10955343.410000000149012
FS( 43 ),3591880.439999999944121,3466556.760000000242144,3785934.330000000074506,10844372.530000001192093
FS( 44 ),3571724.860000000335276,3439478.760000000242144,3839391.180000000167638,10850595.800000000745058
FS( 45 ),3634276.660000000149012,3547249.200000000186265,3889284.240000000223517,11070811.100000001490116
FS( 46 ),3614121.080000000074506,3564037.560000000521541,3891660.099999999627471,11069819.740000000223517
FS( 47 ),3641921.879999999888241,3586241.520000000018626,3872653.220000000204891,11100817.620000001043081
FS( 48 ),3669027.660000000149012,3613319.520000000018626,3895223.889999999664724,11177572.070000000298023
FS( 49 ),3694048.379999999888241,3613861.080000000540167,3816820.510000000242144,11124730.970000000670552
FS( 50 ),3687793.200000000186265,3616027.319999999832362,3833451.530000000260770,11137273.050000000745058
FS( 51 ),3671112.720000000204891,3600322.080000000540167,3810880.859999999869615,11082316.660000000149012
FS( 52 ),3802471.500000000000000,3613861.080000000540167,3857210.129999999888241,11273543.710000000894070
FS( 53 ),3822627.080000000074506,3608987.040000000037253,3833451.530000000260770,11265066.650000000372529
FS( 54 ),3913674.700000000186265,3628483.200000000186265,3851270.479999999981374,11393429.380000000819564
FS( 55 ),3942865.540000000037253,3628483.200000000186265,3821572.229999999981374,11392921.970000000670552
FS( 56 ),3931745.220000000204891,3614944.200000000186265,3806129.139999999664724,11352819.559999998658895
FS( 57 ),3914369.720000000204891,3616027.319999999832362,3787122.259999999776483,11317520.300000000745058
FS( 58 ),3936610.360000000335276,3620359.799999999813735,3804941.209999999962747,11361912.370000001043081
FS( 59 ),3930355.179999999701977,3611153.280000000726432,3776430.889999999664724,11317940.350000001490116
FS( 60 ),3958851.000000000000000,3629566.319999999832362,3762175.729999999981374,11350594.050000000745058
FS( 61 ),3938695.420000000391155,3634440.360000000335276,3791873.979999999981374,11365010.760000001639128
FS( 62 ),3928965.140000000130385,3627941.640000000130385,3783558.470000000204891,11340466.250000000000000
FS( 63 ),3950510.760000000242144,3621442.920000000391155,3802565.349999999627471,11374520.030000001192093
FS( 64 ),3935220.319999999832362,3621984.479999999981374,3763363.659999999683350,11320569.459999999031425
FS( 65 ),3944255.580000000074506,3638772.839999999850988,3808505.000000000000000,11391534.419999999925494
FS( 66 ),3947035.660000000149012,3650145.600000000558794,3816820.510000000242144,11414002.770000001415610
FS( 67 ),3929660.160000000149012,3644188.440000000409782,3789498.119999999646097,11363347.720000000670552
FS( 68 ),4006807.379999999888241,3695636.640000000130385,3846518.760000000242144,11548963.779999999329448
FS( 69 ),3979701.600000000093132,3710800.319999999832362,3852458.409999999683350,11542961.330000000074506
FS( 70 ),3982481.679999999701977,3710258.760000000242144,3821572.229999999981374,11514313.669999999925494
FS( 71 ),3942170.520000000018626,3696719.760000000242144,3904727.329999999608845,11543618.609999999403954
