代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11824732.620000001043081
真實報酬,1824732.620000001043081

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17683.087017765130440
風險,86187.637295149397687
起點值,0.205169645818337
找到最佳解世代,2053
找到最佳解實驗#,2
找到最佳解次數,42

stock[index](rank)
投資組合檔數,8
AAPL[0](2),CSCO[4](6),CVX[5](1),INTC[11](13),MCD[15](19),TRV[22](3),UNH[23](16),XOM[29](9),
Stock#,AAPL[0](2),CSCO[4](6),CVX[5](1),INTC[11](13),MCD[15](19),TRV[22](3),UNH[23](16),XOM[29](9),
張數,17445,58004,11247,52192,13437,15574,17670,13881,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,65.750000000000000,13.800000000046566,8.419999999925494,1.600000000093132,90.260000000009313,30.760000000009313,24.200000000186265,15.949999999953434,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1267968.350000000093132,1264501.000000000000000,1246513.429999999934807,1243215.040000000037253,1250940.590000000083819,1251401.659999999916181,1245935.900000000372529,1249583.569999999832362,10020059.540000000968575
FS( 3 ),1277563.100000000093132,1274941.719999999972060,1231779.859999999869615,1227557.440000000176951,1257524.719999999972060,1252803.320000000065193,1251413.600000000093132,1243475.929999999934807,10017059.689999999478459
FS( 4 ),1277388.649999999906868,1304523.760000000009313,1251462.109999999869615,1252087.679999999934807,1275799.040000000037253,1256696.820000000065193,1252297.100000000325963,1246529.750000000000000,10116784.910000000149012
FS( 5 ),1295182.549999999813735,1314964.480000000214204,1260234.769999999785796,1263569.920000000158325,1288967.300000000046566,1259655.879999999888241,1260955.400000000139698,1257356.929999999934807,10200887.229999998584390
FS( 6 ),1318384.399999999906868,1324245.119999999878928,1256185.849999999860302,1267745.280000000027940,1274724.080000000074506,1282549.659999999916181,1232330.000000000000000,1242643.069999999832362,10198807.460000000894070
FS( 7 ),1335829.399999999906868,1317284.640000000130385,1277442.679999999934807,1277139.840000000083819,1281173.840000000083819,1295943.299999999813735,1247879.600000000325963,1260965.989999999990687,10293659.289999999105930
FS( 8 ),1335654.949999999953434,1325405.200000000186265,1260009.829999999841675,1281315.200000000186265,1275127.189999999944121,1281148.000000000000000,1241165.000000000000000,1264297.429999999934807,10264122.800000000745058
FS( 9 ),1356937.850000000093132,1291762.880000000121072,1265408.389999999897555,1289144.000000000000000,1282786.280000000027940,1290803.879999999888241,1258304.900000000139698,1269155.780000000027940,10304303.959999999031425
FS( 10 ),1355716.699999999953434,1308584.040000000037253,1276317.979999999981374,1292275.520000000251457,1287086.120000000111759,1308558.239999999990687,1299122.600000000093132,1306356.859999999869615,10434018.060000000521541
FS( 11 ),1360775.750000000000000,1299883.439999999944121,1267657.789999999804422,1292275.520000000251457,1290311.000000000000000,1314009.140000000130385,1304600.300000000046566,1305801.619999999878928,10435314.560000000521541
FS( 12 ),1339318.399999999906868,1292342.920000000158325,1277667.619999999878928,1278705.600000000093132,1283995.609999999869615,1308402.500000000000000,1299652.700000000186265,1304135.899999999906868,10384221.250000001862645
FS( 13 ),1323792.349999999860302,1293503.000000000000000,1288914.619999999878928,1291231.679999999934807,1286683.010000000009313,1305287.699999999953434,1298415.800000000279397,1323846.919999999925494,10411675.080000000074506
FS( 14 ),1309138.550000000046566,1283642.320000000065193,1267320.379999999888241,1274530.240000000223517,1296088.910000000149012,1304976.220000000204891,1304246.900000000139698,1319127.379999999888241,10359070.900000002235174
FS( 15 ),1314720.949999999953434,1283062.280000000027940,1283853.469999999972060,1285490.560000000055879,1296760.760000000009313,1299525.320000000065193,1343120.900000000372529,1338699.589999999850988,10445233.830000000074506
FS( 16 ),1301113.849999999860302,1266821.160000000149012,1293076.010000000009313,1284968.640000000130385,1298373.200000000186265,1297967.920000000158325,1330928.600000000093132,1336895.060000000055879,10410144.440000001341105
