代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11702798.620000001043081
真實報酬,1702798.620000001043081

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14826.893228882012409
風險,77749.365432616425096
起點值,0.190701147802063
找到最佳解世代,2583
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](12),AXP[1](2),DD[7](8),HD[9](7),MCD[15](1),PFE[20](9),
FS( 30 ),1786732.670000000158325,1692279.119999999878928,1765448.319999999832362,1778553.320000000065193,1691441.510000000242144,1782040.780000000027940,10496499.719999998807907
FS( 31 ),1773293.199999999953434,1694038.800000000046566,1790596.199999999953434,1779776.740000000223517,1698690.239999999990687,1766422.360000000335276,10502821.539999999105930
FS( 32 ),1758076.609999999869615,1685240.399999999906868,1803984.279999999795109,1772658.659999999916181,1698690.239999999990687,1800178.300000000046566,10518832.490000000223517
FS( 33 ),1775847.809999999823049,1700882.000000000000000,1800004.039999999804422,1761759.100000000093132,1697824.719999999739230,1781536.960000000195578,10517858.629999998956919
FS( 34 ),1762408.339999999850988,1718087.760000000009313,1797652.079999999841675,1755197.120000000111759,1695228.160000000149012,1791109.540000000037253,10519687.000000000000000
FS( 35 ),1763074.759999999776483,1740181.520000000018626,1804888.880000000121072,1753528.820000000065193,1703342.410000000149012,1786071.340000000316650,10551091.730000000447035
FS( 36 ),1733530.139999999897555,1729036.880000000121072,1814115.799999999813735,1764873.260000000009313,1729848.959999999962747,1813277.620000000344589,10584686.660000000149012
FS( 37 ),1703763.379999999655411,1728841.360000000102445,1811763.840000000083819,1770545.479999999981374,1720652.810000000055879,1812269.980000000214204,10547840.850000001490116
FS( 38 ),1687102.879999999655411,1728450.320000000065193,1802536.919999999925494,1779220.640000000130385,1719354.530000000027940,1811766.160000000149012,10528435.449999999254942
FS( 39 ),1672219.500000000000000,1724735.439999999944121,1812306.600000000093132,1791788.500000000000000,1690684.179999999934807,1789094.260000000009313,10480832.480000000447035
FS( 40 ),1700986.629999999655411,1734120.399999999906868,1786796.880000000121072,1793568.020000000018626,1659200.889999999897555,1778514.040000000037253,10453190.859999999403954
FS( 41 ),1713093.259999999776483,1749762.000000000000000,1772685.120000000111759,1789786.539999999804422,1666774.190000000176951,1786071.340000000316650,10478176.449999999254942
FS( 42 ),1702541.609999999869615,1762470.800000000046566,1779379.159999999916181,1805802.220000000204891,1703991.550000000046566,1793628.640000000363216,10547817.980000002309680
FS( 43 ),1711871.489999999990687,1768727.439999999944121,1783721.239999999990687,1819148.620000000111759,1695228.160000000149012,1798666.840000000316650,10577367.789999999105930
FS( 44 ),1708428.319999999832362,1770291.600000000093132,1814296.719999999972060,1824264.740000000223517,1698257.479999999981374,1817308.180000000167638,10632851.039999999105930
FS( 45 ),1715870.009999999776483,1787692.880000000121072,1812849.360000000102445,1837055.039999999804422,1697175.580000000074506,1820834.920000000158325,10671481.790000000968575
FS( 46 ),1704763.009999999776483,1779481.040000000037253,1815201.319999999832362,1838389.679999999934807,1700962.229999999981374,1811766.160000000149012,10650567.439999999478459
FS( 47 ),1725977.379999999655411,1782413.839999999850988,1828589.399999999906868,1847620.940000000176951,1718164.440000000176951,1813781.440000000176951,10716551.439999999478459
FS( 48 ),1724977.750000000000000,1790039.119999999878928,1834921.600000000093132,1844618.000000000000000,1726819.639999999897555,1816300.540000000037253,10737680.650000002235174
FS( 49 ),1730975.530000000027940,1792776.399999999906868,1846862.319999999832362,1843060.920000000158325,1732445.520000000018626,1820834.920000000158325,10766959.609999999403954
FS( 50 ),1731641.949999999953434,1796686.800000000046566,1843967.600000000093132,1836943.820000000065193,1737422.260000000242144,1833934.239999999990687,10780600.669999999925494
FS( 51 ),1738861.500000000000000,1798055.439999999944121,1845234.039999999804422,1837944.800000000046566,1765227.090000000083819,1836453.340000000316650,10821780.209999999031425
FS( 52 ),1732752.649999999906868,1791212.239999999990687,1839625.520000000018626,1830604.280000000027940,1773449.530000000027940,1831415.140000000363216,10799063.360000001266599
FS( 53 ),1743748.580000000074506,1815652.239999999990687,1840349.199999999953434,1829269.640000000130385,1789245.270000000018626,1830911.320000000298023,10849180.250000000000000
FS( 54 ),1775847.809999999823049,1798055.439999999944121,1827503.880000000121072,1826489.140000000130385,1785350.429999999934807,1812773.800000000046566,10826024.500000000000000
FS( 55 ),1782400.939999999944121,1792776.399999999906868,1826237.439999999944121,1816813.000000000000000,1789569.840000000083819,1823857.840000000316650,10831659.459999999031425
FS( 56 ),1774514.969999999739230,1800401.679999999934807,1823704.559999999823049,1817925.199999999953434,1793572.870000000111759,1805216.500000000000000,10815339.779999999329448
FS( 57 ),1732530.509999999776483,1796882.320000000065193,1826418.360000000102445,1815589.580000000074506,1801470.739999999990687,1825873.120000000344589,10798768.630000000819564
FS( 58 ),1735529.399999999906868,1800597.200000000186265,1834017.000000000000000,1817702.760000000009313,1799306.940000000176951,1834941.880000000353903,10822099.179999999701977
FS( 59 ),1734640.839999999850988,1806267.280000000027940,1843424.840000000083819,1832272.580000000074506,1767282.699999999953434,1833934.239999999990687,10817826.480000000447035
FS( 60 ),1744970.349999999860302,1835204.239999999990687,1851566.239999999990687,1846619.959999999962747,1773124.959999999962747,1827384.580000000307336,10878874.330000000074506
FS( 61 ),1737306.519999999785796,1828752.080000000074506,1831665.039999999804422,1847064.840000000083819,1769879.260000000242144,1821842.560000000055879,10836514.300000000745058
FS( 62 ),1748413.519999999785796,1870984.399999999906868,1882141.719999999972060,1864637.600000000093132,1774531.429999999934807,1800682.120000000344589,10941394.790000000968575
FS( 63 ),1811057.000000000000000,1872939.600000000093132,1868934.559999999823049,1861189.780000000027940,1789461.649999999906868,1793628.640000000363216,10997215.230000000447035
FS( 64 ),1851819.689999999944121,1858862.159999999916181,1846862.319999999832362,1838612.120000000111759,1798549.609999999869615,1770956.739999999990687,10965666.640000000596046
FS( 65 ),1877587.929999999934807,1867660.560000000055879,1863145.120000000111759,1843839.459999999962747,1805906.530000000027940,1766422.360000000335276,11024565.960000000894070
FS( 66 ),1853707.879999999655411,1872939.600000000093132,1889016.679999999934807,1839390.659999999916181,1800064.270000000018626,1776498.760000000009313,11031621.849999999627471
FS( 67 ),1867258.420000000158325,1876654.479999999981374,1856089.239999999990687,1809694.920000000158325,1818781.139999999897555,1786575.160000000149012,11015057.360000001266599
FS( 68 ),1916018.149999999906868,1885452.880000000121072,1833474.239999999990687,1828379.879999999888241,1824731.590000000083819,1791109.540000000037253,11079170.280000001192093
FS( 69 ),1935455.399999999906868,1882715.600000000093132,1809773.719999999972060,1826489.140000000130385,1840094.569999999832362,1779521.680000000167638,11074054.109999999403954
FS( 70 ),1941675.319999999832362,1864727.760000000009313,1832931.479999999981374,1820260.820000000065193,1847667.870000000111759,1781536.960000000195578,11088804.210000000894070
FS( 71 ),1957558.330000000074506,1860035.280000000027940,1824428.239999999990687,1824598.400000000139698,1840419.139999999897555,1780529.320000000298023,11087572.710000000894070
FS( 72 ),1953559.809999999823049,1833053.520000000018626,1809411.880000000121072,1815923.240000000223517,1806880.239999999990687,1773475.840000000316650,10992308.529999999329448
FS( 73 ),1940120.339999999850988,1828556.560000000055879,1802717.840000000083819,1825265.720000000204891,1791625.449999999953434,1772468.200000000186265,10960758.109999999403954
FS( 74 ),1932345.439999999944121,1835986.320000000065193,1815382.239999999990687,1839057.000000000000000,1810883.270000000018626,1778514.040000000037253,11012172.309999998658895
FS( 75 ),1903134.030000000027940,1833249.040000000037253,1766714.760000000009313,1869197.620000000111759,1818889.330000000074506,1782544.600000000325963,10973733.380000000819564
FS( 76 ),1878032.209999999962747,1823473.040000000037253,1777027.199999999953434,1840391.640000000130385,1810342.319999999832362,1781536.960000000195578,10910807.370000001043081
FS( 77 ),1900468.349999999860302,1829338.640000000130385,1820990.760000000009313,1862969.300000000046566,1818672.949999999953434,1791613.360000000335276,11024057.359999999403954
FS( 78 ),1889916.699999999953434,1831880.399999999906868,1822619.039999999804422,1865638.580000000074506,1803850.919999999925494,1782040.780000000027940,10995950.419999999925494
FS( 79 ),1888028.509999999776483,1836963.920000000158325,1825513.760000000009313,1895779.199999999953434,1806122.910000000149012,1781033.140000000363216,11033445.440000001341105
FS( 80 ),1923126.629999999655411,1845957.839999999850988,1836007.120000000111759,1922583.220000000204891,1820944.940000000176951,1790605.720000000204891,11139229.470000000670552
FS( 81 ),1943341.369999999878928,1834422.159999999916181,1819000.640000000130385,1913685.620000000111759,1829059.190000000176951,1785063.700000000186265,11124576.679999999701977
FS( 82 ),1943452.439999999944121,1827774.479999999981374,1833474.239999999990687,1916688.560000000288710,1829708.330000000074506,1788086.620000000344589,11139188.670000001788139
FS( 83 ),1933678.280000000027940,1827578.959999999962747,1806879.000000000000000,1937041.820000000065193,1828085.479999999981374,1788086.620000000344589,11121354.160000002011657
FS( 84 ),1922349.139999999897555,1862968.080000000074506,1831665.039999999804422,1963845.840000000083819,1853834.699999999953434,1806224.140000000363216,11240890.939999999478459
FS( 85 ),1882475.009999999776483,1888776.719999999972060,1849395.199999999953434,1971408.800000000046566,1843989.410000000149012,1824361.660000000149012,11260410.800000000745058
FS( 86 ),1908798.599999999860302,1910479.439999999944121,1854099.120000000111759,1999992.340000000083819,1860650.669999999925494,1826880.760000000009313,11360904.929999999701977
FS( 87 ),1899913.000000000000000,1913412.239999999990687,1829494.000000000000000,2006665.539999999804422,1870387.770000000018626,1831415.140000000363216,11351291.690000001341105
FS( 88 ),1886029.250000000000000,1927685.200000000186265,1858441.199999999953434,2056492.100000000093132,1846369.590000000083819,1816804.360000000335276,11391825.699999999254942
FS( 89 ),1884252.129999999655411,1930031.439999999944121,1843243.919999999925494,2033692.000000000000000,1871686.050000000046566,1795140.100000000325963,11358049.639999998733401
FS( 90 ),1877254.719999999739230,1920255.439999999944121,1831303.199999999953434,2010891.900000000139698,1876987.359999999869615,1791613.360000000335276,11308309.980000000447035
FS( 91 ),1880697.889999999897555,1927489.679999999934807,1838901.840000000083819,2024238.300000000046566,1870820.530000000027940,1788590.440000000176951,11330742.679999999701977
FS( 92 ),1881253.239999999990687,1926903.119999999878928,1822438.120000000111759,2039920.320000000065193,1873417.090000000083819,1800682.120000000344589,11344618.010000001639128
FS( 93 ),1917906.339999999850988,1935701.520000000018626,1824428.239999999990687,2027018.800000000046566,1874498.989999999990687,1824361.660000000149012,11403919.549999998882413
FS( 94 ),1907132.549999999813735,1942935.760000000009313,1823885.479999999981374,2022013.900000000139698,1863463.609999999869615,1843003.000000000000000,11402438.299999998882413
FS( 95 ),1913463.540000000037253,1911848.080000000074506,1817915.120000000111759,2035693.959999999962747,1877744.690000000176951,1846025.920000000158325,11402695.310000000521541
FS( 96 ),1912908.189999999944121,1899530.320000000065193,1811763.840000000083819,2025684.159999999916181,1873308.899999999906868,1836957.160000000149012,11360156.570000000298023
FS( 97 ),1932345.439999999944121,1926316.560000000055879,1803622.439999999944121,2030689.060000000288710,1883262.380000000121072,1874239.840000000316650,11450479.720000000670552
FS( 98 ),1959557.589999999850988,1948996.880000000121072,1839444.600000000093132,2054601.359999999869615,1884777.039999999804422,1870713.100000000325963,11558094.569999998435378
FS( 99 ),1938676.429999999934807,1938634.320000000065193,1840168.279999999795109,2068503.859999999869615,1876013.649999999906868,1861140.520000000018626,11523141.059999998658895
FS( 100 ),1936566.099999999860302,1926121.040000000037253,1836368.959999999962747,2083296.120000000111759,1862814.469999999739230,1836957.160000000149012,11482127.849999999627471
FS( 101 ),1943896.719999999739230,1925925.520000000018626,1845776.799999999813735,2091860.060000000288710,1859352.389999999897555,1825873.120000000344589,11492688.610000001266599
FS( 102 ),1943896.719999999739230,1930618.000000000000000,1857898.439999999944121,2092416.159999999916181,1854700.219999999739230,1820834.920000000158325,11500368.459999999031425
FS( 103 ),1894581.639999999897555,1927294.159999999916181,1840711.039999999804422,2117218.219999999739230,1853293.750000000000000,1824361.660000000149012,11457464.469999998807907
FS( 104 ),1894914.849999999860302,1938243.280000000027940,1840711.039999999804422,2115327.480000000447035,1868223.969999999739230,1830407.500000000000000,11487832.120000001043081
FS( 105 ),1900246.209999999962747,1949387.920000000158325,1842520.239999999990687,2110767.459999999962747,1872876.139999999897555,1832422.780000000027940,11508224.750000000000000
FS( 106 ),1879698.259999999776483,1941762.640000000130385,1834921.600000000093132,2107986.959999999962747,1862273.520000000018626,1824865.480000000214204,11451512.460000000894070
FS( 107 ),1913352.469999999739230,1934528.399999999906868,1852470.840000000083819,2091303.959999999962747,1874174.419999999925494,1835949.520000000018626,11501783.609999999403954
FS( 108 ),1913019.259999999776483,1946455.119999999878928,1882141.719999999972060,2102203.519999999552965,1866276.550000000046566,1849552.660000000149012,11559652.830000000074506
FS( 109 ),1921904.859999999869615,1971872.719999999972060,1918144.799999999813735,2118886.519999999552965,1879367.539999999804422,1853583.220000000204891,11663763.660000000149012
FS( 110 ),1943785.649999999906868,1976369.679999999934807,1943292.679999999934807,2141019.299999999813735,1883154.190000000176951,1857109.960000000195578,11744735.460000000894070
FS( 111 ),1936566.099999999860302,1958186.320000000065193,1936417.719999999972060,2135903.179999999701977,1881855.910000000149012,1836453.340000000316650,11685386.570000000298023
FS( 112 ),1936343.959999999962747,1965420.560000000055879,1941121.640000000130385,2147692.500000000000000,1877636.500000000000000,1834438.060000000055879,11702657.220000000670552
FS( 113 ),1935899.679999999934807,1979106.959999999962747,1911812.600000000093132,2133233.900000000372529,1877311.929999999934807,1837460.980000000214204,11674830.050000000745058
FS( 114 ),1946895.609999999869615,1969526.479999999981374,1938046.000000000000000,2165265.259999999776483,1876013.649999999906868,1841995.360000000335276,11737746.359999999403954
FS( 115 ),1966999.280000000027940,1974218.959999999962747,1942930.840000000083819,2184617.540000000037253,1877961.069999999832362,1840987.720000000204891,11787719.410000000149012
FS( 116 ),1957002.979999999981374,1961901.200000000186265,1931171.039999999804422,2183394.120000000111759,1879151.160000000149012,1844010.640000000363216,11756635.140000000596046
FS( 117 ),1989324.349999999860302,1970113.040000000037253,1952157.760000000009313,2222432.339999999850988,1893215.859999999869615,1873232.200000000186265,11900479.550000000745058
FS( 118 ),1991101.469999999739230,1952516.239999999990687,1958851.799999999813735,2205860.560000000521541,1888780.069999999832362,1863659.620000000344589,11860773.760000001639128
FS( 119 ),1982215.869999999878928,1916736.080000000074506,1958489.959999999962747,2239226.560000000521541,1905549.520000000018626,1861140.520000000018626,11863362.509999999776483
FS( 120 ),1965999.649999999906868,1922406.159999999916181,1962832.039999999804422,2274038.419999999925494,1906523.229999999981374,1860636.700000000186265,11892440.199999999254942
FS( 121 ),1966443.929999999934807,1915758.479999999981374,1961746.520000000018626,2278932.100000000558794,1913014.630000000121072,1855094.680000000167638,11890994.339999999850988
FS( 122 ),1935122.189999999944121,1941567.119999999878928,1958489.959999999962747,2293613.139999999664724,1905549.520000000018626,1860636.700000000186265,11894982.629999998956919
FS( 123 ),1900579.420000000158325,1949192.399999999906868,1974953.679999999934807,2284159.440000000409782,1900572.780000000027940,1875751.300000000046566,11885213.020000001415610
FS( 124 ),1905022.219999999739230,1948019.280000000027940,1984361.520000000018626,2304846.360000000335276,1929784.080000000074506,1965431.260000000009313,12037468.720000000670552
FS( 125 ),1865592.369999999878928,1943717.839999999850988,1954871.559999999823049,2279154.540000000037253,1923400.870000000111759,1965935.080000000307336,11932676.259999999776483
FS( 126 ),1854596.439999999944121,1930031.439999999944121,1935694.039999999804422,2244565.120000000111759,1866168.359999999869615,1904469.040000000037253,11735528.440000001341105
FS( 127 ),1859705.659999999916181,1943522.320000000065193,1947272.919999999925494,2234444.100000000558794,1851670.899999999906868,1866178.720000000204891,11702798.620000001043081
