訓練日期,20171211 - 20180315
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11749510.629999998956919
真實報酬,1749510.629999998956919

夏普值報酬,0.166251063000000
夏普值風險,0.054991466375756
夏普值,3.023215672482861

預期報酬,31793.510691079914977
風險,245126.814507300645346
趨勢值,0.129702296156315
找到最佳解世代,1980
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](2),CSCO[4](1),INTC[11](8),
Stock#,BA[2](2),CSCO[4](1),INTC[11](8),
張數,11771,87811,76347,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,256.639999999664724,27.439999999944121,22.980000000447035,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3413140.379999999422580,3328942.449999999720603,3308138.490000000223517,10050222.320000000298023
FS( 3 ),3435505.279999999329448,3350017.089999999850988,3308901.960000000894070,10094425.330000000074506
FS( 4 ),3459518.119999999646097,3328064.339999999850988,3302794.200000000186265,10090377.660000000149012
FS( 5 ),3460224.379999999422580,3353529.529999999795109,3402045.300000000745058,10215800.210000000894070
FS( 6 ),3486120.579999999608845,3378994.719999999739230,3531835.200000000186265,10396951.500000000000000
FS( 7 ),3499186.389999999664724,3363188.739999999757856,3591385.860000000335276,10453761.989999998360872
FS( 8 ),3506837.539999999571592,3401825.580000000074506,3631086.300000000745058,10539750.419999999925494
FS( 9 ),3473054.769999999552965,3383385.270000000018626,3570008.700000000186265,10426449.739999998360872
FS( 10 ),3473878.739999999757856,3385141.489999999757856,3565427.880000000819564,10424449.109999999403954
FS( 11 ),3476939.199999999720603,3378994.719999999739230,3518092.740000000223517,10374027.660000000149012
FS( 12 ),3479999.659999999683350,3386019.600000000093132,3520383.150000000372529,10386403.410000000149012
FS( 13 ),3488592.489999999757856,3388653.930000000167638,3528781.320000000298023,10406028.740000000223517
FS( 14 ),3471642.250000000000000,3363188.739999999757856,3524200.500000000000000,10359032.490000000223517
FS( 15 ),3494360.279999999329448,3412362.899999999906868,3576879.930000000633299,10483604.109999999403954
FS( 16 ),3505660.439999999944121,3439584.310000000055879,3455488.200000000186265,10400733.949999999254942
FS( 17 ),3492359.209999999962747,3423778.330000000074506,3392120.190000000409782,10308258.730000000447035
FS( 18 ),3635612.279999999329448,3471196.270000000018626,3415787.760000000707805,10522597.309999998658895
FS( 19 ),3651032.289999999571592,3507198.779999999795109,3415787.760000000707805,10574019.830000000074506
FS( 20 ),3748496.169999999925494,3485246.029999999795109,3330279.120000000111759,10564022.320000000298023
FS( 21 ),3770037.099999999627471,3504564.449999999720603,3244770.480000000447035,10519373.029999999329448
FS( 22 ),3862557.159999999683350,3521248.540000000037253,3314246.250000000000000,10698052.949999999254942
FS( 23 ),3957784.549999999348074,3588863.009999999776483,3301267.260000000707805,10847915.820000000298023
FS( 24 ),3945425.000000000000000,3559885.379999999888241,3293632.560000000521541,10798943.940000001341105
FS( 25 ),4131995.349999999627471,3617840.640000000130385,3389066.310000000521541,11138903.300000000745058
FS( 26 ),4004280.000000000000000,3626621.739999999757856,3395937.540000000037253,11026840.280000001192093
FS( 27 ),3975676.469999999739230,3625743.629999999888241,3421895.520000000484288,11023316.620000001043081
FS( 28 ),3978854.639999999664724,3658233.699999999720603,3492898.230000000447035,11129987.570000000298023
FS( 29 ),3950486.529999999329448,3696870.540000000037253,3516565.800000000745058,11163923.870000001043081
FS( 30 ),3939892.629999999422580,3703017.310000000055879,3474574.950000000186265,11117485.890000000596046
FS( 31 ),4039004.449999999720603,3679308.339999999850988,3458542.080000000074506,11176855.869999999180436
FS( 32 ),4040299.259999999776483,3737263.600000000093132,3823480.740000000223517,11601044.599999999627471
FS( 33 ),4012048.859999999403954,3762728.790000000037253,3815846.040000000037253,11590624.689999999478459
FS( 34 ),3975441.049999999348074,3710042.189999999944121,3724993.110000000335276,11410477.349999999627471
FS( 35 ),4171545.909999999683350,3647696.379999999888241,3675367.560000000521541,11494610.849999999627471
FS( 36 ),4201797.379999999888241,3661746.140000000130385,3637957.530000000260770,11501502.050000000745058
FS( 37 ),4107276.250000000000000,3594131.669999999925494,3523437.030000000260770,11224845.949999999254942
FS( 38 ),3871503.119999999646097,3405338.020000000018626,3398991.420000000856817,10675833.560000000521541
FS( 39 ),4013108.250000000000000,3527395.310000000055879,3428766.750000000000000,10969271.310000000521541
FS( 40 ),4097977.159999999683350,3542323.180000000167638,3450907.380000000819564,11091208.720000000670552
FS( 41 ),3880684.500000000000000,3404459.910000000149012,3263857.230000000447035,10549002.640000000596046
FS( 42 ),3917998.569999999366701,3471196.270000000018626,3355473.630000000819564,10744669.470000000670552
FS( 43 ),4047126.439999999944121,3565154.040000000037253,3422658.990000000223517,11034940.470000000670552
FS( 44 ),4039593.000000000000000,3620474.969999999739230,3394410.600000000558794,11054479.570000000298023
FS( 45 ),4059485.989999999757856,3695992.430000000167638,3464649.840000000782311,11220129.260000001639128
FS( 46 ),4196147.299999999813735,3870736.319999999832362,3505877.220000000670552,11572761.839999999850988
FS( 47 ),4179432.479999999981374,3892689.069999999832362,3478392.300000000745058,11550514.850000001490116
FS( 48 ),4159539.489999999757856,3868980.100000000093132,3536416.020000000484288,11564936.609999999403954
FS( 49 ),4148003.909999999683350,3803121.850000000093132,3507404.160000000149012,11458530.919999999925494
FS( 50 ),4189790.959999999962747,3770631.779999999795109,3496715.580000000074506,11457139.320000000298023
FS( 51 ),4198501.500000000000000,3863711.439999999944121,3644065.290000000037253,11706279.230000000447035
FS( 52 ),4278779.719999999739230,3983134.399999999906868,3749424.150000000372529,12011339.269999999552965
FS( 53 ),4292434.079999999143183,3955034.879999999888241,3810501.750000000000000,12057971.709999999031425
FS( 54 ),4263830.549999999813735,3932204.020000000018626,3763166.610000000335276,11959202.179999999701977
FS( 55 ),4116457.629999999422580,3846149.239999999757856,3652463.460000000894070,11615071.330000000074506
FS( 56 ),4057367.209999999962747,3868980.100000000093132,3739499.040000000037253,11665847.350000001490116
FS( 57 ),4152476.889999999664724,3909373.160000000149012,3798286.230000000447035,11860137.280000001192093
FS( 58 ),4107393.959999999962747,3889176.629999999888241,3871579.350000000558794,11868150.940000001341105
FS( 59 ),4085264.479999999981374,3881273.640000000130385,3918151.020000000484288,11884690.140000000596046
FS( 60 ),4105157.469999999739230,3893567.180000000167638,3873869.760000000707805,11872595.410000000149012
FS( 61 ),4173311.559999999590218,3984012.509999999776483,3984572.910000000149012,12141897.980000000447035
FS( 62 ),4051717.129999999422580,3999818.489999999757856,3933420.420000000856817,11984957.039999999105930
FS( 63 ),3986741.209999999962747,3965572.199999999720603,3953270.640000000596046,11905585.050000000745058
FS( 64 ),3887747.099999999627471,3976109.520000000018626,3959378.400000000372529,11823236.019999999552965
FS( 65 ),3884451.219999999739230,3980500.069999999832362,3884558.340000000782311,11749510.629999998956919
