訓練日期,20140204 - 20140507
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11061517.759999999776483
真實報酬,1061517.759999999776483

夏普值報酬,0.097451776000000
夏普值風險,0.026991409481716
夏普值,3.610473771887089

預期報酬,16970.988931404470350
風險,71140.135864943178603
趨勢值,0.238557162213230
找到最佳解世代,2064
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
CVX[5](4),INTC[11](6),KO[14](13),MCD[15](8),TRV[22](10),UNH[23](18),WMT[28](5),
Stock#,CVX[5](4),INTC[11](6),KO[14](13),MCD[15](8),TRV[22](10),UNH[23](18),WMT[28](5),
張數,12889,59973,38115,15346,17779,20260,19642,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,83.130000000121072,14.139999999897555,20.800000000046566,11.859999999869615,28.350000000093132,38.399999999906868,8.339999999850988,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1411686.410000000149012,1410579.099999999860302,1433525.949999999953434,1436090.539999999804422,1430171.110000000102445,1434851.599999999860302,1431320.879999999888241,9988228.589999999850988
FS( 3 ),1434242.160000000149012,1438766.409999999916181,1449534.250000000000000,1456961.099999999860302,1434615.860000000102445,1435864.600000000093132,1430338.779999999795109,10080326.160000000149012
FS( 4 ),1444295.580000000074506,1451960.469999999972060,1446485.050000000046566,1472000.179999999934807,1437993.870000000111759,1445792.000000000000000,1448605.839999999850988,10147135.989999998360872
FS( 5 ),1439655.540000000037253,1456758.309999999823049,1470116.350000000093132,1455733.419999999925494,1464129.000000000000000,1412970.799999999813735,1448802.260000000009313,10148168.679999997839332
FS( 6 ),1464015.750000000000000,1467553.449999999720603,1472784.400000000139698,1463099.500000000000000,1479418.939999999944121,1430799.600000000093132,1469229.939999999711290,10246904.579999998211861
FS( 7 ),1444037.800000000046566,1472351.290000000037253,1467829.449999999953434,1456193.799999999813735,1462528.890000000130385,1423100.799999999813735,1472372.659999999683350,10198417.690000001341105
FS( 8 ),1450224.520000000251457,1481347.239999999757856,1473165.550000000046566,1464941.019999999785796,1473551.870000000111759,1442752.999999999767169,1480229.459999999729916,10266215.659999998286366
