訓練日期,20190206 - 20190509
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11084823.340000001713634
真實報酬,1084823.340000001713634

夏普值報酬,0.099782334000000
夏普值風險,0.035491133485855
夏普值,2.811472167823784

預期報酬,19226.962561042015295
風險,66938.460245866343030
趨勢值,0.287233415444888
找到最佳解世代,2062
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,9
AAPL[0](9),AXP[1](8),DIS[6](15),MCD[15](3),MRK[17](23),PG[21](5),TRV[22](4),V[25](1),VZ[26](12),
Stock#,AAPL[0](9),AXP[1](8),DIS[6](15),MCD[15](3),MRK[17](23),PG[21](5),TRV[22](4),V[25](1),VZ[26](12),
張數,6376,10586,9973,6306,14357,11347,8849,7852,20656,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,156.760000000009313,4.440000000176951,19.070000000065193,119.919999999925494,22.770000000018626,12.760000000009313,119.050000000046566,131.520000000018626,24.760000000009313,
FS( 1 ),1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,10000000.000000000000000
FS( 2 ),1090070.199999999953434,1105076.980000000214204,1106523.420000000158325,1105435.599999999860302,1102927.510000000009313,1102260.340000000083819,1121818.290000000037253,1100746.359999999869615,1106566.679999999934807,9941426.379999998956919
FS( 3 ),1086690.919999999925494,1106453.160000000149012,1112108.300000000046566,1102093.419999999925494,1112977.409999999916181,1108728.129999999888241,1113234.760000000009313,1102395.280000000027940,1114415.959999999962747,9959098.339999999850988
FS( 4 ),1080442.439999999944121,1115874.700000000186265,1091464.189999999944121,1099003.479999999981374,1101348.239999999990687,1115082.449999999953434,1109960.630000000121072,1105693.120000000111759,1116481.560000000055879,9935351.810000000521541
FS( 5 ),1089751.399999999906868,1132706.440000000176951,1089070.670000000158325,1097174.739999999990687,1127334.409999999916181,1126315.979999999981374,1126242.790000000037253,1115037.000000000000000,1124124.280000000027940,10027758.709999999031425
FS( 6 ),1085224.439999999944121,1138634.600000000093132,1099043.670000000158325,1098309.820000000065193,1134512.909999999916181,1126089.040000000037253,1133145.010000000009313,1126815.000000000000000,1125363.639999999897555,10067139.130000000819564
FS( 7 ),1089177.560000000055879,1128683.760000000242144,1103631.250000000000000,1109156.139999999897555,1133364.350000000093132,1117238.379999999888241,1123322.620000000111759,1124223.840000000083819,1116068.439999999944121,10044867.339999999850988
FS( 8 ),1086754.679999999934807,1136729.120000000111759,1122879.140000000130385,1135010.739999999990687,1145854.939999999944121,1117465.320000000065193,1139339.310000000055879,1137964.840000000083819,1139409.719999999972060,10161408.810000000521541
FS( 9 ),1090006.439999999944121,1127413.440000000176951,1132054.300000000046566,1130470.419999999925494,1137671.449999999953434,1134599.290000000037253,1142524.949999999953434,1134274.399999999906868,1145193.399999999906868,10174209.089999999850988
FS( 10 ),1097020.040000000037253,1130377.520000000251457,1133749.710000000195578,1138289.859999999869615,1140399.280000000027940,1126542.919999999925494,1148188.310000000055879,1136551.479999999981374,1151803.320000000065193,10202923.440000001341105
FS( 11 ),1090835.320000000065193,1128577.900000000139698,1139833.240000000223517,1152919.780000000027940,1146142.080000000074506,1132216.419999999925494,1148896.229999999981374,1130819.520000000018626,1159859.159999999916181,10230100.650000000372529
FS( 12 ),1103013.479999999981374,1137364.280000000260770,1149407.320000000065193,1155189.939999999944121,1159637.659999999916181,1137549.510000000009313,1159515.030000000027940,1145502.760000000009313,1175764.280000000027940,10322945.259999999776483
FS( 13 ),1111047.239999999990687,1131965.420000000158325,1132852.140000000130385,1151658.580000000074506,1154038.429999999934807,1129833.550000000046566,1172523.060000000055879,1146994.640000000130385,1172872.439999999944121,10303786.500000000000000
FS( 14 ),1111684.840000000083819,1132071.280000000260770,1131954.570000000065193,1155442.179999999934807,1159206.949999999953434,1132783.770000000018626,1179425.280000000027940,1154689.599999999860302,1169980.600000000093132,10327240.070000000298023
FS( 15 ),1115127.880000000121072,1137152.560000000288710,1124774.010000000009313,1156388.080000000074506,1157484.110000000102445,1122344.530000000027940,1173673.430000000167638,1156102.959999999962747,1171633.080000000074506,10314681.640000002458692
FS( 16 ),1104161.160000000149012,1140540.080000000074506,1125372.390000000130385,1159414.959999999962747,1167103.300000000046566,1118259.609999999869615,1176239.640000000130385,1163169.760000000009313,1175764.280000000027940,10330026.179999999701977
FS( 17 ),1115765.479999999981374,1152819.840000000316650,1137040.800000000046566,1167045.219999999972060,1172271.820000000065193,1117011.439999999944121,1177301.520000000018626,1173769.959999999962747,1176590.520000000018626,10389617.599999997764826
FS( 18 ),1121376.359999999869615,1153878.440000000176951,1140232.160000000149012,1138920.459999999962747,1168251.860000000102445,1121890.650000000139698,1169514.400000000139698,1161913.440000000176951,1161718.199999999953434,10337696.970000000670552
FS( 19 ),1119336.040000000037253,1152290.540000000037253,1136941.070000000065193,1143713.019999999785796,1172989.670000000158325,1124386.989999999990687,1174292.860000000102445,1161834.919999999925494,1158413.239999999990687,10344199.349999999627471
FS( 20 ),1112896.280000000027940,1153666.720000000204891,1145418.120000000111759,1148001.099999999860302,1159494.090000000083819,1122571.469999999972060,1166417.250000000232831,1160735.640000000130385,1150150.840000000083819,10319352.509999999776483
FS( 21 ),1100016.760000000009313,1141810.400000000139698,1137040.800000000046566,1138479.040000000037253,1155043.420000000158325,1118259.609999999869615,1163674.060000000055879,1153040.680000000167638,1162957.560000000055879,10270323.330000000074506
FS( 22 ),1102630.919999999925494,1143080.720000000204891,1135046.200000000186265,1132046.919999999925494,1145711.369999999878928,1116671.030000000027940,1159515.030000000027940,1157123.719999999972060,1167708.439999999944121,10259535.349999999627471
FS( 23 ),1140823.160000000149012,1159806.600000000093132,1144420.820000000065193,1142010.399999999906868,1161073.360000000102445,1129947.020000000018626,1167036.680000000167638,1183192.359999999869615,1189397.239999999990687,10417708.640000000596046
FS( 24 ),1153638.919999999925494,1169016.420000000158325,1144221.360000000102445,1146739.899999999906868,1166241.880000000121072,1135280.109999999869615,1174558.330000000074506,1191515.479999999981374,1186298.840000000083819,10467512.240000000223517
FS( 25 ),1158739.719999999972060,1187118.480000000214204,1137838.640000000130385,1148190.280000000027940,1171553.969999999972060,1148102.219999999972060,1177036.050000000046566,1197325.959999999962747,1191049.719999999972060,10516956.040000000968575
FS( 26 ),1171619.239999999990687,1189341.540000000037253,1141728.110000000102445,1152478.359999999869615,1169974.699999999953434,1149690.800000000046566,1177566.989999999990687,1210909.919999999925494,1197039.959999999962747,10560350.620000001043081
FS( 27 ),1186857.880000000121072,1201727.160000000149012,1146515.149999999906868,1168810.899999999906868,1171123.260000000009313,1162399.439999999944121,1187477.870000000111759,1220803.440000000176951,1206128.600000000093132,10651844.699999999254942
FS( 28 ),1198972.280000000027940,1202044.740000000223517,1128164.830000000074506,1160108.619999999878928,1167964.719999999972060,1151846.729999999981374,1194203.110000000102445,1216877.440000000176951,1199518.679999999934807,10619702.150000000372529
FS( 29 ),1189472.040000000037253,1192729.060000000288710,1097049.070000000065193,1154811.580000000074506,1176004.639999999897555,1156272.060000000055879,1176416.620000000111759,1213972.199999999953434,1187744.760000000009313,10544473.030000001192093
FS( 30 ),1199864.919999999925494,1172615.660000000149012,1096949.340000000083819,1166540.739999999990687,1178445.330000000074506,1154229.600000000093132,1162258.220000000204891,1207376.520000000018626,1191256.280000000027940,10529537.609999999403954
FS( 31 ),1244050.600000000093132,1183730.960000000195578,1083685.250000000000000,1175369.139999999897555,1190935.920000000158325,1162966.790000000037253,1189159.180000000167638,1223473.120000000111759,1204063.000000000000000,10657434.960000000894070
FS( 32 ),1218291.560000000055879,1158748.000000000000000,1079396.860000000102445,1178143.780000000027940,1181460.300000000046566,1153548.780000000027940,1193849.150000000139698,1202037.159999999916181,1234427.320000000065193,10599903.910000000149012
FS( 33 ),1203563.000000000000000,1154301.880000000353903,1075008.740000000223517,1171270.239999999990687,1182321.719999999972060,1156952.879999999888241,1194291.599999999860302,1201723.080000000074506,1241037.239999999990687,10580471.380000000819564
FS( 34 ),1191129.800000000046566,1159171.440000000176951,1098445.290000000037253,1182368.799999999813735,1190505.209999999962747,1168980.699999999953434,1194557.070000000065193,1219547.120000000111759,1252398.040000000037253,10657104.469999998807907
FS( 35 ),1201841.479999999981374,1153666.720000000204891,1099841.510000000009313,1182557.979999999981374,1181460.300000000046566,1167619.060000000055879,1206680.199999999953434,1211066.959999999962747,1257562.040000000037253,10662297.250000000000000
FS( 36 ),1203435.479999999981374,1155572.200000000186265,1104129.899999999906868,1194413.259999999776483,1186341.679999999934807,1174994.609999999869615,1211547.150000000139698,1214600.359999999869615,1220381.239999999990687,10665416.879999998956919
FS( 37 ),1211277.959999999962747,1157054.240000000223517,1107321.260000000009313,1197629.320000000065193,1194094.459999999962747,1180668.109999999869615,1213847.890000000130385,1226535.399999999906868,1221414.040000000037253,10709843.679999999701977
FS( 38 ),1219503.000000000000000,1182460.640000000130385,1122081.300000000046566,1188107.259999999776483,1195960.869999999878928,1176015.840000000083819,1221458.030000000027940,1234937.040000000037253,1220587.800000000046566,10761112.780000001192093
FS( 39 ),1237228.280000000027940,1175050.440000000176951,1116596.149999999906868,1187855.019999999785796,1194668.739999999990687,1177264.010000000009313,1210750.739999999990687,1239020.080000000074506,1209020.439999999944121,10747454.900000000372529
FS( 40 ),1245708.359999999869615,1170392.600000000093132,1122181.030000000027940,1187855.019999999785796,1194238.030000000027940,1176583.189999999944121,1208892.449999999953434,1244359.440000000176951,1216043.479999999981374,10766254.600000001490116
FS( 41 ),1247876.199999999953434,1165734.760000000242144,1144420.820000000065193,1197440.139999999897555,1175143.219999999972060,1173632.969999999972060,1208184.530000000027940,1237920.799999999813735,1218522.199999999953434,10768876.639999998733401
FS( 42 ),1256228.760000000009313,1174627.000000000000000,1146914.070000000065193,1202737.179999999934807,1165093.320000000065193,1176129.310000000055879,1207122.650000000139698,1237999.320000000065193,1220587.800000000046566,10787440.410000002011657
