訓練日期,20170327 - 20170627
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10958341.360000001266599
真實報酬,958341.360000001266599

夏普值報酬,0.087134136000000
夏普值風險,0.030240922526226
夏普值,2.881331940996033

預期報酬,15997.136996316663499
風險,51527.256627201953961
趨勢值,0.310459707025651
找到最佳解世代,2379
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](8),JNJ[12](16),MCD[15](1),WMT[28](10),XOM[29](17),
Stock#,BA[2](8),JNJ[12](16),MCD[15](1),WMT[28](10),XOM[29](17),
張數,11357,15898,15445,28710,24615,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,32.300000000046566,31.600000000093132,26.949999999953434,61.400000000139698,31.250000000000000,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2014309.820000000298023,1997774.280000000027940,1999382.199999999720603,2018948.599999999860302,2014522.850000000093132,10044937.750000000000000
FS( 3 ),2017376.209999999962747,1986009.760000000009313,1989960.750000000000000,2031006.800000000046566,2018953.549999999813735,10043307.070000000298023
FS( 4 ),2021351.159999999916181,1981876.280000000027940,1997374.349999999860302,2055410.300000000279397,2060306.750000000000000,10116318.839999999850988
FS( 5 ),2008631.320000000298023,1980127.500000000000000,2001853.400000000139698,2069478.200000000186265,2018707.400000000139698,10078797.820000000298023
FS( 6 ),2006246.350000000093132,1982353.219999999972060,2001853.400000000139698,2062300.700000000186265,2020184.299999999813735,10072937.970000000670552
FS( 7 ),2029528.199999999953434,1982194.240000000223517,1996910.999999999767169,2067468.500000000232831,2027568.800000000046566,10103670.740000000223517
FS( 8 ),2011129.860000000102445,1984102.000000000000000,2014209.399999999906868,2057132.900000000372529,2031507.199999999953434,10098081.359999999403954
FS( 9 ),2014423.390000000130385,1988076.500000000000000,2010193.699999999953434,2050816.700000000419095,2043322.400000000139698,10106832.689999999478459
FS( 10 ),2031231.750000000000000,1986009.760000000009313,2007259.150000000139698,2093020.400000000372529,2037168.650000000139698,10154689.710000000894070
FS( 11 ),2016581.219999999972060,1976788.920000000158325,2007568.049999999813735,2097614.000000000000000,2046276.199999999953434,10144828.389999998733401
FS( 12 ),2028051.790000000037253,1974881.160000000149012,2026410.949999999720603,2108236.700000000186265,2039137.850000000093132,10176718.450000001117587
FS( 13 ),1999432.150000000139698,1993640.800000000279397,2027337.649999999906868,2108523.799999999813735,2042337.800000000046566,10171272.199999999254942
FS( 14 ),1994548.640000000130385,1987122.620000000111759,2019615.149999999906868,2100197.900000000372529,2010830.599999999860302,10112314.910000000149012
FS( 15 ),2033162.440000000176951,1998728.160000000149012,2028727.699999999953434,2109959.299999999813735,2008122.949999999953434,10178700.550000000745058
FS( 16 ),2019874.750000000000000,1936725.959999999962747,2043400.450000000186265,2121443.299999999813735,1995077.000000000000000,10116521.460000000894070
FS( 17 ),2026121.100000000093132,1929571.860000000102445,2048651.749999999767169,2126611.099999999627471,1981292.599999999860302,10112248.410000000149012
FS( 18 ),2036342.400000000139698,1937520.860000000102445,2058382.100000000093132,2147569.400000000372529,1994092.400000000139698,10173907.160000000149012
FS( 19 ),2048607.959999999962747,1935772.080000000074506,2060544.399999999906868,2151588.799999999813735,1986215.599999999860302,10182728.839999999850988
FS( 20 ),2067687.719999999972060,1953736.820000000065193,2073209.299999999813735,2146995.200000000186265,1996553.899999999906868,10238182.939999999478459
