訓練日期,20170628 - 20170928
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11003606.820000000298023
真實報酬,1003606.820000000298023

夏普值報酬,0.091660682000000
夏普值風險,0.029286543700442
夏普值,3.129788306109215

預期報酬,15594.443202903970814
風險,71457.437607790488983
趨勢值,0.218234010691755
找到最佳解世代,2205
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](8),AXP[1](9),BA[2](2),CAT[3](1),DD[7](13),HD[9](21),MCD[15](15),UNH[23](4),
Stock#,AAPL[0](8),AXP[1](9),BA[2](2),CAT[3](1),DD[7](13),HD[9](21),MCD[15](15),UNH[23](4),
張數,8571,14886,6261,11742,13878,8157,8101,6731,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,91.069999999832362,22.580000000074506,179.179999999934807,64.099999999860302,8.540000000037253,102.890000000130385,15.699999999953434,53.300000000046566,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1231572.349999999860302,1244938.760000000009313,1236476.239999999990687,1240488.979999999981374,1239313.939999999944121,1241272.010000000009313,1240521.829999999841675,1247105.670000000158325,9921689.779999999329448
FS( 3 ),1234486.489999999990687,1254019.219999999972060,1238291.929999999934807,1261859.419999999692664,1246530.500000000000000,1251386.690000000176951,1240764.859999999869615,1248115.320000000065193,9975454.429999999701977
FS( 4 ),1230029.569999999832362,1266821.179999999934807,1243551.169999999925494,1256105.839999999850988,1263739.219999999972060,1256362.459999999962747,1235418.199999999953434,1256394.450000000186265,10008422.089999999850988
FS( 5 ),1235086.459999999962747,1263695.120000000111759,1263711.589999999850988,1262211.679999999701977,1253469.500000000000000,1245595.220000000204891,1240035.769999999785796,1267164.050000000046566,10030969.390000000596046
FS( 6 ),1223429.899999999674037,1246576.219999999972060,1261645.459999999962747,1250704.520000000018626,1256245.100000000093132,1240374.740000000223517,1240197.790000000037253,1258346.439999999944121,9977520.169999999925494
