訓練日期,20170929 - 20180102
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11461932.810000000521541
真實報酬,1461932.810000000521541

夏普值報酬,0.137493281000000
夏普值風險,0.040167908506265
夏普值,3.422963408178361

預期報酬,22803.719960284000990
風險,39110.026581722187984
趨勢值,0.583065826166970
找到最佳解世代,1861
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,12
AAPL[0](12),CAT[3](2),CSCO[4](11),CVX[5](25),DIS[6](16),HD[9](17),KO[14](23),MCD[15](5),MSFT[18](7),NKE[19](3),V[25](8),WMT[28](1),
Stock#,AAPL[0](12),CAT[3](2),CSCO[4](11),CVX[5](25),DIS[6](16),HD[9](17),KO[14](23),MCD[15](5),MSFT[18](7),NKE[19](3),V[25](8),WMT[28](1),
張數,5407,6682,24779,7092,8454,5094,18514,5318,11187,16071,7968,10664,
分配資金,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,
剩餘資金,6.160000000032596,20.780000000027940,15.229999999981374,23.000000000000000,22.220000000088476,158.359999999986030,17.859999999986030,108.760000000009313,13.370000000111759,51.650000000023283,39.560000000055879,48.040000000037253,
FS( 1 ),833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,10000000.000000000000000
FS( 2 ),831656.830000000074506,833399.820000000065193,836306.479999999981374,832836.560000000055879,844238.660000000032596,835676.239999999990687,829445.059999999939464,834822.040000000037253,834675.440000000060536,833654.419999999925494,840185.479999999981374,836638.840000000083819,10023539.869999999180436
FS( 3 ),835279.520000000018626,838678.600000000093132,838784.380000000004657,835602.439999999944121,852100.880000000121072,841534.339999999967404,836665.519999999902211,834290.240000000107102,830759.990000000223517,827226.020000000018626,841380.680000000051223,844850.119999999995343,10057156.729999998584390
FS( 4 ),829872.520000000018626,846897.459999999962747,828624.989999999874271,833900.359999999986030,850071.920000000041910,842145.619999999995343,842404.859999999986030,836151.540000000037253,835570.400000000139698,837029.329999999958090,839149.640000000130385,843463.800000000046566,10065286.440000001341105
FS( 5 ),840199.890000000013970,844625.580000000074506,832341.840000000083819,840992.359999999986030,846352.160000000032596,846373.640000000013970,842775.140000000013970,844607.160000000032596,849889.760000000125729,838636.430000000051223,846559.880000000004657,846876.280000000027940,10120234.119999999180436
FS( 6 ),839713.260000000125729,848167.040000000037253,836306.479999999981374,829999.760000000009313,846014.000000000000000,844998.260000000009313,842219.719999999972060,848861.559999999939464,850225.370000000111759,842493.470000000088476,850464.200000000069849,842504.040000000037253,10121971.160000000149012
