訓練日期,20180103 - 20180406
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10865430.640000000596046
真實報酬,865430.640000000596046

夏普值報酬,0.077843064000000
夏普值風險,0.039744113745707
夏普值,1.958606109525022

預期報酬,25251.316848662780103
風險,390443.211206528299954
趨勢值,0.064673468826958
找到最佳解世代,1389
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,2
BA[2](4),INTC[11](3),
Stock#,BA[2](4),INTC[11](3),
張數,16789,110472,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,235.799999999813735,37.280000000260770,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4981028.429999999701977,4908308.240000000223517,9889336.669999999925494
FS( 3 ),5185350.559999999590218,4942554.560000000521541,10127905.120000001043081
FS( 4 ),5207344.149999999441206,4942554.560000000521541,10149898.710000000894070
FS( 5 ),5346357.070000000298023,4818825.919999999925494,10165182.990000000223517
FS( 6 ),5377080.939999999478459,4695097.280000000260770,10072178.219999998807907
FS( 7 ),5509042.479999999515712,4795626.799999999813735,10304669.279999999329448
FS( 8 ),5644865.489999999292195,4776846.560000000521541,10421712.050000000745058
FS( 9 ),5627237.040000000037253,4765799.360000000335276,10393036.400000000372529
FS( 10 ),5893342.689999999478459,4903889.360000000335276,10797232.050000000745058
FS( 11 ),5711182.040000000037253,4913831.839999999850988,10625013.879999998956919
FS( 12 ),5670384.770000000484288,4951392.320000000298023,10621777.089999999850988
FS( 13 ),5674917.799999999813735,5054131.280000000260770,10729049.080000000074506
FS( 14 ),5634456.309999999590218,5088377.600000000558794,10722833.910000000149012
FS( 15 ),5619346.209999999962747,5027618.000000000000000,10646964.210000000894070
FS( 16 ),5760709.589999999850988,5004418.879999999888241,10765128.469999998807907
FS( 17 ),5762556.379999999888241,5532475.040000000037253,11295031.419999999925494
FS( 18 ),5722262.779999999329448,5521427.839999999850988,11243690.619999999180436
FS( 19 ),5670048.989999999292195,5389966.160000000149012,11060015.149999998509884
FS( 20 ),5949753.729999999515712,5318159.360000000335276,11267913.089999999850988
FS( 21 ),5992901.459999999962747,5264028.080000000074506,11256929.539999999105930
FS( 22 ),5858085.790000000037253,5098320.080000000074506,10956405.870000001043081
FS( 23 ),5521802.120000000111759,4918250.720000000670552,10440052.839999999850988
FS( 24 ),5723773.790000000037253,4961334.799999999813735,10685108.589999999850988
FS( 25 ),5844822.479999999515712,4993371.680000000633299,10838194.160000000149012
FS( 26 ),5534897.540000000037253,4722715.280000000260770,10257612.820000000298023
FS( 27 ),5588118.669999999925494,4855281.680000000633299,10443400.350000001490116
FS( 28 ),5772294.000000000000000,4952497.040000000037253,10724791.039999999105930
FS( 29 ),5761549.040000000037253,4911622.400000000372529,10673171.440000001341105
FS( 30 ),5789922.450000000186265,5013256.640000000596046,10803179.089999999850988
FS( 31 ),5984842.739999999292195,5072911.520000000484288,11057754.259999999776483
FS( 32 ),5961002.360000000335276,5033141.600000000558794,10994143.960000000894070
FS( 33 ),5932628.950000000186265,5117100.320000000298023,11049729.269999999552965
FS( 34 ),5916175.729999999515712,5075120.959999999962747,10991296.689999999478459
FS( 35 ),5975776.679999999701977,5059654.879999999888241,11035431.559999998658895
FS( 36 ),5988200.540000000037253,5272865.839999999850988,11261066.379999998956919
FS( 37 ),6102701.520000000484288,5425317.200000000186265,11528018.720000000670552
FS( 38 ),6122176.759999999776483,5513694.799999999813735,11635871.559999998658895
FS( 39 ),6081379.489999999292195,5445202.160000000149012,11526581.649999998509884
FS( 40 ),5871181.209999999962747,5285017.760000000707805,11156198.970000000670552
FS( 41 ),5786900.429999999701977,5410955.839999999850988,11197856.269999999552965
FS( 42 ),5922555.549999999813735,5496019.280000000260770,11418574.830000000074506
FS( 43 ),5858253.679999999701977,5602072.400000000372529,11460326.080000000074506
FS( 44 ),5826690.360000000335276,5669460.320000000298023,11496150.679999999701977
FS( 45 ),5855063.770000000484288,5605386.560000000521541,11460450.330000001937151
FS( 46 ),5952272.079999999143183,5765570.959999999962747,11717843.039999999105930
