代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13091616.730000000447035
真實報酬,3091616.730000000447035

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13561.777904153450436
風險,185836.107451836607652
起點值,0.072977087661332
找到最佳解世代,2000
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](3),HD[9](1),TRV[22](4),V[25](2),VZ[26](11),
Stock#,DIS[6](3),HD[9](1),TRV[22](4),V[25](2),VZ[26](11),
張數,52205,47460,33904,77669,50339,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,26.449999999953434,35.599999999860302,3.040000000037253,23.250000000000000,31.530000000260770,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2028190.699999999953434,2028476.000000000000000,1991863.040000000037253,1964272.260000000009313,1973823.720000000204891,9986625.720000000670552
FS( 3 ),2062123.949999999953434,2045087.000000000000000,2011527.359999999869615,1979029.370000000111759,1960232.190000000176951,10057999.870000001043081
FS( 4 ),2083527.999999999767169,2050307.600000000093132,2012205.440000000176951,1955728.669999999925494,1929525.400000000139698,10031295.109999999403954
FS( 5 ),2075175.199999999953434,2051731.399999999674037,2023732.800000000046566,1940194.870000000111759,1931538.960000000195578,10022373.230000000447035
FS( 6 ),2068910.600000000093132,2065969.399999999906868,2037633.440000000176951,1937864.800000000046566,1941606.760000000242144,10051985.000000000000000
FS( 7 ),2020359.950000000186265,2062647.199999999953434,2030852.639999999897555,1924661.070000000065193,1958218.630000000121072,9996739.490000000223517
FS( 8 ),2021926.099999999860302,2059325.000000000000000,2027462.239999999990687,1968155.709999999962747,1959225.410000000381842,10036094.460000000894070
FS( 9 ),2004698.449999999953434,2065020.199999999720603,2012883.520000000018626,1956505.360000000102445,1959225.410000000381842,9998332.940000001341105
FS( 10 ),2008874.849999999860302,2075936.000000000000000,2023732.800000000046566,1990679.719999999972060,1964259.310000000521541,10063482.679999999701977
FS( 11 ),2037065.550000000046566,2130040.400000000372529,2030513.600000000093132,2015533.800000000046566,1963755.920000000158325,10176909.270000001415610
FS( 12 ),2058991.649999999906868,2155194.199999999254942,2044414.239999999990687,1987572.959999999962747,1963252.530000000260770,10209425.580000000074506
FS( 13 ),2052205.000000000000000,2112480.200000000186265,2088150.400000000139698,1953398.599999999860302,1961742.360000000102445,10167976.560000000521541
FS( 14 ),2049072.699999999953434,2130040.400000000372529,2044075.199999999953434,1933981.349999999860302,1933049.130000000121072,10090218.780000001192093
FS( 15 ),2049072.699999999953434,2133837.200000000186265,1966435.040000000037253,1961165.500000000000000,1902342.340000000316650,10012852.780000001192093
