代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14311160.619999999180436
真實報酬,4311160.619999999180436

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21048.195094711558340
風險,314389.333962052478455
起點值,0.066949456679889
找到最佳解世代,2580
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CSCO[4](6),INTC[11](3),MSFT[18](1),V[25](2),
Stock#,CSCO[4](6),INTC[11](3),MSFT[18](1),V[25](2),
張數,79795,74716,36673,26780,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,22.649999999906868,2.640000000130385,1.589999999850988,87.000000000000000,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2482445.100000000093132,2565750.080000000540167,2533372.429999999701977,2517674.800000000279397,10099242.410000000149012
FS( 3 ),2451325.049999999813735,2512701.720000000204891,2514669.199999999720603,2497322.000000000000000,9976017.969999998807907
FS( 4 ),2465688.149999999906868,2531380.720000000204891,2547308.169999999459833,2515264.600000000093132,10059641.639999998733401
FS( 5 ),2472071.750000000000000,2514196.040000000037253,2566378.129999999888241,2546597.200000000186265,10099243.120000001043081
FS( 6 ),2480849.199999999720603,2534369.360000000335276,2566744.859999999869615,2555166.799999999813735,10137130.219999998807907
FS( 7 ),2486434.850000000093132,2559025.640000000130385,2609285.540000000037253,2575787.400000000372529,10230533.429999999701977
FS( 8 ),2495212.299999999813735,2558278.480000000447035,2632022.799999999813735,2569360.199999999720603,10254873.779999999329448
FS( 9 ),2507181.549999999813735,2591153.520000000018626,2669062.529999999795109,2595872.400000000372529,10363270.000000000000000
FS( 10 ),2513565.149999999906868,2575463.160000000149012,2689966.139999999664724,2593194.399999999906868,10372188.849999999627471
FS( 11 ),2514363.100000000093132,2579946.120000000111759,2688132.489999999757856,2613279.399999999906868,10395721.110000001266599
FS( 12 ),2545483.149999999906868,2582187.600000000093132,2708669.369999999646097,2631222.000000000000000,10467562.119999999180436
FS( 13 ),2542291.350000000093132,2596383.640000000130385,2721871.649999999906868,2627472.799999999813735,10488019.440000001341105
FS( 14 ),2540695.449999999720603,2594889.319999999832362,2706102.260000000242144,2667375.000000000000000,10509062.029999999329448
FS( 15 ),2542291.350000000093132,2577704.640000000130385,2699134.389999999664724,2687995.600000000093132,10507125.980000000447035
FS( 16 ),2563038.049999999813735,2590406.360000000335276,2720771.459999999962747,2677819.199999999720603,10552035.070000000298023
FS( 17 ),2526332.350000000093132,2596383.640000000130385,2715637.239999999757856,2700850.000000000000000,10539203.230000000447035
FS( 18 ),2519150.799999999813735,2612821.160000000149012,2682998.269999999552965,2666571.599999999627471,10481541.829999998211861
FS( 19 ),2515161.049999999813735,2638224.600000000093132,2678597.510000000242144,2655324.000000000000000,10487307.160000000149012
FS( 20 ),2509575.399999999906868,2650179.160000000149012,2666128.689999999944121,2666303.800000000279397,10492187.050000000745058
FS( 21 ),2525534.399999999906868,2715929.240000000223517,2661727.929999999701977,2701385.600000000093132,10604577.169999999925494
FS( 22 ),2515161.049999999813735,2737596.880000000353903,2649992.569999999832362,2712365.399999999906868,10615115.900000000372529
FS( 23 ),2518352.849999999627471,2726389.480000000447035,2645958.540000000037253,2693887.200000000186265,10584588.070000000298023
FS( 24 ),2537503.649999999906868,2712193.439999999944121,2665395.229999999981374,2701921.200000000186265,10617013.519999999552965
FS( 25 ),2540695.449999999720603,2721906.520000000018626,2655126.790000000037253,2717989.199999999720603,10635717.959999999031425
FS( 26 ),2527130.299999999813735,2720412.199999999720603,2669429.260000000242144,2712365.399999999906868,10629337.160000000149012
FS( 27 ),2523140.549999999813735,2733861.080000000540167,2657693.899999999906868,2704063.600000000093132,10618759.130000000819564
FS( 28 ),2473667.649999999906868,2700238.880000000353903,2618820.519999999552965,2664429.199999999720603,10457156.250000000000000
FS( 29 ),2511171.299999999813735,2680065.560000000055879,2658794.089999999850988,2680497.200000000186265,10530528.149999998509884
FS( 30 ),2540695.449999999720603,2715182.080000000540167,2698767.660000000149012,2728165.600000000093132,10682810.790000000968575
FS( 31 ),2560644.200000000186265,2689778.640000000130385,2685198.649999999906868,2748518.399999999906868,10684139.890000000596046
FS( 32 ),2580592.950000000186265,2675582.600000000093132,2700968.040000000037253,2766996.599999999627471,10724140.190000001341105
FS( 33 ),2476859.449999999720603,2627764.360000000335276,2655126.790000000037253,2735931.799999999813735,10495682.400000000372529
FS( 34 ),2423396.799999999813735,2615809.799999999813735,2658427.359999999869615,2745304.800000000279397,10442938.759999999776483
FS( 35 ),2448133.250000000000000,2609085.360000000335276,2645958.540000000037253,2764318.600000000093132,10467495.750000000000000
FS( 36 ),2495212.299999999813735,2588912.040000000037253,2682998.269999999552965,2787081.599999999627471,10554204.209999999031425
FS( 37 ),2467284.049999999813735,2589659.199999999720603,2666862.149999999906868,2763247.400000000372529,10487052.800000000745058
FS( 38 ),2492818.449999999720603,2593395.000000000000000,2665761.959999999962747,2764318.600000000093132,10516294.009999999776483
FS( 39 ),2508777.450000000186265,2590406.360000000335276,2670529.449999999720603,2767800.000000000000000,10537513.259999999776483
FS( 40 ),2516756.949999999720603,2588912.040000000037253,2670896.179999999701977,2779315.399999999906868,10555880.570000000298023
FS( 41 ),2511969.250000000000000,2594889.319999999832362,2678964.239999999757856,2779047.600000000093132,10564870.410000000149012
FS( 42 ),2552664.699999999720603,2606843.880000000353903,2714170.319999999832362,2777976.399999999906868,10651655.300000000745058
FS( 43 ),2570219.600000000093132,2620292.760000000242144,2742041.799999999813735,2772352.600000000093132,10704906.759999999776483
FS( 44 ),2577401.149999999906868,2621787.080000000540167,2711603.209999999962747,2782529.000000000000000,10693320.440000001341105
FS( 45 ),2523140.549999999813735,2616556.960000000428408,2699501.119999999646097,2758694.800000000279397,10597893.429999999701977
FS( 46 ),2543089.299999999813735,2671846.799999999813735,2691799.790000000037253,2763247.400000000372529,10669983.289999999105930
