代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13636028.030000001192093
真實報酬,3636028.030000001192093

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14878.474280684589758
風險,161145.038315688347211
起點值,0.092329707673265
找到最佳解世代,1975
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
AAPL[0](5),BA[2](12),CAT[3](9),DD[7](1),MRK[17](7),MSFT[18](15),
Stock#,AAPL[0](5),BA[2](12),CAT[3](9),DD[7](1),MRK[17](7),MSFT[18](15),
張數,28509,16143,20148,36012,35981,48505,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,29.859999999869615,62.680000000167638,23.439999999944121,30.639999999897555,26.080000000074506,34.199999999953434,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1704297.879999999888241,1638092.890000000130385,1661830.479999999981374,1663785.040000000037253,1674941.629999999888241,1646293.899999999906868,9989245.820000000298023
FS( 3 ),1713705.849999999860302,1661015.950000000186265,1649137.239999999757856,1663064.799999999813735,1674941.629999999888241,1649689.249999999767169,10011558.719999998807907
FS( 4 ),1700021.530000000027940,1682163.280000000260770,1654980.159999999916181,1676389.239999999757856,1696890.040000000037253,1659390.250000000000000,10069838.500000000000000
FS( 5 ),1690328.469999999739230,1684907.590000000316650,1676337.040000000037253,1696916.079999999841675,1705885.290000000037253,1665210.849999999860302,10119589.319999998435378
FS( 6 ),1720262.919999999925494,1689911.920000000391155,1719252.279999999795109,1744812.040000000037253,1713441.300000000046566,1666180.949999999953434,10253865.410000000149012
FS( 7 ),1713420.760000000009313,1703149.180000000167638,1711797.519999999785796,1732928.079999999841675,1725674.840000000083819,1683157.700000000186265,10270132.080000001937151
FS( 8 ),1740219.219999999739230,1725426.520000000018626,1746855.040000000037253,1753815.040000000037253,1738268.190000000176951,1731177.649999999906868,10435765.660000000149012
FS( 9 ),1737083.229999999748543,1644550.090000000316650,1756324.600000000093132,1749853.719999999972060,1746543.820000000065193,1730207.550000000046566,10364567.009999999776483
FS( 10 ),1740789.399999999906868,1705732.060000000055879,1760958.640000000130385,1764258.520000000018626,1745824.200000000186265,1754460.050000000046566,10472026.870000001043081
FS( 11 ),1752193.000000000000000,1682647.570000000298023,1776472.600000000093132,1742291.199999999953434,1735389.709999999962747,1759310.550000000046566,10448308.630000000819564
FS( 12 ),1752478.089999999850988,1691687.650000000372529,1746250.600000000093132,1781184.159999999916181,1731791.610000000102445,1733602.900000000139698,10436999.009999999776483
FS( 13 ),1758464.979999999748543,1737533.770000000018626,1727110.000000000000000,1773621.639999999897555,1705525.479999999981374,1719051.399999999906868,10421311.269999999552965
FS( 14 ),1730811.250000000000000,1726717.959999999962747,1725699.640000000130385,1777943.079999999841675,1719558.070000000065193,1523091.199999999953434,10203825.199999999254942
