代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13946254.929999999701977
真實報酬,3946254.929999999701977

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,32372.075787920704897
風險,272590.086382285808213
起點值,0.118757348139659
找到最佳解世代,2313
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),INTC[11](4),
FS( 84 ),6383235.069999999366701,6065532.500000000000000,12448767.570000000298023
FS( 85 ),6398418.769999999552965,6138068.750000000000000,12536487.519999999552965
FS( 86 ),6489520.969999999739230,6280640.000000000000000,12770160.969999998807907
FS( 87 ),6542663.919999999925494,6353176.250000000000000,12895840.169999999925494
FS( 88 ),6559365.990000000223517,6315657.500000000000000,12875023.490000000223517
FS( 89 ),6563921.099999999627471,6370685.000000000000000,12934606.099999999627471
FS( 90 ),6609472.200000000186265,6400700.000000000000000,13010172.199999999254942
FS( 91 ),6598843.610000000335276,6453226.250000000000000,13052069.859999999403954
FS( 92 ),6588215.019999999552965,6440720.000000000000000,13028935.019999999552965
FS( 93 ),6606435.459999999962747,6288143.750000000000000,12894579.210000000894070
FS( 94 ),6641357.969999999739230,6263131.250000000000000,12904489.219999998807907
FS( 95 ),6814452.150000000372529,6350675.000000000000000,13165127.150000000372529
FS( 96 ),6894925.759999999776483,6410705.000000000000000,13305630.759999999776483
FS( 97 ),6758272.459999999962747,6598298.750000000000000,13356571.210000000894070
FS( 98 ),6814452.150000000372529,6680840.000000000000000,13495292.150000000372529
FS( 99 ),6826599.110000000335276,6728363.750000000000000,13554962.859999999403954
FS( 100 ),6872150.209999999962747,6728363.750000000000000,13600513.960000000894070
FS( 101 ),6825080.740000000223517,6690845.000000000000000,13515925.740000000223517
FS( 102 ),6812933.779999999329448,6685842.500000000000000,13498776.279999999329448
FS( 103 ),6797750.080000000074506,6688343.750000000000000,13486093.830000000074506
FS( 104 ),6740052.019999999552965,6608303.750000000000000,13348355.769999999552965
FS( 105 ),6752198.979999999515712,6640820.000000000000000,13393018.980000000447035
FS( 106 ),6750680.610000000335276,6625812.500000000000000,13376493.109999999403954
FS( 107 ),6858484.879999999888241,6688343.750000000000000,13546828.629999998956919
FS( 108 ),6863039.990000000223517,6683341.250000000000000,13546381.240000000223517
FS( 109 ),6902517.610000000335276,6663331.250000000000000,13565848.859999999403954
FS( 110 ),6858484.879999999888241,6715857.500000000000000,13574342.379999998956919
FS( 111 ),6873668.580000000074506,6718358.750000000000000,13592027.330000000074506
FS( 112 ),6882778.799999999813735,6678338.750000000000000,13561117.550000000745058
FS( 113 ),6973881.000000000000000,6678338.750000000000000,13652219.750000000000000
FS( 114 ),6993619.810000000521541,6698348.750000000000000,13691968.560000000521541
FS( 115 ),6940476.860000000335276,6648323.750000000000000,13588800.609999999403954
FS( 116 ),6973881.000000000000000,6710855.000000000000000,13684736.000000000000000
FS( 117 ),7092313.860000000335276,6845922.500000000000000,13938236.359999999403954
FS( 118 ),7124199.629999999888241,6793396.250000000000000,13917595.879999998956919
FS( 119 ),7071056.679999999701977,6685842.500000000000000,13756899.179999999701977
FS( 120 ),7128754.740000000223517,6668333.750000000000000,13797088.490000000223517
FS( 121 ),7133309.849999999627471,6678338.750000000000000,13811648.599999999627471
FS( 122 ),7125718.000000000000000,6725862.500000000000000,13851580.500000000000000
FS( 123 ),7171269.099999999627471,6813406.250000000000000,13984675.349999999627471
FS( 124 ),7222893.679999999701977,6723361.250000000000000,13946254.929999999701977
