代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12546653.800000000745058
真實報酬,2546653.800000000745058

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19269.948556992974773
風險,171073.267484100098955
起點值,0.112641494725551
找到最佳解世代,1824
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](12),BA[2](1),UNH[23](4),
Stock#,AAPL[0](12),BA[2](1),UNH[23](4),
張數,53112,36557,55816,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,23.879999999888241,65.739999999757856,1.479999999981374,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3380602.679999999701977,3370986.709999999497086,3319937.159999999683350,10071527.549999998882413
FS( 3 ),3414063.239999999757856,3426918.919999999459833,3288680.200000000186265,10129663.359999999403954
FS( 4 ),3495855.719999999739230,3443369.569999999832362,3360124.680000000167638,10299350.969999998807907
FS( 5 ),3479922.119999999646097,3465303.770000000018626,3376869.479999999981374,10322096.369999999180436
FS( 6 ),3519225.000000000000000,3437886.020000000018626,3489059.639999999664724,10446171.660000000149012
FS( 7 ),3465581.879999999888241,3458723.509999999776483,3461151.639999999664724,10385458.029999999329448
FS( 8 ),3436901.399999999441206,3445197.419999999459833,3511386.039999999571592,10393485.859999997541308
FS( 9 ),3450179.399999999441206,3464207.060000000055879,3482361.720000000204891,10396749.179999999701977
FS( 10 ),3367855.799999999813735,3513559.009999999776483,3445523.159999999683350,10326938.969999998807907
FS( 11 ),3253665.000000000000000,3546825.879999999422580,3438825.239999999757856,10239317.119999999180436
FS( 12 ),3297216.839999999850988,3530740.799999999813735,3468407.720000000204891,10296366.359999999403954
FS( 13 ),3287125.560000000055879,3616284.179999999701977,3507478.920000000391155,10410889.660000000149012
FS( 14 ),3360951.239999999757856,3608972.779999999795109,3491850.439999999944121,10461775.459999999031425
FS( 15 ),3335988.600000000093132,3610069.489999999757856,3509153.399999999906868,10455212.490000000223517
FS( 16 ),3348735.479999999515712,3580092.750000000000000,3476221.959999999962747,10405051.189999999478459
FS( 17 ),3354577.799999999813735,3646626.489999999757856,3480687.239999999757856,10481892.529999999329448
FS( 18 ),3377415.959999999962747,3655765.739999999757856,3463942.439999999944121,10497125.139999998733401
FS( 19 ),3349266.600000000093132,3659787.009999999776483,3535386.920000000391155,10544441.529999999329448
FS( 20 ),3375822.600000000093132,3622498.870000000111759,3535945.080000000074506,10534267.550000000745058
FS( 21 ),3426279.000000000000000,3675506.520000000018626,3609064.039999999571592,10710850.559999998658895
FS( 22 ),3412469.879999999888241,3619939.879999999422580,3495757.560000000055879,10528168.320000000298023
FS( 23 ),3419905.560000000055879,3682817.919999999459833,3505246.279999999795109,10607970.759999999776483
FS( 24 ),3409283.159999999683350,3641508.509999999776483,3480687.239999999757856,10531479.910000000149012
FS( 25 ),3377415.959999999962747,3600564.669999999459833,3446639.479999999981374,10424621.109999999403954
FS( 26 ),3326959.560000000055879,3646992.060000000055879,3456128.200000000186265,10430080.820000000298023
