代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12269694.109999999403954
真實報酬,2269694.109999999403954

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17781.554926340319071
風險,96077.741061468914268
起點值,0.185074656521785
找到最佳解世代,2617
找到最佳解實驗#,1
找到最佳解次數,24

stock[index](rank)
投資組合檔數,6
DIS[6](8),HD[9](7),NKE[19](1),PFE[20](11),V[25](2),VZ[26](9),
FS( 34 ),1762618.240000000223517,1786478.770000000018626,1843931.439999999944121,1698049.660000000149012,1829114.580000000074506,1691050.600000000093132,10611247.290000000968575
FS( 35 ),1755692.110000000335276,1806624.279999999795109,1853808.399999999674037,1694721.090000000316650,1829114.580000000074506,1687163.200000000186265,10627127.660000000149012
FS( 36 ),1757888.200000000186265,1829468.709999999729916,1855367.919999999925494,1702329.250000000000000,1839390.790000000037253,1711547.800000000046566,10695996.670000001788139
FS( 37 ),1758057.129999999888241,1801322.829999999841675,1853548.479999999981374,1698525.170000000158325,1840094.640000000130385,1724977.000000000232831,10676529.250000000000000
FS( 38 ),1738123.390000000130385,1799395.029999999795109,1854328.239999999990687,1710412.920000000158325,1856564.729999999981374,1717202.200000000186265,10676030.510000001639128
FS( 39 ),1724946.850000000093132,1804021.750000000000000,1876161.520000000251457,1706608.840000000316650,1856705.499999999767169,1718969.200000000186265,10687417.660000000149012
FS( 40 ),1726467.220000000204891,1801130.049999999813735,1877980.959999999962747,1696623.130000000121072,1848118.530000000027940,1714728.400000000139698,10665052.290000000968575
FS( 41 ),1684065.790000000037253,1783297.899999999906868,1843411.600000000093132,1697574.150000000372529,1825736.099999999860302,1703419.600000000093132,10537509.140000000596046
FS( 42 ),1688964.760000000242144,1803443.409999999916181,1877461.120000000111759,1714217.000000000000000,1839109.249999999767169,1717555.600000000093132,10640755.139999998733401
FS( 43 ),1680349.330000000074506,1798238.350000000093132,1866284.559999999823049,1708510.880000000121072,1840235.409999999916181,1684689.400000000139698,10578311.929999999701977
FS( 44 ),1678491.100000000093132,1805949.549999999813735,1891236.880000000121072,1723727.200000000186265,1842065.419999999925494,1689637.000000000232831,10631111.150000000372529
FS( 45 ),1693356.939999999944121,1844601.939999999944121,1919048.319999999832362,1733237.400000000372529,1873316.359999999869615,1689990.400000000139698,10753555.359999999403954
FS( 46 ),1688289.040000000037253,1850192.559999999823049,1924766.559999999823049,1732761.890000000130385,1880214.090000000083819,1695291.400000000139698,10771519.539999999105930
FS( 47 ),1721568.250000000000000,1866096.909999999916181,1942960.959999999962747,1729908.830000000307336,1918503.530000000027940,1710841.000000000000000,10889883.480000000447035
FS( 48 ),1731028.330000000074506,1890965.529999999795109,1943220.880000000121072,1735139.440000000176951,1884155.649999999906868,1732045.000000000000000,10916558.830000000074506
FS( 49 ),1756536.760000000242144,1911785.770000000018626,1946859.760000000009313,1743698.620000000344589,1896824.950000000186265,1738052.800000000046566,10993762.660000000149012
FS( 50 ),1762787.169999999925494,1924412.859999999869615,1938802.239999999990687,1726104.750000000000000,1885141.040000000037253,1742293.600000000093132,10979545.659999998286366
FS( 51 ),1762449.310000000055879,1940509.989999999990687,1931004.640000000130385,1726104.750000000000000,1898514.190000000176951,1724977.000000000232831,10983563.879999998956919
FS( 52 ),1795897.450000000186265,1930870.989999999990687,1926326.079999999841675,1722300.670000000158325,1892038.770000000018626,1675147.600000000093132,10942585.560000000521541
FS( 53 ),1837116.370000000111759,1924702.029999999795109,1941661.360000000102445,1719447.610000000102445,1900484.969999999972060,1689990.400000000139698,11013406.740000000223517
FS( 54 ),1838805.669999999925494,1933087.959999999729916,1971292.239999999990687,1728957.810000000055879,1901892.669999999925494,1698472.000000000232831,11072512.349999999627471
FS( 55 ),1808567.200000000186265,1934533.809999999823049,1965314.079999999841675,1719447.610000000102445,1917377.369999999878928,1677268.000000000232831,11022512.070000000298023
FS( 56 ),1792349.919999999925494,1920268.090000000083819,1930224.880000000121072,1722300.670000000158325,1902033.440000000176951,1714021.600000000093132,10981202.599999999627471
FS( 57 ),1810087.570000000298023,1919015.020000000018626,1942181.199999999953434,1733712.910000000149012,1907523.469999999972060,1699532.200000000186265,11012056.370000001043081
FS( 58 ),1788802.390000000130385,1930870.989999999990687,1921907.439999999944121,1726104.750000000000000,1893868.780000000027940,1718615.800000000279397,10980174.150000000372529
FS( 59 ),1796404.240000000223517,1902917.889999999897555,1908651.520000000251457,1736090.460000000195578,1905130.380000000121072,1758550.000000000000000,11007748.490000000223517
FS( 60 ),1764476.470000000204891,1892989.719999999972060,1880580.159999999916181,1729908.830000000307336,1843191.580000000074506,1752895.600000000093132,10864046.360000001266599
FS( 61 ),1761266.800000000279397,1892796.939999999944121,1886038.479999999981374,1729908.830000000307336,1865996.320000000065193,1742293.600000000093132,10878304.970000000670552
FS( 62 ),1756198.899999999906868,1879880.679999999934807,1854588.159999999916181,1721825.160000000149012,1844458.510000000009313,1742647.000000000232831,10799602.410000000149012
FS( 63 ),1769882.229999999981374,1881712.090000000083819,1863685.360000000102445,1728957.810000000055879,1868670.950000000186265,1797424.000000000000000,10910336.440000001341105
FS( 64 ),1770557.950000000186265,1880651.799999999813735,2071101.520000000251457,1725153.730000000214204,1864588.619999999878928,1777987.000000000232831,11090044.620000001043081
FS( 65 ),1779342.310000000055879,1870241.679999999934807,2036532.159999999916181,1727531.280000000027940,1865292.469999999972060,1781874.400000000139698,11060818.300000000745058
FS( 66 ),1757550.340000000316650,1866386.079999999841675,1982728.719999999972060,1728482.300000000279397,1850511.619999999878928,1791769.600000000093132,10977432.659999998286366
FS( 67 ),1779511.240000000223517,1874000.889999999897555,1989746.559999999823049,1753208.820000000065193,1876413.299999999813735,1812266.800000000046566,11085151.609999999403954
FS( 68 ),1770051.160000000149012,1874675.619999999878928,1987927.120000000111759,1764621.060000000055879,1887674.899999999906868,1819334.800000000046566,11104288.660000002011657
FS( 69 ),1790998.479999999981374,1890098.020000000018626,2008720.719999999972060,1766998.610000000102445,1907805.010000000009313,1793183.200000000186265,11157808.039999999105930
FS( 70 ),1791167.410000000149012,1904845.689999999944121,2016258.399999999674037,1779837.380000000121072,1924275.099999999860302,1814387.200000000186265,11230775.179999999701977
FS( 71 ),1825122.340000000316650,1898483.949999999720603,2010800.079999999841675,1769376.160000000149012,1944827.520000000018626,1814387.200000000186265,11263001.250000000000000
FS( 72 ),1828669.870000000111759,1908122.949999999720603,2011060.000000000000000,1784116.970000000437722,1969462.270000000018626,1810853.200000000186265,11312289.260000001639128
FS( 73 ),1858232.620000000111759,1915255.809999999823049,2011319.919999999925494,1784592.480000000214204,1962705.309999999823049,1816861.000000000000000,11348971.140000000596046
FS( 74 ),1861611.220000000204891,1917087.219999999972060,2020936.959999999962747,1777459.830000000307336,1949191.390000000130385,1823222.200000000186265,11349512.820000000298023
FS( 75 ),1863300.520000000018626,1938485.799999999813735,2013659.199999999953434,1790298.600000000093132,1965802.249999999767169,1817567.800000000046566,11389118.169999999925494
FS( 76 ),1869888.790000000037253,1937232.729999999981374,1990786.239999999990687,1790774.110000000102445,1983539.270000000018626,1807319.200000000186265,11379544.339999999850988
FS( 77 ),1894214.709999999962747,1953233.469999999972060,2000143.360000000102445,1776508.810000000055879,1972699.979999999981374,1793536.600000000093132,11390340.929999999701977
FS( 78 ),1883234.260000000242144,1951498.449999999720603,2000403.279999999795109,1775082.280000000027940,1984806.200000000186265,1788942.399999999906868,11383970.870000001043081
FS( 79 ),1876645.990000000223517,1949377.869999999878928,1990786.239999999990687,1769376.160000000149012,1971292.280000000027940,1793536.600000000093132,11351019.140000000596046
FS( 80 ),1870057.720000000204891,1947064.510000000009313,1963234.719999999972060,1792676.150000000372529,1971292.280000000027940,1820395.000000000000000,11364724.380000000819564
FS( 81 ),1878166.360000000335276,1937521.899999999906868,2005601.679999999934807,1806465.940000000176951,2008033.249999999767169,1799191.000000000000000,11434984.130000000819564
FS( 82 ),1917527.050000000279397,1922099.500000000000000,2031333.760000000009313,1814549.610000000102445,2006062.469999999972060,1808732.800000000046566,11500309.190000001341105
FS( 83 ),1902492.280000000260770,1900315.359999999869615,1998583.840000000083819,1826437.360000000102445,1980864.640000000130385,1838065.000000000000000,11446762.480000000447035
FS( 84 ),1902661.209999999962747,1901664.819999999832362,1974411.279999999795109,1834996.540000000270084,1921318.929999999934807,1855028.200000000186265,11390084.980000000447035
FS( 85 ),1918371.700000000186265,1903978.179999999934807,1999103.679999999934807,1898714.880000000121072,1924978.950000000186265,1824989.200000000186265,11470140.589999999850988
FS( 86 ),1908404.830000000074506,1892218.600000000093132,2015478.640000000130385,1914882.220000000437722,1946235.219999999972060,1828169.800000000046566,11505393.310000002384186
FS( 87 ),1904688.370000000111759,1886049.639999999897555,2044329.760000000009313,1885400.600000000093132,1955666.809999999823049,1837004.800000000046566,11513143.980000000447035
FS( 88 ),1927324.990000000223517,1885856.859999999869615,2046669.039999999804422,1927720.990000000223517,1968336.109999999869615,1847253.400000000139698,11603165.390000000596046
FS( 89 ),1958577.040000000037253,1886338.809999999823049,2066682.880000000121072,1951496.490000000223517,1966787.640000000130385,1854674.800000000046566,11684561.660000000149012
FS( 90 ),1969050.700000000186265,1899447.850000000093132,2093194.719999999972060,1941986.290000000270084,1974811.530000000027940,1853968.000000000232831,11732463.089999999850988
FS( 91 ),1925466.760000000242144,1908797.679999999934807,2092414.959999999962747,1969090.360000000102445,1980442.330000000074506,1862449.600000000093132,11738665.689999999478459
FS( 92 ),1928507.500000000000000,1909376.020000000018626,2112168.879999999888241,1949594.450000000186265,1971010.739999999757856,1873405.000000000000000,11744066.589999999850988
FS( 93 ),1903505.860000000335276,1892218.600000000093132,2098393.120000000111759,1946265.880000000121072,1967069.179999999934807,1854321.400000000139698,11661778.040000000968575
FS( 94 ),1894045.780000000260770,1871398.359999999869615,2083317.760000000009313,1940559.760000000242144,1973826.140000000130385,1845486.400000000139698,11608638.200000001117587
FS( 95 ),1904688.370000000111759,1861373.799999999813735,2083057.840000000083819,1935804.660000000149012,1981568.489999999757856,1868457.399999999906868,11634954.560000000521541
FS( 96 ),1906377.669999999925494,1869952.510000000009313,2068242.399999999674037,1957202.610000000102445,1969743.809999999823049,1881533.200000000186265,11653056.199999999254942
FS( 97 ),1900127.260000000242144,1883447.109999999869615,2080718.559999999823049,1969565.870000000344589,1980020.020000000018626,1917933.400000000139698,11731816.220000000670552
FS( 98 ),1900127.260000000242144,1885085.739999999990687,2072920.959999999962747,2001425.040000000270084,1989592.380000000121072,1936310.199999999953434,11785465.580000000074506
FS( 99 ),1891849.689999999944121,1907930.169999999925494,2136081.520000000018626,2012837.280000000027940,1984102.349999999860302,1931362.600000000093132,11864167.609999999403954
FS( 100 ),1898606.890000000130385,1930099.869999999878928,2156095.359999999869615,2004753.610000000102445,1971433.049999999813735,1940551.000000000000000,11901543.779999999329448
FS( 101 ),1891005.040000000037253,1917954.729999999981374,2148037.839999999850988,2000474.020000000251457,1986917.749999999767169,1913339.200000000186265,11857732.579999998211861
FS( 102 ),1892018.620000000111759,1929425.139999999897555,2155055.679999999701977,2006655.650000000372529,2000431.669999999925494,1918286.800000000046566,11901877.560000000521541
FS( 103 ),1890836.110000000335276,1940413.600000000093132,2143099.359999999869615,2016165.850000000093132,2029993.369999999878928,1935956.800000000046566,11956469.089999999850988
FS( 104 ),1897593.310000000055879,1946968.119999999878928,2148297.760000000242144,1977174.030000000027940,2046885.770000000018626,1938430.600000000093132,11955353.589999999850988
FS( 105 ),1901816.560000000055879,1946871.729999999981374,2146478.319999999832362,1973369.950000000186265,2044070.369999999878928,1931362.600000000093132,11943973.529999999329448
FS( 106 ),1899620.470000000204891,1944076.419999999925494,2151936.640000000130385,1973369.950000000186265,2069831.280000000027940,1928535.400000000139698,11967374.160000000149012
FS( 107 ),1890667.180000000167638,1920750.039999999804422,2115807.760000000242144,1973369.950000000186265,2065748.950000000186265,1934896.600000000093132,11901244.480000000447035
FS( 108 ),1892356.479999999981374,1935304.929999999934807,2136601.359999999869615,1974320.970000000437722,2067860.499999999767169,1921467.399999999906868,11927915.640000000596046
FS( 109 ),1872591.669999999925494,1976849.020000000018626,2069022.159999999916181,1967188.320000000065193,2080670.570000000065193,1879766.199999999953434,11846091.939999999478459
FS( 110 ),1856036.530000000260770,1967884.750000000000000,2077339.600000000093132,1990012.800000000279397,2008455.559999999823049,1902030.400000000139698,11801763.640000002458692
FS( 111 ),1862624.800000000279397,1984656.609999999869615,2089815.760000000009313,1986684.230000000214204,2034216.469999999972060,1918640.199999999953434,11876642.070000000298023
FS( 112 ),1874618.830000000074506,1987933.869999999878928,2087216.559999999823049,2006655.650000000372529,2015916.369999999878928,1908391.600000000093132,11880736.879999998956919
FS( 113 ),1869719.860000000335276,2030923.809999999823049,2134002.159999999683350,1999998.510000000242144,2028304.130000000121072,1912632.399999999906868,11975584.870000001043081
FS( 114 ),1851475.419999999925494,2061383.049999999813735,2147777.919999999925494,2011886.260000000242144,2048152.700000000186265,1933836.400000000139698,12054515.750000001862645
FS( 115 ),1849110.399999999906868,2043358.119999999878928,2157394.959999999962747,2016641.360000000102445,2063355.859999999869615,1942671.400000000139698,12072536.099999999627471
FS( 116 ),1869550.930000000167638,2018971.449999999720603,2169611.199999999720603,2037563.800000000279397,2078277.479999999981374,1941611.199999999953434,12115590.060000000521541
FS( 117 ),1845731.800000000279397,2015308.629999999888241,2170131.040000000037253,2042794.410000000149012,2081233.649999999906868,1927828.600000000093132,12083032.130000000819564
FS( 118 ),1847421.100000000093132,2008850.500000000000000,2164152.879999999888241,2045171.960000000195578,2057865.830000000074506,1933129.600000000093132,12056595.869999999180436
FS( 119 ),1850292.910000000149012,2034104.679999999934807,2216136.879999999888241,2068947.460000000195578,2078277.479999999981374,1922174.200000000186265,12169937.609999999403954
FS( 120 ),1854685.090000000316650,2040466.419999999925494,2194563.520000000018626,2057059.710000000195578,2075321.309999999823049,1890721.600000000093132,12112821.650000000372529
FS( 121 ),1885599.280000000260770,2034490.239999999990687,2218996.000000000000000,2080359.700000000186265,2100941.450000000186265,1906624.600000000093132,12227015.270000001415610
FS( 122 ),1864989.820000000298023,2047310.109999999869615,2223674.560000000055879,2095100.510000000242144,2112343.820000000298023,1923234.400000000139698,12266657.220000000670552
FS( 123 ),1905026.229999999981374,2004898.510000000009313,2190404.799999999813735,2088918.880000000121072,2099111.440000000409782,1892135.199999999953434,12180499.059999998658895
FS( 124 ),1919554.209999999962747,1999789.840000000083819,2203920.640000000130385,2082261.740000000223517,2105727.629999999888241,1874818.600000000093132,12186076.659999998286366
FS( 125 ),1946245.149999999906868,2000368.179999999934807,2175589.359999999869615,2077031.130000000121072,2101363.759999999776483,1877999.200000000186265,12178600.779999997466803
FS( 126 ),1960266.340000000316650,1993813.659999999916181,2197422.640000000130385,2087492.350000000093132,2111921.509999999776483,1893902.200000000186265,12244822.699999999254942
FS( 127 ),1975470.040000000037253,1996801.750000000000000,2202101.199999999720603,2095576.020000000251457,2112906.900000000372529,1886834.200000000186265,12269694.109999999403954
