代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11617316.300000000745058
真實報酬,1617316.300000000745058

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17043.653370453313983
風險,145479.696525400329847
起點值,0.117154859251975
找到最佳解世代,2067
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](5),MRK[17](18),UNH[23](2),WBA[27](1),
Stock#,DIS[6](5),MRK[17](18),UNH[23](2),WBA[27](1),
張數,27259,42430,26354,38473,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,77.110000000335276,24.399999999906868,59.560000000055879,24.459999999962747,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2462927.760000000242144,2519093.500000000000000,2503162.479999999981374,2510002.979999999981374,9995186.720000000670552
FS( 3 ),2480646.110000000335276,2527579.500000000000000,2524772.759999999776483,2526161.639999999664724,10059160.009999999776483
FS( 4 ),2507905.110000000335276,2514426.199999999720603,2535577.899999999906868,2564249.910000000149012,10122159.120000001043081
FS( 5 ),2453387.110000000335276,2517820.600000000093132,2467057.500000000000000,2574637.620000000111759,10012902.830000001937151
FS( 6 ),2447390.130000000353903,2495332.700000000186265,2497101.060000000055879,2607724.399999999906868,10047548.290000000968575
FS( 7 ),2452841.930000000633299,2519093.500000000000000,2521873.819999999832362,2596951.959999999962747,10090761.210000000894070
FS( 8 ),2450661.210000000428408,2516547.700000000186265,2521610.280000000260770,2594643.580000000074506,10083462.769999999552965
FS( 9 ),2466744.020000000018626,2526306.600000000093132,2527408.160000000149012,2576176.539999999571592,10096635.320000000298023
FS( 10 ),2475194.310000000055879,2506364.500000000000000,2506588.500000000000000,2575022.350000000093132,10063169.660000000149012
FS( 11 ),2464563.300000000279397,2522912.199999999720603,2542429.939999999944121,2560402.609999999869615,10090308.049999998882413
