代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11766252.660000000149012
真實報酬,1766252.660000000149012

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14642.464450886325722
風險,138149.036814761988353
起點值,0.105990347732353
找到最佳解世代,2423
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
TRV[22](4),WMT[28](3),
Stock#,TRV[22](4),WMT[28](3),
張數,84274,81486,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,23.580000000074506,19.040000000037253,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4995786.299999999813735,4942144.939999999478459,9937931.239999998360872
FS( 3 ),4990729.860000000335276,4910365.399999999441206,9901095.259999999776483
FS( 4 ),4962076.700000000186265,4943774.660000000149012,9905851.359999999403954
FS( 5 ),4892129.280000000260770,4899772.220000000670552,9791901.500000000000000
FS( 6 ),4866847.080000000074506,4883475.019999999552965,9750322.099999999627471
FS( 7 ),4902242.160000000149012,4872881.839999999850988,9775124.000000000000000
FS( 8 ),4980616.980000000447035,4900587.080000000074506,9881204.060000000521541
FS( 9 ),4898028.459999999962747,4870437.260000000707805,9768465.720000000670552
FS( 10 ),4985673.419999999925494,4936440.919999999925494,9922114.339999999850988
FS( 11 ),5055620.839999999850988,5041557.859999999403954,10097178.699999999254942
FS( 12 ),5011798.360000000335276,5057040.200000000186265,10068838.560000000521541
FS( 13 ),5199729.379999999888241,5031779.540000000037253,10231508.919999999925494
FS( 14 ),5288217.080000000074506,5088819.740000000223517,10377036.820000000298023
FS( 15 ),5301700.919999999925494,4851695.479999999515712,10153396.399999998509884
FS( 16 ),5340466.959999999962747,4707465.260000000707805,10047932.220000000670552
FS( 17 ),5375019.299999999813735,4674056.000000000000000,10049075.300000000745058
FS( 18 ),5458450.559999999590218,4803618.740000000223517,10262069.300000000745058
FS( 19 ),5394402.320000000298023,4810137.620000000111759,10204539.940000001341105
FS( 20 ),5420527.259999999776483,4800359.299999999813735,10220886.559999998658895
FS( 21 ),5444123.979999999515712,4813397.060000000521541,10257521.039999999105930
FS( 22 ),5455922.339999999850988,4808507.899999999441206,10264430.239999998360872
FS( 23 ),5456765.080000000074506,4806878.180000000633299,10263643.260000001639128
FS( 24 ),5435696.580000000074506,4783247.240000000223517,10218943.820000000298023
FS( 25 ),5443281.240000000223517,4823175.379999999888241,10266456.620000001043081
FS( 26 ),5426426.440000000409782,4811767.339999999850988,10238193.780000001192093
FS( 27 ),5386817.660000000149012,4810137.620000000111759,10196955.280000001192093
FS( 28 ),5447494.940000000409782,4823175.379999999888241,10270670.320000000298023
FS( 29 ),5445809.460000000894070,4841917.160000000149012,10287726.620000001043081
FS( 30 ),5434011.100000000558794,4813397.060000000521541,10247408.160000000149012
FS( 31 ),5406200.680000000633299,4836213.140000000596046,10242413.820000000298023
FS( 32 ),5360692.719999999739230,4823175.379999999888241,10183868.099999999627471
FS( 33 ),5284003.379999999888241,5026075.519999999552965,10310078.899999998509884
FS( 34 ),5240180.900000000372529,5087190.019999999552965,10327370.919999999925494
FS( 35 ),5284003.379999999888241,5136896.479999999515712,10420899.859999999403954
FS( 36 ),5294116.259999999776483,5193121.819999999366701,10487238.079999998211861
FS( 37 ),5294116.259999999776483,5193121.819999999366701,10487238.079999998211861
FS( 38 ),5325297.639999999664724,5302313.059999999590218,10627610.699999999254942
FS( 39 ),5275575.980000000447035,5321869.700000000186265,10597445.679999999701977
FS( 40 ),5299172.700000000186265,5352019.520000000484288,10651192.220000000670552
FS( 41 ),5215741.440000000409782,5332462.879999999888241,10548204.320000000298023
FS( 42 ),5266305.839999999850988,5363427.559999999590218,10629733.399999998509884
FS( 43 ),5105342.500000000000000,5341426.339999999850988,10446768.839999999850988
FS( 44 ),5088487.700000000186265,5377280.179999999701977,10465767.879999998956919
FS( 45 ),5123882.780000000260770,5337352.040000000037253,10461234.820000000298023
FS( 46 ),5194672.940000000409782,5372391.020000000484288,10567063.960000000894070
FS( 47 ),5217426.919999999925494,5367501.860000000335276,10584928.780000001192093
FS( 48 ),5236809.940000000409782,5558993.959999999962747,10795803.900000000372529
FS( 49 ),5187931.020000000484288,5502768.620000000111759,10690699.640000000596046
FS( 50 ),5219955.139999999664724,5518250.959999999962747,10738206.099999999627471
FS( 51 ),5195515.679999999701977,5465285.059999999590218,10660800.739999998360872
FS( 52 ),5319398.459999999962747,5510917.219999999739230,10830315.679999999701977
FS( 53 ),5343837.919999999925494,5520695.540000000037253,10864533.460000000894070
FS( 54 ),5315184.759999999776483,5550845.360000000335276,10866030.120000001043081
FS( 55 ),5347208.879999999888241,5525584.700000000186265,10872793.580000000074506
FS( 56 ),5380918.480000000447035,5583439.759999999776483,10964358.240000000223517
FS( 57 ),5273890.500000000000000,5516621.240000000223517,10790511.740000000223517
FS( 58 ),5338781.480000000447035,5484026.839999999850988,10822808.320000000298023
FS( 59 ),5237652.679999999701977,5555734.520000000484288,10793387.199999999254942
FS( 60 ),5237652.679999999701977,5588328.919999999925494,10825981.599999999627471
FS( 61 ),5294959.000000000000000,5589143.780000000260770,10884102.780000001192093
FS( 62 ),5296644.480000000447035,5565512.839999999850988,10862157.320000000298023
FS( 63 ),5380075.740000000223517,5681222.959999999962747,11061298.699999999254942
FS( 64 ),5386817.660000000149012,5651073.139999999664724,11037890.800000000745058
FS( 65 ),5404515.199999999254942,5765153.540000000037253,11169668.739999998360872
FS( 66 ),5390188.620000000111759,5792043.919999999925494,11182232.539999999105930
FS( 67 ),5331196.820000000298023,5814860.000000000000000,11146056.820000000298023
FS( 68 ),5315184.759999999776483,5847454.400000000372529,11162639.160000000149012
FS( 69 ),5326983.120000000111759,5875974.500000000000000,11202957.620000001043081
FS( 70 ),5269676.799999999813735,5888197.400000000372529,11157874.199999999254942
FS( 71 ),5245237.339999999850988,5892271.700000000186265,11137509.039999999105930
FS( 72 ),5320241.200000000186265,5963164.520000000484288,11283405.720000000670552
FS( 73 ),5271362.280000000260770,5946867.320000000298023,11218229.600000001490116
FS( 74 ),5335410.520000000484288,5956645.639999999664724,11292056.160000000149012
FS( 75 ),5393559.580000000074506,5936274.139999999664724,11329833.719999998807907
FS( 76 ),5367434.639999999664724,5828712.620000000111759,11196147.259999999776483
FS( 77 ),5284846.120000000111759,5887382.540000000037253,11172228.660000000149012
FS( 78 ),5203100.339999999850988,5854788.139999999664724,11057888.480000000447035
FS( 79 ),5131467.440000000409782,5878419.080000000074506,11009886.519999999552965
FS( 80 ),5139052.099999999627471,5873529.919999999925494,11012582.019999999552965
FS( 81 ),5192144.719999999739230,6003092.660000000149012,11195237.379999998956919
FS( 82 ),5285688.860000000335276,6072355.759999999776483,11358044.620000001043081
FS( 83 ),5326983.120000000111759,6109839.320000000298023,11436822.440000001341105
FS( 84 ),5279789.679999999701977,6065022.020000000484288,11344811.699999999254942
FS( 85 ),5338781.480000000447035,5999018.360000000335276,11337799.839999999850988
FS( 86 ),5298329.959999999962747,6034057.339999999850988,11332387.300000000745058
FS( 87 ),5369120.120000000111759,6074800.339999999850988,11443920.460000000894070
FS( 88 ),5353108.060000000521541,6052799.120000000111759,11405907.179999999701977
FS( 89 ),5340466.959999999962747,6029168.179999999701977,11369635.140000000596046
FS( 90 ),5377547.520000000484288,6055243.700000000186265,11432791.220000000670552
FS( 91 ),5384289.440000000409782,6017760.139999999664724,11402049.580000000074506
FS( 92 ),5391874.099999999627471,6003907.520000000484288,11395781.620000001043081
FS( 93 ),5370805.599999999627471,5981091.440000000409782,11351897.039999999105930
FS( 94 ),5354793.540000000037253,6030797.900000000372529,11385591.440000001341105
FS( 95 ),5372491.080000000074506,6066651.740000000223517,11439142.820000000298023
FS( 96 ),5396087.799999999813735,5879233.940000000409782,11275321.740000000223517
FS( 97 ),5488789.199999999254942,5866196.179999999701977,11354985.379999998956919
FS( 98 ),5531768.940000000409782,5891456.839999999850988,11423225.780000001192093
FS( 99 ),5497216.600000000558794,5820564.020000000484288,11317780.620000001043081
FS( 100 ),5515756.879999999888241,5848269.259999999776483,11364026.140000000596046
FS( 101 ),5460978.780000000260770,5831157.200000000186265,11292135.980000000447035
FS( 102 ),5511543.180000000633299,5875974.500000000000000,11387517.679999999701977
FS( 103 ),5493002.900000000372529,5907754.040000000037253,11400756.940000001341105
FS( 104 ),5464349.740000000223517,5900420.299999999813735,11364770.039999999105930
FS( 105 ),5460978.780000000260770,5929755.259999999776483,11390734.039999999105930
FS( 106 ),5434853.839999999850988,5887382.540000000037253,11322236.379999998956919
FS( 107 ),5455922.339999999850988,5915902.639999999664724,11371824.980000000447035
FS( 108 ),5447494.940000000409782,5990054.900000000372529,11437549.839999999850988
FS( 109 ),5438224.799999999813735,5993314.339999999850988,11431539.140000000596046
FS( 110 ),5506486.740000000223517,6095986.700000000186265,11602473.440000001341105
FS( 111 ),5495531.119999999180436,6015315.559999999590218,11510846.679999999701977
FS( 112 ),5503958.520000000484288,5990054.900000000372529,11494013.420000001788139
FS( 113 ),5642167.879999999888241,6034872.200000000186265,11677040.080000000074506
FS( 114 ),5691889.540000000968575,6035687.059999999590218,11727576.600000001490116
FS( 115 ),5768578.879999999888241,6122877.080000000074506,11891455.960000000894070
FS( 116 ),5779534.500000000000000,6070726.040000000037253,11850260.539999999105930
FS( 117 ),5771107.100000000558794,6029168.179999999701977,11800275.280000001192093
FS( 118 ),5769421.619999999180436,6025908.740000000223517,11795330.359999999403954
FS( 119 ),5750038.600000000558794,6060132.860000000335276,11810171.460000000894070
FS( 120 ),5768578.879999999888241,6091097.540000000037253,11859676.419999999925494
FS( 121 ),5782062.719999999739230,6066651.740000000223517,11848714.460000000894070
FS( 122 ),5766050.660000000149012,6090282.679999999701977,11856333.339999999850988
FS( 123 ),5771107.100000000558794,6051169.400000000372529,11822276.500000000000000
FS( 124 ),5712115.299999999813735,6045465.379999999888241,11757580.679999999701977
FS( 125 ),5765207.919999999925494,6028353.320000000298023,11793561.240000000223517
FS( 126 ),5752566.820000000298023,6013685.839999999850988,11766252.660000000149012
