代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11454102.519999999552965
真實報酬,1454102.519999999552965

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12766.527751558489399
風險,132318.754681395250373
起點值,0.096483131074642
找到最佳解世代,1530
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](1),IBM[10](14),MRK[17](20),UNH[23](2),WBA[27](3),
Stock#,DIS[6](1),IBM[10](14),MRK[17](20),UNH[23](2),WBA[27](3),
張數,21574,12380,33046,20189,29511,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,90.199999999953434,134.800000000046566,56.079999999841675,77.659999999916181,39.530000000027940,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2016611.979999999981374,2013989.399999999906868,2008591.959999999962747,2015545.529999999795109,1969898.780000000027940,10024637.649999998509884
FS( 3 ),2008845.339999999850988,2036892.400000000139698,2001982.759999999776483,2035128.859999999869615,1988490.709999999962747,10071340.070000000298023
FS( 4 ),2011434.219999999972060,2031073.800000000279397,2013218.399999999906868,2012315.290000000037253,2003836.430000000167638,10071878.140000000596046
FS( 5 ),2022868.440000000176951,2021417.400000000139698,2032054.619999999878928,2025640.029999999795109,2024494.129999999888241,10126474.620000001043081
FS( 6 ),2023731.399999999906868,2003961.600000000325963,2044942.559999999823049,2017362.540000000037253,1998819.560000000055879,10088817.660000000149012
FS( 7 ),2005177.760000000009313,2017951.000000000232831,1983146.539999999804422,2039570.439999999944121,2024199.020000000018626,10070044.759999999776483
FS( 8 ),1976915.819999999832362,1987248.599999999860302,1982155.159999999683350,2000605.669999999925494,2011214.180000000167638,9958139.429999999701977
FS( 9 ),1979504.699999999953434,1994181.399999999906868,1961005.719999999972060,2013526.629999999888241,2154637.640000000596046,10102856.089999999850988
FS( 10 ),1973895.459999999729916,1923739.199999999953434,1907471.199999999720603,1993943.300000000046566,2198609.030000000260770,9997658.189999999478459
FS( 11 ),1961166.800000000046566,1895017.600000000093132,1882025.780000000027940,1984050.689999999944121,2167327.370000000111759,9889588.240000002086163
FS( 12 ),1945417.780000000027940,1874590.600000000093132,1877068.879999999655411,1935193.309999999823049,2136340.820000000298023,9768611.390000000596046
FS( 13 ),1971522.319999999832362,1881028.200000000186265,1904497.059999999823049,2001615.119999999878928,2124536.419999999925494,9883199.120000001043081
FS( 14 ),1998058.339999999850988,1952213.200000000186265,1949109.159999999683350,2064201.019999999785796,2195067.709999999962747,10158649.429999999701977
FS( 15 ),2004099.060000000055879,1962488.599999999860302,1968936.759999999776483,2069248.269999999785796,2161130.060000000521541,10165902.750000000000000
FS( 16 ),2032361.000000000000000,1998762.000000000000000,1948448.239999999757856,2080352.219999999972060,2191821.500000000000000,10251744.960000000894070
FS( 17 ),2042932.260000000009313,2008666.000000000232831,1890617.739999999757856,2076516.309999999823049,2257926.140000000596046,10276658.449999999254942
FS( 18 ),2037107.280000000027940,2003466.399999999906868,1898879.239999999757856,2073084.180000000167638,2262647.900000000372529,10275185.000000000000000
FS( 19 ),2050267.419999999925494,2009904.000000000000000,1909453.959999999962747,2070459.609999999869615,2256450.589999999850988,10296535.580000000074506
FS( 20 ),2060407.199999999953434,1987248.599999999860302,1907801.659999999683350,2066018.029999999795109,2266189.220000000670552,10287664.709999999031425
FS( 21 ),2043148.000000000000000,1981553.800000000279397,1905157.979999999748543,2076516.309999999823049,2244351.080000000074506,10250727.169999999925494
FS( 22 ),2032145.260000000009313,1986382.000000000000000,1876738.419999999925494,2040983.669999999925494,2248777.730000000447035,10185027.080000000074506
FS( 23 ),2022652.699999999953434,2006437.600000000093132,1889956.819999999832362,2034725.079999999841675,2242875.530000000260770,10196647.730000000447035
FS( 24 ),1993096.319999999832362,1974868.599999999860302,1918045.919999999925494,2001211.340000000083819,2198609.030000000260770,10085831.210000000894070
FS( 25 ),1982525.060000000055879,1932281.399999999906868,1993390.799999999813735,1997173.540000000037253,2204216.120000000111759,10109586.919999999925494
FS( 26 ),2002804.619999999878928,1919653.800000000279397,2036020.139999999897555,2017564.430000000167638,2260582.129999999888241,10236625.120000001043081
FS( 27 ),2023515.660000000149012,1961374.399999999906868,2076997.179999999934807,2113865.959999999962747,2288617.580000000074506,10464370.780000001192093
FS( 28 ),2033439.699999999953434,1969916.600000000325963,2067413.839999999850988,2094080.739999999990687,2233136.900000000372529,10397987.780000001192093
FS( 29 ),2037970.239999999757856,1936862.000000000000000,2058821.879999999655411,2070459.609999999869615,2234022.230000000447035,10338135.959999999031425
FS( 30 ),2053719.260000000009313,1941442.600000000093132,2055186.819999999832362,2080957.889999999664724,2221037.390000000596046,10352343.960000000894070
FS( 31 ),2033008.219999999972060,1928938.800000000279397,2070057.519999999785796,2086207.029999999795109,2213069.419999999925494,10331280.990000000223517
FS( 32 ),2035597.099999999860302,1913711.399999999906868,2044942.559999999823049,2109020.599999999627471,2206872.110000000335276,10310143.769999999552965
FS( 33 ),2053503.520000000018626,1945527.999999999767169,2082945.459999999962747,2135468.189999999478459,2243760.860000000335276,10461206.029999999329448
FS( 34 ),2044010.959999999729916,1943175.799999999813735,2069066.139999999897555,2132439.839999999850988,2244351.080000000074506,10433043.820000000298023
FS( 35 ),2031713.780000000027940,1883009.000000000000000,2054195.439999999711290,2207139.139999999664724,2230776.020000000484288,10406833.379999998956919
FS( 36 ),2052856.300000000046566,1923862.999999999767169,2068405.219999999972060,2298595.309999999590218,2243465.750000000000000,10587185.579999998211861
FS( 37 ),2043579.479999999981374,1929805.400000000139698,2065100.619999999878928,2261245.660000000149012,2230776.020000000484288,10530507.179999999701977
FS( 38 ),2048972.979999999981374,1935871.600000000325963,2076005.799999999813735,2253371.950000000186265,2238153.770000000484288,10552376.100000001490116
FS( 39 ),2027398.979999999981374,1902569.399999999906868,2067413.839999999850988,2221069.549999999813735,2211298.759999999776483,10429750.529999999329448
FS( 40 ),1999352.780000000027940,1876323.800000000279397,2030732.780000000027940,2189776.599999999627471,2177066.000000000000000,10273251.960000000894070
FS( 41 ),2011218.479999999981374,1924977.199999999953434,2051882.219999999972060,2208552.370000000111759,2200674.799999999813735,10397305.070000000298023
FS( 42 ),1962461.239999999757856,1898112.600000000093132,1992068.959999999962747,2145158.910000000149012,2176475.780000000260770,10174277.490000000223517
FS( 43 ),1983388.020000000018626,1914825.600000000093132,2011896.559999999823049,2166155.469999999739230,2210118.320000000298023,10286383.969999998807907
FS( 44 ),2030203.599999999860302,1961993.400000000139698,2016523.000000000000000,2176653.750000000000000,2207167.220000000670552,10392540.970000000670552
FS( 45 ),2185104.919999999925494,1943299.600000000093132,1951422.379999999655411,2178874.540000000037253,2203625.900000000372529,10462327.339999999850988
FS( 46 ),2214445.559999999590218,1955060.600000000093132,1955387.899999999906868,2197044.639999999664724,2207167.220000000670552,10529105.919999999925494
FS( 47 ),2201069.679999999701977,1940328.400000000139698,1942830.419999999925494,2172414.059999999590218,2247302.180000000633299,10503944.740000000223517
FS( 48 ),2194813.219999999739230,1928319.800000000046566,1927629.259999999776483,2150004.269999999552965,2254679.930000000633299,10455446.480000000447035
FS( 49 ),2198912.280000000260770,1963107.600000000093132,1944813.179999999934807,2200072.990000000223517,2263238.120000000111759,10570144.170000001788139
FS( 50 ),2197833.580000000074506,1958650.799999999813735,1941178.119999999878928,2217839.309999999590218,2347049.360000000335276,10662551.169999999925494
FS( 51 ),2234725.120000000111759,1962612.400000000139698,1945804.559999999823049,2217637.419999999925494,2359739.089999999850988,10720518.589999999850988
FS( 52 ),2247453.780000000260770,1985886.800000000046566,1943491.339999999850988,2209561.820000000298023,2323440.560000000521541,10709834.300000000745058
FS( 53 ),2246375.080000000074506,1992819.600000000093132,1942830.419999999925494,2216022.299999999813735,2301897.530000000260770,10699944.929999999701977
FS( 54 ),2240765.839999999850988,2008047.000000000000000,1943160.879999999655411,2216224.189999999478459,2295700.220000000670552,10703898.130000000819564
FS( 55 ),2241413.059999999590218,2029092.999999999767169,1926637.879999999655411,2221473.330000000074506,2275337.629999999888241,10693954.899999998509884
FS( 56 ),2255651.899999999441206,2026121.800000000046566,1928290.179999999934807,2273762.839999999850988,2276222.959999999962747,10760049.679999999701977
FS( 57 ),2265144.459999999962747,2016960.600000000093132,1926637.879999999655411,2350077.259999999776483,2319309.020000000484288,10878129.219999998807907
FS( 58 ),2258240.780000000260770,2040730.200000000186265,1928620.639999999897555,2330493.929999999701977,2372428.820000000298023,10930514.370000001043081
FS( 59 ),2277657.379999999888241,2015722.600000000093132,1932916.619999999878928,2302633.109999999403954,2361214.640000000596046,10890144.350000001490116
FS( 60 ),2255867.639999999664724,1991705.400000000139698,1948448.239999999757856,2294759.399999999441206,2409612.680000000633299,10900393.359999999403954
FS( 61 ),2245512.120000000111759,2004952.000000000000000,1934568.919999999925494,2294153.729999999515712,2451813.410000000149012,10931000.179999999701977
FS( 62 ),2284561.059999999590218,1986877.199999999953434,1935890.759999999776483,2309699.259999999776483,2467749.350000000558794,10984777.629999998956919
FS( 63 ),2294485.099999999627471,1993686.199999999953434,1927959.719999999972060,2278608.200000000186265,2455649.839999999850988,10950389.059999998658895
