代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13412374.959999999031425
真實報酬,3412374.959999999031425

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,29162.342857468218426
風險,204063.880844659957802
起點值,0.142907910683457
找到最佳解世代,1903
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](5),CSCO[4](3),INTC[11](13),JPM[13](1),WMT[28](10),
Stock#,BA[2](5),CSCO[4](3),INTC[11](13),JPM[13](1),WMT[28](10),
張數,8321,61919,56996,21810,25519,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,214.069999999832362,16.300000000279397,10.359999999869615,23.000000000000000,75.969999999972060,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1972291.069999999832362,1957895.080000000307336,1996010.280000000027940,1952236.100000000093132,2036492.169999999925494,9914924.700000001117587
FS( 3 ),1952487.089999999850988,1973374.830000000307336,2038187.319999999832362,1965322.100000000093132,2043637.489999999990687,9973008.830000000074506
FS( 4 ),1966549.579999999841675,1966563.740000000456348,2025648.199999999720603,1930862.300000000046566,2044658.250000000000000,9934282.070000000298023
FS( 5 ),1987102.449999999953434,1949226.420000000391155,2005699.599999999627471,1928463.199999999953434,2013014.689999999944121,9883506.359999999403954
FS( 6 ),2002163.459999999962747,1993188.910000000149012,2038757.280000000027940,1958342.900000000139698,2018118.489999999990687,10010571.040000000968575
FS( 7 ),2002080.250000000000000,2006811.090000000083819,2056996.000000000000000,1982333.899999999906868,2031643.560000000055879,10079864.800000000745058
FS( 8 ),2013313.599999999860302,1992569.720000000204891,2070675.039999999804422,1988004.500000000232831,2038023.310000000055879,10102586.169999999925494
FS( 9 ),2040772.899999999674037,1993188.910000000149012,2079224.439999999711290,1984078.699999999953434,2033429.890000000130385,10130694.839999999850988
FS( 10 ),2072143.069999999832362,2008668.660000000149012,2108862.359999999869615,1998255.200000000186265,2051293.189999999944121,10239222.480000000447035
FS( 11 ),2106092.750000000000000,2013622.180000000400469,2108862.359999999869615,2026608.199999999953434,2041595.969999999972060,10296781.460000000894070
FS( 12 ),2100933.729999999981374,2011764.610000000335276,2121971.439999999478459,2048854.399999999906868,2042871.919999999925494,10326396.099999999627471
FS( 13 ),2125896.729999999981374,2018575.700000000419095,2112852.080000000074506,2048854.399999999906868,2054355.469999999972060,10360534.380000000819564
FS( 14 ),2130722.910000000149012,2024767.600000000558794,2120261.560000000055879,2072627.300000000046566,2041851.160000000149012,10390230.530000001192093
FS( 15 ),2134134.519999999552965,2066253.330000000074506,2119121.639999999664724,2068265.300000000046566,2029602.040000000037253,10417376.829999998211861
FS( 16 ),2116410.789999999571592,2087924.980000000214204,2117981.719999999739230,2052780.200000000186265,2019904.820000000065193,10395002.509999999776483
FS( 17 ),2111251.769999999552965,2090401.740000000223517,2135650.479999999981374,2043620.000000000000000,2026029.379999999888241,10406953.370000001043081
FS( 18 ),2124398.949999999720603,2073064.420000000158325,2139640.199999999720603,2075898.800000000046566,2023477.480000000214204,10436479.850000001490116
FS( 19 ),2115994.739999999757856,2065014.950000000419095,2156169.039999999571592,2080260.799999999813735,2014801.020000000018626,10432240.550000000745058
FS( 20 ),2115495.479999999981374,2082352.270000000484288,2170418.039999999571592,2083096.100000000093132,1994130.629999999888241,10445492.519999999552965
FS( 21 ),2130306.859999999869615,2089782.550000000279397,2225134.199999999720603,2112103.399999999906868,2002041.520000000018626,10559368.529999999329448
FS( 22 ),2125896.729999999981374,2095974.450000000419095,2244512.839999999850988,2123226.500000000000000,2021691.149999999906868,10611301.669999999925494
FS( 23 ),2128393.029999999795109,2070587.660000000149012,2242233.000000000000000,2101634.600000000093132,2018373.680000000167638,10561221.969999998807907
FS( 24 ),2154437.759999999776483,2079875.510000000474975,2253062.239999999757856,2117555.899999999906868,2026539.759999999776483,10631471.169999999925494
FS( 25 ),2151858.249999999534339,2089782.550000000279397,2258761.839999999850988,2113848.200000000186265,2016076.969999999972060,10630327.810000000521541
FS( 26 ),2150277.259999999776483,2090401.740000000223517,2271870.919999999925494,2102725.100000000093132,2055121.040000000037253,10670396.059999998658895
FS( 27 ),2171412.600000000093132,2077398.750000000000000,2259901.759999999776483,2118428.299999999813735,2146989.439999999478459,10774130.849999999627471
FS( 28 ),2175656.309999999590218,2079875.510000000474975,2239953.159999999683350,2112103.399999999906868,2187819.839999999850988,10795408.220000000670552
FS( 29 ),2179567.180000000167638,2059442.240000000223517,2233683.599999999627471,2093564.899999999906868,2197261.870000000111759,10763519.789999999105930
FS( 30 ),2169831.609999999869615,2072445.230000000214204,2261041.680000000167638,2090729.600000000093132,2210531.750000000000000,10804579.869999999180436
FS( 31 ),2161593.819999999832362,2076779.560000000288710,2266171.319999999832362,2133913.399999999906868,2188075.030000000260770,10826533.129999998956919
FS( 32 ),2152191.089999999850988,2080494.700000000419095,2267881.199999999720603,2129115.200000000186265,2194199.589999999850988,10823881.780000001192093
FS( 33 ),2164006.910000000149012,2077398.750000000000000,2294099.359999999869615,2137184.899999999906868,2200324.150000000372529,10873014.070000000298023
FS( 34 ),2155685.910000000149012,2089782.550000000279397,2284980.000000000000000,2139802.100000000093132,2204917.570000000298023,10875168.130000000819564
FS( 35 ),2203198.819999999832362,2120742.050000000279397,2304358.639999999664724,2170336.100000000093132,2231457.330000000074506,11030092.939999999478459
FS( 36 ),2182978.789999999571592,2126933.950000000186265,2327157.039999999571592,2166628.399999999906868,2262335.320000000298023,11066033.500000000000000
FS( 37 ),2213600.069999999832362,2141175.320000000298023,2333996.560000000055879,2201088.200000000186265,2245237.589999999850988,11135097.740000002086163
FS( 38 ),2150526.890000000130385,2123838.000000000000000,2324307.239999999757856,2203269.199999999720603,2257997.089999999850988,11059938.419999999925494
FS( 39 ),2157599.739999999757856,2121980.430000000633299,2356794.959999999962747,2218972.399999999906868,2261569.750000000000000,11116917.279999999329448
FS( 40 ),2134217.729999999515712,2131887.470000000204891,2530632.759999999776483,2219626.699999999720603,2250086.200000000186265,11266450.859999999403954
FS( 41 ),2157433.319999999832362,2107739.060000000055879,2528922.879999999888241,2211775.100000000093132,2218953.020000000484288,11224823.379999998956919
FS( 42 ),2146865.649999999906868,2114550.150000000372529,2592758.399999999906868,2194327.100000000093132,2228139.860000000335276,11276641.160000000149012
FS( 43 ),2151192.569999999832362,2143652.080000000074506,2662293.520000000018626,2201088.200000000186265,2244216.830000000074506,11402443.200000001117587
FS( 44 ),2185558.299999999813735,2118265.290000000502914,2684521.959999999962747,2215700.899999999906868,2266163.169999999925494,11470209.619999999180436
FS( 45 ),2178235.819999999832362,2134364.229999999981374,2641205.000000000000000,2211775.100000000093132,2288619.890000000596046,11454200.040000000968575
FS( 46 ),2197540.539999999571592,2130649.089999999850988,2661723.560000000055879,2198034.799999999813735,2263611.270000000484288,11451559.259999997913837
FS( 47 ),2214681.799999999813735,2130029.900000000372529,2666283.239999999757856,2153760.500000000000000,2269991.020000000484288,11434746.460000000894070
FS( 48 ),2210022.039999999571592,2136221.800000000279397,2661723.560000000055879,2129551.399999999906868,2303420.910000000149012,11440939.710000000894070
FS( 49 ),2186140.769999999552965,2108358.250000000000000,2638925.159999999683350,2129333.299999999813735,2304441.669999999925494,11367199.150000000372529
FS( 50 ),2170746.919999999925494,2104643.110000000335276,2597888.039999999571592,2126716.100000000093132,2320263.450000000186265,11320257.620000001043081
FS( 51 ),2183810.890000000130385,2102166.350000000558794,2607577.359999999869615,2134349.600000000093132,2322049.780000000260770,11349953.980000000447035
FS( 52 ),2178319.029999999795109,2107739.060000000055879,2613846.919999999925494,2121481.699999999720603,2324601.679999999701977,11345988.389999998733401
FS( 53 ),2187472.129999999888241,2112073.390000000130385,2591048.520000000018626,2141546.899999999906868,2292447.740000000223517,11324588.679999999701977
FS( 54 ),2194461.769999999552965,2221670.020000000484288,2601877.759999999776483,2147653.700000000186265,2542278.750000000000000,11707942.000000000000000
FS( 55 ),2182479.529999999795109,2222908.400000000372529,2543741.839999999850988,2140456.399999999906868,2487412.900000000372529,11576999.070000000298023
FS( 56 ),2202200.299999999813735,2260059.800000000279397,2543171.879999999888241,2159431.100000000093132,2487668.089999999850988,11652531.169999999925494
FS( 57 ),2221837.859999999869615,2269347.650000000372529,2561410.599999999627471,2157686.300000000279397,2463169.849999999627471,11673452.259999999776483
FS( 58 ),2206527.219999999739230,2256963.850000000558794,2544881.759999999776483,2151361.399999999906868,2460362.759999999776483,11620096.990000000223517
FS( 59 ),2212601.549999999813735,2259440.610000000335276,2550581.359999999869615,2144382.199999999720603,2465721.750000000000000,11632727.469999998807907
FS( 60 ),2210105.249999999534339,2282969.830000000074506,2535762.399999999906868,2135876.300000000279397,2465721.750000000000000,11630435.530000001192093
FS( 61 ),2230158.859999999869615,2336220.169999999925494,2549441.439999999478459,2210684.600000000093132,2469549.599999999627471,11796054.669999998062849
FS( 62 ),2241059.370000000111759,2320740.419999999925494,2504984.560000000055879,2262374.300000000279397,2489709.610000000335276,11818868.260000001639128
FS( 63 ),2303466.870000000111759,2309595.000000000000000,2555711.000000000000000,2279604.199999999720603,2481288.339999999850988,11929665.410000000149012
FS( 64 ),2258367.049999999813735,2328170.700000000186265,2546591.639999999664724,2285492.899999999906868,2484350.620000000111759,11902972.910000000149012
FS( 65 ),2313202.439999999944121,2335600.979999999981374,2535762.399999999906868,2332602.500000000000000,2475674.160000000149012,11992842.480000000447035
FS( 66 ),2292982.410000000149012,2310214.190000000409782,2475916.599999999627471,2305776.200000000186265,2496599.740000000223517,11881489.140000000596046
FS( 67 ),2315698.739999999757856,2316406.089999999850988,2476486.560000000055879,2288546.300000000279397,2482564.290000000037253,11879701.980000000447035
FS( 68 ),2346486.439999999944121,2315786.900000000372529,2455398.039999999571592,2281785.200000000186265,2469804.790000000037253,11869261.369999997317791
FS( 69 ),2379187.969999999739230,2328789.890000000130385,2470786.959999999962747,2310356.300000000279397,2463935.419999999925494,11953056.539999999105930
FS( 70 ),2356388.430000000167638,2350461.540000000502914,2488455.719999999739230,2303595.200000000186265,2473632.640000000596046,11972533.530000001192093
FS( 71 ),2412804.809999999590218,2347365.589999999850988,2469647.039999999571592,2330421.500000000000000,2467763.270000000484288,12028002.210000000894070
FS( 72 ),2428614.709999999497086,2362226.150000000372529,2470217.000000000000000,2301196.100000000093132,2494813.410000000149012,12057067.369999999180436
FS( 73 ),2445589.549999999813735,2346746.400000000372529,2465657.319999999832362,2282657.600000000093132,2478736.439999999478459,12019387.309999998658895
FS( 74 ),2446088.809999999590218,2364702.910000000149012,2539752.120000000111759,2314936.399999999906868,2478226.059999999590218,12143706.300000000745058
FS( 75 ),2464395.009999999776483,2382659.419999999925494,2636645.319999999832362,2332820.600000000093132,2498386.070000000298023,12314906.419999999925494
FS( 76 ),2473631.319999999832362,2371514.000000000000000,2681102.199999999720603,2323006.100000000093132,2521353.169999999925494,12370606.789999999105930
FS( 77 ),2479039.969999999739230,2398758.360000000335276,2710740.120000000111759,2314936.399999999906868,2520077.219999999739230,12423552.070000000298023
FS( 78 ),2455158.699999999720603,2385755.370000000577420,2665143.319999999832362,2351795.299999999813735,2502469.110000000335276,12360321.800000000745058
FS( 79 ),2455741.169999999925494,2386993.750000000000000,2661723.560000000055879,2343507.500000000000000,2506296.959999999962747,12354262.940000001341105
FS( 80 ),2457904.629999999888241,2382659.419999999925494,2626386.039999999571592,2334129.199999999720603,2530540.009999999776483,12331619.299999998882413
FS( 81 ),2460068.089999999850988,2387612.940000000409782,2628095.919999999925494,2338491.200000000186265,2533091.910000000149012,12347360.060000000521541
FS( 82 ),2466142.419999999925494,2389470.510000000707805,2634365.479999999981374,2350922.899999999906868,2536664.570000000298023,12377565.880000000819564
FS( 83 ),2454160.180000000167638,2371514.000000000000000,2630945.719999999739230,2332384.399999999906868,2520077.219999999739230,12309081.519999999552965
FS( 84 ),2470219.709999999497086,2406188.640000000130385,2670272.959999999962747,2354412.500000000000000,2515994.179999999701977,12417087.989999998360872
FS( 85 ),2478207.870000000111759,2425383.530000000260770,2579649.319999999832362,2356811.600000000093132,2537940.520000000484288,12377992.839999999850988
FS( 86 ),2468805.140000000130385,2414238.110000000335276,2532342.639999999664724,2378185.399999999906868,2540237.230000000447035,12333808.519999999552965
FS( 87 ),2570071.709999999497086,2447674.370000000577420,2550011.399999999906868,2362918.399999999906868,2555293.439999999478459,12485969.320000000298023
FS( 88 ),2580972.219999999739230,2473061.160000000149012,2550011.399999999906868,2366408.000000000000000,2593061.559999999590218,12563514.339999999850988
FS( 89 ),2649870.100000000093132,2457581.410000000149012,2486175.879999999888241,2378403.500000000000000,2561928.379999999888241,12533959.269999999552965
FS( 90 ),2665097.529999999795109,2471203.589999999850988,2422340.359999999869615,2404575.500000000000000,2543554.700000000186265,12506771.679999999701977
FS( 91 ),2730500.589999999850988,2482968.200000000186265,2474206.719999999739230,2417443.399999999906868,2552486.349999999627471,12657605.259999999776483
FS( 92 ),2797817.479999999515712,2530645.830000000074506,2464517.399999999906868,2457355.700000000186265,2574177.500000000000000,12824513.910000000149012
FS( 93 ),2789080.430000000167638,2510212.560000000055879,2458817.799999999813735,2448631.699999999720603,2569584.080000000074506,12776326.570000000298023
FS( 94 ),2920968.279999999795109,2551079.100000000558794,2530062.799999999813735,2464334.899999999906868,2620877.270000000484288,13087322.350000001490116
FS( 95 ),2830685.430000000167638,2557271.000000000000000,2535192.439999999478459,2470223.600000000093132,2661707.669999999925494,13055080.139999998733401
FS( 96 ),2810465.399999999906868,2556651.810000000055879,2554571.080000000074506,2464771.100000000093132,2669108.179999999701977,13055567.570000000298023
FS( 97 ),2812712.069999999832362,2579561.839999999850988,2607577.359999999869615,2493560.299999999813735,2691054.520000000484288,13184466.089999999850988
