代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12476171.660000000149012
真實報酬,2476171.660000000149012

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19038.885592809165246
風險,114061.806466208392521
起點值,0.166917272158490
找到最佳解世代,2407
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),INTC[11](3),JNJ[12](7),PG[21](15),
Stock#,AAPL[0](1),INTC[11](3),JNJ[12](7),PG[21](15),
張數,33160,102040,27304,32266,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,67.600000000093132,20.000000000000000,45.759999999776483,30.319999999832362,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2516580.000000000000000,2511224.399999999906868,2548601.119999999646097,2531298.020000000018626,10107703.539999999105930
FS( 3 ),2521885.600000000093132,2500000.000000000000000,2528123.119999999646097,2510970.439999999478459,10060979.159999998286366
FS( 4 ),2514258.799999999813735,2513265.199999999720603,2536314.319999999832362,2518714.279999999795109,10082552.599999999627471
FS( 5 ),2512932.399999999906868,2514285.600000000093132,2548055.039999999571592,2529039.399999999906868,10104312.439999999478459
FS( 6 ),2515253.600000000093132,2534693.600000000093132,2551604.560000000055879,2533879.299999999813735,10135431.059999998658895
FS( 7 ),2539460.399999999906868,2523469.200000000186265,2552696.719999999739230,2547431.020000000018626,10163057.339999999850988
FS( 8 ),2542113.200000000186265,2526530.400000000372529,2555700.159999999683350,2556788.159999999683350,10181131.919999999925494
FS( 9 ),2513927.200000000186265,2507142.799999999813735,2539317.759999999776483,2555174.859999999869615,10115562.619999999180436
FS( 10 ),2485741.199999999720603,2500000.000000000000000,2534130.000000000000000,2548399.000000000000000,10068270.199999999254942
FS( 11 ),2495357.600000000093132,2520408.000000000000000,2564710.479999999981374,2576147.759999999776483,10156623.839999999850988
FS( 12 ),2517243.200000000186265,2532652.799999999813735,2564983.519999999552965,2573889.139999999664724,10188768.660000000149012
FS( 13 ),2516580.000000000000000,2553060.799999999813735,2555427.119999999646097,2541945.799999999813735,10167013.719999998807907
