代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12434222.700000001117587
真實報酬,2434222.700000001117587

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,22061.076092188093753
風險,82700.321242466525291
起點值,0.266759255112298
找到最佳解世代,1836
找到最佳解實驗#,1
找到最佳解次數,26

stock[index](rank)
投資組合檔數,12
AXP[1](5),BA[2](16),GS[8](17),JNJ[12](1),JPM[13](14),MCD[15](7),MMM[16](3),NKE[19](4),TRV[22](6),VZ[26](22),WBA[27](2),WMT[28](27),
Stock#,AXP[1](5),BA[2](16),GS[8](17),JNJ[12](1),JPM[13](14),MCD[15](7),MMM[16](3),NKE[19](4),TRV[22](6),VZ[26](22),WBA[27](2),WMT[28](27),
張數,14883,11258,7038,11964,20419,9571,9228,34166,11745,18896,24309,11681,
分配資金,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,
剩餘資金,33.829999999958090,15.840000000083819,33.799999999930151,40.399999999906868,33.609999999986030,81.739999999990687,44.599999999976717,24.260000000009313,25.250000000000000,19.400000000023283,20.479999999981374,10.459999999962747,
FS( 1 ),833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,10000000.000000000000000
FS( 2 ),831100.550000000046566,833670.740000000107102,820523.839999999967404,835845.439999999944121,828432.439999999944121,834672.940000000060536,831671.959999999962747,834357.980000000097789,828400.099999999976717,825207.720000000088476,833089.910000000032596,842444.180000000051223,9979421.799999998882413
FS( 3 ),839435.029999999911524,831644.300000000162981,824394.739999999874271,837161.479999999864958,841296.410000000032596,832471.609999999986030,837577.880000000004657,834357.980000000097789,869155.250000000000000,833333.000000000000000,864691.609999999986030,836954.109999999986030,10082477.400000000372529
FS( 4 ),835267.789999999920838,832882.680000000167638,824887.399999999906868,838118.599999999860302,846809.539999999920838,843191.130000000004657,839331.199999999953434,840849.520000000018626,859172.000000000116415,839946.600000000093132,871498.130000000004657,836253.250000000000000,10108211.839999999850988
FS( 5 ),842560.459999999962747,840312.960000000079162,820453.459999999846332,842904.199999999953434,869066.250000000000000,846923.820000000065193,844498.880000000004657,842216.159999999916181,861990.800000000046566,839190.760000000009313,877575.380000000004657,844429.950000000069849,10172127.080000000074506
FS( 6 ),844644.079999999958090,850332.580000000074506,823550.179999999934807,844698.799999999813735,863961.500000000000000,855824.849999999976717,847820.959999999962747,837774.579999999958090,861403.550000000046566,832010.280000000027940,883652.630000000004657,842794.609999999986030,10188472.599999999627471
FS( 7 ),849257.809999999939464,853597.400000000023283,836570.479999999981374,850680.799999999813735,870699.770000000018626,857834.760000000009313,864523.640000000013970,849049.360000000102445,862460.600000000093132,839757.640000000013970,890945.329999999958090,828076.549999999930151,10253458.140000000596046
FS( 8 ),858336.439999999944121,849657.100000000093132,831151.219999999972060,849005.839999999850988,873354.240000000107102,854867.750000000000000,859355.959999999962747,847341.060000000055879,861051.200000000069849,846371.239999999990687,891431.510000000009313,805298.599999999976717,10227226.159999998286366
FS( 9 ),859080.589999999967404,836710.400000000023283,834036.799999999930151,846493.399999999906868,873558.430000000051223,853527.810000000055879,853634.599999999976717,831283.039999999920838,860111.600000000093132,841269.320000000065193,887542.069999999948777,806466.700000000069849,10183718.759999999776483
FS( 10 ),843155.779999999911524,833333.000000000000000,840089.479999999981374,845775.559999999823049,874171.000000000000000,850752.219999999972060,851604.439999999944121,827866.440000000060536,861755.900000000023283,835411.560000000055879,893619.319999999948777,803079.209999999962747,10160617.910000000149012
FS( 11 ),852383.239999999990687,840425.540000000153668,869156.419999999925494,848766.559999999823049,887851.729999999864958,860610.349999999976717,858525.439999999944121,837091.260000000009313,871386.799999999930151,833710.919999999925494,902856.739999999990687,808335.660000000032596,10271104.659999998286366
FS( 12 ),860568.890000000013970,850220.000000000000000,899279.059999999939464,848886.199999999953434,895815.139999999897555,866448.659999999916181,866092.399999999906868,844949.440000000060536,873031.099999999976717,828986.919999999925494,912823.429999999934807,811839.959999999962747,10358945.199999999254942
FS( 13 ),845239.399999999906868,850107.420000000158325,895619.299999999930151,845057.719999999855645,888872.680000000051223,858696.149999999906868,858433.159999999916181,835382.959999999962747,862460.600000000093132,819727.880000000121072,905287.640000000013970,800392.579999999958090,10265281.490000002086163
FS( 14 ),854318.029999999911524,857875.440000000060536,913003.159999999916181,846493.399999999906868,909291.680000000051223,861854.580000000074506,868676.239999999990687,845632.760000000009313,867041.149999999906868,827853.160000000032596,912823.429999999934807,805999.459999999962747,10370866.489999998360872
