代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11829687.309999998658895
真實報酬,1829687.309999998658895

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16027.587604459891736
風險,127820.946171144270920
起點值,0.125390932273338
找到最佳解世代,2506
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
JNJ[12](6),V[25](1),
Stock#,JNJ[12](6),V[25](1),
張數,74338,155617,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,26.119999999180436,25.790000000037253,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5000743.379999998956919,4964208.089999999850988,9964951.469999998807907
FS( 3 ),5043116.039999999105930,5038904.250000000000000,10082020.289999999105930
FS( 4 ),5046089.559999998658895,5046685.099999999627471,10092774.659999998286366
FS( 5 ),5068390.959999999962747,5006224.680000000633299,10074615.640000000596046
FS( 6 ),5069877.719999999739230,5115156.580000000074506,10185034.300000000745058
FS( 7 ),5066160.819999999366701,5192965.080000000074506,10259125.899999998509884
FS( 8 ),5128604.739999998360872,5250543.370000000111759,10379148.109999999403954
FS( 9 ),5089948.979999999515712,5222532.310000000521541,10312481.289999999105930
FS( 10 ),5073594.619999999180436,5208526.780000000260770,10282121.399999998509884
FS( 11 ),5095896.019999998621643,5200745.930000000633299,10296641.949999999254942
FS( 12 ),5099612.919999998994172,5244318.690000000409782,10343931.609999999403954
FS( 13 ),5121914.319999999366701,5236537.839999999850988,10358452.160000000149012
FS( 14 ),5133808.399999999441206,5252099.540000000037253,10385907.939999999478459
FS( 15 ),5129348.119999999180436,5203858.269999999552965,10333206.389999998733401
FS( 16 ),5153136.279999998398125,5234981.669999999925494,10388117.949999999254942
FS( 17 ),5129348.119999999180436,5155617.000000000000000,10284965.119999999180436
FS( 18 ),5130091.500000000000000,5210082.949999999254942,10340174.449999999254942
FS( 19 ),5122657.699999999254942,5224088.480000000447035,10346746.179999999701977
FS( 20 ),5139012.059999998658895,5319014.849999999627471,10458026.909999998286366
FS( 21 ),5126374.599999998696148,5291003.790000000037253,10417378.389999998733401
FS( 22 ),5129348.119999999180436,5389042.500000000000000,10518390.619999999180436
FS( 23 ),5149419.379999998956919,5434171.430000000633299,10583590.809999998658895
FS( 24 ),5177667.819999999366701,5457513.980000000447035,10635181.800000000745058
FS( 25 ),5162056.839999998919666,5396823.349999999627471,10558880.189999997615814
FS( 26 ),5085488.699999999254942,5320571.019999999552965,10406059.719999998807907
FS( 27 ),5071364.479999999515712,5345469.740000000223517,10416834.219999998807907
FS( 28 ),5052779.979999999515712,5409272.709999999962747,10462052.689999999478459
FS( 29 ),5052779.979999999515712,5412385.049999999813735,10465165.029999999329448
FS( 30 ),5099612.919999998994172,5441952.280000000260770,10541565.199999999254942
FS( 31 ),5170234.019999998621643,5491749.719999999739230,10661983.739999998360872
FS( 32 ),5278024.119999999180436,5546215.669999999925494,10824239.789999999105930
FS( 33 ),5391017.879999998956919,5519760.780000000260770,10910778.660000000149012
FS( 34 ),5341954.799999998882413,5445064.620000000111759,10787019.419999998062849
FS( 35 ),5336007.759999998845160,5407716.540000000037253,10743724.299999998882413
FS( 36 ),5269846.939999999478459,5315902.509999999776483,10585749.449999999254942
FS( 37 ),5258696.239999998360872,5309677.830000000074506,10568374.069999998435378
FS( 38 ),5288431.439999999478459,5351694.419999999925494,10640125.859999999403954
FS( 39 ),5270590.319999999366701,5381261.649999999441206,10651851.969999998807907
FS( 40 ),5264643.279999998398125,5398379.519999999552965,10663022.799999997019768
FS( 41 ),5315193.119999999180436,5597569.280000000260770,10912762.399999998509884
FS( 42 ),5270590.319999999366701,5578895.240000000223517,10849485.559999998658895
FS( 43 ),5262413.139999999664724,5505755.250000000000000,10768168.390000000596046
FS( 44 ),5278767.500000000000000,5597569.280000000260770,10876336.780000001192093
FS( 45 ),5228961.039999999105930,5546215.669999999925494,10775176.709999999031425
FS( 46 ),5177667.819999999366701,5527541.630000000819564,10705209.449999999254942
FS( 47 ),5194022.179999999701977,5560221.199999999254942,10754243.379999998956919
FS( 48 ),5179897.959999999962747,5572670.560000000521541,10752568.519999999552965
FS( 49 ),5167260.500000000000000,5541547.160000000149012,10708807.660000000149012
FS( 50 ),5149419.379999998956919,5445064.620000000111759,10594484.000000000000000
FS( 51 ),5134551.779999998398125,5446620.790000000037253,10581172.569999998435378
FS( 52 ),5143472.339999998919666,5552440.349999999627471,10695912.689999997615814
FS( 53 ),5147932.619999999180436,5666040.759999999776483,10813973.379999998956919
FS( 54 ),5179154.579999999143183,5694051.820000000298023,10873206.399999998509884
FS( 55 ),5173207.539999999105930,5706501.180000000633299,10879708.719999998807907
FS( 56 ),5170977.399999999441206,5762523.299999999813735,10933500.699999999254942
FS( 57 ),5136038.539999999105930,5728287.560000000521541,10864326.099999999627471
FS( 58 ),5115223.899999999441206,5711169.690000000409782,10826393.589999999850988
FS( 59 ),5150906.139999999664724,5729843.730000000447035,10880749.870000001043081
FS( 60 ),5145702.479999999515712,5765635.639999999664724,10911338.119999999180436
FS( 61 ),5183614.859999999403954,5824770.099999999627471,11008384.959999999031425
FS( 62 ),5177667.819999999366701,5782753.509999999776483,10960421.329999998211861
FS( 63 ),5193278.799999998882413,5742293.089999999850988,10935571.889999998733401
FS( 64 ),5201455.979999999515712,5760967.130000000819564,10962423.109999999403954
FS( 65 ),5207403.019999998621643,5776528.830000000074506,10983931.849999997764826
FS( 66 ),5237138.219999999739230,5779641.169999999925494,11016779.390000000596046
FS( 67 ),5248288.919999998994172,5784309.680000000633299,11032598.599999999627471
FS( 68 ),5285457.919999998994172,5793646.699999999254942,11079104.619999997317791
FS( 69 ),5275050.599999998696148,5753186.280000000260770,11028236.879999998956919
FS( 70 ),5259439.619999999180436,5726731.389999999664724,10986171.009999997913837
FS( 71 ),5254979.339999998919666,5712725.860000000335276,10967705.199999999254942
FS( 72 ),5273563.839999998919666,5801427.549999999813735,11074991.389999998733401
FS( 73 ),5274307.219999999739230,5863674.349999999627471,11137981.570000000298023
FS( 74 ),5250519.059999998658895,5802983.719999999739230,11053502.779999997466803
FS( 75 ),5259439.619999999180436,5932145.830000000074506,11191585.449999999254942
FS( 76 ),5223757.379999998956919,5865230.519999999552965,11088987.899999998509884
