代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10934953.449999999254942
真實報酬,934953.449999999254942

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10632.422880698155495
風險,288057.475568306806963
起點值,0.036910768796128
找到最佳解世代,2265
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),INTC[11](2),NKE[19](3),
Stock#,AAPL[0](1),INTC[11](2),NKE[19](3),
張數,19867,69954,49273,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,47.739999999757856,24.899999999906868,14.549999999813735,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3188701.239999999757856,3228402.000000000000000,3312145.609999999869615,9729249.849999999627471
FS( 3 ),3109034.569999999832362,3114376.979999999981374,3172703.020000000018626,9396115.570000000298023
FS( 4 ),3238964.750000000000000,3141659.039999999571592,3213599.609999999869615,9594224.399999998509884
FS( 5 ),3169628.919999999459833,3161945.700000000186265,3233801.539999999571592,9565377.159999998286366
FS( 6 ),3082412.790000000037253,2990558.399999999906868,3079084.319999999832362,9152056.509999999776483
FS( 7 ),3107445.209999999497086,3074503.200000000186265,3226903.319999999366701,9408852.730000000447035
FS( 8 ),3232607.310000000055879,3136062.719999999739230,3251047.089999999850988,9619718.119999999180436
FS( 9 ),3264990.520000000018626,3110179.739999999757856,3245627.060000000055879,9620798.320000000298023
FS( 10 ),3325187.529999999795109,3174537.419999999925494,3348607.629999999422580,9848333.579999998211861
FS( 11 ),3436840.069999999832362,3212312.580000000074506,3364867.720000000204891,10014021.370000001043081
FS( 12 ),3425714.549999999813735,3187129.140000000130385,3365360.449999999720603,9978205.139999998733401
FS( 13 ),3414191.689999999478459,3240294.179999999701977,3325449.319999999366701,9979936.189999997615814
FS( 14 ),3398695.429999999701977,3213711.659999999683350,3303769.199999999720603,9916177.289999999105930
FS( 15 ),3427105.239999999757856,3203918.099999999627471,3307711.039999999571592,9938735.379999998956919
FS( 16 ),3486706.239999999757856,3338929.319999999832362,3358462.229999999515712,10184098.789999999105930
FS( 17 ),3555644.729999999515712,3435465.839999999850988,3431879.000000000000000,10422990.570000000298023
FS( 18 ),3544121.869999999646097,3491429.039999999571592,3352056.739999999757856,10387608.649999998509884
FS( 19 ),3538757.779999999795109,3448057.560000000055879,3302783.739999999757856,10289600.080000000074506
FS( 20 ),3476772.739999999757856,3346624.260000000242144,3267799.909999999683350,10091197.910000000149012
FS( 21 ),3500811.810000000055879,3426371.819999999832362,3246612.520000000018626,10173797.150000000372529
FS( 22 ),3512930.679999999701977,3480236.399999999906868,3205223.199999999720603,10198391.279999999329448
FS( 23 ),3509950.629999999422580,3547392.239999999757856,3214585.069999999366701,10271928.939999997615814
FS( 24 ),3477368.750000000000000,3590064.179999999701977,3161862.959999999962747,10229296.890000000596046
FS( 25 ),3515314.719999999739230,3549490.859999999869615,3208179.579999999608845,10272986.160000000149012
FS( 26 ),3575710.399999999441206,3650924.159999999683350,3266814.449999999720603,10493450.009999997913837
FS( 27 ),3610278.979999999515712,3604054.979999999981374,3292436.409999999683350,10506771.369999999180436
FS( 28 ),3575511.729999999515712,3622243.020000000018626,3260408.959999999962747,10458164.710000000894070
FS( 29 ),3545115.219999999739230,3627839.339999999850988,3261887.149999999906868,10434842.709999999031425
FS( 30 ),3549287.290000000037253,3559284.419999999925494,3271249.020000000018626,10379821.730000000447035
FS( 31 ),3536771.080000000074506,3579571.080000000074506,3247597.979999999515712,10363941.140000000596046
FS( 32 ),3482732.839999999850988,3555786.719999999739230,3237743.379999999422580,10276263.939999999478459
FS( 33 ),3481540.819999999832362,3606153.599999999627471,3291450.949999999720603,10379146.369999999180436
FS( 34 ),3402668.830000000074506,3606853.140000000130385,3269278.099999999627471,10278801.070000000298023
FS( 35 ),3354590.689999999478459,3555786.719999999739230,3174181.209999999962747,10084559.619999999180436
FS( 36 ),3276910.719999999739230,3452954.339999999850988,3184528.539999999571592,9914394.599999999627471
