代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11344528.669999999925494
真實報酬,1344528.669999999925494

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12258.368302912676882
風險,116441.446877433947520
起點值,0.105274956913030
找到最佳解世代,1762
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
JNJ[12](4),JPM[13](13),MMM[16](1),MRK[17](3),PFE[20](5),PG[21](17),UNH[23](2),
Stock#,JNJ[12](4),JPM[13](13),MMM[16](1),MRK[17](3),PFE[20](5),PG[21](17),UNH[23](2),
張數,13323,24131,8951,27605,47555,17586,11741,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,78.939999999944121,15.800000000046566,80.909999999916181,12.250000000000000,18.800000000046566,60.219999999972060,43.530000000027940,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1426172.860000000102445,1442084.360000000102445,1426959.819999999832362,1442925.600000000093132,1425717.699999999953434,1451784.520000000018626,1423874.600000000093132,10039522.460000000894070
FS( 3 ),1420976.890000000130385,1446910.560000000055879,1426691.289999999804422,1438232.750000000000000,1421437.750000000000000,1456884.459999999962747,1430332.149999999906868,10041468.849999999627471
FS( 4 ),1418978.439999999944121,1449082.350000000093132,1432867.479999999748543,1437680.649999999906868,1412877.850000000093132,1468315.359999999869615,1430097.330000000074506,10049902.459999999031425
FS( 5 ),1422175.959999999962747,1446427.939999999944121,1437342.979999999748543,1453139.449999999953434,1416682.250000000000000,1461456.819999999832362,1429627.690000000176951,10066856.089999999850988
FS( 6 ),1415248.000000000000000,1418435.979999999981374,1434031.109999999869615,1447894.500000000000000,1396233.600000000093132,1460753.380000000121072,1428453.590000000083819,10001053.160000000149012
FS( 7 ),1423508.260000000009313,1426640.520000000018626,1433046.500000000000000,1445410.050000000046566,1414304.500000000000000,1458994.779999999795109,1421878.629999999888241,10023786.239999998360872
FS( 8 ),1427505.159999999916181,1414333.709999999962747,1431256.299999999813735,1464181.449999999953434,1407171.250000000000000,1447036.300000000046566,1433502.219999999972060,10024989.390000000596046
