代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12310251.250000000000000
真實報酬,2310251.250000000000000

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,37009.796335420396645
風險,167444.089721033204114
起點值,0.221027785436200
找到最佳解世代,2345
找到最佳解實驗#,1
找到最佳解次數,35

stock[index](rank)
投資組合檔數,7
AAPL[0](1),AXP[1](3),KO[14](26),PG[21](25),TRV[22](14),UTX[24](7),WBA[27](9),
Stock#,AAPL[0](1),AXP[1](3),KO[14](26),PG[21](25),TRV[22](14),UTX[24](7),WBA[27](9),
張數,70027,62111,58095,27472,34733,27325,48690,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,20.200000000186265,18.000000000000000,14.949999999953434,27.000000000000000,2.709999999962747,20.000000000000000,6.399999999906868,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1400560.200000000186265,1383229.969999999972060,1419856.750000000000000,1404120.919999999925494,1361536.310000000055879,1372828.000000000000000,1397409.399999999906868,9739544.550000000745058
FS( 3 ),1386554.800000000279397,1460868.719999999972060,1423342.449999999953434,1433241.239999999990687,1387238.729999999981374,1390862.500000000000000,1436848.300000000046566,9918959.740000002086163
FS( 4 ),1354342.380000000121072,1405589.929999999934807,1412885.349999999860302,1426098.520000000018626,1355979.030000000027940,1350694.750000000000000,1405199.799999999813735,9710792.759999999776483
FS( 5 ),1372549.400000000372529,1411179.919999999925494,1409399.650000000139698,1446153.080000000074506,1357021.020000000018626,1357526.000000000000000,1449020.800000000046566,9802852.870000001043081
FS( 6 ),1364146.160000000149012,1416148.800000000046566,1415209.149999999906868,1439834.520000000018626,1356326.359999999869615,1356706.250000000000000,1430518.599999999860302,9778892.839999997988343
FS( 7 ),1385854.530000000027940,1442235.419999999925494,1403590.149999999906868,1434614.840000000083819,1354589.709999999962747,1356433.000000000000000,1404226.000000000000000,9781546.649999998509884
FS( 8 ),1423669.110000000102445,1522979.719999999972060,1425085.300000000046566,1455493.559999999823049,1403215.909999999916181,1405071.500000000000000,1427597.199999999953434,10063115.299999998882413
FS( 9 ),1422968.840000000316650,1519253.060000000055879,1432056.699999999953434,1470877.879999999888241,1373345.530000000027940,1409443.500000000000000,1431492.399999999906868,10059440.910000002011657
FS( 10 ),1469186.660000000149012,1690679.419999999925494,1468075.599999999860302,1501371.800000000046566,1401479.260000000009313,1468738.750000000000000,1460219.499999999767169,10459753.989999998360872
FS( 11 ),1475489.090000000316650,1756517.080000000074506,1475627.949999999953434,1516756.120000000111759,1408078.530000000027940,1474750.250000000000000,1431005.500000000000000,10538227.519999999552965
FS( 12 ),1518205.560000000055879,1740989.330000000074506,1461685.149999999906868,1536261.239999999990687,1403910.570000000065193,1470105.000000000000000,1451942.199999999953434,10583102.050000000745058
FS( 13 ),1529409.880000000121072,1794404.790000000037253,1482599.349999999860302,1526371.320000000065193,1405647.219999999972060,1502075.250000000000000,1464114.699999999953434,10704625.509999997913837
FS( 14 ),1515404.480000000214204,1824839.179999999934807,1462847.050000000046566,1524448.280000000027940,1413983.139999999897555,1474750.250000000000000,1458758.800000000046566,10675034.179999999701977
FS( 15 ),1567924.730000000214204,1786330.360000000102445,1427409.099999999860302,1507415.639999999897555,1436559.589999999850988,1451524.000000000000000,1450968.399999999906868,10628134.820000000298023
FS( 16 ),1579129.050000000279397,1829186.949999999953434,1428571.000000000000000,1515382.520000000018626,1479975.839999999850988,1458628.500000000000000,1448046.999999999767169,10738923.859999999403954
FS( 17 ),1600837.420000000158325,1832913.610000000102445,1433799.550000000046566,1534063.479999999981374,1501162.969999999972060,1427204.750000000000000,1481156.199999999953434,10811140.980000000447035
FS( 18 ),1601537.690000000176951,1762728.179999999934807,1438447.150000000139698,1532415.159999999916181,1512277.530000000027940,1423925.750000000000000,1478721.699999999953434,10750056.160000000149012
FS( 19 ),1600837.420000000158325,1719250.479999999981374,1434961.449999999953434,1530492.120000000111759,1505678.260000000009313,1432943.000000000000000,1472878.899999999906868,10697044.630000000819564
FS( 20 ),1600837.420000000158325,1723598.250000000000000,1431475.750000000000000,1541755.639999999897555,1480670.500000000000000,1453710.000000000000000,1497223.899999999906868,10729274.459999999031425
FS( 21 ),1628848.220000000204891,1753411.530000000027940,1443094.750000000000000,1544777.559999999823049,1456704.729999999981374,1481854.750000000000000,1509883.300000000046566,10818577.839999999850988
FS( 22 ),1634450.380000000121072,1759622.629999999888241,1447742.350000000093132,1524997.719999999972060,1495953.020000000018626,1488412.750000000000000,1511830.899999999906868,10863012.750000000000000
FS( 23 ),1665262.260000000242144,1779498.149999999906868,1440770.949999999953434,1527744.919999999925494,1563682.370000000111759,1507813.500000000000000,1513778.500000000000000,10998553.650000000372529
FS( 24 ),1656158.750000000000000,1783224.810000000055879,1437866.199999999953434,1523624.120000000111759,1606751.289999999804422,1497156.750000000000000,1479695.500000000000000,10984480.419999999925494
FS( 25 ),1651957.130000000121072,1885707.959999999962747,1428571.000000000000000,1481042.520000000018626,1617865.849999999860302,1481581.500000000000000,1473365.800000000046566,11020094.759999999776483
FS( 26 ),1640052.540000000270084,1944713.409999999916181,1434961.449999999953434,1413736.120000000111759,1624812.449999999953434,1504534.500000000000000,1486512.099999999860302,11049325.570000000298023
FS( 27 ),1655458.480000000214204,2030426.589999999850988,1433218.600000000093132,1429395.159999999916181,1648430.889999999897555,1519016.750000000000000,1495763.199999999953434,11211712.669999998062849
FS( 28 ),1647755.510000000242144,2008687.740000000223517,1436123.349999999860302,1433241.239999999990687,1612308.570000000065193,1527214.250000000000000,1495763.199999999953434,11161096.859999999403954
FS( 29 ),1628848.220000000204891,1957135.610000000102445,1424504.349999999860302,1426647.959999999962747,1560556.399999999906868,1523935.250000000000000,1496736.999999999767169,11018367.789999999105930
FS( 30 ),1654057.940000000176951,1975147.800000000046566,1407656.800000000046566,1430768.760000000009313,1612655.899999999906868,1589515.250000000000000,1524977.199999999953434,11194782.649999998509884
FS( 31 ),1684869.820000000065193,1986327.780000000027940,1397780.649999999906868,1436812.599999999860302,1648778.219999999972060,1568475.000000000000000,1550782.899999999906868,11273829.970000000670552
FS( 32 ),1668763.610000000102445,1970178.919999999925494,1408237.749999999767169,1438735.639999999897555,1641136.959999999962747,1563283.250000000000000,1539584.199999999953434,11229923.329999998211861
FS( 33 ),1596635.800000000279397,1887571.290000000037253,1414628.199999999953434,1434340.120000000111759,1618907.839999999850988,1533772.250000000000000,1488459.699999999953434,10974318.199999999254942
FS( 34 ),1640752.810000000055879,1968315.590000000083819,1412304.399999999906868,1440933.400000000139698,1650167.539999999804422,1552353.250000000000000,1500632.199999999953434,11165462.190000001341105
FS( 35 ),1646354.970000000204891,1968936.699999999953434,1433799.550000000046566,1450548.599999999860302,1665797.389999999897555,1530220.000000000000000,1506961.899999999906868,11202622.109999999403954
FS( 36 ),1663861.720000000204891,2019867.720000000204891,1435542.399999999906868,1456592.440000000176951,1660587.439999999944121,1564649.500000000000000,1504040.500000000000000,11305144.720000000670552
FS( 37 ),1692572.790000000270084,2040364.350000000093132,1450066.149999999906868,1471976.760000000009313,1674133.310000000055879,1604270.750000000000000,1540071.099999999860302,11473458.210000000894070
FS( 38 ),1691172.250000000000000,2029184.370000000111759,1425085.300000000046566,1465383.479999999981374,1665450.060000000055879,1620392.500000000000000,1529359.299999999813735,11426030.260000001639128
