代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11510718.299999998882413
真實報酬,1510718.299999998882413

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,25620.585840116280451
風險,89300.591251121993992
起點值,0.286902757094504
找到最佳解世代,2399
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](7),DIS[6](5),KO[14](1),XOM[29](2),
Stock#,CAT[3](7),DIS[6](5),KO[14](1),XOM[29](2),
張數,31961,74985,84573,39974,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,10.580000000074506,0.099999999627471,22.120000000111759,26.040000000037253,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2469637.049999999813735,2485002.999999999534339,2489851.240000000223517,2486009.100000000093132,9930500.389999998733401
FS( 3 ),2537713.980000000447035,2536742.649999999441206,2522834.709999999962747,2528781.279999999795109,10126072.619999999180436
FS( 4 ),2520455.040000000037253,2515746.849999999627471,2527063.359999999869615,2547169.319999999832362,10110434.570000000298023
FS( 5 ),2516619.719999999739230,2542741.449999999254942,2513531.680000000167638,2552365.939999999944121,10125258.789999999105930
FS( 6 ),2568716.150000000372529,2587732.449999999254942,2512685.950000000186265,2573552.159999999683350,10242686.709999999031425
FS( 7 ),2556251.360000000335276,2592231.549999999813735,2518606.060000000055879,2580347.739999999757856,10247436.710000000894070
FS( 8 ),2535796.320000000298023,2585482.899999999441206,2520297.520000000018626,2586343.840000000316650,10227920.580000000074506
FS( 9 ),2566159.270000000484288,2617726.449999999254942,2534674.930000000167638,2599935.000000000465661,10318495.650000000372529
FS( 10 ),2554014.089999999850988,2613227.349999999627471,2533829.200000000186265,2610328.239999999757856,10311398.879999998956919
FS( 11 ),2548900.330000000074506,2615476.899999999906868,2534674.930000000167638,2605931.100000000093132,10304983.259999999776483
FS( 12 ),2564561.219999999739230,2605728.849999999627471,2537212.120000000111759,2649502.760000000242144,10357004.949999999254942
FS( 13 ),2510547.129999999888241,2567486.500000000000000,2551589.530000000260770,2603132.920000000391155,10232756.080000000074506
