代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12900383.060000000521541
真實報酬,2900383.060000000521541

夏普值報酬,0.281338306000000
夏普值風險,0.076552927977591
夏普值,3.675082239602316

二次趨勢線,56.957367430126091 x^2 + -3352.935380068987342 x + 10000000.000000000000000
二次加權預期報酬,15518.939028446129669
風險,137459.871712416701484
二次加權趨勢值,0.112897959492598
一次趨勢線,7262.450998839908607 x + 10000000.000000000000000
一次預期報酬,7262.450998839908607
一次風險,416940.601724258158356
一次趨勢值,0.017418430752021
找到最佳解世代,2183
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](6),NKE[19](13),TRV[22](1),V[25](2),
Stock#,JNJ[12](6),NKE[19](13),TRV[22](1),V[25](2),
張數,37758,91709,42137,84033,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,42.820000000298023,12.659999999683350,11.790000000037253,18.250000000000000,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2487539.860000000335276,2519258.889999999664724,2497893.149999999906868,2528571.220000000204891,10033263.120000001043081
FS( 3 ),2469038.440000000409782,2510087.989999999757856,2495364.930000000167638,2500000.000000000000000,9974491.359999999403954
FS( 4 ),2467150.540000000502914,2531181.059999999590218,2481038.350000000093132,2542016.500000000000000,10021386.449999999254942
FS( 5 ),2451292.180000000167638,2537600.689999999944121,2446064.640000000130385,2510924.290000000037253,9945881.800000000745058
FS( 6 ),2424106.420000000391155,2441306.239999999757856,2433423.540000000037253,2452941.520000000018626,9751777.720000000670552
FS( 7 ),2421463.360000000335276,2481658.199999999720603,2451121.080000000074506,2466386.800000000279397,9820629.440000001341105
FS( 8 ),2422218.520000000484288,2490829.099999999627471,2490308.490000000223517,2542856.830000000074506,9946212.940000001341105
FS( 9 ),2399186.140000000130385,2494497.459999999497086,2449014.229999999981374,2587394.319999999832362,9930092.150000000372529
FS( 10 ),2415799.660000000149012,2508253.809999999590218,2492836.709999999962747,2538655.180000000167638,9955545.359999999403954
FS( 11 ),2424861.580000000074506,2518341.799999999813735,2527810.419999999925494,2564705.410000000149012,10035719.210000000894070
FS( 12 ),2388613.900000000372529,2534849.419999999925494,2505899.180000000167638,2558823.100000000093132,9988185.599999999627471
FS( 13 ),2379929.560000000521541,2512839.259999999776483,2599864.689999999944121,2546218.149999999906868,10038851.660000000149012
FS( 14 ),2405605.000000000465661,2539434.869999999646097,2644108.540000000037253,2542016.500000000000000,10131164.910000000149012
FS( 15 ),2392767.280000000260770,2516507.619999999646097,2650850.459999999962747,2481512.740000000223517,10041638.100000001490116
FS( 16 ),2407870.480000000447035,2447725.869999999646097,2670233.479999999981374,2498319.339999999850988,10024149.169999999925494
FS( 17 ),2432790.760000000707805,2500000.000000000000000,2687509.649999999906868,2558823.100000000093132,10179123.509999999776483
FS( 18 ),2444873.320000000298023,2530263.969999999739230,2729225.279999999795109,2588234.649999999906868,10292597.220000000670552
FS( 19 ),2448271.540000000502914,2536683.599999999627471,2697201.160000000149012,2594957.290000000037253,10277113.589999999850988
FS( 20 ),2458088.620000000111759,2565113.389999999664724,2710263.629999999888241,2584033.000000000000000,10317498.640000000596046
FS( 21 ),2462619.580000000074506,2552274.129999999422580,2722061.989999999757856,2585713.660000000149012,10322669.359999999403954
FS( 22 ),2466772.960000000428408,2620138.789999999571592,2727961.169999999925494,2567226.399999999906868,10382099.320000000298023
FS( 23 ),2467150.540000000502914,2622890.059999999590218,2728382.540000000037253,2445378.550000000279397,10263801.689999999478459
FS( 24 ),2444495.740000000223517,2563279.209999999497086,2717848.290000000037253,2474790.100000000093132,10200413.339999999850988
FS( 25 ),2446761.220000000204891,2555025.399999999441206,2721640.620000000111759,2489916.040000000037253,10213343.279999999329448
FS( 26 ),2453557.660000000614673,2492663.279999999795109,2713213.220000000204891,2482353.069999999832362,10141787.230000000447035
FS( 27 ),2427127.060000000521541,2479824.019999999552965,2693408.830000000074506,2467227.129999999888241,10067587.039999999105930
FS( 28 ),2438076.879999999888241,2466067.669999999925494,2723747.470000000204891,2482353.069999999832362,10110245.089999999850988
FS( 29 ),2429392.540000000502914,2482575.289999999571592,2722904.730000000447035,2477311.089999999850988,10112183.650000000372529
FS( 30 ),2413911.760000000242144,2464233.489999999757856,2717005.550000000279397,2452101.189999999944121,10047251.990000000223517
FS( 31 ),2401829.200000000186265,2458730.949999999720603,2703100.340000000316650,2449580.199999999720603,10013240.689999999478459
FS( 32 ),2405605.000000000465661,2453228.409999999683350,2680346.359999999869615,2468907.790000000037253,10008087.559999998658895
FS( 33 ),2399563.720000000204891,2392700.469999999739230,2642001.689999999944121,2415967.000000000000000,9850232.879999998956919
FS( 34 ),2392012.120000000577420,2417461.899999999441206,2620090.450000000186265,2366387.529999999795109,9795952.000000000000000
FS( 35 ),2396543.080000000074506,2458730.949999999720603,2642001.689999999944121,2442017.229999999981374,9939292.949999999254942
FS( 36 ),2398430.980000000447035,2486243.649999999441206,2647058.129999999888241,2487395.050000000279397,10019127.810000000521541
FS( 37 ),2398430.980000000447035,2486243.649999999441206,2647058.129999999888241,2487395.050000000279397,10019127.810000000521541
FS( 38 ),2382572.620000000577420,2464233.489999999757856,2662648.819999999832362,2515966.270000000018626,10025421.199999999254942
FS( 39 ),2360295.400000000372529,2494497.459999999497086,2637787.990000000223517,2507562.970000000204891,10000143.820000000298023
FS( 40 ),2363316.040000000502914,2543103.229999999515712,2649586.350000000093132,2526890.560000000055879,10082896.179999999701977
FS( 41 ),2348968.000000000465661,2489912.009999999776483,2607870.720000000204891,2468067.459999999962747,9914818.190000001341105
FS( 42 ),2357274.760000000242144,2480741.109999999869615,2633152.919999999925494,2420168.649999999906868,9891337.439999999478459
FS( 43 ),2332732.060000000521541,2398203.009999999776483,2552671.250000000000000,2357984.229999999981374,9641590.550000000745058
FS( 44 ),2353876.540000000502914,2400954.279999999795109,2544243.850000000093132,2398320.069999999832362,9697394.740000000223517
FS( 45 ),2348968.000000000465661,2419296.079999999608845,2561941.390000000130385,2390757.100000000093132,9720962.570000000298023
FS( 46 ),2371245.220000000204891,2455062.589999999850988,2597336.470000000204891,2444538.220000000204891,9868182.500000001862645
FS( 47 ),2371245.220000000204891,2461482.219999999739230,2608713.459999999962747,2453781.850000000093132,9895222.750000000000000
FS( 48 ),2378041.660000000149012,2490829.099999999627471,2618404.970000000204891,2449580.199999999720603,9936855.929999999701977
FS( 49 ),2345569.780000000260770,2464233.489999999757856,2593965.510000000242144,2444538.220000000204891,9848307.000000000000000
FS( 50 ),2381817.460000000428408,2466984.759999999776483,2609977.569999999832362,2461344.819999999832362,9920124.610000001266599
FS( 51 ),2433545.920000000391155,2344094.699999999720603,2597757.839999999850988,2414286.339999999850988,9789684.800000000745058
FS( 52 ),2471303.920000000391155,2293654.750000000000000,2659699.229999999981374,2447059.209999999962747,9871717.109999999403954
FS( 53 ),2492448.400000000372529,2333089.619999999646097,2671918.959999999962747,2487395.050000000279397,9984852.029999999329448
FS( 54 ),2503398.220000000204891,2324835.809999999590218,2657592.379999999888241,2523529.240000000223517,10009355.649999998509884
FS( 55 ),2519256.580000000074506,2328504.169999999925494,2673604.439999999944121,2549579.470000000204891,10070944.660000000149012
FS( 56 ),2529828.820000000298023,2320250.359999999869615,2690459.240000000223517,2575629.699999999720603,10116168.119999999180436
FS( 57 ),2506796.440000000409782,2262473.689999999944121,2636945.250000000000000,2510083.959999999962747,9916299.339999999850988
FS( 58 ),2515858.360000000335276,2278981.309999999590218,2669390.740000000223517,2625209.169999999925494,10089439.580000000074506
FS( 59 ),2510949.820000000298023,2234960.989999999757856,2618826.339999999850988,2547898.810000000055879,9912635.960000000894070
FS( 60 ),2507929.180000000167638,2256971.149999999441206,2618826.339999999850988,2587394.319999999832362,9971120.990000000223517
FS( 61 ),2523787.540000000502914,2249634.429999999701977,2647479.500000000000000,2593276.629999999888241,10014178.100000001490116
FS( 62 ),2527563.340000000316650,2221204.639999999664724,2648322.240000000223517,2552940.790000000037253,9950031.010000001639128
