代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13051455.669999999925494
真實報酬,3051455.669999999925494

夏普值報酬,0.296445567000000
夏普值風險,0.092427982492654
夏普值,3.207314051494767

二次趨勢線,36.564477834179847 x^2 + 3976.501942306828823 x + 10000000.000000000000000
二次加權預期報酬,16286.542813147380002
風險,236596.620060001878301
二次加權趨勢值,0.068836751805740
一次趨勢線,10900.872780314675765 x + 10000000.000000000000000
一次預期報酬,10900.872780314675765
一次風險,352196.685739050852135
一次趨勢值,0.030951094151952
找到最佳解世代,2256
找到最佳解實驗#,1
找到最佳解次數,38

stock[index](rank)
投資組合檔數,5
CSCO[4](4),INTC[11](3),MRK[17](25),NKE[19](7),V[25](1),
Stock#,CSCO[4](4),INTC[11](3),MRK[17](25),NKE[19](7),V[25](1),
張數,62853,55370,30646,38240,20964,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,17.540000000037253,35.600000000093132,42.039999999804422,48.000000000000000,34.399999999906868,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2010056.479999999981374,2011074.000000000000000,2006435.659999999683350,2026003.199999999953434,2015723.000000000000000,10069292.339999999850988
FS( 3 ),1996228.820000000065193,2012181.400000000372529,1994177.259999999543652,2027150.399999999906868,2024108.599999999860302,10053846.480000000447035
FS( 4 ),1983658.219999999972060,2000553.700000000186265,1981918.859999999869615,2006883.199999999953434,2008175.959999999962747,9981189.939999999478459
FS( 5 ),1986800.870000000111759,2007751.800000000046566,1963224.799999999813735,2035563.199999999953434,2014465.159999999916181,10007805.830000000074506
FS( 6 ),1986800.870000000111759,2019933.199999999953434,1936869.239999999990687,2034416.000000000000000,2014465.159999999916181,9992484.470000000670552
FS( 7 ),1971716.150000000139698,1977298.300000000046566,1973337.979999999748543,2044358.400000000139698,1982390.239999999990687,9949101.070000000298023
FS( 8 ),1964173.790000000037253,1978405.699999999953434,1973337.979999999748543,2066155.199999999953434,1960168.399999999906868,9942241.070000000298023
FS( 9 ),1992457.639999999897555,1986711.200000000186265,1939014.459999999962747,2076862.400000000139698,1993291.519999999785796,9988337.220000000670552
FS( 10 ),1986172.340000000083819,1967331.700000000186265,1942079.059999999823049,2090246.399999999906868,1998322.879999999655411,9984152.379999998956919
FS( 11 ),1984915.280000000027940,1955150.300000000279397,1936562.779999999795109,2022944.000000000000000,1974214.280000000027940,9873786.639999998733401
FS( 12 ),1988057.929999999934807,1949613.300000000046566,1929820.659999999683350,1954112.000000000000000,1974214.280000000027940,9795818.169999999925494
FS( 13 ),2010685.010000000009313,1966224.300000000046566,1951579.319999999832362,1989292.800000000046566,1987211.959999999962747,9904993.390000000596046
FS( 14 ),2001885.590000000083819,1930233.800000000046566,1977628.419999999925494,1971702.400000000139698,1978616.719999999739230,9860066.929999999701977
FS( 15 ),2001257.060000000055879,1914730.199999999953434,2006129.199999999720603,2011089.600000000093132,1981970.959999999962747,9915177.019999999552965
