代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14010890.619999999180436
真實報酬,4010890.619999999180436

夏普值報酬,0.392389062000000
夏普值風險,0.107156031741333
夏普值,3.661847640524782

二次趨勢線,-2.555713852407343 x^2 + 19220.992419930211327 x + 10000000.000000000000000
二次加權預期報酬,18363.976374756279256
風險,296826.401018669537734
二次加權趨勢值,0.061867732491899
一次趨勢線,18738.922799873114855 x + 10000000.000000000000000
一次預期報酬,18738.922799873114855
一次風險,297377.210111364605837
一次趨勢值,0.063013984134344
找到最佳解世代,3039
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
PG[21](1),
Stock#,PG[21](1),
張數,136147,
分配資金,10000000.000000000000000,
剩餘資金,2.849999999627471,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10099387.310000000521541,10099387.310000000521541
FS( 3 ),10070796.439999999478459,10070796.439999999478459
FS( 4 ),10122532.299999998882413,10122532.299999998882413
FS( 5 ),10314499.570000000298023,10314499.570000000298023
FS( 6 ),10507828.310000000521541,10507828.310000000521541
FS( 7 ),10555479.759999999776483,10555479.759999999776483
FS( 8 ),10515997.129999998956919,10515997.129999998956919
FS( 9 ),10411163.939999999478459,10411163.939999999478459
FS( 10 ),10345813.379999998956919,10345813.379999998956919
FS( 11 ),10535057.709999999031425,10535057.709999999031425
FS( 12 ),10325391.330000000074506,10325391.330000000074506
FS( 13 ),10392103.359999999403954,10392103.359999999403954
FS( 14 ),10326752.799999998882413,10326752.799999998882413
FS( 15 ),10407079.529999999329448,10407079.529999999329448
FS( 16 ),10541865.060000000521541,10541865.060000000521541
FS( 17 ),10590877.980000000447035,10590877.980000000447035
FS( 18 ),10619468.849999999627471,10619468.849999999627471
FS( 19 ),10577263.279999999329448,10577263.279999999329448
FS( 20 ),10626276.199999999254942,10626276.199999999254942
FS( 21 ),10627637.669999999925494,10627637.669999999925494
FS( 22 ),10637167.959999999031425,10637167.959999999031425
FS( 23 ),10605854.150000000372529,10605854.150000000372529
FS( 24 ),10784206.719999998807907,10784206.719999998807907
FS( 25 ),10797821.419999999925494,10797821.419999999925494
FS( 26 ),10600408.269999999552965,10600408.269999999552965
FS( 27 ),10867256.389999998733401,10867256.389999998733401
FS( 28 ),10777399.369999999180436,10777399.369999999180436
FS( 29 ),10740639.679999999701977,10740639.679999999701977
FS( 30 ),10797821.419999999925494,10797821.419999999925494
