代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14168481.519999999552965
真實報酬,4168481.519999999552965

夏普值報酬,0.408148152000000
夏普值風險,0.097707395569262
夏普值,4.177249323063532

二次趨勢線,17.372489018551011 x^2 + 11790.400154894581647 x + 10000000.000000000000000
二次加權預期報酬,17615.974805782028852
風險,156622.595762768498389
二次加權趨勢值,0.112474031732078
一次趨勢線,15067.272944361902773 x + 10000000.000000000000000
一次預期報酬,15067.272944361902773
一次風險,199132.042662181804189
一次趨勢值,0.075664733525196
找到最佳解世代,1882
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](3),CAT[3](5),DD[7](4),INTC[11](2),MRK[17](9),MSFT[18](6),
Stock#,AAPL[0](3),CAT[3](5),DD[7](4),INTC[11](2),MRK[17](9),MSFT[18](6),
張數,23877,20199,31257,75517,35303,52279,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,51.400000000139698,46.510000000009313,42.760000000009313,5.810000000055879,11.369999999878928,11.479999999981374,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1701048.880000000121072,1687470.970000000204891,1681669.359999999869615,1709710.690000000176951,1683258.409999999916181,1631116.280000000027940,10094278.589999999850988
FS( 3 ),1689349.150000000139698,1675553.560000000055879,1709800.660000000149012,1706690.010000000242144,1677256.899999999906868,1633207.439999999944121,10091861.720000000670552
FS( 4 ),1699377.490000000223517,1684441.120000000111759,1716364.629999999888241,1711976.200000000186265,1676550.839999999850988,1628502.329999999841675,10117216.610000001266599
FS( 5 ),1726597.270000000251457,1728878.920000000158325,1727617.150000000139698,1730100.280000000027940,1685376.589999999850988,1655164.619999999878928,10253738.830000000074506
FS( 6 ),1687200.219999999972060,1749481.899999999906868,1779816.339999999850988,1736141.639999999897555,1693849.309999999823049,1693328.290000000037253,10339821.699999999254942
FS( 7 ),1595512.540000000037253,1759985.379999999888241,1773877.510000000009313,1722548.580000000074506,1699497.789999999804422,1711625.940000000176951,10263051.739999998360872
FS( 8 ),1612465.210000000195578,1754127.670000000158325,1729805.140000000130385,1708955.520000000018626,1689259.919999999925494,1709011.989999999757856,10203629.450000001117587
FS( 9 ),1585722.969999999972060,1757561.500000000000000,1774815.219999999972060,1770124.290000000037253,1687141.739999999757856,1726786.850000000093132,10302156.569999998435378
FS( 10 ),1535342.500000000000000,1760995.330000000074506,1771689.520000000018626,1766348.440000000176951,1701262.939999999711290,1714762.679999999934807,10250405.410000000149012
FS( 11 ),1553250.250000000000000,1758773.439999999944121,1767626.109999999869615,1792779.389999999897555,1694908.399999999906868,1721558.949999999953434,10288900.539999999105930
FS( 12 ),1585006.659999999916181,1774326.670000000158325,1818887.589999999850988,1804862.109999999869615,1708676.569999999832362,1741947.760000000009313,10433711.359999999403954
FS( 13 ),1611032.590000000083819,1772508.760000000009313,1807635.070000000065193,1806372.450000000186265,1703734.149999999906868,1758677.040000000037253,10459964.059999998658895
FS( 14 ),1594318.689999999944121,1711911.760000000009313,1767313.540000000037253,1795044.900000000139698,1694908.399999999906868,1714239.889999999897555,10277741.180000001564622
FS( 15 ),1673590.330000000307336,1717567.479999999981374,1746683.920000000158325,1783717.350000000093132,1683258.409999999916181,1711625.940000000176951,10316447.429999999701977
FS( 16 ),1668337.390000000363216,1719183.399999999906868,1741057.660000000149012,1790513.880000000121072,1677962.959999999962747,1696987.820000000065193,10294047.109999999403954
FS( 17 ),1642550.230000000214204,1706862.010000000009313,1774190.079999999841675,1789758.709999999962747,1682905.379999999888241,1699601.769999999785796,10295872.179999999701977
FS( 18 ),1658547.820000000065193,1700802.310000000055879,1780128.910000000149012,1767858.780000000027940,1683258.409999999916181,1713194.310000000055879,10303794.540000000968575
FS( 19 ),1646609.320000000065193,1692722.709999999962747,1736994.250000000000000,1735386.469999999972060,1687141.739999999757856,1739333.810000000055879,10238192.300000000745058
FS( 20 ),1626313.870000000111759,1684643.110000000102445,1709488.089999999850988,1730855.450000000186265,1680787.199999999953434,1739856.600000000093132,10171948.320000000298023
FS( 21 ),1664517.070000000065193,1691914.750000000000000,1705424.680000000167638,1724058.919999999925494,1720679.589999999850988,1755540.299999999813735,10262139.309999998658895
FS( 22 ),1670008.780000000027940,1698176.439999999944121,1722616.030000000027940,1728589.940000000176951,1707617.479999999748543,1773315.160000000149012,10300327.830000000074506
FS( 23 ),1648997.020000000251457,1696156.540000000037253,1725741.729999999981374,1706690.010000000242144,1707264.449999999953434,1770178.419999999925494,10255032.169999999925494
FS( 24 ),1647564.400000000139698,1700802.310000000055879,1780128.910000000149012,1722548.580000000074506,1702675.059999999823049,1771224.000000000000000,10324947.259999999776483
FS( 25 ),1663800.760000000242144,1687268.979999999981374,1751685.040000000037253,1724058.919999999925494,1690672.039999999804422,1740902.179999999934807,10258391.919999999925494
FS( 26 ),1640640.070000000065193,1673533.659999999916181,1714801.780000000027940,1697627.969999999972060,1685729.619999999878928,1725741.269999999785796,10138078.369999999180436
FS( 27 ),1659741.670000000158325,1687066.989999999990687,1732618.270000000018626,1705934.840000000083819,1668784.179999999934807,1728878.010000000009313,10183027.959999999031425
FS( 28 ),1670247.550000000279397,1711507.780000000027940,1798257.969999999972060,1744448.510000000242144,1676550.839999999850988,1764950.519999999785796,10365967.169999999925494
FS( 29 ),1680992.200000000186265,1729282.899999999906868,1828264.690000000176951,1756531.230000000214204,1669490.239999999757856,1784293.750000000000000,10448859.009999999776483
FS( 30 ),1691975.620000000111759,1742008.270000000018626,1817012.170000000158325,1770879.459999999962747,1650426.619999999878928,1801023.030000000027940,10473329.169999999925494
