代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13875051.120000001043081
真實報酬,3875051.120000001043081

夏普值報酬,0.378805112000000
夏普值風險,0.139906020834659
夏普值,2.707568335802168

二次趨勢線,140.813348031685564 x^2 + -17218.247851199434081 x + 10000000.000000000000000
二次加權預期報酬,30188.912652801373042
風險,285636.541765491478145
二次加權趨勢值,0.105689952924814
一次趨勢線,9448.175367933685266 x + 10000000.000000000000000
一次預期報酬,9448.175367933685266
一次風險,1044533.352693862281740
一次趨勢值,0.009045355367128
找到最佳解世代,1905
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](3),HD[9](1),PFE[20](12),
FS( 42 ),3215418.000000000000000,3211067.349999999627471,3277830.350000000093132,9704316.699999999254942
FS( 43 ),3230915.399999999906868,3232486.149999999906868,3266729.820000000298023,9730132.370000001043081
FS( 44 ),3304359.599999999627471,3278001.099999999627471,3290516.669999999925494,9872878.369999999180436
FS( 45 ),3363654.000000000000000,3265506.800000000279397,3295274.040000000037253,9924435.839999999850988
FS( 46 ),3385889.399999999906868,3263721.899999999906868,3295274.040000000037253,9944886.339999999850988
FS( 47 ),3438445.799999999813735,3306559.499999999534339,3208055.589999999850988,9953061.889999998733401
FS( 48 ),3462702.600000000093132,3268184.149999999906868,3196955.060000000055879,9927842.810000000521541
FS( 49 ),3407451.000000000000000,3244980.449999999720603,3177925.579999999608845,9830358.029999999329448
FS( 50 ),3405429.599999999627471,3222669.199999999720603,3171582.419999999925494,9799682.219999998807907
FS( 51 ),3446531.399999999906868,3224454.100000000093132,3169996.629999999888241,9840983.129999998956919
FS( 52 ),3443836.199999999720603,3209282.450000000186265,3157310.310000000055879,9810429.960000000894070
FS( 53 ),3512563.800000000279397,3204820.199999999720603,3131937.669999999925494,9849322.669999999925494
FS( 54 ),3598136.399999999906868,3185186.299999999813735,3114493.979999999981374,9897817.679999999701977
FS( 55 ),3627783.600000000093132,3222669.199999999720603,3162067.680000000167638,10012521.480000000447035
FS( 56 ),3724137.000000000000000,3249442.699999999720603,3155724.519999999552965,10129305.219999998807907
FS( 57 ),3728179.799999999813735,3277108.649999999906868,3187440.320000000298023,10192729.769999999552965
FS( 58 ),3786126.599999999627471,3259259.650000000372529,3182682.950000000186265,10228070.199999999254942
FS( 59 ),3835987.799999999813735,3270861.500000000000000,3141452.409999999683350,10248302.709999999031425
FS( 60 ),3883153.800000000279397,3247657.800000000279397,3112908.189999999944121,10243720.790000000968575
FS( 61 ),3778714.799999999813735,3179831.600000000093132,3060577.120000000111759,10019124.519999999552965
FS( 62 ),3771303.000000000000000,3136994.000000000000000,3070091.859999999869615,9978389.859999999403954
FS( 63 ),3758500.799999999813735,3117360.100000000093132,3052648.169999999925494,9928510.070000000298023
FS( 64 ),3819142.799999999813735,3056673.500000000000000,3014589.209999999962747,9890406.509999999776483
FS( 65 ),3743677.200000000186265,2929053.149999999906868,2876625.479999999981374,9549356.830000000074506
FS( 66 ),3778714.799999999813735,2940655.000000000465661,2859181.790000000037253,9578552.589999999850988
FS( 67 ),3632500.199999999720603,2829098.750000000000000,2752933.859999999869615,9214533.809999998658895
FS( 68 ),3596114.999999999534339,2743423.549999999813735,2773549.129999999888241,9113088.679999999701977
FS( 69 ),3400039.200000000186265,2581890.100000000093132,2641928.560000000055879,8623858.860000001266599
FS( 70 ),3600157.799999999813735,2690769.000000000000000,2790992.820000000298023,9081920.620000001043081
FS( 71 ),3501109.200000000186265,2544407.200000000186265,2703774.370000000111759,8749291.769999999552965
FS( 72 ),3597462.600000000093132,2681844.500000000000000,2824294.409999999683350,9103602.509999999776483
FS( 73 ),3629131.199999999720603,2729144.349999999627471,2832223.359999999869615,9190499.909999998286366
FS( 74 ),3690447.000000000000000,2807679.950000000186265,2908341.279999999795109,9406469.230000000447035
FS( 75 ),3662147.399999999906868,2955826.649999999906868,2903583.909999999683350,9521558.959999999031425
FS( 76 ),3662147.399999999906868,2981707.699999999720603,2932128.129999999888241,9575984.230000000447035
FS( 77 ),3523344.599999999627471,2870151.449999999720603,2808436.510000000242144,9201933.559999998658895
FS( 78 ),3426991.199999999720603,2845162.850000000093132,2802093.350000000093132,9074248.400000000372529
FS( 79 ),3431034.000000000000000,2880860.850000000093132,2803679.139999999664724,9115574.989999998360872
FS( 80 ),3596114.999999999534339,2954934.199999999720603,2892483.379999999888241,9443533.579999998211861
FS( 81 ),3621045.600000000093132,3067382.899999999906868,2916270.229999999981374,9604699.730000000447035
FS( 82 ),3597462.600000000093132,3020083.050000000279397,2848081.260000000242144,9465627.910000000149012
FS( 83 ),3692468.399999999906868,3034362.250000000000000,2887726.010000000242144,9614557.660000000149012
FS( 84 ),3753784.200000000186265,3033469.800000000279397,2993973.939999999944121,9781228.939999999478459
FS( 85 ),3753784.200000000186265,2995986.899999999906868,2993973.939999999944121,9743746.039999999105930
FS( 86 ),3704596.799999999813735,2979030.350000000093132,3009831.839999999850988,9693459.990000000223517
FS( 87 ),3667537.799999999813735,2938870.100000000093132,2998731.310000000055879,9605140.210000000894070
FS( 88 ),3600831.599999999627471,2871936.350000000093132,2927370.760000000242144,9400139.709999999031425
FS( 89 ),3655409.399999999906868,2860334.499999999534339,2957500.769999999552965,9473245.669999998062849
FS( 90 ),3695837.399999999906868,2933515.399999999906868,3014589.209999999962747,9643943.009999999776483
FS( 91 ),3697858.800000000279397,2896924.950000000186265,2984459.200000000186265,9579243.949999999254942
FS( 92 ),3633847.799999999813735,2844270.399999999906868,2898826.540000000037253,9376945.739999998360872
FS( 93 ),3657430.799999999813735,2887108.000000000000000,2894069.169999999925494,9438608.969999998807907
FS( 94 ),3702575.399999999906868,2914773.949999999720603,2906755.489999999757856,9524105.839999999850988
FS( 95 ),3747046.199999999720603,2993309.549999999813735,2919441.810000000055879,9659798.560000000521541
FS( 96 ),3782757.600000000093132,3059350.850000000093132,2932128.129999999888241,9774237.580000000074506
FS( 97 ),3854854.200000000186265,3088801.699999999720603,2878211.269999999552965,9821868.169999999925494
FS( 98 ),3961988.399999999906868,3065598.000000000000000,2863939.159999999683350,9891526.560000000521541
FS( 99 ),3979507.200000000186265,3106650.700000000186265,2892483.379999999888241,9978642.280000001192093
FS( 100 ),3967378.800000000279397,3020083.050000000279397,2829051.779999999795109,9816514.630000000819564
FS( 101 ),3867656.399999999906868,2949579.499999999534339,2773549.129999999888241,9590786.029999999329448
FS( 102 ),3891913.199999999720603,3009373.649999999906868,2767205.969999999739230,9668493.820000000298023
FS( 103 ),3881132.399999999906868,3034362.250000000000000,2817951.250000000000000,9733446.900000000372529
FS( 104 ),3843399.599999999627471,3023652.850000000093132,2814779.669999999925494,9681833.119999999180436
FS( 105 ),3821838.000000000000000,2998664.250000000000000,2784649.659999999683350,9605152.910000000149012
FS( 106 ),3759848.399999999906868,3015620.799999999813735,2851252.839999999850988,9626723.039999999105930
FS( 107 ),3670233.000000000000000,2933515.399999999906868,2803679.139999999664724,9407428.539999999105930
FS( 108 ),3605548.199999999720603,2819281.799999999813735,2748176.489999999757856,9173007.490000000223517
FS( 109 ),3585334.200000000186265,2897817.399999999906868,2789407.029999999795109,9272559.629999998956919
FS( 110 ),3641259.599999999627471,2929945.599999999627471,2851252.839999999850988,9422459.039999999105930
FS( 111 ),3632500.199999999720603,2979030.350000000093132,2890897.589999999850988,9502429.140000000596046
FS( 112 ),3559729.799999999813735,3027222.650000000372529,2924199.180000000167638,9511152.630000000819564
FS( 113 ),3742329.599999999627471,3093263.949999999720603,3000317.100000000093132,9835911.649999998509884
FS( 114 ),3852832.799999999813735,3097726.200000000186265,2989216.570000000298023,9939776.570000000298023
FS( 115 ),3871699.200000000186265,3098618.649999999906868,2984459.200000000186265,9954778.050000000745058
FS( 116 ),3931667.399999999906868,3070952.699999999720603,2974944.459999999962747,9977565.559999998658895
FS( 117 ),4062384.599999999627471,3128069.499999999534339,3019346.579999999608845,10209801.679999999701977
FS( 118 ),4042844.399999999906868,3092371.500000000000000,2963843.930000000167638,10099060.830000000074506
FS( 119 ),4064406.000000000000000,3208390.000000000465661,3008246.049999999813735,10281043.050000000745058
FS( 120 ),3837335.399999999906868,3159305.250000000000000,2982873.409999999683350,9979515.060000000521541
FS( 121 ),3804993.000000000000000,3188756.099999999627471,2970187.089999999850988,9963937.189999999478459
FS( 122 ),3781409.999999999534339,3289602.949999999720603,3022518.159999999683350,10093532.109999999403954
FS( 123 ),3906063.000000000000000,3275323.750000000465661,3070091.859999999869615,10251479.609999999403954
FS( 124 ),3828576.000000000000000,3216422.049999999813735,2992388.149999999906868,10037387.199999999254942
FS( 125 ),3856201.799999999813735,3261936.999999999534339,3057405.540000000037253,10175545.339999999850988
FS( 126 ),3895282.200000000186265,3335117.899999999906868,3119251.350000000093132,10349652.449999999254942
FS( 127 ),3897977.399999999906868,3223561.649999999906868,3143038.200000000186265,10264578.250000000000000
FS( 128 ),3896629.799999999813735,3195003.249999999534339,3054233.959999999962747,10145868.009999997913837
FS( 129 ),3816447.600000000093132,3171799.549999999813735,3065334.489999999757856,10053582.640000000596046
FS( 130 ),3825207.000000000000000,3211959.800000000279397,3097050.290000000037253,10134218.089999999850988
FS( 131 ),3879784.799999999813735,3253012.500000000465661,3152552.939999999944121,10285351.240000000223517
FS( 132 ),3852832.799999999813735,3247657.800000000279397,3117665.560000000055879,10218157.160000000149012
FS( 133 ),3847442.399999999906868,3332440.550000000279397,3182682.950000000186265,10362566.900000000372529
FS( 134 ),3910105.799999999813735,3385987.549999999813735,3184268.739999999757856,10480363.089999999850988
FS( 135 ),3804993.000000000000000,3316376.449999999720603,3066920.279999999795109,10188290.729999998584390
FS( 136 ),3707965.799999999813735,3319946.250000000465661,3138280.829999999608845,10166193.880000000819564
FS( 137 ),3702575.399999999906868,3396696.950000000186265,3169996.629999999888241,10269269.980000000447035
FS( 138 ),3650692.799999999813735,3413653.500000000000000,3138280.829999999608845,10202628.129999998956919
FS( 139 ),3743003.399999999906868,3397589.399999999906868,3150967.149999999906868,10291560.949999999254942
FS( 140 ),3703923.000000000000000,3377063.050000000279397,3103393.450000000186265,10184380.500000000000000
FS( 141 ),3633174.000000000000000,3357429.149999999906868,3087535.549999999813735,10078139.699999999254942
FS( 142 ),3608917.200000000186265,3380632.850000000093132,3097050.290000000037253,10086601.339999999850988
FS( 143 ),3552318.000000000000000,3307451.950000000186265,3006660.260000000242144,9866431.210000000894070
FS( 144 ),3624414.599999999627471,3311021.750000000000000,2997145.519999999552965,9932582.869999999180436
FS( 145 ),3532777.799999999813735,3259259.650000000372529,2925784.969999999739230,9717823.419999999925494
FS( 146 ),3499761.599999999627471,3254797.399999999906868,2925784.969999999739230,9680344.969999998807907
FS( 147 ),3620371.799999999813735,3328870.749999999534339,3027275.529999999795109,9976519.079999998211861
FS( 148 ),3592072.200000000186265,3477017.450000000186265,3076435.019999999552965,10145525.669999999925494
FS( 149 ),3678992.399999999906868,3500221.149999999906868,3182682.950000000186265,10361897.500000000000000
FS( 150 ),3734244.000000000000000,3510930.550000000279397,3176339.790000000037253,10421515.339999999850988
FS( 151 ),3751089.000000000000000,3564477.549999999813735,3154138.729999999981374,10469706.279999999329448
FS( 152 ),3782757.600000000093132,3590358.599999999627471,3146209.779999999795109,10519326.979999998584390
FS( 153 ),3763217.399999999906868,3598390.649999999906868,3208055.589999999850988,10569664.640000000596046
FS( 154 ),3745024.799999999813735,3634981.099999999627471,3246114.549999999813735,10626121.449999999254942
FS( 155 ),3760522.200000000186265,3561800.199999999720603,3201712.430000000167638,10524035.830000000074506
FS( 156 ),3788821.799999999813735,3590358.599999999627471,3260386.659999999683350,10639568.059999998658895
FS( 157 ),3771976.799999999813735,3574294.499999999534339,3233428.229999999981374,10579700.529999999329448
FS( 158 ),3742329.599999999627471,3526102.199999999720603,3292102.459999999962747,10560535.259999997913837
FS( 159 ),3659452.200000000186265,3493081.550000000279397,3307960.359999999869615,10460495.109999999403954
FS( 160 ),3647323.800000000279397,3518070.150000000372529,3352362.479999999981374,10517757.430000001564622
FS( 161 ),3667537.799999999813735,3607315.150000000372529,3334918.790000000037253,10609772.740000000223517
FS( 162 ),3678992.399999999906868,3587681.250000000465661,3352362.479999999981374,10619037.130000000819564
FS( 163 ),3811057.200000000186265,3743860.000000000465661,3403107.760000000242144,10958025.960000000894070
FS( 164 ),3816447.600000000093132,3748322.250000000000000,3437995.139999999664724,11002765.989999998360872
FS( 165 ),3836661.599999999627471,3741182.650000000372529,3430066.189999999944121,11007911.439999999478459
FS( 166 ),3882479.999999999534339,3756354.300000000279397,3461781.989999999757856,11100617.289999999105930
FS( 167 ),3913474.799999999813735,3767956.149999999906868,3452267.250000000000000,11133699.199999999254942
FS( 168 ),3875742.000000000000000,3706377.100000000093132,3414208.290000000037253,10996328.390000000596046
FS( 169 ),3899324.999999999534339,3749214.699999999720603,3442752.510000000242144,11091293.209999999031425
FS( 170 ),3898651.199999999720603,3751892.049999999813735,3431651.979999999981374,11082196.230000000447035
FS( 171 ),3958619.399999999906868,3760816.550000000279397,3483983.049999999813735,11203420.000000000000000
FS( 172 ),3979507.200000000186265,3814363.550000000279397,3452267.250000000000000,11246139.000000000000000
FS( 173 ),4023978.000000000000000,3845599.300000000279397,3425308.820000000298023,11294887.120000001043081
FS( 174 ),4065753.600000000093132,3855416.250000000465661,3420551.450000000186265,11341722.300000000745058
FS( 175 ),4059689.399999999906868,3858093.599999999627471,3460196.200000000186265,11377980.199999999254942
FS( 176 ),4073839.200000000186265,3884867.100000000093132,3479225.680000000167638,11437932.980000000447035
FS( 177 ),4067101.199999999720603,3878619.950000000186265,3472882.519999999552965,11418604.669999999925494
FS( 178 ),4056320.399999999906868,3872372.800000000279397,3487154.629999999888241,11415848.830000000074506
FS( 179 ),4040823.000000000000000,3883082.199999999720603,3463367.779999999795109,11387273.979999998584390
FS( 180 ),4087989.000000000000000,3903608.550000000279397,3479225.680000000167638,11470824.230000000447035
FS( 181 ),4130438.399999999906868,4005347.850000000093132,3483983.049999999813735,11619770.300000000745058
FS( 182 ),4117636.199999999720603,4052647.699999999720603,3463367.779999999795109,11633652.679999999701977
FS( 183 ),4045539.599999999627471,3972327.199999999720603,3472882.519999999552965,11490750.319999998435378
FS( 184 ),4114267.200000000186265,4005347.850000000093132,3442752.510000000242144,11562368.560000000521541
FS( 185 ),4046887.200000000186265,4012487.450000000186265,3434823.560000000055879,11494199.210000000894070
FS( 186 ),4299562.199999999254942,4039260.949999999720603,3444338.299999999813735,11783162.449999999254942
FS( 187 ),4280022.000000000000000,4011595.000000000465661,3430066.189999999944121,11721684.189999999478459
FS( 188 ),4305626.400000000372529,4004455.399999999906868,3406279.339999999850988,11716362.140000000596046
FS( 189 ),4360878.000000000000000,3995530.900000000372529,3422137.239999999757856,11778547.140000000596046
FS( 190 ),4393894.199999999254942,3961617.800000000279397,3393593.019999999552965,11749106.019999999552965
FS( 191 ),4391199.000000000000000,3968757.399999999906868,3379320.909999999683350,11739278.310000000521541
FS( 192 ),4381092.000000000000000,3967864.950000000186265,3347605.109999999869615,11696563.060000000521541
FS( 193 ),4424889.000000000000000,4031228.900000000372529,3361877.219999999739230,11817996.120000001043081
FS( 194 ),4465990.800000000745058,4033906.250000000465661,3322232.469999999739230,11822130.519999999552965
FS( 195 ),4513156.800000000745058,4057109.950000000186265,3338090.370000000111759,11908358.120000001043081
FS( 196 ),4588622.400000000372529,4031228.900000000372529,3331747.209999999962747,11951599.510000001639128
FS( 197 ),4746965.400000000372529,4040153.400000000372529,3352362.479999999981374,12139482.280000001192093
FS( 198 ),4749660.599999999627471,4045508.099999999627471,3338090.370000000111759,12133260.070000000298023
FS( 199 ),4837928.400000000372529,4099055.100000000093132,3377735.120000000111759,12314719.620000001043081
FS( 200 ),4903960.800000000745058,4110656.950000000186265,3382492.489999999757856,12397111.240000000223517
FS( 201 ),4790762.400000000372529,4079421.200000000186265,3347605.109999999869615,12217789.710000000894070
FS( 202 ),4833885.599999999627471,4099055.100000000093132,3382492.489999999757856,12315434.189999999478459
FS( 203 ),4833211.800000000745058,4168666.200000000186265,3360291.430000000167638,12362170.429999999701977
FS( 204 ),4955843.400000000372529,4187407.650000000372529,3365048.799999999813735,12508300.850000001490116
FS( 205 ),4938324.599999999627471,4156171.899999999906868,3387249.859999999869615,12481747.359999999403954
FS( 206 ),4970667.000000000000000,4190085.000000000465661,3334918.790000000037253,12495671.789999999105930
FS( 207 ),5028613.799999998882413,4192762.349999999627471,3358705.639999999664724,12580082.789999999105930
FS( 208 ),5060956.199999999254942,4188300.100000000093132,3371391.959999999962747,12620649.259999997913837
FS( 209 ),5153940.599999999627471,4215073.599999999627471,3365048.799999999813735,12734064.000000000000000
FS( 210 ),5221320.599999999627471,4245416.900000000372529,3350776.689999999944121,12817515.189999999478459
FS( 211 ),5240860.800000000745058,4235599.950000000186265,3407865.129999999888241,12884326.879999998956919
FS( 212 ),5247598.799999998882413,4231137.699999999254942,3395178.810000000055879,12873916.309999998658895
FS( 213 ),5132379.000000000000000,4229352.799999999813735,3409450.919999999925494,12771183.720000000670552
FS( 214 ),5104079.400000000372529,4140107.800000000279397,3372977.750000000000000,12617165.950000001117587
FS( 215 ),5108122.199999999254942,4229352.799999999813735,3388835.649999999906868,12726311.650000000372529
FS( 216 ),5217277.800000000745058,4267728.150000000372529,3403107.760000000242144,12888114.710000000894070
FS( 217 ),5247598.799999998882413,4292716.750000000000000,3406279.339999999850988,12946595.889999998733401
FS( 218 ),5313631.199999999254942,4336446.800000000745058,3415794.079999999608845,13065873.080000000074506
FS( 219 ),5468605.199999999254942,4385531.549999999813735,3490326.209999999962747,13344463.960000000894070
FS( 220 ),5675461.800000000745058,4414982.399999999441206,3477639.889999999664724,13568085.089999999850988
FS( 221 ),5636381.400000000372529,4390886.250000000000000,3474468.310000000055879,13501736.960000000894070
FS( 222 ),5636381.400000000372529,4377499.500000000000000,3479225.680000000167638,13493107.580000000074506
FS( 223 ),5785965.000000000000000,4357865.599999999627471,3469710.939999999944121,13613542.539999999105930
FS( 224 ),5833131.000000000000000,4406950.350000000558794,3457024.620000000111759,13697106.970000002533197
FS( 225 ),5799441.000000000000000,4443540.799999999813735,3452267.250000000000000,13695250.050000000745058
FS( 226 ),5769120.000000000000000,4433723.849999999627471,3445924.089999999850988,13648768.939999999478459
FS( 227 ),5737451.400000000372529,4421229.549999999813735,3460196.200000000186265,13618878.149999998509884
FS( 228 ),5842564.199999999254942,4473884.100000000558794,3514113.060000000055879,13830562.360000001266599
FS( 229 ),5914660.800000000745058,4465852.049999999813735,3568029.919999999925494,13948543.770000001415610
FS( 230 ),5944981.800000000745058,4454250.199999999254942,3553757.810000000055879,13952990.810000000521541
FS( 231 ),5870190.000000000000000,4454250.199999999254942,3555343.600000000093132,13879784.799999998882413
FS( 232 ),5771141.400000000372529,4489948.200000000186265,3591816.769999999552965,13852907.370000001043081
FS( 233 ),5955088.799999998882413,4461389.799999999813735,3582302.029999999795109,13998781.629999997094274
FS( 234 ),6057506.400000000372529,4462282.250000000000000,3574373.079999999608845,14094162.730000000447035
FS( 235 ),6009666.599999999627471,4448895.500000000000000,3550586.229999999981374,14009149.330000000074506
FS( 236 ),6099955.800000000745058,4517614.149999999441206,3542657.279999999795109,14160228.229999998584390
FS( 237 ),6124212.599999999627471,4514044.349999999627471,3496669.370000000111759,14134927.320000000298023
FS( 238 ),6049420.800000000745058,4405165.450000000186265,3487154.629999999888241,13941741.879999998956919
FS( 239 ),6027859.199999999254942,4439971.000000000000000,3480811.469999999739230,13948642.669999998062849
FS( 240 ),5994843.000000000000000,4518506.600000000558794,3476054.100000000093132,13989404.700000001117587
FS( 241 ),5825719.199999999254942,4547957.450000000186265,3464953.570000000298023,13838631.219999998807907
FS( 242 ),5584498.799999998882413,4613106.299999999813735,3485568.839999999850988,13683174.939999997615814
FS( 243 ),5868842.400000000372529,4643449.600000000558794,3537899.909999999683350,14050192.910000000149012
FS( 244 ),5856040.199999999254942,4623815.700000000186265,3560100.969999999739230,14039957.869999997317791
FS( 245 ),5654574.000000000000000,4601504.450000000186265,3542657.279999999795109,13798736.729999998584390
FS( 246 ),5515097.400000000372529,4592579.950000000186265,3577544.659999999683350,13685223.010000001639128
FS( 247 ),5502969.000000000000000,4560451.750000000000000,3549000.439999999944121,13612422.189999999478459
FS( 248 ),5393139.599999999627471,4572053.599999999627471,3588645.189999999944121,13553839.389999998733401
FS( 249 ),5871537.599999999627471,4632740.199999999254942,3628289.939999999944121,14132568.739999998360872
FS( 250 ),5849302.199999999254942,4629170.399999999441206,3656834.159999999683350,14135307.759999997913837
FS( 251 ),5804157.599999999627471,4636310.000000000000000,3660005.739999999757856,14100474.339999999850988
FS( 252 ),5621557.800000000745058,4622030.799999999813735,3631461.519999999552965,13875051.120000001043081
