代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12593908.939999999478459
真實報酬,2593908.939999999478459

夏普值報酬,0.250690894000000
夏普值風險,0.098327986530170
夏普值,2.549537551275708

二次趨勢線,58.511445280174556 x^2 + -1201.614022489729905 x + 10000000.000000000000000
二次加權預期報酬,18497.239221835701755
風險,278473.607202198531013
二次加權趨勢值,0.066423670837879
一次趨勢線,9878.947478350317397 x + 10000000.000000000000000
一次預期報酬,9878.947478350317397
一次風險,501838.733778469555546
一次趨勢值,0.019685502161161
找到最佳解世代,1698
找到最佳解實驗#,1
找到最佳解次數,27

stock[index](rank)
投資組合檔數,2
HD[9](1),MCD[15](3),
Stock#,HD[9](1),MCD[15](3),
張數,206953,83542,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,15.519999999552965,11.299999999813735,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5070364.019999999552965,5044277.259999999776483,10114641.279999999329448
FS( 3 ),5043460.129999999888241,5095237.879999999888241,10138698.009999999776483
FS( 4 ),5084850.729999999515712,5032581.379999999888241,10117432.109999999403954
FS( 5 ),5002069.530000000260770,5001670.839999999850988,10003740.370000001043081
FS( 6 ),5082781.199999999254942,4905597.540000000037253,9988378.739999998360872
FS( 7 ),5039321.070000000298023,4935672.659999999217689,9974993.730000000447035
FS( 8 ),5047599.189999999478459,4875522.419999999925494,9923121.609999999403954
FS( 9 ),5014486.709999999962747,4817878.440000000409782,9832365.150000000372529
FS( 10 ),4997930.469999998807907,4875522.419999999925494,9873452.889999998733401
FS( 11 ),4935844.570000000298023,4827068.059999999590218,9762912.629999998956919
FS( 12 ),4801325.119999999180436,4767753.240000000223517,9569078.359999999403954
FS( 13 ),4894453.969999998807907,4792815.839999999850988,9687269.809999998658895
FS( 14 ),4832368.070000000298023,4858814.019999999552965,9691182.089999999850988
FS( 15 ),4867550.079999999143183,4859649.440000000409782,9727199.519999999552965
FS( 16 ),4811672.769999999552965,4778613.700000000186265,9590286.469999998807907
FS( 17 ),4735100.159999999217689,4741855.219999999739230,9476955.379999998956919
FS( 18 ),4693709.559999999590218,4703425.899999999441206,9397135.459999999031425
FS( 19 ),4877897.729999999515712,4800334.620000000111759,9678232.349999999627471
FS( 20 ),4886175.849999999627471,4761905.299999999813735,9648081.149999998509884
FS( 21 ),4939983.629999999888241,4781119.959999999962747,9721103.589999999850988
FS( 22 ),4890314.909999999217689,4802840.879999999888241,9693155.789999999105930
FS( 23 ),4906871.149999999441206,4863826.540000000037253,9770697.689999999478459
FS( 24 ),4720613.449999999254942,4799499.200000000186265,9520112.649999998509884
FS( 25 ),4735100.159999999217689,4844611.879999999888241,9579712.039999999105930
FS( 26 ),4635762.719999998807907,4745196.899999999441206,9380959.619999997317791
FS( 27 ),4689570.500000000000000,4765246.979999999515712,9454817.480000000447035
FS( 28 ),4693709.559999999590218,4742690.639999999664724,9436400.199999999254942
FS( 29 ),4660597.079999999143183,4766082.399999999441206,9426679.479999998584390
FS( 30 ),4782699.349999999627471,4784461.639999999664724,9567160.989999998360872
FS( 31 ),4900662.559999999590218,4800334.620000000111759,9700997.179999999701977
FS( 32 ),4983443.759999998845160,4768588.659999999217689,9752032.419999998062849
FS( 33 ),5049668.719999998807907,4780284.540000000037253,9829953.259999997913837
FS( 34 ),5105546.030000000260770,4832080.580000000074506,9937626.609999999403954
FS( 35 ),5132449.919999999925494,4868839.059999999590218,10001288.980000000447035
FS( 36 ),5062085.899999999441206,4898078.759999999776483,9960164.660000000149012
FS( 37 ),5126241.329999999143183,4913951.740000000223517,10040193.070000000298023
FS( 38 ),5231787.359999999403954,4685882.080000000074506,9917669.439999999478459
