代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14453527.100000001490116
真實報酬,4453527.100000001490116

夏普值報酬,0.436652710000000
夏普值風險,0.111567643131781
夏普值,3.913793441744014

二次趨勢線,10.133484152634082 x^2 + 15832.086943582013191 x + 10000000.000000000000000
二次加權預期報酬,19257.204587172345782
風險,191207.104314097901806
二次加權趨勢值,0.100713855043473
一次趨勢線,17758.708122920976166 x + 10000000.000000000000000
一次預期報酬,17758.708122920976166
一次風險,204624.623162250529276
一次趨勢值,0.086786760305185
找到最佳解世代,1724
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AXP[1](18),CAT[3](2),CVX[5](4),IBM[10](3),KO[14](12),MCD[15](24),PFE[20](5),UNH[23](1),
Stock#,AXP[1](18),CAT[3](2),CVX[5](4),IBM[10](3),KO[14](12),MCD[15](24),PFE[20](5),UNH[23](1),
張數,31895,21089,17291,10053,48732,18836,83388,43133,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,34.950000000186265,54.969999999972060,33.609999999869615,9.979999999981374,24.199999999953434,43.040000000037253,13.879999999888241,5.659999999916181,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1306773.100000000093132,1283531.510000000009313,1281815.439999999711290,1280862.709999999962747,1277289.919999999925494,1276558.760000000009313,1267511.479999999748543,1290113.689999999944121,10264456.609999999403954
FS( 3 ),1293058.250000000232831,1288803.760000000009313,1278011.419999999925494,1286391.859999999869615,1285574.359999999869615,1278065.639999999897555,1270013.119999999878928,1313836.839999999850988,10293755.250000000000000
FS( 4 ),1225121.900000000139698,1218155.609999999869615,1232536.089999999850988,1259449.820000000065193,1249512.679999999934807,1256404.239999999990687,1230820.759999999776483,1308660.879999999888241,9980661.980000000447035
FS( 5 ),1202795.400000000139698,1177453.839999999850988,1233746.459999999729916,1247888.869999999878928,1237817.000000000000000,1257346.040000000037253,1210807.639999999897555,1313836.839999999850988,9881692.089999999850988
FS( 6 ),1225759.800000000279397,1193903.260000000009313,1228040.429999999701977,1243767.139999999897555,1256335.159999999916181,1288048.719999999972060,1213309.280000000027940,1332384.030000000027940,9981547.819999998435378
FS( 7 ),1215553.400000000139698,1198121.060000000055879,1224063.500000000000000,1245576.679999999934807,1251461.959999999962747,1285788.400000000139698,1210807.639999999897555,1316856.149999999906868,9948228.790000000968575
FS( 8 ),1276791.800000000279397,1264340.520000000018626,1282507.079999999841675,1283577.020000000018626,1278264.560000000055879,1306696.360000000102445,1243328.959999999962747,1324188.759999999776483,10259695.060000000521541
FS( 9 ),1279981.300000000279397,1270245.439999999944121,1280605.069999999832362,1291317.829999999841675,1258771.759999999776483,1309898.480000000214204,1289192.359999999869615,1322894.770000000018626,10302907.009999999776483
FS( 10 ),1272326.500000000232831,1286483.969999999972060,1282679.989999999990687,1291820.479999999981374,1255360.520000000018626,1305377.840000000083819,1278351.919999999925494,1319444.129999999888241,10291845.349999997764826
FS( 11 ),1326548.000000000232831,1338362.909999999916181,1300835.540000000037253,1304788.849999999860302,1271442.079999999841675,1326097.440000000176951,1294195.639999999897555,1345323.929999999934807,10507594.390000000596046
FS( 12 ),1350469.250000000232831,1357975.679999999934807,1295994.059999999823049,1310418.530000000027940,1276802.599999999860302,1324025.480000000214204,1290860.119999999878928,1353950.530000000027940,10560496.250000000000000
FS( 13 ),1341538.650000000372529,1369785.520000000018626,1302391.729999999748543,1316751.919999999925494,1275827.959999999962747,1319504.840000000083819,1290026.239999999990687,1358695.159999999916181,10574522.019999999552965
FS( 14 ),1340581.800000000279397,1388765.619999999878928,1305849.929999999701977,1308407.929999999934807,1274853.320000000065193,1316302.719999999972060,1268345.359999999869615,1351362.549999999813735,10554469.230000000447035
FS( 15 ),1358761.950000000186265,1393405.199999999720603,1309308.129999999888241,1313434.429999999934807,1278751.879999999888241,1317056.160000000149012,1259172.679999999934807,1343598.609999999869615,10573489.039999999105930
FS( 16 ),1337711.250000000000000,1352070.760000000009313,1279567.609999999869615,1299862.880000000121072,1278264.560000000055879,1292946.080000000074506,1248332.239999999990687,1321600.780000000027940,10410356.160000000149012
FS( 17 ),1345047.100000000325963,1356710.339999999850988,1249481.270000000018626,1308005.810000000055879,1272904.040000000037253,1292757.719999999972060,1240827.320000000065193,1303053.589999999850988,10368787.189999999478459
FS( 18 ),1309643.650000000372529,1336464.899999999906868,1224755.139999999897555,1288704.050000000046566,1262183.000000000000000,1275805.320000000065193,1205804.359999999869615,1283643.739999999990687,10187004.160000000149012
FS( 19 ),1360994.600000000325963,1364724.159999999916181,1211441.069999999832362,1277947.340000000083819,1224659.359999999869615,1269966.160000000149012,1220814.199999999953434,1288819.699999999953434,10219366.589999997988343
FS( 20 ),1343133.400000000139698,1358186.570000000065193,1209711.969999999739230,1296645.919999999925494,1244639.479999999981374,1268270.919999999925494,1212475.399999999906868,1259057.929999999934807,10192121.589999999850988
FS( 21 ),1278705.500000000232831,1283320.620000000111759,1182046.369999999878928,1257539.750000000000000,1226608.640000000130385,1251883.599999999860302,1190794.519999999785796,1234903.449999999953434,9905802.449999999254942
FS( 22 ),1266266.450000000186265,1266871.199999999953434,1173400.869999999878928,1241354.419999999925494,1221248.119999999878928,1240770.360000000102445,1189126.759999999776483,1224982.859999999869615,9824021.039999999105930
FS( 23 ),1259249.550000000046566,1264762.300000000046566,1166830.290000000037253,1232206.189999999944121,1219298.839999999850988,1256592.599999999860302,1186625.119999999878928,1201259.709999999962747,9786824.599999997764826
FS( 24 ),1257335.850000000325963,1248101.989999999990687,1163890.819999999832362,1225068.560000000055879,1219786.159999999916181,1245856.080000000074506,1179120.199999999953434,1220669.560000000055879,9759829.220000000670552
FS( 25 ),1250637.900000000139698,1261388.060000000055879,1168213.569999999832362,1241153.359999999869615,1229045.239999999990687,1245291.000000000000000,1191628.399999999906868,1246118.030000000027940,9833475.559999998658895
FS( 26 ),1312514.200000000186265,1311368.989999999990687,1200893.559999999823049,1276740.979999999981374,1254385.879999999888241,1267894.200000000186265,1219146.439999999711290,1259489.259999999776483,10102433.509999999776483
FS( 27 ),1343452.350000000093132,1332247.100000000093132,1217492.919999999925494,1286492.389999999897555,1277289.919999999925494,1300103.760000000009313,1235824.039999999804422,1280193.099999999860302,10273095.579999998211861
FS( 28 ),1358124.050000000046566,1364935.050000000046566,1242219.049999999813735,1286391.859999999869615,1276802.599999999860302,1303870.959999999962747,1231654.639999999897555,1292701.669999999925494,10356699.879999998956919
FS( 29 ),1366097.800000000046566,1355655.889999999897555,1242391.959999999729916,1293529.489999999757856,1278264.560000000055879,1317432.879999999888241,1244996.719999999972060,1295720.979999999981374,10394090.279999999329448
FS( 30 ),1408837.100000000325963,1408589.280000000027940,1266253.540000000037253,1311725.419999999925494,1284599.719999999972060,1334385.280000000027940,1233322.399999999906868,1300034.280000000027940,10547747.019999999552965
FS( 31 ),1393846.450000000186265,1406691.270000000018626,1263141.159999999916181,1314138.139999999897555,1287036.320000000065193,1335515.440000000176951,1237491.799999999813735,1307798.219999999972060,10545658.800000000745058
FS( 32 ),1385234.800000000279397,1402684.360000000102445,1262968.250000000000000,1314138.139999999897555,1288010.959999999962747,1343614.919999999925494,1239993.439999999711290,1331952.699999999953434,10568597.569999998435378
FS( 33 ),1319850.050000000279397,1348485.629999999888241,1236340.109999999869615,1287095.570000000065193,1276315.280000000027940,1317432.879999999888241,1214143.159999999916181,1308660.879999999888241,10308323.559999998658895
FS( 34 ),1326229.050000000046566,1366622.169999999925494,1244985.609999999869615,1304788.849999999860302,1273878.679999999934807,1316867.800000000046566,1228319.119999999878928,1329364.719999999972060,10391056.000000000000000
FS( 35 ),1341538.650000000372529,1400997.240000000223517,1264005.709999999729916,1272217.129999999888241,1297270.040000000037253,1334950.360000000102445,1213309.280000000027940,1329796.049999999813735,10454084.460000000894070
FS( 36 ),1312514.200000000186265,1410276.400000000139698,1247925.079999999841675,1259349.290000000037253,1317737.479999999981374,1320635.000000000000000,1209139.879999999888241,1324188.759999999776483,10401766.090000001713634
FS( 37 ),1377580.000000000000000,1434106.969999999972060,1269884.649999999906868,1281465.889999999897555,1322123.359999999869615,1344933.440000000176951,1234990.159999999916181,1337128.659999999916181,10602213.129999998956919
FS( 38 ),1428612.000000000232831,1461733.560000000055879,1271267.929999999701977,1290614.119999999878928,1334306.359999999869615,1316679.440000000176951,1215810.919999999925494,1333678.020000000018626,10652702.350000001490116
FS( 39 ),1449024.800000000279397,1476074.079999999841675,1290288.030000000027940,1290915.709999999962747,1338692.239999999990687,1334950.360000000102445,1252501.639999999897555,1357401.169999999925494,10789848.030000001192093
FS( 40 ),1420957.200000000186265,1458991.990000000223517,1302045.909999999916181,1293127.369999999878928,1341616.159999999916181,1326097.440000000176951,1273348.639999999897555,1327639.399999999906868,10743824.110000001266599
FS( 41 ),1421914.050000000046566,1470380.050000000046566,1306541.569999999832362,1291116.770000000018626,1337230.280000000027940,1314230.760000000009313,1250833.879999999888241,1308229.549999999813735,10700476.910000000149012
FS( 42 ),1421276.150000000372529,1463631.570000000065193,1314495.429999999701977,1286995.040000000037253,1340154.199999999953434,1306884.719999999972060,1258338.799999999813735,1312974.179999999934807,10704750.089999999850988
FS( 43 ),1423827.750000000232831,1471012.719999999972060,1317780.719999999739230,1290815.179999999934807,1343078.119999999878928,1313477.320000000065193,1250833.879999999888241,1313405.509999999776483,10724231.199999999254942
FS( 44 ),1434991.000000000232831,1498428.419999999925494,1345273.409999999916181,1314540.259999999776483,1374753.919999999925494,1323272.040000000037253,1290860.119999999878928,1356107.179999999934807,10938226.349999999627471
FS( 45 ),1422551.950000000186265,1484087.900000000139698,1360143.669999999925494,1310619.590000000083819,1373779.280000000027940,1327039.239999999990687,1362573.799999999813735,1398377.520000000018626,11039172.949999999254942
FS( 46 ),1406923.400000000139698,1499904.650000000139698,1366368.429999999701977,1319667.290000000037253,1378165.159999999916181,1331559.879999999888241,1370912.600000000093132,1419512.689999999711290,11093014.099999999627471
FS( 47 ),1378536.850000000093132,1517619.409999999916181,1367232.979999999748543,1325296.970000000204891,1373779.280000000027940,1327039.239999999990687,1350065.600000000093132,1441510.520000000018626,11081080.849999999627471
FS( 48 ),1387467.450000000186265,1509183.810000000055879,1361354.040000000037253,1308307.399999999906868,1383038.359999999869615,1351337.679999999934807,1354234.999999999767169,1442804.510000000009313,11097728.250000000000000
FS( 49 ),1395441.200000000186265,1519939.199999999720603,1371037.000000000000000,1327005.979999999981374,1391810.119999999878928,1373564.160000000149012,1369244.840000000083819,1444529.830000000074506,11192572.330000001937151
FS( 50 ),1406285.500000000232831,1506231.350000000093132,1366714.250000000000000,1325397.500000000000000,1388398.879999999888241,1372057.280000000027940,1381753.039999999804422,1437628.549999999813735,11184466.350000001490116
FS( 51 ),1370244.150000000139698,1449080.159999999916181,1333688.439999999711290,1305190.970000000204891,1365494.839999999850988,1348135.559999999823049,1334221.879999999888241,1379830.329999999841675,10885886.330000000074506
FS( 52 ),1344409.200000000186265,1423562.469999999972060,1332650.979999999748543,1289809.880000000121072,1357210.399999999906868,1357365.200000000186265,1350899.479999999748543,1385868.949999999953434,10841776.559999998658895
FS( 53 ),1331013.300000000046566,1434317.860000000102445,1338357.010000000009313,1285487.090000000083819,1358185.040000000037253,1354163.080000000074506,1340892.919999999692664,1381555.649999999906868,10823971.949999999254942
FS( 54 ),1324953.250000000232831,1444440.579999999841675,1343717.219999999739230,1284481.790000000037253,1361596.280000000027940,1352279.480000000214204,1336723.520000000018626,1375948.359999999869615,10824140.480000000447035
FS( 55 ),1331332.250000000232831,1470801.829999999841675,1344754.679999999701977,1291317.829999999841675,1367444.119999999878928,1379214.959999999962747,1356736.639999999897555,1395358.209999999962747,10936960.519999999552965
FS( 56 ),1329737.500000000000000,1471012.719999999972060,1332132.250000000000000,1300767.649999999906868,1360621.640000000130385,1379780.040000000037253,1342560.679999999934807,1403553.479999999981374,10920165.960000000894070
FS( 57 ),1306454.150000000139698,1461311.780000000027940,1311383.049999999813735,1295841.679999999934807,1346976.679999999934807,1374505.959999999962747,1336723.520000000018626,1371203.729999999981374,10804400.550000000745058
FS( 58 ),1300075.150000000139698,1452243.510000000009313,1297723.159999999916181,1281767.479999999981374,1347464.000000000000000,1376577.919999999925494,1327550.839999999850988,1363439.789999999804422,10746841.849999999627471
FS( 59 ),1282213.950000000186265,1409643.729999999981374,1297723.159999999916181,1271412.889999999897555,1354773.800000000046566,1381475.280000000027940,1342560.679999999934807,1358695.159999999916181,10698498.650000000372529
FS( 60 ),1262120.100000000093132,1371683.530000000027940,1275763.589999999850988,1255629.679999999934807,1356235.759999999776483,1369796.959999999962747,1319212.039999999804422,1338853.979999999981374,10549295.639999998733401
FS( 61 ),1269455.950000000186265,1364513.270000000018626,1280777.979999999748543,1259349.290000000037253,1349900.599999999860302,1378649.879999999888241,1333388.000000000000000,1378536.339999999850988,10614571.309999998658895
FS( 62 ),1267223.300000000046566,1348696.520000000018626,1267982.639999999897555,1234317.320000000065193,1344052.759999999776483,1378084.800000000046566,1325883.079999999841675,1373791.709999999962747,10540032.129999998956919
FS( 63 ),1304859.400000000139698,1389820.070000000065193,1295648.239999999990687,1253920.669999999925494,1368418.759999999776483,1393718.679999999934807,1341726.799999999813735,1396220.869999999878928,10744333.489999998360872
FS( 64 ),1272326.500000000232831,1359662.800000000046566,1275763.589999999850988,1240550.179999999934807,1353799.159999999916181,1370173.679999999934807,1322547.559999999823049,1376379.689999999944121,10571203.160000000149012
FS( 65 ),1271688.600000000093132,1374214.209999999962747,1280950.889999999897555,1237835.869999999878928,1361596.280000000027940,1376201.200000000186265,1326716.959999999962747,1368184.419999999925494,10597388.430000001564622
FS( 66 ),1309962.600000000093132,1437481.209999999962747,1327463.679999999701977,1264375.790000000037253,1396683.320000000065193,1404078.480000000214204,1357570.520000000018626,1405710.130000000121072,10903325.730000000447035
FS( 67 ),1303902.550000000279397,1445495.030000000027940,1339221.559999999823049,1257037.100000000093132,1398145.280000000027940,1413119.760000000009313,1367577.079999999841675,1417356.039999999804422,10941854.399999998509884
FS( 68 ),1333245.950000000186265,1477972.089999999850988,1348731.609999999869615,1282571.719999999972060,1402531.159999999916181,1414438.280000000027940,1372580.359999999869615,1462645.689999999711290,11094716.859999999403954
FS( 69 ),1278705.500000000232831,1469958.270000000018626,1332305.159999999916181,1266185.330000000074506,1404480.439999999944121,1427811.840000000083819,1361739.919999999692664,1457038.399999999906868,10998224.860000001266599
FS( 70 ),1278067.600000000093132,1491890.829999999841675,1335763.359999999869615,1267492.219999999972060,1409353.640000000130385,1433085.919999999925494,1380919.159999999683350,1460057.709999999962747,11056630.440000001341105
FS( 71 ),1297842.500000000000000,1489781.929999999934807,1337665.369999999878928,1270307.060000000055879,1420562.000000000000000,1400876.360000000102445,1398430.639999999897555,1467390.320000000065193,11082856.179999999701977
FS( 72 ),1281895.000000000000000,1502857.110000000102445,1362910.229999999748543,1286693.449999999953434,1425922.520000000018626,1412931.400000000139698,1416775.999999999767169,1487662.830000000074506,11177648.540000000968575
FS( 73 ),1314746.850000000093132,1523524.329999999841675,1370345.359999999869615,1302979.310000000055879,1414226.839999999850988,1404643.559999999823049,1415108.239999999757856,1497583.419999999925494,11243157.909999998286366
FS( 74 ),1287955.050000000279397,1514877.839999999850988,1374841.020000000018626,1295339.030000000027940,1403505.800000000046566,1392776.879999999888241,1424280.919999999692664,1492838.789999999804422,11186415.329999998211861
FS( 75 ),1302945.700000000186265,1521204.539999999804422,1369653.719999999739230,1301169.770000000018626,1399119.919999999925494,1407280.599999999860302,1440124.639999999897555,1478173.570000000065193,11219672.460000000894070
FS( 76 ),1306454.150000000139698,1518462.969999999972060,1366887.159999999916181,1303582.489999999757856,1401556.520000000018626,1408975.840000000083819,1431785.840000000083819,1476879.580000000074506,11214584.549999998882413
FS( 77 ),1319531.100000000093132,1543347.990000000223517,1356685.469999999739230,1308810.050000000046566,1402531.159999999916181,1399934.559999999823049,1422613.159999999683350,1472134.949999999953434,11225588.439999999478459
FS( 78 ),1375347.350000000093132,1576457.719999999972060,1381584.510000000009313,1324894.849999999860302,1412764.879999999888241,1414815.000000000000000,1440124.639999999897555,1506641.349999999860302,11432630.299999998882413
FS( 79 ),1364503.050000000279397,1611043.679999999934807,1378990.859999999869615,1326804.919999999925494,1416176.119999999878928,1422349.400000000139698,1429284.199999999953434,1520875.239999999757856,11470027.469999998807907
FS( 80 ),1364822.000000000232831,1606614.990000000223517,1370345.359999999869615,1332736.189999999944121,1419100.040000000037253,1415191.719999999972060,1435955.239999999757856,1538991.099999999860302,11483756.639999998733401
FS( 81 ),1351107.150000000139698,1608302.110000000102445,1358068.750000000000000,1323688.489999999757856,1410328.280000000027940,1405962.080000000074506,1420945.399999999906868,1528639.179999999701977,11407041.439999999478459
FS( 82 ),1375666.300000000279397,1681480.939999999944121,1385388.530000000027940,1348217.810000000055879,1428359.119999999878928,1414626.639999999897555,1450965.079999999841675,1541147.749999999767169,11625852.169999999925494
FS( 83 ),1385553.750000000000000,1677474.030000000027940,1384696.889999999897555,1353646.429999999934807,1427871.800000000046566,1408222.400000000139698,1431785.840000000083819,1524757.209999999962747,11594008.349999997764826
FS( 84 ),1393527.500000000000000,1680215.600000000093132,1398529.689999999711290,1356059.149999999906868,1440054.800000000046566,1405773.719999999972060,1453466.719999999972060,1511385.979999999981374,11639013.160000000149012
FS( 85 ),1371838.900000000139698,1686964.079999999841675,1405446.089999999850988,1361990.419999999925494,1431770.359999999869615,1402383.239999999990687,1450965.079999999841675,1518287.260000000009313,11629645.429999999701977
FS( 86 ),1340581.800000000279397,1659337.490000000223517,1401469.159999999916181,1348519.399999999906868,1425922.520000000018626,1403513.400000000139698,1431785.840000000083819,1514405.289999999804422,11525534.899999998509884
FS( 87 ),1332608.050000000279397,1649636.550000000046566,1417031.059999999823049,1363598.899999999906868,1440542.119999999878928,1411236.160000000149012,1432619.719999999972060,1528207.849999999860302,11575480.410000000149012
FS( 88 ),1245534.700000000186265,1629602.000000000000000,1405964.819999999832362,1359678.229999999981374,1434694.280000000027940,1411801.239999999990687,1409271.079999999841675,1489819.479999999981374,11386365.830000000074506
FS( 89 ),1220975.550000000279397,1674521.570000000065193,1441930.099999999860302,1383905.959999999962747,1453699.759999999776483,1428188.559999999823049,1436789.119999999878928,1512679.969999999972060,11552690.589999999850988
FS( 90 ),1213958.650000000372529,1663133.510000000009313,1446598.669999999925494,1382498.540000000037253,1456136.359999999869615,1420277.440000000176951,1433453.600000000093132,1468684.309999999823049,11484741.080000000074506
FS( 91 ),1206303.850000000093132,1660602.829999999841675,1444177.929999999701977,1394562.139999999897555,1448339.239999999990687,1428942.000000000000000,1449297.319999999832362,1481192.880000000121072,11513418.189999999478459
FS( 92 ),1211726.000000000232831,1694977.900000000139698,1451440.149999999906868,1395869.030000000027940,1447851.919999999925494,1433462.639999999897555,1455968.359999999869615,1481624.209999999962747,11572920.210000000894070
FS( 93 ),1210131.250000000000000,1686753.189999999944121,1447463.219999999739230,1404011.959999999962747,1451263.159999999916181,1423856.280000000027940,1449297.319999999832362,1494564.109999999869615,11567340.490000000223517
FS( 94 ),1229268.250000000232831,1673256.229999999981374,1449711.049999999813735,1405922.030000000027940,1452237.800000000046566,1423667.919999999925494,1457636.119999999878928,1510523.320000000065193,11602222.720000000670552
FS( 95 ),1252232.650000000139698,1693290.780000000027940,1446771.579999999841675,1411149.590000000083819,1460522.239999999990687,1426870.040000000037253,1478483.119999999878928,1523463.219999999972060,11692783.219999998807907
FS( 96 ),1257973.750000000000000,1685276.959999999962747,1450748.510000000009313,1422509.479999999981374,1460034.919999999925494,1451168.480000000214204,1472645.959999999962747,1543304.399999999906868,11743662.459999999031425
FS( 97 ),1246810.500000000232831,1681902.719999999972060,1445734.119999999878928,1418086.159999999916181,1460522.239999999990687,1459456.320000000065193,1480150.879999999888241,1551930.999999999767169,11744593.940000001341105
FS( 98 ),1261482.200000000186265,1692236.329999999841675,1460777.290000000037253,1435879.970000000204891,1461984.199999999953434,1456442.559999999823049,1484320.280000000027940,1563576.909999999916181,11816699.740000000223517
FS( 99 ),1253827.400000000372529,1656595.919999999925494,1431555.500000000000000,1387625.570000000065193,1470268.640000000130385,1450226.679999999934807,1450131.199999999953434,1522600.559999999823049,11622831.470000000670552
FS( 100 ),1267223.300000000046566,1693923.449999999720603,1452823.429999999701977,1398080.689999999944121,1490248.759999999776483,1458137.800000000046566,1472645.959999999962747,1584280.749999999767169,11817364.140000000596046
