代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14954496.849999999627471
真實報酬,4954496.849999999627471

夏普值報酬,0.486749685000000
夏普值風險,0.125430086522431
夏普值,3.880645373811114

二次趨勢線,67.517414589441984 x^2 + 2903.133628845538624 x + 10000000.000000000000000
二次加權預期報酬,25633.996540624335466
風險,134809.545931222324725
二次加權趨勢值,0.190149713535141
一次趨勢線,15689.193880027138221 x + 10000000.000000000000000
一次預期報酬,15689.193880027138221
一次風險,500251.458132472354919
一次趨勢值,0.031362614990864
找到最佳解世代,2053
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AXP[1](5),BA[2](2),CAT[3](1),CVX[5](7),INTC[11](11),MCD[15](8),UNH[23](4),
Stock#,AXP[1](5),BA[2](2),CAT[3](1),CVX[5](7),INTC[11](11),MCD[15](8),UNH[23](4),
張數,18610,8712,15020,12870,39117,11669,8779,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,67.399999999906868,64.360000000102445,18.800000000046566,1.000000000000000,18.159999999916181,52.020000000018626,139.909999999916181,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1423918.500000000000000,1413673.479999999981374,1408444.199999999953434,1444143.699999999953434,1434829.719999999972060,1437906.199999999953434,1411451.949999999720603,9974370.749999998137355
FS( 3 ),1452391.800000000046566,1414893.160000000149012,1401084.400000000139698,1461646.899999999906868,1428571.000000000000000,1449808.580000000074506,1421196.639999999897555,10029595.480000000447035
FS( 4 ),1448297.599999999860302,1428658.120000000111759,1394926.200000000186265,1454053.600000000093132,1418791.750000000000000,1452259.070000000065193,1409257.199999999720603,10006246.539999999105930
FS( 5 ),1446436.599999999860302,1450612.360000000102445,1401535.000000000000000,1433590.300000000046566,1421921.109999999869615,1453892.729999999981374,1409432.780000000027940,10017423.879999998956919
FS( 6 ),1447925.399999999906868,1427177.080000000074506,1395527.000000000000000,1436035.600000000093132,1423094.620000000111759,1454826.250000000000000,1407501.399999999906868,9992090.349999999627471
FS( 7 ),1454997.199999999953434,1431271.720000000204891,1411298.000000000000000,1444787.199999999953434,1387106.979999999981374,1452609.140000000130385,1408642.669999999925494,9990715.910000000149012
FS( 8 ),1460580.199999999953434,1448260.120000000111759,1446595.000000000000000,1454954.500000000000000,1382412.939999999944121,1468245.599999999860302,1411364.159999999916181,10072415.519999999552965
FS( 9 ),1468582.499999999767169,1463941.720000000204891,1479488.800000000046566,1466022.699999999953434,1400406.759999999776483,1464978.280000000027940,1422250.120000000111759,10165673.879999998956919
FS( 10 ),1477887.499999999767169,1468036.360000000102445,1473330.600000000093132,1448133.399999999906868,1405491.969999999972060,1468128.910000000149012,1432258.179999999934807,10173269.919999998062849
FS( 11 ),1481423.399999999906868,1475005.960000000195578,1487299.199999999953434,1448776.899999999906868,1410186.009999999776483,1475947.140000000130385,1442441.819999999832362,10221083.430000001564622
FS( 12 ),1479748.500000000000000,1488161.080000000074506,1475884.000000000232831,1424452.600000000093132,1424268.129999999888241,1478514.320000000065193,1436823.260000000009313,10207854.889999998733401
FS( 13 ),1483470.499999999767169,1504713.880000000121072,1484745.800000000046566,1419948.100000000093132,1427006.319999999832362,1491350.219999999972060,1383885.889999999897555,10195123.710000000894070
FS( 14 ),1488309.099999999860302,1529543.080000000074506,1473480.800000000046566,1437837.399999999906868,1428571.000000000000000,1494150.780000000027940,1409783.939999999944121,10261679.099999997764826
FS( 15 ),1486262.000000000000000,1527800.680000000167638,1474982.800000000046566,1420591.599999999860302,1410968.349999999860302,1491933.669999999925494,1409783.939999999944121,10222326.039999999105930
FS( 16 ),1489797.899999999906868,1540868.680000000167638,1435179.800000000046566,1428828.399999999906868,1415271.219999999972060,1496834.650000000139698,1427605.309999999823049,10234388.959999999031425
FS( 17 ),1484401.000000000000000,1545921.640000000130385,1434128.400000000139698,1417245.400000000139698,1428962.169999999925494,1501268.870000000111759,1431643.649999999906868,10243574.130000000819564
FS( 18 ),1492031.099999999860302,1563258.520000000251457,1463567.600000000093132,1438223.500000000000000,1428179.829999999841675,1481898.330000000074506,1452010.929999999934807,10319172.810000000521541
FS( 19 ),1489984.000000000000000,1570228.120000000111759,1451852.000000000000000,1447876.000000000000000,1416053.560000000055879,1489599.870000000111759,1452010.929999999934807,10317607.480000000447035
FS( 20 ),1524598.599999999860302,1602288.280000000027940,1480690.399999999906868,1465636.599999999860302,1405491.969999999972060,1505936.470000000204891,1474485.169999999925494,10459130.489999998360872
FS( 21 ),1490728.399999999906868,1594273.240000000223517,1417306.000000000000000,1458944.199999999953434,1404709.629999999888241,1496367.889999999897555,1468954.399999999906868,10331286.760000001639128
