代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15056214.280000001192093
真實報酬,5056214.280000001192093

夏普值報酬,0.496921428000000
夏普值風險,0.115324912197166
夏普值,4.308881910531473

二次趨勢線,31.651905834291547 x^2 + 10975.990827850460846 x + 10000000.000000000000000
二次加權預期報酬,21632.132458728614438
風險,120305.030248208713601
二次加權趨勢值,0.179810706286329
一次趨勢線,16970.046991328945296 x + 10000000.000000000000000
一次預期報酬,16970.046991328945296
一次風險,255884.795439320296282
一次趨勢值,0.066319090832238
找到最佳解世代,1792
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
BA[2](2),CAT[3](1),HD[9](14),MCD[15](6),UNH[23](3),V[25](4),
Stock#,BA[2](2),CAT[3](1),HD[9](14),MCD[15](6),UNH[23](3),V[25](4),
張數,10936,17317,12872,14068,10355,22095,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,128.960000000195578,77.920000000158325,128.159999999916181,30.040000000037253,132.300000000046566,40.149999999906868,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1665134.960000000195578,1647617.300000000279397,1671814.800000000046566,1663430.359999999869615,1664491.449999999953434,1673073.549999999813735,9985566.419999999925494
FS( 3 ),1664150.720000000204891,1635668.570000000298023,1669369.120000000111759,1678201.760000000009313,1632390.949999999953434,1708204.599999999860302,9987989.720000000670552
FS( 4 ),1665025.600000000325963,1649002.660000000149012,1657269.439999999944121,1677639.040000000037253,1629180.899999999906868,1703785.599999999860302,9981907.240000000223517
FS( 5 ),1685804.000000000000000,1685541.530000000027940,1705153.280000000027940,1687064.600000000093132,1650719.300000000046566,1752394.599999999860302,10166681.310000000521541
FS( 6 ),1699474.000000000000000,1667185.510000000009313,1706054.319999999832362,1694520.640000000130385,1649890.899999999906868,1751731.750000000000000,10168861.120000001043081
FS( 7 ),1711503.600000000325963,1654370.930000000167638,1717124.239999999757856,1705915.720000000204891,1658174.900000000139698,1748638.449999999953434,10195731.839999999850988
FS( 8 ),1718830.720000000204891,1646578.280000000027940,1732441.920000000158325,1712668.359999999869615,1651651.250000000232831,1734497.649999999906868,10196672.179999999701977
FS( 9 ),1713362.720000000204891,1662856.260000000009313,1757671.039999999804422,1725892.280000000027940,1662524.000000000000000,1749964.149999999906868,10272274.450000001117587
FS( 10 ),1689412.880000000121072,1623373.500000000000000,1750462.719999999739230,1728143.160000000149012,1655482.600000000093132,1748417.499999999767169,10195296.359999999403954
FS( 11 ),1681757.680000000400469,1637053.930000000167638,1748660.639999999897555,1721390.520000000018626,1663352.400000000139698,1756592.649999999906868,10208811.820000000298023
FS( 12 ),1689740.960000000195578,1603285.780000000027940,1739264.080000000074506,1733770.359999999869615,1697731.000000000000000,1731183.399999999674037,10194979.580000000074506
