代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12345614.620000001043081
真實報酬,2345614.620000001043081

夏普值報酬,0.225861462000000
夏普值風險,0.082640487825229
夏普值,2.733060609197514

二次趨勢線,61.297384417364825 x^2 + -4878.693298129337563 x + 10000000.000000000000000
二次加權預期報酬,15839.822634939975615
風險,230078.027453559043352
二次加權趨勢值,0.068845438263926
一次趨勢線,6775.426575920065261 x + 10000000.000000000000000
一次預期報酬,6775.426575920065261
一次風險,497262.551555699552409
一次趨勢值,0.013625451091627
找到最佳解世代,2440
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](3),KO[14](7),TRV[22](14),VZ[26](12),WMT[28](15),
Stock#,AAPL[0](3),KO[14](7),TRV[22](14),VZ[26](12),WMT[28](15),
張數,40518,59916,32679,55141,36832,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,31.520000000018626,3.919999999925494,45.199999999953434,35.929999999934807,22.400000000139698,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2003241.439999999944121,1978430.240000000223517,1999346.419999999925494,1994485.900000000139698,1972376.000000000000000,9947880.000000000000000
FS( 3 ),1987844.600000000093132,1963451.240000000223517,1999346.419999999925494,1964709.760000000009313,1976427.520000000018626,9891779.539999999105930
FS( 4 ),1956645.739999999990687,1959856.280000000027940,1995424.939999999944121,1941550.540000000037253,1980110.719999999972060,9833588.220000000670552
FS( 5 ),1921800.260000000009313,1953265.520000000018626,2000980.369999999878928,1950924.510000000009313,1982688.959999999962747,9809659.620000001043081
FS( 6 ),1923015.800000000046566,1959257.120000000111759,1983333.709999999962747,1979597.829999999841675,1977532.479999999981374,9822736.939999999478459
FS( 7 ),1918964.000000000000000,1974236.120000000111759,1996078.519999999785796,1966915.400000000139698,1974954.239999999990687,9831148.279999999329448
FS( 8 ),1886549.600000000093132,1959257.120000000111759,1934968.790000000037253,1940447.719999999739230,1941805.440000000176951,9663028.669999999925494
FS( 9 ),1890601.399999999906868,1950868.880000000121072,1920263.239999999990687,1964709.760000000009313,1938122.239999999990687,9664565.519999999552965
FS( 10 ),1924231.340000000083819,1965847.880000000121072,1916668.549999999813735,1961952.709999999729916,1948803.520000000018626,9717504.000000000000000
FS( 11 ),1891411.760000000009313,1946674.760000000009313,1880394.859999999869615,1936587.849999999860302,1927072.640000000130385,9582141.869999999180436
FS( 12 ),1882092.620000000111759,1961653.760000000009313,1887584.239999999990687,1943204.770000000018626,1945856.959999999962747,9620392.350000001490116
FS( 13 ),1853730.020000000018626,1965847.880000000121072,1892812.880000000121072,1958092.839999999850988,1945488.640000000130385,9615972.259999999776483
FS( 14 ),1825367.419999999925494,1972438.640000000130385,1881375.229999999981374,1965812.579999999841675,1953591.680000000167638,9598585.550000000745058
FS( 15 ),1882902.979999999981374,1985021.000000000000000,1898041.519999999785796,1984560.520000000018626,1962799.680000000167638,9713325.699999999254942
FS( 16 ),1867506.140000000130385,1989215.120000000111759,1873205.479999999981374,1981803.469999999739230,1952486.719999999972060,9664216.929999999701977
FS( 17 ),1917343.280000000027940,1946674.760000000009313,1867976.839999999850988,1987868.979999999748543,1962799.680000000167638,9682663.539999999105930
FS( 18 ),1888980.679999999934807,1945476.439999999944121,1852290.919999999925494,1985111.929999999934807,1930387.520000000018626,9602247.490000000223517
FS( 19 ),1921800.260000000009313,1953265.520000000018626,1869937.579999999841675,2007168.329999999841675,1925967.680000000167638,9678139.370000001043081
FS( 20 ),1940438.540000000037253,1978430.240000000223517,1880721.649999999906868,2016542.300000000046566,1934807.360000000102445,9750940.089999999850988
FS( 21 ),1933550.479999999981374,1998202.520000000018626,1914054.229999999981374,2024813.449999999953434,1938858.880000000121072,9809479.560000000521541
FS( 22 ),1942869.620000000111759,2016177.319999999832362,1907845.219999999972060,2052935.359999999869615,1957274.880000000121072,9877102.400000000372529
FS( 23 ),1987034.239999999990687,2040143.719999999739230,1931700.889999999897555,2084365.729999999748543,1970902.719999999972060,10014147.299999998882413
FS( 24 ),2022690.080000000074506,2046135.319999999832362,1912747.070000000065193,2085468.550000000046566,1966482.880000000121072,10033523.900000000372529
FS( 25 ),2036061.020000000018626,2053325.240000000223517,1915361.389999999897555,2070029.069999999832362,1978637.440000000176951,10053414.160000000149012
FS( 26 ),2067665.060000000055879,2059916.000000000000000,1924838.299999999813735,2063412.150000000139698,2006998.080000000307336,10122829.589999999850988
