代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13147113.660000000149012
真實報酬,3147113.660000000149012

夏普值報酬,0.306011366000000
夏普值風險,0.097012271657546
夏普值,3.154357286676293

二次趨勢線,25.189636325127346 x^2 + 8303.470440704777502 x + 10000000.000000000000000
二次加權預期報酬,16783.981336830987857
風險,203149.747484913183143
二次加權趨勢值,0.082618765440885
一次趨勢線,13073.739114600279208 x + 10000000.000000000000000
一次預期報酬,13073.739114600279208
一次風險,271243.530330390902236
一次趨勢值,0.048199266167476
找到最佳解世代,2003
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,4
AXP[1](3),CVX[5](5),MCD[15](13),UNH[23](1),
Stock#,AXP[1](3),CVX[5](5),MCD[15](13),UNH[23](1),
張數,55567,32133,35587,79516,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,40.669999999925494,52.600000000093132,13.250000000000000,16.959999999962747,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2478328.870000000111759,2527634.379999999888241,2507117.399999999906868,2577925.680000000167638,10091006.330000000074506
FS( 3 ),2451101.040000000037253,2539202.259999999776483,2515658.279999999795109,2616888.519999999552965,10122850.099999999627471
FS( 4 ),2401646.409999999683350,2540808.909999999683350,2507117.399999999906868,2657441.680000000167638,10107014.399999998509884
FS( 5 ),2417205.169999999925494,2529883.690000000409782,2553024.629999999888241,2659827.160000000149012,10159940.650000000372529
FS( 6 ),2431096.919999999925494,2547878.170000000391155,2595017.290000000037253,2663007.800000000279397,10237000.179999999701977
FS( 7 ),2449989.700000000186265,2539844.920000000391155,2592170.330000000074506,2650285.239999999757856,10232290.190000001341105
FS( 8 ),2387198.989999999757856,2478470.890000000130385,2546974.839999999850988,2543733.799999999813735,9956378.519999999552965
FS( 9 ),2342189.719999999739230,2476542.909999999683350,2564412.470000000204891,2554866.040000000037253,9938011.140000000596046
FS( 10 ),2318851.579999999608845,2487146.800000000279397,2558362.680000000167638,2546914.439999999944121,9911275.500000000000000
FS( 11 ),2308293.850000000093132,2497108.029999999795109,2554803.980000000447035,2536577.359999999869615,9896783.220000000670552
FS( 12 ),2319407.250000000000000,2499036.009999999776483,2605693.390000000130385,2572359.560000000055879,9996496.210000000894070
FS( 13 ),2316628.899999999906868,2475578.920000000391155,2606761.000000000000000,2587467.600000000093132,9986436.419999999925494
FS( 14 ),2276064.989999999757856,2437019.320000000298023,2596796.640000000130385,2527830.600000000093132,9837711.550000000745058
FS( 15 ),2264951.589999999850988,2411634.250000000000000,2600711.209999999962747,2513517.719999999739230,9790814.769999999552965
FS( 16 ),2233834.070000000298023,2411634.250000000000000,2609963.830000000074506,2504770.959999999962747,9760203.109999999403954
FS( 17 ),2198826.859999999869615,2370825.340000000316650,2587899.890000000130385,2468193.600000000093132,9625745.689999999478459
FS( 18 ),2211607.269999999552965,2380143.909999999683350,2604625.779999999795109,2541348.319999999832362,9737725.279999999329448
FS( 19 ),2207717.579999999608845,2356365.490000000223517,2603558.169999999925494,2532601.560000000055879,9700242.800000000745058
FS( 20 ),2273286.639999999664724,2407778.290000000502914,2633095.379999999888241,2573949.879999999888241,9888110.189999999478459
FS( 21 ),2216608.299999999813735,2370825.340000000316650,2588611.629999999888241,2537372.520000000018626,9713417.790000000968575
FS( 22 ),2215496.959999999962747,2380465.240000000223517,2599999.470000000204891,2522264.479999999981374,9718226.150000000372529
FS( 23 ),2282177.359999999869615,2466903.009999999776483,2652668.230000000447035,2591443.400000000372529,9993192.000000000000000
FS( 24 ),2271619.629999999888241,2488753.450000000186265,2669749.989999999757856,2612912.719999999739230,10043035.789999999105930
FS( 25 ),2322741.269999999552965,2506426.600000000093132,2672241.080000000074506,2696404.519999999552965,10197813.469999998807907
FS( 26 ),2227721.700000000186265,2475900.250000000000000,2697507.850000000093132,2686067.439999999944121,10087197.240000000223517
FS( 27 ),2226610.359999999869615,2482326.850000000093132,2707472.209999999962747,2691633.560000000055879,10108042.980000000447035
FS( 28 ),2261061.899999999906868,2485861.479999999981374,2646618.439999999944121,2705151.280000000260770,10098693.100000001490116
FS( 29 ),2233278.399999999906868,2532775.659999999683350,2669394.120000000111759,2742523.800000000279397,10177971.980000000447035
FS( 30 ),2290512.409999999683350,2546592.850000000093132,2653735.839999999850988,2760812.479999999981374,10251653.580000000074506
FS( 31 ),2243836.129999999888241,2554947.430000000167638,2631316.029999999795109,2752065.719999999739230,10182165.309999998658895
FS( 32 ),2269952.620000000111759,2545307.529999999795109,2658718.019999999552965,2725030.280000000260770,10199008.449999999254942
FS( 33 ),2276064.989999999757856,2540166.250000000000000,2661920.850000000093132,2722644.800000000279397,10200796.890000000596046
FS( 34 ),2298847.459999999962747,2521207.779999999795109,2644839.089999999850988,2713898.040000000037253,10178792.370000001043081
FS( 35 ),2396089.709999999962747,2567479.300000000279397,2672952.819999999832362,2777510.839999999850988,10414032.669999999925494
FS( 36 ),2377196.930000000167638,2562659.350000000093132,2687187.620000000111759,2803751.119999999646097,10430795.019999999552965
