代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,16385093.809999998658895
真實報酬,6385093.809999998658895

夏普值報酬,0.629809381000000
夏普值風險,0.170770119691967
夏普值,3.688053753994205

二次趨勢線,103.997767272233801 x^2 + -1394.877096371885500 x + 10000000.000000000000000
二次加權預期報酬,33617.704551946830179
風險,450573.829915702284779
二次加權趨勢值,0.074610868008549
一次趨勢線,18299.622854742607160 x + 10000000.000000000000000
一次預期報酬,18299.622854742607160
一次風險,868121.274518483667634
一次趨勢值,0.021079569631435
找到最佳解世代,1535
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CAT[3](3),UNH[23](1),
Stock#,CAT[3](3),UNH[23](1),
張數,71489,165234,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,59.339999999850988,19.160000000149012,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4768375.639999999664724,4872769.820000000298023,9641145.460000000894070
FS( 3 ),4715473.779999999329448,4957039.160000000149012,9672512.939999999478459
FS( 4 ),4539610.839999999850988,4831461.320000000298023,9371072.160000000149012
FS( 5 ),4439526.240000000223517,4795109.839999999850988,9234636.080000000074506
FS( 6 ),4767660.750000000000000,4937211.080000000074506,9704871.830000000074506
FS( 7 ),4723337.569999999366701,4932254.060000000521541,9655591.629999998956919
FS( 8 ),4872034.690000000409782,5009914.040000000037253,9881948.730000000447035
FS( 9 ),4783388.329999999143183,4986781.280000000260770,9770169.609999999403954
FS( 10 ),4638265.659999999217689,5021480.419999999925494,9659746.079999998211861
FS( 11 ),4559627.759999999776483,5029742.120000000111759,9589369.879999998956919
FS( 12 ),4517449.250000000000000,4986781.280000000260770,9504230.530000001192093
FS( 13 ),4392343.500000000000000,4955386.820000000298023,9347730.320000000298023
FS( 14 ),4194318.970000000670552,4785195.800000000745058,8979514.770000001415610
FS( 15 ),4295833.350000000558794,4742234.959999999962747,9038068.310000000521541
FS( 16 ),4233637.919999999925494,4763715.379999999888241,8997353.300000000745058
FS( 17 ),4232923.030000000260770,4770324.740000000223517,9003247.769999999552965
FS( 18 ),4270097.309999999590218,4757106.019999999552965,9027203.329999998211861
FS( 19 ),4436666.679999999701977,4844680.040000000037253,9281346.719999998807907
FS( 20 ),4343730.979999999515712,4803371.540000000037253,9147102.519999999552965
FS( 21 ),4237212.370000000111759,4788500.480000000447035,9025712.850000001490116
