代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14321035.239999998360872
真實報酬,4321035.239999998360872

夏普值報酬,0.423403524000000
夏普值風險,0.119086336069018
夏普值,3.555433292990143

二次趨勢線,48.296013054738651 x^2 + 7038.764673064869385 x + 10000000.000000000000000
二次加權預期報酬,23169.633033347581659
風險,167763.010539864888415
二次加權趨勢值,0.138109306448348
一次趨勢線,16112.341976013545718 x + 10000000.000000000000000
一次預期報酬,16112.341976013545718
一次風險,378385.955553669948131
一次趨勢值,0.042581765362928
找到最佳解世代,1867
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),JNJ[12](3),JPM[13](7),V[25](2),
Stock#,BA[2](1),JNJ[12](3),JPM[13](7),V[25](2),
張數,34354,36033,69444,78443,
FS( 69 ),2438506.339999999850988,2509728.910000000149012,2805553.600000000093132,2786316.950000000186265,10540105.800000000745058
FS( 70 ),2516489.919999999925494,2517656.169999999925494,2820831.279999999795109,2802789.979999999515712,10657767.349999997764826
FS( 71 ),2531605.679999999701977,2510809.900000000372529,2818053.520000000018626,2809065.419999999925494,10669534.519999999552965
FS( 72 ),2520268.859999999869615,2504684.290000000037253,2780553.759999999776483,2793376.819999999832362,10598883.730000000447035
FS( 73 ),2449156.080000000074506,2496036.369999999646097,2728470.759999999776483,2744742.160000000149012,10418405.369999999180436
FS( 74 ),2440567.580000000074506,2488829.769999999552965,2735415.160000000149012,2745526.589999999850988,10410339.099999999627471
FS( 75 ),2431292.000000000000000,2493153.729999999981374,2745137.320000000298023,2798867.829999999608845,10468450.880000000819564
FS( 76 ),2472173.259999999776483,2495315.709999999962747,2818747.960000000428408,2856131.219999999739230,10642368.149999998509884
FS( 77 ),2492098.580000000074506,2510449.569999999832362,2826386.800000000279397,2870250.959999999962747,10699185.910000000149012
FS( 78 ),2513054.520000000018626,2507566.930000000167638,2828470.119999999646097,2876526.399999999906868,10725617.970000000670552
FS( 79 ),2533323.379999999888241,2506485.939999999944121,2853469.960000000428408,2904765.879999999888241,10798045.160000000149012
FS( 80 ),2551531.000000000000000,2489550.430000000167638,2838886.720000000204891,2887508.419999999925494,10767476.570000000298023
FS( 81 ),2559088.879999999888241,2479461.189999999944121,2829859.000000000000000,2878879.689999999944121,10747288.759999999776483
FS( 82 ),2545347.280000000260770,2496757.030000000260770,2835414.520000000018626,2888292.850000000093132,10765811.679999999701977
FS( 83 ),2546377.899999999906868,2494234.719999999739230,2862497.679999999701977,2906334.739999999757856,10809445.039999999105930
FS( 84 ),2551874.540000000037253,2512611.550000000279397,2852775.520000000018626,2936143.079999999608845,10853404.689999999478459
FS( 85 ),2542942.500000000000000,2509728.910000000149012,2834025.640000000130385,2914963.469999999739230,10801660.519999999552965
FS( 86 ),2543973.119999999646097,2517295.839999999850988,2817359.080000000074506,2894568.289999999571592,10773196.329999998211861
FS( 87 ),2537789.399999999906868,2521259.469999999739230,2861108.800000000279397,2903981.450000000186265,10824139.120000001043081
FS( 88 ),2541568.339999999850988,2524142.109999999869615,2879858.679999999701977,2911825.749999999534339,10857394.879999998956919
FS( 89 ),2564241.979999999981374,2538555.310000000055879,2955552.640000000130385,2913394.609999999869615,10971744.539999999105930
FS( 90 ),2594817.040000000037253,2543960.259999999776483,2938191.640000000130385,2915747.899999999906868,10992716.839999999850988
FS( 91 ),2604779.699999999720603,2561976.759999999776483,2961108.160000000149012,2920454.479999999515712,11048319.099999997764826
FS( 92 ),2592755.799999999813735,2556932.139999999664724,2970135.880000000353903,2900059.299999999813735,11019883.120000001043081
FS( 93 ),2553248.699999999720603,2549365.209999999962747,2970830.320000000298023,2886723.989999999757856,10960168.220000000670552
FS( 94 ),2542942.500000000000000,2547203.229999999981374,2972913.640000000130385,2879664.120000000111759,10942723.490000002086163
FS( 95 ),2564585.520000000018626,2556211.479999999981374,3019441.119999999646097,2924376.629999999888241,11064614.750000000000000
FS( 96 ),2594473.500000000000000,2556571.810000000055879,3046524.279999999795109,2955753.829999999608845,11153323.419999999925494
FS( 97 ),2594129.959999999962747,2545041.250000000000000,3022913.320000000298023,2925161.059999999590218,11087245.589999999850988
FS( 98 ),2617834.220000000204891,2549365.209999999962747,3092357.320000000298023,2990268.749999999534339,11249825.500000000000000
FS( 99 ),2616803.600000000093132,2532069.369999999646097,3055552.000000000000000,2956538.259999999776483,11160963.230000000447035
FS( 100 ),2609932.799999999813735,2523061.119999999646097,3049996.479999999981374,2965166.989999999757856,11148157.390000000596046
FS( 101 ),2611650.500000000000000,2528466.069999999832362,3052774.240000000223517,2936927.509999999776483,11129818.320000000298023
FS( 102 ),2605123.239999999757856,2525583.430000000167638,3029857.720000000204891,2929867.640000000130385,11090432.030000001192093
FS( 103 ),2565959.679999999701977,2503603.300000000279397,3002774.560000000055879,2914963.469999999739230,10987301.010000001639128
FS( 104 ),2588976.859999999869615,2525943.759999999776483,3053468.679999999701977,2973011.289999999571592,11141400.589999997988343
FS( 105 ),2647722.199999999720603,2552608.180000000167638,3101385.039999999571592,3047532.140000000130385,11349247.560000000521541
FS( 106 ),2661463.799999999813735,2549004.879999999888241,3095135.080000000074506,3049885.430000000167638,11355489.189999999478459
FS( 107 ),2669021.679999999701977,2578191.609999999869615,3149995.839999999850988,3074202.759999999776483,11471411.889999998733401
FS( 108 ),2615429.439999999944121,2572786.660000000149012,3153468.039999999571592,3096166.799999999813735,11437850.939999997615814
FS( 109 ),2546721.439999999944121,2573146.989999999757856,3159718.000000000000000,3125190.709999999962747,11404777.140000000596046
FS( 110 ),2637072.459999999962747,2584677.550000000279397,3157634.679999999701977,3173040.939999999944121,11552425.629999998956919
FS( 111 ),2648409.280000000260770,2601252.729999999981374,3204856.600000000093132,3147939.180000000167638,11602457.789999999105930
FS( 112 ),2582106.059999999590218,2607018.009999999776483,3204162.160000000149012,3160490.059999999590218,11553776.289999999105930
FS( 113 ),2629858.119999999646097,2614584.939999999944121,3186106.720000000204891,3150292.469999999739230,11580842.250000000000000
FS( 114 ),2643256.179999999701977,2607738.669999999925494,3218745.399999999906868,3146370.319999999832362,11616110.570000000298023
FS( 115 ),2553935.780000000260770,2615305.600000000093132,3251384.080000000074506,3141663.739999999757856,11562289.200000001117587
FS( 116 ),2585541.459999999962747,2626836.160000000149012,3224995.359999999869615,3135388.299999999813735,11572761.280000001192093
FS( 117 ),2577983.580000000074506,2638727.050000000279397,3226384.240000000223517,3104011.100000000093132,11547105.970000000670552
FS( 118 ),2547752.059999999590218,2619269.229999999981374,3231939.759999999776483,3118915.269999999552965,11517876.319999998435378
FS( 119 ),2552218.080000000074506,2625034.509999999776483,3210412.119999999646097,3118915.269999999552965,11506579.979999998584390
FS( 120 ),2587602.699999999720603,2634042.759999999776483,3220134.279999999795109,3129112.859999999869615,11570892.599999997764826
FS( 121 ),2577640.040000000037253,2663589.819999999832362,3274995.039999999571592,3134603.870000000111759,11650828.769999999552965
FS( 122 ),2542255.419999999925494,2652779.919999999925494,3238884.160000000149012,3066358.459999999962747,11500277.960000000894070
FS( 123 ),2530231.520000000018626,2681245.989999999757856,3272217.279999999795109,3072633.899999999906868,11556328.689999999478459
FS( 124 ),2562524.280000000260770,2669715.430000000167638,3272911.720000000204891,3039687.839999999850988,11544839.270000001415610
FS( 125 ),2537789.399999999906868,2663589.819999999832362,3267356.199999999720603,3096951.229999999515712,11565686.649999998509884
