代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13738304.899999998509884
真實報酬,3738304.899999998509884

夏普值報酬,0.365130490000000
夏普值風險,0.089444289959641
夏普值,4.082211286653984

二次趨勢線,0.526337923128876 x^2 + 14639.901886582387306 x + 10000000.000000000000000
二次加權預期報酬,14816.400536804929288
風險,176518.470948259899160
二次加權趨勢值,0.083936828011318
一次趨勢線,14739.181984933507920 x + 10000000.000000000000000
一次預期報酬,14739.181984933507920
一次風險,176557.787257595540723
一次趨勢值,0.083480781073843
找到最佳解世代,2130
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](1),TRV[22](3),V[25](2),VZ[26](9),WMT[28](8),
Stock#,HD[9](1),TRV[22](3),V[25](2),VZ[26](9),WMT[28](8),
張數,50838,36337,81833,52952,34123,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,33.079999999841675,11.520000000018626,1.479999999981374,2.959999999729916,50.969999999972060,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2030502.799999999813735,1970930.400000000139698,1988543.380000000121072,2004236.159999999916181,1982256.040000000037253,9976468.780000001192093
FS( 3 ),2045245.819999999599531,1986555.310000000055879,1965630.139999999897555,2014826.559999999590218,1990786.790000000037253,10003044.619999999180436
FS( 4 ),2049821.239999999757856,2011264.469999999972060,1950900.199999999953434,2029123.599999999860302,2005800.909999999916181,10046910.419999999925494
FS( 5 ),2070664.819999999599531,2031249.820000000065193,1986088.389999999897555,2028594.079999999841675,1996587.699999999953434,10113184.809999998658895
FS( 6 ),2028977.659999999683350,2017805.130000000121072,1959901.829999999841675,2002118.079999999841675,1978502.509999999776483,9987305.210000000894070
FS( 7 ),2045245.819999999599531,2035610.260000000242144,1988543.380000000121072,2034948.319999999599531,1990104.330000000074506,10094452.109999999403954
FS( 8 ),2036094.979999999748543,2028706.229999999981374,1982815.070000000065193,2030712.159999999916181,1982256.040000000037253,10060584.480000000447035
FS( 9 ),2008642.459999999729916,2032339.929999999934807,1962356.820000000065193,2025946.479999999515712,1965535.770000000018626,9994821.459999999031425
FS( 10 ),1989832.399999999906868,2033793.409999999916181,1971358.449999999953434,2025946.479999999515712,1967241.919999999925494,9988172.660000000149012
FS( 11 ),2004067.040000000037253,2064316.489999999990687,1960720.160000000149012,2034418.799999999813735,1977478.820000000065193,10041001.310000000521541
FS( 12 ),2054905.040000000037253,2081394.880000000121072,1993453.359999999869615,2053481.519999999785796,1988398.180000000167638,10171632.979999998584390
FS( 13 ),2043720.679999999934807,2060682.790000000037253,2017184.929999999934807,2045538.719999999972060,1971677.909999999916181,10138805.029999999329448
FS( 14 ),2132687.179999999701977,2113008.069999999832362,2073649.699999999953434,2076250.879999999888241,2019791.339999999850988,10415387.169999999925494
FS( 15 ),2135229.080000000074506,2147164.850000000093132,2060556.419999999925494,2077309.919999999459833,2026615.939999999944121,10446876.209999999031425
FS( 16 ),2131162.040000000037253,2150798.549999999813735,2057283.100000000093132,2080487.039999999571592,2019791.339999999850988,10439522.069999998435378
FS( 17 ),2139804.500000000000000,2156612.470000000204891,2096562.940000000176951,2117023.919999999925494,2047089.739999999990687,10557093.570000002160668
FS( 18 ),2146413.439999999478459,2163153.129999999888241,2085106.320000000065193,2117553.439999999478459,2041630.059999999823049,10553856.389999998733401
FS( 19 ),2111335.219999999739230,2138807.339999999850988,2060556.419999999925494,2105374.479999999515712,2038217.759999999776483,10454291.219999998807907
FS( 20 ),2135737.459999999962747,2168603.680000000167638,2110474.549999999813735,2120730.559999999590218,2047089.739999999990687,10582635.990000000223517
FS( 21 ),2137262.599999999627471,2150071.810000000055879,2076923.019999999785796,2124437.199999999254942,2039241.449999999953434,10527936.079999998211861
FS( 22 ),2142346.399999999441206,2143531.149999999906868,2107201.229999999981374,2103785.919999999925494,2058691.559999999823049,10555556.259999999776483
FS( 23 ),2172849.200000000186265,2134810.270000000018626,2069558.049999999813735,2076250.879999999888241,2037535.300000000046566,10491003.700000001117587
FS( 24 ),2190642.500000000000000,2155885.729999999981374,2085106.320000000065193,2061953.839999999618158,2027639.630000000121072,10521228.020000001415610
FS( 25 ),2196234.679999999701977,2156612.470000000204891,2060556.419999999925494,2029653.119999999646097,2013307.969999999972060,10456364.660000000149012
FS( 26 ),2197759.819999999366701,2168967.049999999813735,2044189.820000000065193,2031771.199999999487773,2019450.109999999869615,10462137.999999998137355
FS( 27 ),2213011.219999999739230,2183865.220000000204891,2041734.829999999841675,2042361.599999999860302,2014672.889999999897555,10495645.759999999776483
FS( 28 ),2209452.559999999590218,2176597.819999999832362,2027823.219999999972060,2059835.759999999543652,2026957.169999999925494,10500666.529999997466803
FS( 29 ),2205893.899999999441206,2172964.120000000111759,2073649.699999999953434,2060894.799999999813735,2030369.469999999972060,10543771.990000000223517
FS( 30 ),2211994.459999999962747,2157339.209999999962747,2061374.750000000000000,2060894.799999999813735,2031734.389999999897555,10523337.609999999403954
FS( 31 ),2223687.200000000186265,2168967.049999999813735,2097381.270000000018626,2066190.000000000000000,2042312.520000000018626,10598538.039999999105930
FS( 32 ),2281642.519999999552965,2176234.450000000186265,2123567.830000000074506,2065660.479999999515712,2047772.199999999953434,10694877.479999998584390
FS( 33 ),2308586.659999999217689,2191132.620000000111759,2094107.949999999953434,2065130.959999999729916,2068246.000000000000000,10727204.189999999478459
FS( 34 ),2262832.459999999962747,2238007.350000000093132,2058101.429999999934807,2063542.399999999674037,2081895.199999999953434,10704378.839999999850988
FS( 35 ),2281642.519999999552965,2190769.250000000000000,2037643.179999999934807,2033359.759999999543652,2078482.899999999906868,10621897.609999999403954
FS( 36 ),2285709.559999999590218,2107557.520000000018626,2066284.729999999981374,2001059.039999999571592,2094861.939999999944121,10555472.789999999105930
FS( 37 ),2300960.959999999962747,2149345.069999999832362,2057283.100000000093132,1995763.839999999618158,2097591.780000000260770,10600944.750000000000000
FS( 38 ),2285201.179999999701977,2132993.419999999925494,2063829.739999999990687,1977230.639999999897555,2080530.280000000027940,10539785.259999999776483
FS( 39 ),2281134.139999999664724,2109374.370000000111759,2067103.060000000055879,1970346.879999999888241,2071658.300000000046566,10499616.750000000000000
FS( 40 ),2276050.339999999850988,2111554.589999999850988,2043371.489999999990687,1991527.679999999701977,2091790.869999999878928,10514294.969999998807907
FS( 41 ),2256731.899999999441206,2118458.620000000111759,2058919.760000000009313,1994175.279999999562278,2093838.250000000000000,10522123.809999998658895
