代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,18462679.650000002235174
真實報酬,8462679.650000002235174

夏普值報酬,0.837567965000000
夏普值風險,0.163586043312309
夏普值,5.120045378204820

二次趨勢線,-79.586390182594712 x^2 + 54783.784087759602698 x + 10000000.000000000000000
二次加權預期報酬,28095.814579862842947
風險,400358.530977513175458
二次加權趨勢值,0.070176635205610
一次趨勢線,39771.860573357422254 x + 10000000.000000000000000
一次預期報酬,39771.860573357422254
一次風險,691139.823199927341193
一次趨勢值,0.057545317515082
找到最佳解世代,2284
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),BA[2](18),MMM[16](2),MRK[17](3),MSFT[18](7),PG[21](5),
Stock#,AAPL[0](1),BA[2](18),MMM[16](2),MRK[17](3),MSFT[18](7),PG[21](5),
張數,132696,56478,38904,71103,105551,35559,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,4.239999999990687,0.219999999972060,18.639999999897555,11.679999999934807,15.710000000195578,15.670000000158325,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1674627.759999999776483,1658194.300000000046566,1677559.119999999878928,1638935.830000000074506,1676165.590000000316650,1658131.840000000316650,9983618.439999999478459
FS( 3 ),1727706.159999999916181,1711848.399999999906868,1743695.919999999925494,1647468.189999999944121,1701497.830000000307336,1682311.960000000195578,10214532.460000000894070
FS( 4 ),1683916.479999999981374,1659888.639999999897555,1653827.679999999934807,1574232.099999999860302,1611779.480000000214204,1614394.270000000018626,9798042.650000000372529
FS( 5 ),1617568.479999999981374,1699988.020000000018626,1627372.959999999729916,1616893.899999999906868,1612834.990000000223517,1625417.560000000288710,9800079.910000000149012
FS( 6 ),1575105.759999999776483,1750818.219999999972060,1636709.919999999925494,1492463.649999999906868,1599113.360000000335276,1571012.290000000037253,9625227.199999999254942
FS( 7 ),1679935.600000000093132,1864338.999999999767169,1769761.599999999860302,1578498.279999999795109,1739496.190000000176951,1606215.700000000186265,10238250.369999997317791
FS( 8 ),1756899.280000000027940,1879023.280000000260770,1820725.839999999850988,1560011.500000000000000,1805993.320000000065193,1602659.800000000279397,10425317.020000001415610
FS( 9 ),1825901.199999999953434,1899355.360000000102445,1867410.639999999897555,1708616.770000000018626,1795438.220000000437722,1627906.690000000176951,10724632.880000000819564
FS( 10 ),1817939.439999999944121,1886365.419999999925494,1867410.639999999897555,1924769.889999999897555,1757439.860000000102445,1669510.720000000204891,10923439.970000000670552
FS( 11 ),1808650.720000000204891,1910650.959999999962747,1846791.519999999785796,1863621.310000000055879,1715219.460000000195578,1700447.050000000279397,10845385.020000001415610
FS( 12 ),1889595.280000000027940,1945102.539999999804422,1896977.679999999934807,1892062.510000000009313,1783827.610000000102445,1706136.489999999990687,11113706.109999999403954
