代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15624614.760000001639128
真實報酬,5624614.760000001639128

夏普值報酬,0.553761476000000
夏普值風險,0.159136080577673
夏普值,3.479798383809724

二次趨勢線,31.891056806659567 x^2 + 19834.716825053015782 x + 10000000.000000000000000
二次加權預期報酬,30528.851207552834239
風險,357554.840376997890417
二次加權趨勢值,0.085382290379187
一次趨勢線,25850.143639570273081 x + 10000000.000000000000000
一次預期報酬,25850.143639570273081
一次風險,422856.772740586835425
一次趨勢值,0.061132149952411
找到最佳解世代,1739
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),MRK[17](3),MSFT[18](2),V[25](5),WMT[28](28),
Stock#,AAPL[0](1),MRK[17](3),MSFT[18](2),V[25](5),WMT[28](28),
張數,153022,70348,112170,160128,42946,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,2.459999999962747,6.360000000102445,8.900000000139698,1.280000000027940,4.780000000027940,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2032134.619999999878928,2127329.879999999888241,2075153.900000000139698,1937550.080000000074506,2053253.040000000037253,10225421.519999999552965
FS( 3 ),2044376.379999999888241,2103411.559999999590218,2089736.000000000000000,1966373.119999999878928,1993558.100000000093132,10197455.160000000149012
FS( 4 ),2108645.619999999646097,2117481.160000000149012,2135725.700000000186265,2152121.599999999627471,2085462.540000000037253,10599436.619999997317791
FS( 5 ),2180565.959999999962747,2164614.320000000298023,2205271.100000000558794,2217774.080000000074506,2131414.759999999776483,10899640.220000000670552
FS( 6 ),2240244.540000000037253,2156172.559999999590218,2180593.700000000186265,2214571.520000000484288,2116383.660000000149012,10907965.980000000447035
FS( 7 ),2139250.020000000018626,2040801.840000000316650,2108804.900000000372529,2155324.160000000149012,2049387.899999999906868,10493568.820000002160668
FS( 8 ),2116296.720000000204891,2090748.919999999925494,2154794.600000000558794,2200160.000000000000000,2071290.359999999869615,10633290.600000001490116
FS( 9 ),2169854.419999999925494,2064016.680000000167638,2160403.100000000558794,2257806.080000000074506,2066995.760000000242144,10719076.040000000968575
FS( 10 ),2168324.199999999720603,2022511.360000000102445,2141334.200000000186265,2240192.000000000000000,1998282.160000000149012,10570643.919999999925494
FS( 11 ),2065799.459999999962747,2012662.640000000130385,2029164.200000000186265,2171336.959999999962747,2071719.820000000065193,10350683.080000000074506
FS( 12 ),2062739.020000000018626,2014773.080000000074506,2032529.300000000279397,2248198.399999999441206,2147304.780000000260770,10505544.580000000074506
FS( 13 ),1981637.359999999869615,2007034.800000000279397,2008973.600000000093132,2227381.759999999776483,2166630.480000000447035,10391658.000000000000000
FS( 14 ),1993879.119999999878928,1976785.160000000149012,2019068.900000000139698,2228983.040000000037253,2148163.700000000186265,10366879.920000001788139
FS( 15 ),1900535.699999999953434,1961308.600000000093132,1930454.600000000325963,2171336.959999999962747,2099205.259999999776483,10062841.120000001043081
FS( 16 ),1972456.040000000037253,2007034.800000000279397,1925967.800000000279397,2256204.799999999813735,2147734.240000000223517,10309397.679999999701977
FS( 17 ),1992348.899999999906868,1963419.040000000037253,1902412.100000000325963,2219375.360000000335276,2113377.440000000409782,10190932.839999999850988
FS( 18 ),1949502.739999999990687,1831868.280000000027940,1841840.300000000279397,2244995.839999999850988,2072149.280000000027940,9940356.439999999478459
FS( 19 ),1952563.179999999934807,1702427.959999999962747,1811554.399999999906868,2270616.320000000298023,2114665.820000000298023,9851827.679999999701977
FS( 20 ),1921958.780000000027940,1648963.480000000214204,1771173.199999999953434,2168134.399999999441206,2063130.619999999878928,9573360.479999998584390
FS( 21 ),1931140.099999999860302,1621527.760000000242144,1781268.500000000232831,2176140.799999999813735,2034786.260000000242144,9544863.419999999925494
FS( 22 ),1992348.899999999906868,1629969.520000000251457,1808189.300000000279397,2212970.240000000223517,2082456.320000000065193,9725934.280000001192093
FS( 23 ),1941851.639999999897555,1557511.080000000074506,1712844.800000000046566,2139311.360000000335276,2136568.280000000260770,9488087.160000000149012
FS( 24 ),1865340.639999999897555,1599719.879999999888241,1713966.500000000000000,2009607.680000000167638,2100493.639999999664724,9289128.339999999850988
FS( 25 ),1816373.599999999860302,1476610.879999999888241,1699384.400000000139698,1993594.879999999888241,2040369.239999999990687,9026333.000000000000000
FS( 26 ),1937260.979999999981374,1561731.959999999962747,1848570.500000000232831,2116893.440000000409782,2090186.600000000093132,9554643.480000000447035
FS( 27 ),2026013.739999999990687,1543441.480000000214204,1919237.600000000093132,2056044.800000000046566,2038221.940000000176951,9582959.560000000521541
FS( 28 ),2105585.179999999701977,1690468.800000000279397,1908020.600000000325963,2164931.839999999850988,2101782.019999999552965,9970788.439999999478459
FS( 29 ),2096403.859999999869615,1904326.720000000204891,1867639.399999999906868,2083266.560000000055879,2112518.519999999552965,10064155.060000000521541
FS( 30 ),2085692.320000000065193,1843827.440000000176951,1822771.400000000139698,2088070.399999999906868,2095769.579999999841675,9936131.140000000596046
FS( 31 ),2179035.740000000223517,1871966.640000000130385,1895681.899999999906868,2212970.240000000223517,2147304.780000000260770,10306959.300000000745058
FS( 32 ),2218821.459999999962747,1896588.440000000176951,1902412.100000000325963,2254603.520000000484288,2166201.019999999552965,10438626.540000000968575
FS( 33 ),2221881.899999999906868,1831868.280000000027940,1922602.700000000186265,2108887.040000000037253,2145157.480000000447035,10230397.400000000372529
FS( 34 ),2220351.679999999701977,1879704.919999999925494,1913629.100000000093132,2102481.919999999925494,2129696.919999999925494,10245864.539999999105930
FS( 35 ),2353480.820000000298023,1968343.400000000139698,2056085.000000000000000,2224179.200000000186265,2210864.860000000335276,10812953.280000001192093
FS( 36 ),2327467.080000000074506,1952163.360000000102445,2011217.000000000000000,2145716.480000000447035,2193686.459999999962747,10630250.380000002682209
FS( 37 ),2327467.080000000074506,1934576.360000000102445,2005608.500000000000000,2112089.599999999627471,2219454.059999999590218,10599195.599999999627471
FS( 38 ),2402447.859999999869615,1940204.199999999953434,2112170.000000000000000,2222577.919999999925494,2265835.740000000223517,10943235.720000000670552
FS( 39 ),2335118.179999999701977,1910658.040000000037253,2033651.000000000000000,2171336.959999999962747,2257676.000000000000000,10708440.179999999701977
FS( 40 ),2284620.919999999925494,1867745.760000000242144,1960740.500000000232831,2142513.919999999925494,2222889.740000000223517,10478510.839999999850988
FS( 41 ),2298392.899999999906868,1881815.360000000102445,2060571.800000000279397,2225780.480000000447035,2237491.379999999888241,10704051.920000001788139
FS( 42 ),2376434.119999999646097,1898698.879999999888241,2166011.599999999627471,2172938.240000000223517,2268412.500000000000000,10882495.339999999850988
FS( 43 ),2463656.660000000149012,1899402.360000000102445,2163768.200000000186265,2225780.480000000447035,2303628.219999999739230,11056235.920000001788139
FS( 44 ),2535577.000000000000000,1861414.440000000176951,2103196.400000000372529,2405123.839999999850988,2310499.580000000074506,11215811.259999999776483
FS( 45 ),2589134.700000000186265,1876187.520000000251457,2104318.100000000558794,2366693.120000000111759,2294609.559999999590218,11230943.000000000000000
FS( 46 ),2514153.919999999925494,1848048.320000000065193,2104318.100000000558794,2288230.399999999441206,2249945.719999999739230,11004696.460000000894070
FS( 47 ),2543228.100000000093132,1882518.840000000316650,2152551.200000000186265,2315452.160000000149012,2259393.839999999850988,11153144.140000000596046
FS( 48 ),2613618.219999999739230,1850158.760000000242144,2206392.800000000745058,2353882.879999999888241,2175649.139999999664724,11199701.800000000745058
FS( 49 ),2627390.200000000186265,1832571.760000000242144,2197419.200000000186265,2446757.120000000111759,2213012.160000000149012,11317150.440000001341105
FS( 50 ),2586074.259999999776483,1806543.000000000000000,2170498.400000000372529,2334667.520000000484288,2195404.299999999813735,11093187.480000000447035
FS( 51 ),2572302.279999999795109,1846641.360000000102445,2112170.000000000000000,2366693.120000000111759,2202705.120000000111759,11100511.879999998956919
FS( 52 ),2654934.160000000149012,1818502.160000000149012,2216488.100000000558794,2325059.839999999850988,2180802.660000000149012,11195786.920000001788139
FS( 53 ),2697780.319999999832362,1810060.400000000139698,2153672.900000000372529,2321857.280000000260770,2155893.980000000447035,11139264.880000000819564
FS( 54 ),2633511.080000000074506,1774182.919999999925494,2087492.600000000093132,2201761.280000000260770,2115954.200000000186265,10812902.079999998211861
FS( 55 ),2661055.040000000037253,1655998.280000000027940,2127873.799999999813735,2347477.759999999776483,2140003.959999999962747,10932408.839999999850988
FS( 56 ),2656464.379999999888241,1615899.919999999925494,2106561.500000000000000,2302641.919999999925494,2102640.940000000409782,10784208.660000000149012
FS( 57 ),2740626.479999999981374,1634190.400000000139698,2122265.300000000745058,2331464.959999999962747,2098346.339999999850988,10926893.480000000447035
FS( 58 ),2708491.859999999869615,1649666.959999999962747,2345483.600000000558794,2417934.080000000074506,2055829.799999999813735,11177406.300000000745058
FS( 59 ),2726854.500000000000000,1648963.480000000214204,2288276.900000000372529,2357085.440000000409782,2083315.239999999990687,11104495.560000000521541
FS( 60 ),2708491.859999999869615,1629969.520000000251457,2235557.000000000000000,2430744.320000000298023,2081597.399999999906868,11086360.099999999627471
FS( 61 ),2736035.819999999832362,1681323.560000000055879,2271451.400000000372529,2542833.919999999925494,2166630.480000000447035,11398275.179999999701977
FS( 62 ),2751338.020000000018626,1705241.879999999888241,2272573.100000000558794,2600480.000000000000000,2164483.179999999701977,11494116.179999999701977
FS( 63 ),2781942.419999999925494,1709462.760000000242144,2270329.700000000186265,2602081.280000000260770,2149452.080000000074506,11513268.240000000223517
FS( 64 ),2887527.600000000093132,1731974.120000000111759,2264721.200000000186265,2730183.679999999701977,2183379.419999999925494,11797786.020000001415610
FS( 65 ),2901299.580000000074506,1729863.680000000167638,2219853.200000000186265,2698158.080000000074506,2167059.940000000409782,11716234.480000000447035
FS( 66 ),2896708.919999999925494,1731270.640000000130385,2219853.200000000186265,2650119.679999999701977,2126261.240000000223517,11624213.680000001564622
FS( 67 ),2821728.140000000130385,1773479.440000000176951,2167133.299999999813735,2622897.919999999925494,2142580.719999999739230,11527819.519999999552965
FS( 68 ),2824788.580000000074506,1746043.720000000204891,2178350.300000000745058,2739791.360000000335276,2153317.219999999739230,11642291.179999999701977
FS( 69 ),2832439.680000000167638,1716497.560000000055879,2167133.299999999813735,2638910.719999999739230,2174360.759999999776483,11529342.019999999552965
FS( 70 ),2719203.399999999906868,1757299.400000000139698,2231070.200000000186265,2611688.959999999962747,2185956.179999999701977,11505218.140000000596046
FS( 71 ),2612088.000000000000000,1805839.520000000251457,2215366.400000000372529,2581264.640000000596046,2148593.160000000149012,11363151.720000002533197
FS( 72 ),2687068.779999999795109,1832571.760000000242144,2250139.099999999627471,2582865.919999999925494,2108653.379999999888241,11461298.939999997615814
FS( 73 ),2676357.239999999757856,1791769.919999999925494,2268086.299999999813735,2605283.839999999850988,2067854.679999999934807,11409351.980000000447035
FS( 74 ),2768170.439999999944121,1810763.879999999888241,2310710.900000000372529,2658126.080000000074506,2143869.100000000558794,11691640.400000002235174
FS( 75 ),2786533.080000000074506,1812874.320000000065193,2278181.599999999627471,2594074.879999999888241,2119819.339999999850988,11591483.219999998807907
FS( 76 ),2751338.020000000018626,1835385.680000000167638,2286033.500000000000000,2600480.000000000000000,2101782.019999999552965,11575019.219999998807907
FS( 77 ),2714612.739999999757856,1837496.120000000111759,2223218.299999999813735,2653322.240000000223517,2109082.839999999850988,11537732.239999998360872
FS( 78 ),2677887.459999999962747,1841013.520000000251457,2215366.400000000372529,2632505.600000000558794,2115095.280000000260770,11481868.260000001639128
FS( 79 ),2858453.419999999925494,1868449.239999999990687,2281546.700000000186265,2672537.600000000558794,2147304.780000000260770,11828291.740000002086163
FS( 80 ),2908950.680000000167638,1873373.600000000093132,2257991.000000000000000,2638910.719999999739230,2118101.500000000000000,11797327.500000000000000
FS( 81 ),2953327.060000000055879,1883222.320000000065193,2293885.400000000372529,2662929.919999999925494,2127979.080000000074506,11921343.779999999329448
FS( 82 ),2968629.259999999776483,1940204.199999999953434,2343240.200000000186265,2710968.320000000298023,2136138.820000000298023,12099180.800000000745058
FS( 83 ),3046670.479999999981374,1936686.800000000279397,2400446.900000000372529,2669335.040000000037253,2172642.919999999925494,12225782.140000000596046
FS( 84 ),3049730.919999999925494,1948645.959999999962747,2400446.900000000372529,2674138.879999999888241,2144298.559999999590218,12217261.219999998807907
FS( 85 ),3081865.540000000037253,1940907.680000000167638,2437463.000000000000000,2731784.959999999962747,2185097.259999999776483,12377118.439999999478459
FS( 86 ),3141544.120000000111759,1869856.199999999953434,2448680.000000000000000,2783025.919999999925494,2184667.799999999813735,12427774.039999999105930
FS( 87 ),3162967.200000000186265,1833978.720000000204891,2483452.700000000186265,2773418.240000000223517,2193257.000000000000000,12447073.859999999403954
FS( 88 ),3144604.560000000055879,1824130.000000000000000,2473357.400000000372529,2794234.879999999888241,2182091.040000000037253,12418417.879999998956919
FS( 89 ),3120121.040000000037253,1809356.919999999925494,2476722.500000000000000,2747797.759999999776483,2173501.839999999850988,12327500.059999998658895
FS( 90 ),3066563.339999999850988,1800211.680000000167638,2529442.400000000372529,2773418.240000000223517,2149881.540000000037253,12319517.199999999254942
FS( 91 ),3058912.239999999757856,1842420.480000000214204,2560850.000000000000000,2670936.320000000298023,2118101.500000000000000,12251220.539999999105930
FS( 92 ),2994643.000000000000000,1834682.199999999953434,2616935.000000000000000,2576460.799999999813735,2140433.419999999925494,12163154.419999999925494
FS( 93 ),2974750.140000000130385,1755892.440000000176951,2627030.300000000745058,2579663.360000000335276,2081167.940000000176951,12018504.180000001564622
