代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13847660.009999999776483
真實報酬,3847660.009999999776483

夏普值報酬,0.376066001000000
夏普值風險,0.090255913669741
夏普值,4.166663276780692

二次趨勢線,0.879192050770232 x^2 + 14615.475195487097153 x + 10000000.000000000000000
二次加權預期報酬,14911.469852579741200
風險,175594.643760909966659
二次加權趨勢值,0.084919844553364
一次趨勢線,14781.971537236329823 x + 10000000.000000000000000
一次預期報酬,14781.971537236329823
一次風險,175706.662307641818188
一次趨勢值,0.084128691212373
找到最佳解世代,1877
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](9),BA[2](5),CAT[3](7),DD[7](1),MRK[17](12),UNH[23](18),V[25](3),
Stock#,AAPL[0](9),BA[2](5),CAT[3](7),DD[7](1),MRK[17](12),UNH[23](18),V[25](3),
張數,23228,18485,15636,31535,33510,26692,36148,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,49.000000000000000,50.199999999953434,66.040000000037253,35.500000000000000,39.699999999953434,15.159999999916181,2.039999999804422,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1393961.280000000027940,1425058.850000000093132,1403397.040000000037253,1433616.600000000093132,1452363.100000000093132,1423232.599999999860302,1441584.279999999795109,9973216.749999998137355
FS( 3 ),1430661.520000000018626,1454080.299999999813735,1410589.599999999860302,1446230.600000000093132,1449347.199999999953434,1428037.159999999916181,1448452.399999999906868,10067401.779999999329448
FS( 4 ),1412543.680000000167638,1461844.000000000000000,1401677.080000000074506,1468935.800000000046566,1463756.500000000000000,1430973.279999999795109,1455682.000000000000000,10095415.339999999850988
FS( 5 ),1428803.280000000027940,1498259.449999999953434,1401833.440000000176951,1459475.300000000046566,1450017.400000000139698,1436044.759999999776483,1450621.279999999795109,10125057.909999998286366
FS( 6 ),1432519.760000000009313,1501586.750000000000000,1415280.400000000139698,1471773.949999999953434,1439964.399999999906868,1436311.679999999934807,1452067.199999999953434,10149507.139999998733401
