代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12528078.470000002533197
真實報酬,2528078.470000002533197

夏普值報酬,0.244107847000000
夏普值風險,0.079291770003656
夏普值,3.078602571095900

二次趨勢線,38.373423811350790 x^2 + 2018.214921436071108 x + 10000000.000000000000000
二次加權預期報酬,14937.267604590841074
風險,105330.751979556196602
二次加權趨勢值,0.141812977918263
一次趨勢線,9285.153560593951624 x + 10000000.000000000000000
一次預期報酬,9285.153560593951624
一次風險,293360.506705296225846
一次趨勢值,0.031651000555169
找到最佳解世代,1443
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](11),CAT[3](1),CSCO[4](4),DD[7](2),INTC[11](3),MCD[15](18),MRK[17](9),MSFT[18](7),
Stock#,AAPL[0](11),CAT[3](1),CSCO[4](4),DD[7](2),INTC[11](3),MCD[15](18),MRK[17](9),MSFT[18](7),
張數,19160,14803,48281,24796,53879,12626,25730,39469,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,1.600000000093132,34.679999999934807,4.909999999916181,33.640000000130385,7.199999999953434,26.000000000000000,36.600000000093132,16.770000000018626,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1266094.400000000139698,1247927.579999999841675,1264484.300000000046566,1279011.320000000065193,1251077.579999999841675,1252525.199999999953434,1248970.800000000046566,1258683.179999999934807,10068774.360000001266599
FS( 3 ),1284871.200000000186265,1236973.359999999869615,1270278.019999999785796,1288185.840000000316650,1234913.880000000121072,1253914.060000000055879,1248713.500000000232831,1251184.070000000065193,10069033.929999999701977
FS( 4 ),1273375.199999999953434,1221726.270000000018626,1265449.919999999925494,1273308.240000000223517,1228448.399999999906868,1246085.939999999944121,1246397.800000000046566,1246447.790000000037253,10001239.559999998658895
FS( 5 ),1272800.400000000139698,1220245.969999999972060,1261104.629999999888241,1281490.920000000158325,1223060.500000000000000,1241540.580000000074506,1249228.100000000093132,1265392.910000000149012,10014864.009999999776483
FS( 6 ),1261879.200000000186265,1242894.559999999823049,1267863.969999999972060,1303311.400000000139698,1209590.750000000000000,1237879.040000000037253,1247169.699999999953434,1298152.179999999934807,10068740.799999998882413
