代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11313201.040000000968575
真實報酬,1313201.040000000968575

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,22074.011993138210528
風險,61414.320688127212634
起點值,0.359427764498674
找到最佳解世代,1775
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,9
AXP[1](5),CSCO[4](1),JNJ[12](9),KO[14](28),MSFT[18](8),PG[21](7),TRV[22](2),VZ[26](26),XOM[29](3),
Stock#,AXP[1](5),CSCO[4](1),JNJ[12](9),KO[14](28),MSFT[18](8),PG[21](7),TRV[22](2),VZ[26](26),XOM[29](3),
張數,11612,25869,8697,23675,10988,12172,9466,19834,15943,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,74.839999999850988,37.449999999953434,69.250000000000000,43.250000000000000,4.439999999944121,50.840000000083819,86.579999999841675,10.319999999832362,43.330000000074506,
FS( 1 ),1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,10000000.000000000000000
FS( 2 ),1084984.000000000000000,1062477.280000000027940,1093456.090000000083819,1104245.250000000000000,1070235.639999999897555,1103320.920000000158325,1091137.739999999990687,1115077.799999999813735,1094051.990000000223517,9818987.709999999031425
FS( 3 ),1133870.519999999785796,1110334.929999999934807,1111806.760000000009313,1126263.000000000000000,1120011.280000000027940,1125839.120000000111759,1123511.459999999962747,1117854.559999999823049,1134387.780000000260770,10103880.410000000149012
FS( 4 ),1140024.879999999888241,1117836.939999999944121,1104675.219999999972060,1111584.500000000000000,1121439.719999999972060,1121335.480000000214204,1119914.379999999888241,1124994.799999999813735,1140286.689999999944121,10102093.609999999403954
FS( 5 ),1145598.639999999897555,1126891.090000000083819,1130331.370000000111759,1124132.250000000000000,1129570.839999999850988,1125473.959999999962747,1115560.019999999785796,1157919.239999999990687,1148577.050000000279397,10204055.459999999031425
FS( 6 ),1147688.799999999813735,1120682.530000000027940,1121373.459999999962747,1102588.000000000000000,1145723.199999999953434,1107094.240000000223517,1123511.459999999962747,1131540.019999999785796,1154635.390000000130385,10154838.100000001490116
FS( 7 ),1141069.959999999962747,1118613.010000000009313,1128157.120000000111759,1114425.500000000000000,1138361.239999999990687,1109772.080000000074506,1138562.399999999906868,1142448.719999999972060,1148736.479999999981374,10180147.510000001639128
FS( 8 ),1144437.439999999711290,1125080.260000000009313,1128505.000000000000000,1120817.750000000000000,1129570.839999999850988,1117075.280000000027940,1140455.599999999860302,1150779.000000000000000,1143475.290000000037253,10200197.459999997168779
FS( 9 ),1143160.119999999878928,1117836.939999999944121,1115720.409999999916181,1116319.500000000000000,1121329.839999999850988,1109528.640000000130385,1141496.859999999869615,1150977.339999999850988,1142040.419999999925494,10158411.069999998435378
FS( 10 ),1137934.719999999739230,1138790.830000000074506,1125113.170000000158325,1126263.000000000000000,1153854.320000000065193,1119996.560000000055879,1153234.699999999720603,1152365.719999999972060,1142678.140000000130385,10250232.160000000149012
FS( 11 ),1154423.759999999776483,1137238.689999999944121,1113633.129999999888241,1110874.250000000000000,1157919.879999999888241,1112206.480000000214204,1157778.379999999888241,1132135.039999999804422,1142199.850000000093132,10218410.459999999031425
FS( 12 ),1155352.719999999739230,1143705.939999999944121,1122764.979999999981374,1114188.750000000000000,1166051.000000000000000,1103320.920000000158325,1163836.619999999878928,1127176.539999999804422,1150011.919999999925494,10246410.389999998733401
FS( 13 ),1166848.599999999860302,1164918.520000000018626,1136680.179999999934807,1127210.000000000000000,1183521.919999999925494,1112815.080000000074506,1173965.239999999990687,1132333.379999999888241,1163722.899999999906868,10362016.820000000298023
FS( 14 ),1159300.799999999813735,1158451.270000000018626,1120242.850000000093132,1129814.250000000000000,1161216.280000000027940,1100886.520000000018626,1158346.339999999850988,1130349.979999999981374,1146185.600000000093132,10264794.890000000596046
FS( 15 ),1157907.359999999869615,1176042.189999999944121,1120242.850000000093132,1142835.500000000000000,1172533.919999999925494,1154443.320000000065193,1164593.899999999906868,1145622.159999999683350,1136779.229999999981374,10371001.430000001564622
