代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10454846.000000000000000
真實報酬,454846.000000000000000

夏普值報酬,0.036784600000000
夏普值風險,0.014733249848090
夏普值,2.496706455077794

二次趨勢線,1007.850271146343516 x^2 + 6367.838777982558895 x + 10000000.000000000000000
二次加權預期報酬,32571.945827787490998
風險,16153.768238916070914
二次加權趨勢值,2.016368276803573
一次趨勢線,21097.958125506058423 x + 10000000.000000000000000
一次預期報酬,21097.958125506058423
一次風險,46203.798800087992277
一次趨勢值,0.456628213987156
找到最佳解世代,3563
找到最佳解實驗#,2
找到最佳解次數,33

stock[index](rank)
投資組合檔數,8
AAPL[0](9),BA[2](2),CVX[5](30),JNJ[12](1),KO[14](24),TRV[22](7),UNH[23](21),VZ[26](13),
Stock#,AAPL[0](9),BA[2](2),CVX[5](30),JNJ[12](1),KO[14](24),TRV[22](7),UNH[23](21),VZ[26](13),
張數,9708,7623,11261,11039,30295,10725,7682,25831,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,95.000000000000000,56.689999999944121,29.000000000000000,54.030000000027940,28.300000000046566,108.500000000000000,61.780000000027940,37.909999999916181,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1247864.239999999990687,1236964.669999999925494,1263625.809999999823049,1253753.260000000009313,1254241.300000000046566,1261690.250000000000000,1235020.099999999860302,1247158.589999999850988,10000318.219999998807907
FS( 3 ),1253203.640000000130385,1238031.889999999897555,1278940.770000000018626,1254525.989999999990687,1258482.600000000093132,1263299.000000000000000,1243547.120000000111759,1254907.889999999897555,10044938.900000002235174
FS( 4 ),1264950.319999999832362,1250076.229999999981374,1272296.780000000027940,1251876.630000000121072,1259088.500000000000000,1262119.250000000000000,1233099.599999999860302,1240700.839999999850988,10034208.150000000372529
FS( 5 ),1276988.239999999990687,1269286.189999999944121,1254391.790000000037253,1252759.750000000000000,1269388.800000000046566,1263084.500000000000000,1233253.239999999990687,1240959.149999999906868,10060111.660000000149012
FS( 6 ),1281939.319999999832362,1248780.320000000065193,1256531.379999999888241,1251876.630000000121072,1273024.200000000186265,1263620.750000000000000,1231563.199999999953434,1249483.379999999888241,10056819.179999999701977
FS( 7 ),1285628.359999999869615,1252363.129999999888241,1264188.860000000102445,1259383.149999999906868,1249697.050000000046566,1274024.000000000000000,1232561.860000000102445,1260849.020000000018626,10078695.429999999701977
FS( 8 ),1282715.959999999962747,1267227.979999999981374,1273085.050000000046566,1272188.389999999897555,1229399.399999999906868,1284212.750000000000000,1234943.280000000027940,1265240.289999999804422,10109013.099999997764826
FS( 9 ),1294074.319999999832362,1280949.379999999888241,1282769.510000000009313,1279253.350000000093132,1230611.199999999953434,1283998.250000000000000,1244468.960000000195578,1254132.959999999729916,10150257.929999999701977
FS( 10 ),1310869.160000000149012,1284532.189999999944121,1267116.719999999972060,1284552.070000000065193,1227884.650000000139698,1289682.500000000000000,1253226.439999999944121,1246900.280000000027940,10164764.009999999776483
FS( 11 ),1315626.079999999841675,1290630.590000000083819,1267679.770000000018626,1293824.830000000074506,1225158.100000000093132,1297619.000000000000000,1262137.560000000055879,1241992.389999999897555,10194668.320000000298023
FS( 12 ),1314072.800000000046566,1302141.320000000065193,1246396.479999999981374,1303539.149999999906868,1248182.300000000046566,1306306.250000000000000,1257221.080000000074506,1251808.169999999925494,10229667.549999998882413
FS( 13 ),1317664.760000000009313,1316625.020000000018626,1242455.129999999888241,1312149.570000000065193,1249091.149999999906868,1308022.250000000000000,1210898.620000000111759,1270664.799999999813735,10227571.300000000745058
FS( 14 ),1327178.599999999860302,1338350.570000000065193,1258107.919999999925494,1320980.770000000018626,1256059.000000000000000,1303732.250000000000000,1233560.520000000018626,1276864.239999999990687,10314833.869999999180436
FS( 15 ),1331158.880000000121072,1336825.969999999972060,1243018.179999999934807,1319435.310000000055879,1260300.300000000046566,1307486.000000000000000,1233560.520000000018626,1283063.679999999934807,10314848.839999999850988
FS( 16 ),1325528.239999999990687,1348260.469999999972060,1250225.219999999972060,1343500.330000000074506,1262118.000000000000000,1312419.500000000000000,1249154.979999999981374,1299595.520000000018626,10390802.259999999776483
FS( 17 ),1326790.280000000027940,1352681.809999999823049,1240090.320000000065193,1354870.500000000000000,1265753.400000000139698,1311454.250000000000000,1252688.699999999953434,1307086.510000000009313,10411415.769999999552965
FS( 18 ),1329411.440000000176951,1367851.580000000074506,1258445.750000000000000,1351227.630000000121072,1262420.950000000186265,1308987.500000000000000,1270510.939999999944121,1290038.049999999813735,10438893.839999999850988
FS( 19 ),1329993.920000000158325,1373949.979999999981374,1266891.500000000000000,1349130.219999999972060,1271206.500000000000000,1311132.500000000000000,1270510.939999999944121,1282030.439999999944121,10454846.000000000000000
