代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10148745.009999999776483
真實報酬,148745.009999999776483

夏普值報酬,0.006174501000000
夏普值風險,0.009330461121999
夏普值,0.661757325738414

二次趨勢線,1770.522373974224138 x^2 + -28601.705015898103738 x + 10000000.000000000000000
二次加權預期報酬,22153.269704696322151
風險,34076.224996788550925
二次加權趨勢值,0.650109268464571
一次趨勢線,-67.472337662363586 x + 10000000.000000000000000
一次預期報酬,-67.472337662363586
一次風險,98461.205536491077510
一次趨勢值,-6643407.706601508893073
找到最佳解世代,2607
找到最佳解實驗#,1
找到最佳解次數,35

stock[index](rank)
投資組合檔數,9
AXP[1](5),BA[2](1),CVX[5](13),GS[8](2),KO[14](3),MCD[15](17),UTX[24](9),VZ[26](28),WMT[28](8),
Stock#,AXP[1](5),BA[2](1),CVX[5](13),GS[8](2),KO[14](3),MCD[15](17),UTX[24](9),VZ[26](28),WMT[28](8),
張數,17412,8393,10845,6898,26436,9692,10847,21416,15429,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,51.280000000027940,45.660000000149012,40.750000000000000,50.140000000130385,5.919999999925494,20.119999999878928,52.790000000037253,48.919999999925494,68.709999999962747,
FS( 1 ),1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,10000000.000000000000000
FS( 2 ),1112852.199999999953434,1110019.910000000149012,1098313.899999999906868,1119388.600000000093132,1106088.159999999916181,1100062.119999999878928,1100264.000000000000000,1097833.079999999841675,1107099.459999999962747,9951922.429999999701977
FS( 3 ),1120687.600000000093132,1130247.040000000037253,1108725.100000000093132,1147877.340000000083819,1105295.080000000074506,1099189.839999999850988,1109158.540000000037253,1076631.239999999990687,1105865.139999999897555,10003677.919999999925494
FS( 4 ),1078550.560000000055879,1128232.719999999972060,1108182.850000000093132,1153050.840000000083819,1102651.479999999981374,1104132.760000000009313,1107314.550000000046566,1076417.079999999841675,1070224.149999999906868,9928757.990000000223517
FS( 5 ),1075416.399999999906868,1123448.710000000195578,1109158.899999999906868,1171537.480000000214204,1103180.199999999953434,1099577.520000000018626,1091044.050000000046566,1069135.639999999897555,1060041.010000000009313,9902540.910000000149012
FS( 6 ),1077854.080000000074506,1140150.780000000260770,1127703.850000000093132,1179884.060000000055879,1103180.199999999953434,1111789.439999999711290,1084535.850000000093132,1074917.959999999962747,1048932.130000000121072,9948949.349999999627471
FS( 7 ),1059745.600000000093132,1122525.480000000214204,1117509.550000000046566,1166088.060000000055879,1098157.359999999869615,1101806.679999999934807,1071410.979999999981374,1068707.319999999832362,1039829.020000000018626,9845781.049999998882413
FS( 8 ),1056785.560000000055879,1117657.540000000037253,1107857.500000000000000,1167881.540000000270084,1104502.000000000000000,1111789.439999999711290,1073146.500000000000000,1077273.719999999972060,1040909.049999999813735,9857803.850000001490116
FS( 9 ),1051910.199999999953434,1119504.000000000000000,1093108.300000000046566,1154913.300000000046566,1103973.279999999795109,1118573.839999999850988,1083125.739999999990687,1077059.559999999823049,1052789.380000000121072,9854958.600000001490116
FS( 10 ),1047383.079999999958090,1120511.160000000149012,1096253.350000000093132,1176297.100000000093132,1101594.040000000037253,1105780.399999999906868,1086488.310000000055879,1076845.399999999906868,1056183.760000000009313,9867337.600000001490116
FS( 11 ),1043030.079999999958090,1124707.660000000149012,1099289.949999999953434,1165812.140000000130385,1099743.520000000018626,1089497.839999999850988,1081607.159999999916181,1080057.799999999813735,1052635.089999999850988,9836382.239999998360872
FS( 12 ),1046164.239999999990687,1133939.960000000195578,1103953.300000000046566,1190851.880000000121072,1109524.839999999850988,1078255.119999999878928,1084644.320000000065193,1076631.239999999990687,1062663.939999999944121,9886629.839999999850988
FS( 13 ),1066536.280000000027940,1143004.400000000139698,1109158.899999999906868,1203820.120000000111759,1111639.719999999739230,1078352.040000000037253,1082149.510000000009313,1078987.000000000000000,1062972.520000000018626,9936621.489999998360872
FS( 14 ),1162824.640000000130385,1140150.780000000260770,1104820.900000000139698,1203820.120000000111759,1108467.399999999906868,1071664.559999999823049,1077051.420000000158325,1052431.159999999916181,1060503.880000000121072,9981735.859999999403954
FS( 15 ),1172923.600000000093132,1138388.250000000000000,1098639.250000000000000,1204923.800000000046566,1113754.600000000093132,1104229.679999999934807,1070326.280000000027940,1032300.119999999995343,1054486.570000000065193,9989973.150000000372529
FS( 16 ),1168222.360000000102445,1153663.510000000009313,1091698.449999999953434,1208027.900000000139698,1125122.080000000074506,1100740.559999999823049,1079546.229999999981374,1032514.279999999911524,1067601.219999999972060,10027137.589999999850988
FS( 17 ),1162128.159999999916181,1166840.520000000251457,1092891.399999999906868,1210994.040000000270084,1124593.359999999869615,1092502.359999999869615,1099504.709999999962747,1024590.359999999986030,1070224.149999999906868,10044270.060000000521541
FS( 18 ),1163172.879999999888241,1221562.880000000121072,1097446.300000000046566,1221479.000000000000000,1121949.759999999776483,1086590.239999999757856,1095708.260000000009313,1020093.000000000000000,1073772.820000000065193,10101776.139999998733401
FS( 19 ),1165436.440000000176951,1202846.490000000223517,1083673.149999999906868,1226169.640000000130385,1113490.239999999757856,1086299.479999999748543,1085512.080000000074506,1039581.559999999939464,1077475.780000000027940,10080485.859999999403954
FS( 20 ),1157078.680000000167638,1200328.590000000083819,1125968.649999999906868,1221961.860000000102445,1116398.199999999953434,1086493.319999999832362,1104711.270000000018626,1032514.279999999911524,1079944.419999999925494,10125400.269999999552965
