訓練日期,20180327 - 20180627
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11030627.109999999403954
真實報酬,1030627.109999999403954

夏普值報酬,0.094362711000000
夏普值風險,0.042195538204744
夏普值,2.236319644558797

預期報酬,22121.383376181089261
風險,128000.929567092913203
趨勢值,0.172822052550688
找到最佳解世代,1671
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](5),MRK[17](3),NKE[19](4),UNH[23](1),V[25](2),
Stock#,HD[9](5),MRK[17](3),NKE[19](4),UNH[23](1),V[25](2),
張數,11339,37009,30349,9129,16578,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,27.180000000167638,33.640000000130385,0.899999999906868,109.969999999972060,30.080000000074506,
20180327,1980723.700000000186265,1989267.390000000130385,2008194.229999999981374,1989866.810000000055879,1946287.280000000260770,9914339.410000000149012
20180328,1981630.820000000065193,2038859.450000000186265,1986039.459999999729916,1994796.469999999972060,1939490.300000000046566,9940816.500000000000000
20180329,2021090.540000000270084,2015913.870000000111759,2016388.459999999729916,1953715.969999999972060,1983090.440000000176951,9990199.279999999329448
20180402,1960540.280000000260770,1971503.070000000298023,1945978.780000000027940,1982928.769999999785796,1962699.500000000000000,9823650.400000000372529
20180403,1970291.820000000065193,2001850.450000000186265,2024279.199999999953434,2050300.790000000037253,1976127.680000000167638,10022849.940000001341105
20180404,2012019.340000000083819,2018504.500000000000000,2076479.479999999981374,2088733.879999999888241,1986240.260000000009313,10181977.460000000894070
20180405,2031182.250000000000000,2018134.410000000149012,2111987.810000000055879,2091290.000000000000000,2009117.900000000139698,10261712.370000001043081
20180406,1978115.729999999981374,1974833.880000000121072,2050075.849999999860302,2044640.810000000055879,1951260.680000000167638,9998926.949999999254942
20180409,1956118.070000000065193,2078459.080000000074506,2038846.720000000204891,2033412.139999999897555,1969330.700000000186265,10076166.710000000894070
20180410,1967230.290000000270084,2090672.050000000279397,2033383.899999999906868,2070475.879999999888241,2001326.239999999990687,10163088.359999999403954
20180411,1960086.720000000437722,2079939.440000000176951,2028224.569999999832362,2025835.070000000065193,1985742.920000000158325,10079828.720000000670552
