訓練日期,20120531 - 20120830
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11183398.900000000372529
真實報酬,1183398.900000000372529

夏普值報酬,0.109639890000000
夏普值風險,0.037550173016954
夏普值,2.919823830119190

預期報酬,20656.194661399666074
風險,87449.690524916935829
趨勢值,0.236206606763395
找到最佳解世代,2106
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,8
AAPL[0](12),CSCO[4](23),HD[9](11),JNJ[12](10),MRK[17](6),VZ[26](16),WBA[27](17),WMT[28](7),
Stock#,AAPL[0](12),CSCO[4](23),HD[9](11),JNJ[12](10),MRK[17](6),VZ[26](16),WBA[27](17),WMT[28](7),
張數,15107,76266,25145,20093,33422,30178,40413,19101,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,46.820000000065193,0.260000000009313,42.050000000046566,14.469999999972060,17.199999999953434,27.239999999990687,25.909999999916181,30.560000000055879,
20120531,1246827.530000000027940,1245424.039999999804422,1240696.350000000093132,1254420.459999999962747,1256015.959999999962747,1256639.159999999916181,1233430.669999999925494,1257258.379999999888241,9990712.550000000745058
20120601,1210721.800000000046566,1217205.620000000111759,1205996.250000000000000,1241360.010000000009313,1242647.159999999916181,1238230.580000000074506,1209587.000000000000000,1252101.110000000102445,9817849.529999999329448
20120604,1217822.090000000083819,1228645.520000000018626,1226112.250000000000000,1252612.090000000083819,1252005.320000000065193,1247585.760000000009313,1233026.540000000037253,1260505.550000000046566,9918315.120000001043081
20120605,1214649.620000000111759,1229408.180000000167638,1230135.450000000186265,1250000.000000000000000,1253342.199999999953434,1243360.840000000083819,1235855.449999999953434,1251146.060000000055879,9907897.800000000745058
20120606,1233382.300000000046566,1272117.139999999897555,1272379.050000000046566,1261854.869999999878928,1266711.000000000000000,1260562.300000000046566,1251212.389999999897555,1259359.490000000223517,10077578.540000000968575
20120607,1233835.510000000009313,1264490.539999999804422,1288471.850000000093132,1261854.869999999878928,1281082.459999999962747,1256639.159999999916181,1252020.649999999906868,1258213.430000000167638,10096608.469999998807907
20120608,1252417.120000000111759,1275930.439999999944121,1316382.800000000046566,1265471.609999999869615,1285427.320000000065193,1280781.559999999823049,1259294.989999999990687,1303100.780000000027940,10238806.619999999180436
20120611,1232778.020000000018626,1256863.939999999944121,1291237.800000000046566,1248191.629999999888241,1285761.539999999804422,1284402.920000000158325,1261719.769999999785796,1289921.090000000083819,10150876.709999999031425
20120612,1243503.989999999990687,1280506.399999999906868,1313616.850000000093132,1267480.909999999916181,1298461.899999999906868,1295870.559999999823049,1262932.159999999916181,1293550.280000000027940,10255923.049999997019768
20120613,1234893.000000000000000,1270591.820000000065193,1281682.699999999953434,1295008.320000000065193,1283422.000000000000000,1297379.459999999962747,1247979.349999999860302,1281134.629999999888241,10192091.280000001192093
20120614,1233533.370000000111759,1290420.980000000214204,1311605.250000000000000,1315101.320000000065193,1296456.579999999841675,1320314.739999999990687,1279905.619999999878928,1291831.189999999944121,10339169.050000000745058
20120615,1239122.959999999962747,1304148.860000000102445,1304313.199999999953434,1326353.400000000139698,1301469.879999999888241,1314279.139999999897555,1285159.310000000055879,1294123.310000000055879,10368970.060000000521541
20120618,1264200.580000000074506,1307199.500000000000000,1315628.449999999953434,1332180.369999999878928,1298461.899999999906868,1322427.199999999953434,1291625.389999999897555,1301190.680000000167638,10432914.070000000298023
20120619,1267826.260000000009313,1310250.139999999897555,1331972.699999999953434,1340619.429999999934807,1311162.259999999776483,1319711.179999999934807,1216053.079999999841675,1295269.370000000111759,10392864.419999998062849
20120620,1264200.580000000074506,1335417.920000000158325,1328452.399999999906868,1346245.469999999972060,1310493.820000000065193,1306734.639999999897555,1180489.639999999897555,1308831.080000000074506,10380865.550000000745058
20120621,1246676.459999999962747,1291183.639999999897555,1288974.750000000000000,1333988.739999999990687,1318515.100000000093132,1307639.979999999981374,1178064.859999999869615,1293168.260000000009313,10258211.789999999105930
20120622,1256344.939999999944121,1306436.839999999850988,1308084.950000000186265,1338811.059999999823049,1342913.159999999916181,1326350.340000000083819,1195038.319999999832362,1285527.860000000102445,10359507.469999998807907
20120625,1231871.600000000093132,1291183.639999999897555,1295512.450000000186265,1336198.969999999972060,1329544.360000000102445,1317296.939999999944121,1171598.779999999795109,1302336.740000000223517,10275543.480000000447035
20120626,1234590.860000000102445,1282794.380000000121072,1304564.650000000139698,1334591.530000000027940,1339236.739999999990687,1323030.760000000009313,1175640.079999999841675,1309977.140000000130385,10304426.140000000596046
20120627,1239878.310000000055879,1275930.439999999944121,1296266.800000000046566,1343030.590000000083819,1354610.860000000102445,1321220.080000000074506,1188976.369999999878928,1310168.150000000139698,10330081.599999999627471
20120628,1228094.850000000093132,1256863.939999999944121,1299787.100000000093132,1345039.889999999897555,1359624.159999999916181,1326953.899999999906868,1173619.429999999934807,1304628.860000000102445,10294612.129999998956919
20120629,1260423.830000000074506,1309487.480000000214204,1332475.600000000093132,1357497.550000000046566,1395385.699999999953434,1341137.559999999823049,1195442.449999999953434,1331752.280000000027940,10523602.449999999254942
20120702,1278854.370000000111759,1302623.539999999804422,1332978.500000000000000,1366338.469999999972060,1398727.899999999906868,1355924.780000000027940,1206758.089999999850988,1324684.909999999916181,10566890.559999998658895
20120703,1293659.229999999981374,1307962.159999999916181,1298781.300000000046566,1367142.190000000176951,1397391.020000000018626,1356528.340000000083819,1196654.839999999850988,1351426.310000000055879,10569545.390000000596046
20120705,1316319.729999999981374,1291946.300000000046566,1310348.000000000000000,1361918.010000000009313,1391375.060000000055879,1354717.659999999916181,1207162.219999999972060,1357729.640000000130385,10591516.620000001043081
20120706,1307557.669999999925494,1278981.080000000074506,1311353.800000000046566,1359104.989999999990687,1387364.419999999925494,1340534.000000000000000,1197058.969999999972060,1363077.920000000158325,10545032.849999999627471
20120709,1324930.720000000204891,1269829.159999999916181,1310599.449999999953434,1361918.010000000009313,1408086.060000000055879,1350190.959999999962747,1200292.009999999776483,1370718.320000000065193,10596564.690000001341105
20120710,1312694.050000000046566,1251525.320000000065193,1313113.949999999953434,1363927.309999999823049,1382685.339999999850988,1348983.840000000083819,1209182.869999999878928,1377403.670000000158325,10559516.349999999627471
20120711,1304536.270000000018626,1249237.339999999850988,1299284.200000000186265,1364329.170000000158325,1377337.820000000065193,1355019.439999999944121,1209991.129999999888241,1380268.820000000065193,10540004.190000001341105
20120712,1292601.739999999990687,1218730.939999999944121,1296266.800000000046566,1360511.499999999767169,1434155.219999999739230,1348078.500000000000000,1216457.209999999962747,1381223.870000000111759,10548025.780000001192093
20120713,1305593.760000000009313,1243898.719999999972060,1309845.100000000093132,1378595.199999999953434,1452871.539999999804422,1364374.620000000111759,1235855.449999999953434,1397841.740000000223517,10688876.130000000819564
20120716,1309823.720000000204891,1234746.800000000046566,1293752.300000000046566,1375380.320000000065193,1448860.899999999906868,1366185.300000000046566,1232622.409999999916181,1394021.540000000037253,10655393.289999999105930
20120717,1309974.790000000037253,1237797.439999999944121,1275396.449999999953434,1386431.469999999972060,1476935.379999999888241,1377954.719999999972060,1240705.009999999776483,1396313.659999999916181,10701508.919999998062849
20120718,1308464.090000000083819,1273642.459999999962747,1280174.000000000000000,1393865.880000000121072,1468579.879999999888241,1384895.659999999916181,1251616.519999999785796,1391538.409999999916181,10752776.900000000372529
20120719,1325837.140000000130385,1272117.139999999897555,1281431.250000000000000,1397080.760000000009313,1468579.879999999888241,1344155.359999999869615,1399123.969999999739230,1366325.090000000083819,10854650.589999999850988
20120720,1304234.130000000121072,1247712.020000000018626,1274893.550000000046566,1378997.059999999823049,1450866.219999999739230,1342646.459999999962747,1398315.709999999962747,1380077.810000000055879,10777742.959999999031425
20120723,1303176.640000000130385,1225594.880000000121072,1281431.250000000000000,1368548.699999999953434,1446187.140000000130385,1338421.540000000037253,1370834.869999999878928,1372437.409999999916181,10706632.430000001564622
20120724,1296982.770000000018626,1153142.179999999934807,1286711.700000000186265,1353278.019999999785796,1426802.379999999888241,1320918.300000000046566,1378513.339999999850988,1377976.699999999953434,10594325.389999998733401
20120725,1240935.800000000046566,1176021.979999999981374,1284197.199999999953434,1356894.760000000009313,1424462.839999999850988,1319409.399999999906868,1400336.359999999869615,1376830.640000000130385,10579088.980000000447035
20120726,1240784.729999999981374,1172971.340000000083819,1330464.000000000000000,1381207.289999999804422,1448192.459999999962747,1341741.120000000111759,1413268.519999999785796,1407201.229999999981374,10735830.690000001341105
20120727,1262840.950000000186265,1196613.800000000046566,1350580.000000000000000,1396879.829999999841675,1507349.399999999906868,1355019.439999999944121,1443578.269999999785796,1423437.080000000074506,10936298.769999999552965
20120730,1284141.820000000065193,1210341.679999999934807,1339013.300000000046566,1395473.320000000065193,1486627.759999999776483,1356528.340000000083819,1465805.420000000158325,1432223.540000000037253,10970155.179999999701977
20120731,1318132.570000000065193,1216442.959999999962747,1312108.150000000139698,1390851.929999999934807,1476266.939999999944121,1362262.159999999916181,1469442.589999999850988,1421717.990000000223517,10967225.290000000968575
20120801,1309672.650000000139698,1218730.939999999944121,1299535.650000000139698,1394066.809999999823049,1479943.360000000102445,1364374.620000000111759,1465805.420000000158325,1406246.180000000167638,10938375.630000000819564
20120802,1311787.630000000121072,1200427.100000000093132,1292243.600000000093132,1375380.320000000065193,1467577.219999999739230,1346569.599999999860302,1444790.659999999916181,1414459.610000000102445,10853235.739999998360872
20120803,1328858.540000000037253,1246949.360000000102445,1314874.100000000093132,1388842.630000000121072,1475598.500000000000000,1341741.120000000111759,1446811.309999999823049,1424010.110000000102445,10967685.669999999925494
20120806,1343663.400000000139698,1272879.800000000046566,1307582.050000000046566,1383216.590000000083819,1486961.979999999981374,1348682.059999999823049,1446407.179999999934807,1418852.840000000083819,11008245.900000000372529
20120807,1340037.720000000204891,1307199.500000000000000,1317640.050000000046566,1372165.440000000176951,1470585.199999999953434,1342042.899999999906868,1456106.300000000046566,1413313.550000000046566,11019090.660000002011657
20120808,1337771.669999999925494,1308724.820000000065193,1327446.600000000093132,1373371.019999999785796,1472590.520000000018626,1333291.280000000027940,1464593.030000000027940,1419425.870000000111759,11037214.810000002384186
20120809,1339735.580000000074506,1349908.459999999962747,1336498.800000000046566,1372768.229999999748543,1479943.360000000102445,1338119.760000000009313,1458531.080000000074506,1410639.409999999916181,11086144.679999999701977
20120810,1341699.489999999990687,1337705.899999999906868,1334235.750000000000000,1379197.989999999990687,1489635.739999999990687,1345966.040000000037253,1461764.119999999878928,1407392.240000000223517,11097597.269999999552965
20120813,1359676.820000000065193,1322452.699999999953434,1328200.949999999953434,1375581.249999999767169,1484622.439999999944121,1336007.300000000046566,1453681.519999999785796,1402043.960000000195578,11062266.940000001341105
20120814,1363302.500000000000000,1309487.480000000214204,1375725.000000000000000,1379197.989999999990687,1484288.219999999739230,1337817.979999999981374,1443174.139999999897555,1413695.570000000065193,11106688.880000000819564
20120815,1361489.660000000149012,1323215.360000000102445,1383017.050000000046566,1373371.019999999785796,1472590.520000000018626,1333593.059999999823049,1437112.189999999944121,1422100.010000000009313,11106488.869999999180436
20120816,1373424.189999999944121,1450579.580000000074506,1415957.000000000000000,1370357.070000000065193,1468579.879999999888241,1331480.599999999860302,1435495.670000000158325,1378167.710000000195578,11224041.700000001117587
20120817,1398803.950000000186265,1453630.219999999972060,1426517.899999999906868,1362319.869999999878928,1448526.680000000167638,1329669.920000000158325,1448427.830000000074506,1375111.550000000046566,11243007.920000001788139
20120820,1435513.959999999962747,1444478.300000000046566,1422494.699999999953434,1360310.570000000065193,1462229.699999999953434,1318805.840000000083819,1456106.300000000046566,1381032.860000000102445,11280972.230000000447035
20120821,1415874.860000000102445,1461256.820000000065193,1416208.449999999953434,1361918.010000000009313,1435157.879999999888241,1294361.659999999916181,1440749.359999999869615,1364414.990000000223517,11189942.029999999329448
20120822,1443520.669999999925494,1465832.780000000027940,1424254.850000000093132,1361315.219999999972060,1434155.219999999739230,1286213.599999999860302,1436708.059999999823049,1370909.330000000074506,11222909.730000000447035
