訓練日期,20110922 - 20111222
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11729053.410000000149012
真實報酬,1729053.410000000149012

夏普值報酬,0.164205341000000
夏普值風險,0.048785745290167
夏普值,3.365846724762366

預期報酬,25371.945150269581063
風險,172271.568151515704812
趨勢值,0.147278772826602
找到最佳解世代,1732
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](2),MCD[15](1),WMT[28](3),
Stock#,HD[9](2),MCD[15](1),WMT[28](3),
張數,98502,38086,64951,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,25.319999999832362,46.280000000260770,47.680000000167638,
20110922,3255516.419999999459833,3275061.419999999925494,3265783.960000000428408,9796362.800000000745058
20110923,3321512.759999999776483,3327620.100000000558794,3299558.479999999981374,9948692.339999999850988
20110926,3349093.319999999832362,3402649.520000000484288,3366458.010000000242144,10118201.849999999627471
20110927,3337273.080000000074506,3417883.919999999925494,3379448.210000000428408,10134606.210000000894070
20110928,3309692.520000000018626,3352756.860000000335276,3332683.490000000223517,9995133.870000001043081
20110929,3328407.899999999906868,3381321.360000000335276,3372953.110000000335276,10082683.370000001043081
20110930,3237786.059999999590218,3344758.799999999813735,3371004.580000000074506,9953550.439999999478459
20111003,3111703.500000000000000,3276204.000000000000000,3374901.640000000130385,9762810.140000000596046
20111004,3198385.259999999776483,3293723.560000000521541,3434656.560000000521541,9926766.380000000819564
20111005,3233845.979999999515712,3268967.660000000149012,3419717.830000000074506,9922532.469999998807907
20111006,3288022.080000000074506,3317717.740000000223517,3426212.930000000167638,10031953.750000000000000
20111007,3341213.160000000149012,3321145.480000000447035,3487916.380000000353903,10150276.020000001415610
20111010,3414104.639999999664724,3371038.140000000596046,3560011.990000000223517,10345155.769999999552965
20111011,3419029.739999999757856,3402649.520000000484288,3554166.399999999906868,10375846.660000000149012
20111012,3420014.759999999776483,3365325.240000000223517,3585342.880000000353903,10370683.880000000819564
20111013,3389479.139999999664724,3401506.940000000409782,3573651.700000000186265,10364638.780000001192093
20111014,3452520.419999999459833,3425501.120000000111759,3602230.140000000130385,10480252.679999999701977
20111017,3413119.619999999646097,3376751.040000000037253,3558063.460000000428408,10347935.120000001043081
20111018,3541172.220000000204891,3414075.320000000298023,3630159.070000000298023,10585407.610000001266599
20111019,3486996.119999999646097,3413313.600000000558794,3653541.430000000167638,10553852.150000000372529
20111020,3519501.779999999329448,3390081.140000000596046,3661335.549999999813735,10570919.469999998807907
20111021,3630809.039999999571592,3516145.799999999813735,3697058.600000000093132,10844014.439999999478459
20111024,3615048.720000000204891,3504339.140000000596046,3687965.460000000428408,10807354.320000002160668
20111025,3550037.399999999906868,3495198.500000000000000,3683418.890000000130385,10728655.790000000968575
20111026,3600273.419999999459833,3495579.360000000335276,3726286.549999999813735,10822140.329999998211861
20111027,3681045.059999999590218,3561468.140000000596046,3754864.990000000223517,10997379.190000001341105
20111028,3557917.559999999590218,3553089.220000000670552,3711997.330000000074506,10823005.109999999403954
20111031,3526396.919999999459833,3536331.379999999888241,3684068.399999999906868,10746797.699999999254942
20111101,3500786.399999999906868,3500530.540000000037253,3652242.410000000149012,10653560.349999999627471
20111102,3545112.299999999813735,3524143.860000000335276,3693161.540000000037253,10762418.699999999254942
20111103,3590423.220000000204891,3542044.280000000260770,3729534.100000000093132,10862002.599999999627471
20111104,3584513.100000000093132,3572893.940000000409782,3734730.180000000167638,10892138.220000000670552
20111107,3678090.000000000000000,3603743.600000000558794,3763308.620000000111759,11045143.220000000670552
20111108,3737191.199999999720603,3602981.879999999888241,3852941.000000000000000,11193115.080000000074506
20111109,3660359.639999999664724,3528714.180000000633299,3770453.229999999981374,10959528.050000000745058
20111110,3664299.720000000204891,3551946.640000000596046,3775649.310000000521541,10991896.670000001788139
20111111,3749011.439999999944121,3609075.640000000596046,3845146.880000000353903,11203234.960000000894070
20111114,3767726.819999999832362,3582415.440000000409782,3825012.070000000298023,11175155.330000000074506
20111115,3749996.459999999962747,3598030.700000000186265,3732132.140000000130385,11080160.300000000745058
20111116,3727341.000000000000000,3547757.180000000633299,3681470.360000000335276,10956569.540000000968575
20111117,3705670.559999999590218,3515003.220000000670552,3684717.910000000149012,10905392.690000001341105
20111118,3731281.080000000074506,3532141.919999999925494,3717193.410000000149012,10980617.410000000149012
20111121,3650509.439999999944121,3514622.360000000335276,3680171.339999999850988,10845304.140000000596046
20111122,3654449.520000000018626,3528714.180000000633299,3692512.030000000260770,10875676.730000000447035
20111123,3597318.360000000335276,3499007.100000000558794,3678872.320000000298023,10775198.780000001192093
20111125,3592393.259999999776483,3507766.879999999888241,3695110.070000000298023,10795271.210000000894070
20111128,3674149.919999999459833,3570989.640000000596046,3718492.430000000167638,10963632.990000000223517
20111129,3837663.239999999757856,3559563.839999999850988,3778247.350000000093132,11175475.429999999701977
20111130,3863273.759999999776483,3638021.000000000000000,3825661.580000000074506,11326957.339999999850988
20111201,3875094.000000000000000,3637259.280000000260770,3806825.790000000037253,11319180.070000000298023
20111202,3934195.199999999720603,3644876.480000000447035,3773051.270000000484288,11352123.949999999254942
20111205,3962760.779999999329448,3631546.379999999888241,3789289.020000000484288,11383597.179999999701977
20111206,3971625.959999999962747,3656683.140000000596046,3817867.460000000428408,11446177.560000000521541
20111207,4012011.779999999329448,3673440.980000000447035,3800330.689999999944121,11485784.449999999254942
20111208,3931240.139999999664724,3691341.400000000372529,3765906.660000000149012,11388489.199999999254942
20111209,3962760.779999999329448,3733616.860000000335276,3787990.000000000000000,11484368.640000000596046
20111212,3945030.419999999459833,3750755.560000000521541,3773051.270000000484288,11468838.250000000000000
20111213,3891839.339999999850988,3732474.280000000260770,3741225.280000000260770,11365539.900000000372529
20111214,3855393.600000000093132,3717620.740000000223517,3744472.830000000074506,11317488.169999999925494
20111215,3882974.160000000149012,3737806.320000000298023,3763958.130000000353903,11384739.610000001266599
20111216,3981476.160000000149012,3713050.419999999925494,3784742.450000000186265,11479270.030000001192093
20111219,3959805.720000000204891,3703528.919999999925494,3752916.460000000428408,11416252.100000001490116
20111220,4132184.220000000204891,3763704.799999999813735,3844497.370000000111759,11740387.390000000596046
20111221,4137109.319999999832362,3778177.480000000447035,3857487.570000000298023,11772775.370000001043081
20111222,4129229.160000000149012,3755325.879999999888241,3844497.370000000111759,11729053.410000000149012
