代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14907971.019999999552965
真實報酬,4907971.019999999552965

夏普值報酬,0.482097102000000
夏普值風險,0.108415126362329
夏普值,4.446769728320073

二次趨勢線,-43.137165408668764 x^2 + 30452.715727297014382 x + 10000000.000000000000000
二次加權預期報酬,15872.353819166975882
風險,208278.680544678558363
二次加權趨勢值,0.076207290048403
一次趨勢線,22251.294060161268135 x + 10000000.000000000000000
一次預期報酬,22251.294060161268135
一次風險,373661.411595317884348
一次趨勢值,0.059549349677723
找到最佳解世代,1745
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
KO[14](14),MCD[15](22),PFE[20](3),UNH[23](1),WBA[27](4),XOM[29](9),
Stock#,KO[14](14),MCD[15](22),PFE[20](3),UNH[23](1),WBA[27](4),XOM[29](9),
張數,66613,24983,117123,59844,62750,29441,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,8.739999999990687,50.070000000065193,5.709999999962747,10.599999999860302,26.000000000000000,10.989999999990687,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1667332.130000000121072,1652425.690000000176951,1656124.929999999934807,1693595.799999999813735,1654116.000000000000000,1665488.360000000102445,9989086.910000000149012
FS( 3 ),1679988.599999999860302,1651676.199999999953434,1673693.379999999888241,1728903.760000000009313,1670431.000000000000000,1691690.850000000093132,10096387.789999999105930
FS( 4 ),1714627.359999999869615,1681655.800000000046566,1712343.969999999972060,1747455.399999999906868,1703688.500000000000000,1720248.619999999878928,10280023.649999998509884
FS( 5 ),1745935.469999999972060,1724376.729999999981374,1735768.570000000065193,1776180.519999999785796,1764556.000000000000000,1731436.199999999953434,10478257.489999998360872
FS( 6 ),1745269.339999999850988,1729373.330000000074506,1729912.419999999925494,1793535.279999999795109,1782126.000000000000000,1730552.969999999972060,10510773.339999999850988
FS( 7 ),1747267.729999999981374,1747361.090000000083819,1748652.099999999860302,1797724.359999999869615,1765811.000000000000000,1735263.530000000027940,10542083.809999998658895
FS( 8 ),1755927.419999999925494,1769845.790000000037253,1732254.879999999888241,1803708.760000000009313,1826678.500000000000000,1749395.209999999962747,10637814.559999998658895
FS( 9 ),1759258.070000000065193,1771344.770000000251457,1738111.030000000027940,1814480.679999999934807,1858681.000000000000000,1744684.649999999906868,10686564.200000001117587
FS( 10 ),1760590.330000000074506,1782087.459999999962747,1741624.719999999972060,1847993.319999999832362,1864956.000000000000000,1744979.060000000055879,10742234.890000000596046
FS( 11 ),1744603.209999999962747,1747361.090000000083819,1705316.590000000083819,1815677.559999999823049,1832953.500000000000000,1706411.350000000093132,10552327.299999998882413
