代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11327471.319999998435378
真實報酬,1327471.319999998435378

夏普值報酬,0.124047132000000
夏普值風險,0.075168181520528
夏普值,1.650261180871105

二次趨勢線,89.052654517149989 x^2 + -14618.146885656702580 x + 10000000.000000000000000
二次加權預期報酬,15244.176595760931377
風險,267635.247345119772945
二次加權趨勢值,0.056958777840287
一次趨勢線,2179.343681496676709 x + 10000000.000000000000000
一次預期報酬,2179.343681496676709
一次風險,684841.822286266135052
一次趨勢值,0.003182258458196
找到最佳解世代,1617
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](5),MRK[17](1),PG[21](2),
Stock#,MCD[15](5),MRK[17](1),PG[21](2),
張數,19243,59290,36771,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,60.540000000037253,49.200000000186265,41.849999999627471,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3319285.610000000335276,3328589.800000000279397,3329288.189999999944121,9977164.599999999627471
FS( 3 ),3342569.639999999664724,3382543.700000000186265,3352821.629999999888241,10077935.969999998807907
FS( 4 ),3349304.690000000409782,3378986.300000000279397,3355027.889999999664724,10083319.879999998956919
FS( 5 ),3346995.530000000260770,3359420.600000000093132,3372677.969999999739230,10079095.100000001490116
FS( 6 ),3339490.759999999776483,3367721.200000000186265,3348041.399999999441206,10055254.359999999403954
FS( 7 ),3338913.469999999739230,3397366.200000000186265,3326714.219999999739230,10062994.890000000596046
FS( 8 ),3336604.309999999590218,3415153.200000000186265,3314947.500000000000000,10066706.009999999776483
FS( 9 ),3340068.049999999813735,3478000.600000000093132,3295091.159999999683350,10113160.810000000521541
FS( 10 ),3342184.780000000260770,3680179.500000000000000,3317521.469999999739230,10339886.750000000000000
FS( 11 ),3367200.679999999701977,3677807.900000000372529,3353557.049999999813735,10398566.629999998956919
FS( 12 ),3359311.049999999813735,3624446.900000000372529,3316050.629999999888241,10299809.580000000074506
FS( 13 ),3389137.700000000186265,3633340.400000000372529,3348776.819999999366701,10371255.919999999925494
FS( 14 ),3390869.570000000298023,3631561.700000000186265,3378929.039999999571592,10401361.310000000521541
FS( 15 ),3402415.370000000111759,3658242.200000000186265,3274499.399999999441206,10335157.969999998807907
FS( 16 ),3389137.700000000186265,3627411.400000000372529,3247288.859999999869615,10263838.960000000894070
FS( 17 ),3380285.919999999925494,3634526.200000000186265,3248391.989999999757856,10263205.109999999403954
FS( 18 ),3432242.020000000484288,3678400.800000000279397,3225961.679999999701977,10336605.500000000000000
FS( 19 ),3420888.650000000372529,3654091.900000000372529,3193970.909999999683350,10268952.460000000894070
FS( 20 ),3319093.179999999701977,3595987.700000000186265,3197280.299999999813735,10112362.179999999701977
FS( 21 ),3293307.559999999590218,3512981.700000000186265,3174849.989999999757856,9981140.250000000000000
FS( 22 ),3307932.240000000223517,3549148.600000000093132,3156832.199999999254942,10013914.039999999105930
FS( 23 ),3259439.879999999888241,3472071.600000000093132,3097998.599999999627471,9829511.080000000074506
FS( 24 ),3153026.089999999850988,3344005.200000000186265,2980699.109999999869615,9477731.400000000372529
FS( 25 ),3178619.280000000260770,3288272.600000000093132,3029236.829999999608845,9496129.710000000894070
FS( 26 ),3188818.070000000298023,3313174.400000000372529,3009380.489999999757856,9511373.960000000894070
FS( 27 ),3059120.250000000000000,3244990.899999999906868,2949811.469999999739230,9253923.620000001043081
FS( 28 ),3094334.940000000409782,3253291.500000000000000,2938780.169999999459833,9286407.609999999403954
FS( 29 ),3153988.240000000223517,3286493.900000000372529,2990627.279999999795109,9431110.419999999925494
FS( 30 ),3125123.740000000223517,3255070.200000000186265,2996878.349999999627471,9377073.289999999105930
FS( 31 ),3078748.110000000335276,3255070.200000000186265,2966726.129999999888241,9300545.440000001341105
FS( 32 ),3093950.080000000074506,3319696.300000000279397,3030339.959999999497086,9443987.339999999850988
FS( 33 ),3036413.509999999776483,3337483.300000000279397,3037326.449999999254942,9411224.259999999776483
FS( 34 ),3024290.419999999925494,3259813.399999999906868,2990994.989999999757856,9275099.810000000521541
FS( 35 ),3052770.059999999590218,3234318.700000000186265,2950546.889999999664724,9237636.649999998509884
FS( 36 ),3091640.919999999925494,3235504.500000000000000,2972609.489999999757856,9299755.910000000149012
FS( 37 ),3137824.120000000111759,3253291.500000000000000,2980331.399999999441206,9371448.019999999552965
