代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12969353.259999999776483
真實報酬,2969353.259999999776483

夏普值報酬,0.288235326000000
夏普值風險,0.089353836261260
夏普值,3.225774494530193

二次趨勢線,30.329608762347878 x^2 + 6029.168973434374493 x + 10000000.000000000000000
二次平均預期報酬,13702.559990308391207
風險,282734.031083958165254
二次平均趨勢值,0.048464487765321
一次趨勢線,11772.816110817293520 x + 10000000.000000000000000
一次預期報酬,11772.816110817293520
一次風險,356047.452921570569742
一次趨勢值,0.033065300746332
找到最佳解世代,1762
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](4),NKE[19](1),
Stock#,HD[9](4),NKE[19](1),
張數,48341,105218,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,90.370000000111759,40.639999999664724,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4895100.030000000260770,4918982.139999999664724,9814082.169999999925494
FS( 3 ),4880114.320000000298023,4890573.279999999329448,9770687.599999999627471
FS( 4 ),5047374.179999999701977,4991582.559999999590218,10038956.739999998360872
FS( 5 ),5159041.889999999664724,5106270.179999999701977,10265312.070000000298023
FS( 6 ),5070577.860000000335276,5050504.639999999664724,10121082.500000000000000
FS( 7 ),5047857.589999999850988,5043139.379999999888241,10090996.969999998807907
FS( 8 ),5014502.300000000745058,4998947.819999999366701,10013450.120000001043081
FS( 9 ),4961810.610000000335276,4930556.119999999180436,9892366.730000000447035
FS( 10 ),4883014.780000000260770,4883208.019999999552965,9766222.800000000745058
FS( 11 ),5033355.290000000037253,4892677.639999999664724,9926032.929999999701977
FS( 12 ),4991298.620000000111759,4925295.219999999739230,9916593.839999999850988
FS( 13 ),5004834.100000000558794,4920034.319999999366701,9924868.419999999925494
FS( 14 ),5127620.240000000223517,5043139.379999999888241,10170759.620000001043081
FS( 15 ),5093781.540000000037253,5058922.079999999143183,10152703.619999999180436
FS( 16 ),5141639.129999999888241,5069443.879999999888241,10211083.009999999776483
FS( 17 ),5083629.929999999701977,4971591.139999999664724,10055221.070000000298023
FS( 18 ),5063326.709999999962747,4909512.519999999552965,9972839.230000000447035
FS( 19 ),5202548.790000000037253,4991582.559999999590218,10194131.349999999627471
FS( 20 ),5047857.589999999850988,4853746.979999999515712,9901604.570000000298023
FS( 21 ),5048341.000000000000000,4835859.919999999925494,9884200.919999999925494
FS( 22 ),5184179.209999999962747,4911616.879999999888241,10095796.089999999850988
FS( 23 ),5240738.179999999701977,4868477.500000000000000,10109215.679999999701977
FS( 24 ),5268775.959999999962747,4910564.700000000186265,10179340.660000000149012
FS( 25 ),5271193.010000000707805,4829546.839999999850988,10100739.850000001490116
FS( 26 ),5237354.310000000521541,4796929.259999999776483,10034283.570000000298023
FS( 27 ),5349988.839999999850988,4880051.479999999515712,10230040.320000000298023
FS( 28 ),5332586.080000000074506,4804294.519999999552965,10136880.599999999627471
FS( 29 ),5422016.929999999701977,4840068.639999999664724,10262085.570000000298023
FS( 30 ),5408964.860000000335276,4842173.000000000000000,10251137.859999999403954
FS( 31 ),5414282.370000000111759,4832703.379999999888241,10246985.750000000000000
FS( 32 ),5413798.959999999962747,4925295.219999999739230,10339094.179999999701977
FS( 33 ),5363040.910000000149012,4929503.939999999478459,10292544.849999999627471
FS( 34 ),5425884.209999999962747,4994739.099999999627471,10420623.309999998658895
FS( 35 ),5427817.850000000558794,4998947.819999999366701,10426765.669999999925494
FS( 36 ),5643902.120000000111759,5019991.419999999925494,10663893.539999999105930
FS( 37 ),5622632.080000000074506,5093644.019999999552965,10716276.099999999627471
FS( 38 ),5577674.950000000186265,5103113.639999999664724,10680788.589999999850988
FS( 39 ),5547220.120000000111759,5109426.719999999739230,10656646.839999999850988
FS( 40 ),5613447.290000000037253,5195705.479999999515712,10809152.769999999552965
FS( 41 ),5611030.240000000223517,5154670.459999999962747,10765700.699999999254942
FS( 42 ),5547703.530000000260770,5130470.319999999366701,10678173.849999999627471
FS( 43 ),5603295.679999999701977,5179922.779999999329448,10783218.459999999031425
FS( 44 ),5532717.820000000298023,5098904.919999999925494,10631622.740000000223517
FS( 45 ),5571390.620000000111759,5126261.599999999627471,10697652.219999998807907
FS( 46 ),5441353.330000000074506,5077861.319999999366701,10519214.649999998509884
FS( 47 ),5466007.240000000223517,5015782.700000000186265,10481789.940000001341105
FS( 48 ),5612480.469999999739230,5105218.000000000000000,10717698.469999998807907
FS( 49 ),5550603.990000000223517,5041035.019999999552965,10591639.009999999776483
FS( 50 ),5631816.870000000111759,5073652.599999999627471,10705469.469999998807907
FS( 51 ),5587343.150000000372529,5078913.500000000000000,10666256.650000000372529
FS( 52 ),5611513.650000000372529,5130470.319999999366701,10741983.969999998807907
FS( 53 ),5567039.929999999701977,5172557.519999999552965,10739597.449999999254942
FS( 54 ),5679674.459999999962747,5365106.459999999962747,11044780.919999999925494
FS( 55 ),5611030.240000000223517,5337749.779999999329448,10948780.019999999552965
FS( 56 ),5614897.520000000484288,5295662.579999999143183,10910560.099999999627471
FS( 57 ),5495495.250000000000000,5208331.639999999664724,10703826.890000000596046
FS( 58 ),5432168.540000000037253,5226218.700000000186265,10658387.240000000223517
FS( 59 ),5504196.629999999888241,5254627.559999999590218,10758824.189999999478459
FS( 60 ),5541419.200000000186265,5308288.740000000223517,10849707.940000001341105
FS( 61 ),5492111.379999999888241,5278827.700000000186265,10770939.080000000074506
