代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13746906.269999999552965
真實報酬,3746906.269999999552965

夏普值報酬,0.365990627000000
夏普值風險,0.096679322077657
夏普值,3.785614329256673

二次趨勢線,36.153143822039098 x^2 + 4817.787741227249171 x + 10000000.000000000000000
二次平均預期報酬,13964.533128203138403
風險,286049.756456961273216
二次平均趨勢值,0.048818545770390
一次趨勢線,11664.262506131983173 x + 10000000.000000000000000
一次預期報酬,11664.262506131983173
一次風險,385183.372417655773461
一次趨勢值,0.030282362483405
找到最佳解世代,2237
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),V[25](2),
Stock#,MCD[15](1),V[25](2),
張數,65274,283607,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,11.600000000558794,8.589999999850988,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4850522.540000000968575,5005672.139999999664724,9856194.679999999701977
FS( 3 ),4873368.440000000409782,5110606.729999999515712,9983975.169999999925494
FS( 4 ),4843995.140000000596046,5187180.619999999180436,10031175.759999999776483
FS( 5 ),4854438.980000000447035,5173000.269999999552965,10027439.250000000000000
FS( 6 ),4801567.040000000968575,5090754.239999999292195,9892321.280000001192093
FS( 7 ),4823760.200000001117587,5096426.379999999888241,9920186.580000001937151
FS( 8 ),4804178.000000000000000,5147475.639999999664724,9951653.640000000596046
FS( 9 ),4743473.180000000633299,5045377.119999999180436,9788850.300000000745058
FS( 10 ),4834204.040000000968575,5042541.049999999813735,9876745.089999999850988
FS( 11 ),4874673.920000000856817,5048213.190000000409782,9922887.110000001266599
FS( 12 ),4918407.500000000000000,4900737.549999999813735,9819145.050000000745058
FS( 13 ),4906005.440000000409782,5011344.280000000260770,9917349.720000000670552
FS( 14 ),4896214.340000000782311,4974475.369999999180436,9870689.710000000894070
FS( 15 ),4920365.720000000670552,5090754.239999999292195,10011119.960000000894070
FS( 16 ),4926893.120000001043081,5076573.889999999664724,10003467.010000001639128
FS( 17 ),4906658.180000000633299,5034032.839999999850988,9940691.019999999552965
FS( 18 ),4853133.500000000000000,5005672.139999999664724,9858805.640000000596046
FS( 19 ),4783290.320000000298023,4923426.109999999403954,9706716.429999999701977
FS( 20 ),4808747.180000000633299,4951786.810000000521541,9760533.990000002086163
FS( 21 ),4795692.380000000819564,5014180.349999999627471,9809872.730000000447035
FS( 22 ),4806788.960000000894070,5110606.729999999515712,9917395.690000001341105
FS( 23 ),4819191.020000000484288,5079409.959999999962747,9898600.980000000447035
FS( 24 ),4833551.300000000745058,5170164.200000000186265,10003715.500000000000000
FS( 25 ),4794386.900000000372529,5241065.950000000186265,10035452.850000001490116
FS( 26 ),4919060.240000000223517,5286443.070000000298023,10205503.310000000521541
FS( 27 ),4956266.420000000856817,5195688.830000000074506,10151955.250000000000000
FS( 28 ),4945169.840000000782311,5297787.349999999627471,10242957.190000001341105
FS( 29 ),4969973.960000000894070,5311967.700000000186265,10281941.660000000149012
FS( 30 ),4976501.360000000335276,5368689.099999999627471,10345190.460000000894070
FS( 31 ),4970626.700000001117587,5360180.889999999664724,10330807.589999999850988
FS( 32 ),4962141.080000000074506,5385705.519999999552965,10347846.599999999627471
FS( 33 ),4959530.120000001043081,5399885.869999999180436,10359415.990000000223517
FS( 34 ),4969321.220000000670552,5377197.310000000521541,10346518.530000001192093
FS( 35 ),4941253.400000000372529,5226885.599999999627471,10168139.000000000000000
FS( 36 ),4907963.660000000149012,5167328.129999999888241,10075291.789999999105930
FS( 37 ),4909269.140000000596046,5241065.950000000186265,10150335.089999999850988
FS( 38 ),4859008.160000000149012,5294951.280000000260770,10153959.440000001341105
FS( 39 ),4939947.920000000856817,5178672.410000000149012,10118620.330000001937151
FS( 40 ),4888381.460000000894070,5155983.849999999627471,10044365.310000000521541
FS( 41 ),4875326.660000000149012,5243902.019999999552965,10119228.679999999701977
FS( 42 ),4976501.360000000335276,5377197.310000000521541,10353698.670000001788139
FS( 43 ),4962793.820000000298023,5294951.280000000260770,10257745.100000001490116
FS( 44 ),4979765.060000000521541,5258082.369999999180436,10237847.429999999701977
FS( 45 ),4930809.560000000521541,5258082.369999999180436,10188891.929999999701977
FS( 46 ),4946475.320000000298023,5226885.599999999627471,10173360.919999999925494
FS( 47 ),5005221.920000000856817,5062393.540000000037253,10067615.460000000894070
FS( 48 ),5008485.620000001043081,5141803.500000000000000,10150289.120000001043081
FS( 49 ),4939295.180000000633299,5096426.379999999888241,10035721.560000000521541
FS( 50 ),4903394.480000000447035,5048213.190000000409782,9951607.670000001788139
FS( 51 ),4789817.720000000670552,5031196.769999999552965,9821014.490000000223517
FS( 52 ),4791123.200000001117587,5065229.609999999403954,9856352.810000000521541
FS( 53 ),4764360.860000000335276,5065229.609999999403954,9829590.469999998807907
FS( 54 ),4814621.840000000782311,5102098.519999999552965,9916720.359999999403954
FS( 55 ),4821801.980000000447035,5076573.889999999664724,9898375.870000001043081
FS( 56 ),4864882.820000000298023,5104934.589999999850988,9969817.410000000149012
FS( 57 ),4890992.420000000856817,5153147.780000000260770,10044140.200000001117587
FS( 58 ),4911880.100000000558794,5110606.729999999515712,10022486.830000000074506
FS( 59 ),4895561.600000000558794,5158819.919999999925494,10054381.519999999552965
FS( 60 ),4919712.980000000447035,5119114.940000000409782,10038827.920000001788139
FS( 61 ),4948433.540000000968575,5263754.509999999776483,10212188.050000000745058
FS( 62 ),4966710.260000000707805,5221213.459999999962747,10187923.720000000670552
FS( 63 ),4960182.860000000335276,5263754.509999999776483,10223937.370000001043081
FS( 64 ),4986292.460000000894070,5334656.259999999776483,10320948.720000000670552
FS( 65 ),5000000.000000000000000,5363016.959999999962747,10363016.960000000894070
FS( 66 ),5007832.880000000819564,5388541.589999999850988,10396374.470000000670552
FS( 67 ),4961488.340000000782311,5416902.290000000037253,10378390.630000000819564
FS( 68 ),4963446.560000000521541,5439590.849999999627471,10403037.410000000149012
FS( 69 ),4977154.100000000558794,5510492.599999999627471,10487646.699999999254942
FS( 70 ),5003916.440000000409782,5462279.410000000149012,10466195.850000001490116
FS( 71 ),5018929.460000000894070,5496312.250000000000000,10515241.710000000894070
FS( 72 ),5030678.780000000260770,5411230.149999999441206,10441908.929999999701977
FS( 73 ),5050913.720000000670552,5422574.429999999701977,10473488.150000000372529
FS( 74 ),5026109.600000000558794,5365853.030000000260770,10391962.630000000819564
FS( 75 ),5000000.000000000000000,5382869.450000000186265,10382869.449999999254942
FS( 76 ),5117493.200000001117587,5484967.969999999739230,10602461.170000001788139
FS( 77 ),5020234.940000000409782,5513328.669999999925494,10533563.609999999403954
FS( 78 ),5034595.220000000670552,5513328.669999999925494,10547923.890000000596046
FS( 79 ),5022193.160000000149012,5584230.419999999925494,10606423.580000000074506
FS( 80 ),5082897.980000000447035,5592738.629999999888241,10675636.609999999403954
FS( 81 ),5093341.820000000298023,5507656.530000000260770,10600998.350000001490116
FS( 82 ),5111618.540000000968575,5538853.299999999813735,10650471.839999999850988
FS( 83 ),5133158.960000000894070,5612591.119999999180436,10745750.080000000074506
FS( 84 ),5152741.160000000149012,5672148.589999999850988,10824889.750000000000000
FS( 85 ),5161226.780000000260770,5655132.169999999925494,10816358.949999999254942
FS( 86 ),5130548.000000000000000,5581394.349999999627471,10711942.349999999627471
FS( 87 ),5137075.400000000372529,5629607.540000000037253,10766682.940000001341105
FS( 88 ),5176892.540000000968575,5663640.379999999888241,10840532.920000001788139
FS( 89 ),5203002.140000000596046,5697673.219999999739230,10900675.359999999403954
FS( 90 ),5189947.340000000782311,5626771.469999999739230,10816718.810000000521541
FS( 91 ),5265012.440000000409782,5666476.450000000186265,10931488.890000000596046
FS( 92 ),5270234.360000000335276,5666476.450000000186265,10936710.810000000521541
FS( 93 ),5296343.960000000894070,5669312.519999999552965,10965656.480000000447035
FS( 94 ),5282636.420000000856817,5714689.639999999664724,10997326.060000000521541
FS( 95 ),5319842.600000000558794,5672148.589999999850988,10991991.190000001341105
FS( 96 ),5385769.340000000782311,5646623.959999999962747,11032393.300000000745058
FS( 97 ),5374020.020000000484288,5547361.509999999776483,10921381.530000001192093
FS( 98 ),5385116.600000000558794,5453771.200000000186265,10838887.800000000745058
FS( 99 ),5394254.960000000894070,5501984.389999999664724,10896239.350000001490116
FS( 100 ),5399476.880000000819564,5584230.419999999925494,10983707.300000000745058
FS( 101 ),5380547.420000000856817,5621099.330000000074506,11001646.750000000000000
FS( 102 ),5327675.480000000447035,5657968.239999999292195,10985643.719999998807907
FS( 103 ),5322453.560000000521541,5748722.479999999515712,11071176.039999999105930
FS( 104 ),5285900.120000001043081,5615427.190000000409782,10901327.310000002384186
FS( 105 ),5270887.100000000558794,5723197.849999999627471,10994084.949999999254942
FS( 106 ),5257179.560000000521541,5609755.049999999813735,10866934.609999999403954
FS( 107 ),5267623.400000000372529,5544525.440000000409782,10812148.839999999850988
FS( 108 ),5296343.960000000894070,5657968.239999999292195,10954312.199999999254942
FS( 109 ),5296996.700000001117587,5439590.849999999627471,10736587.550000000745058
FS( 110 ),5304176.840000000782311,5419738.359999999403954,10723915.199999999254942
FS( 111 ),5245430.240000000223517,5294951.280000000260770,10540381.519999999552965
FS( 112 ),5269581.620000001043081,5309131.629999999888241,10578713.250000000000000
FS( 113 ),5317884.380000000819564,5382869.450000000186265,10700753.830000001937151
FS( 114 ),5302871.360000000335276,5306295.560000000521541,10609166.920000001788139
FS( 115 ),5340077.540000000968575,5309131.629999999888241,10649209.170000001788139
FS( 116 ),5386422.080000000074506,5277934.859999999403954,10664356.939999999478459
FS( 117 ),5397518.660000000149012,5249574.160000000149012,10647092.820000000298023
FS( 118 ),5404698.800000000745058,5317639.839999999850988,10722338.640000000596046
FS( 119 ),5394907.700000001117587,5294951.280000000260770,10689858.980000000447035
FS( 120 ),5371409.060000000521541,5340328.399999999441206,10711737.460000000894070
FS( 121 ),5342035.760000000707805,5201360.969999999739230,10543396.730000000447035
FS( 122 ),5373367.280000000260770,5238229.879999999888241,10611597.160000000149012
FS( 123 ),5505873.500000000000000,5337492.330000000074506,10843365.830000000074506
FS( 124 ),5520233.780000000260770,6137264.070000000298023,11657497.850000001490116
FS( 125 ),5503915.280000000260770,5975608.080000000074506,11479523.359999999403954
FS( 126 ),5590729.700000001117587,6236526.519999999552965,11827256.220000000670552
FS( 127 ),5590076.960000000894070,6262051.149999999441206,11852128.109999999403954
FS( 128 ),5604437.240000000223517,6253542.940000000409782,11857980.179999999701977
FS( 129 ),5617492.040000000968575,6392510.369999999180436,12010002.410000000149012
FS( 130 ),5587466.000000000000000,6361313.599999999627471,11948779.599999999627471
FS( 131 ),5571147.500000000000000,6233690.450000000186265,11804837.949999999254942
FS( 132 ),5547648.860000000335276,6219510.099999999627471,11767158.960000000894070
FS( 133 ),5545690.640000000596046,6293247.919999999925494,11838938.560000000521541
FS( 134 ),5601173.540000000968575,6236526.519999999552965,11837700.060000000521541
FS( 135 ),5579633.120000001043081,6293247.919999999925494,11872881.040000000968575
FS( 136 ),5574411.200000001117587,6245034.729999999515712,11819445.929999999701977
FS( 137 ),5627283.140000000596046,6324444.690000000409782,11951727.830000001937151
FS( 138 ),5631199.580000000074506,6284739.709999999962747,11915939.289999999105930
FS( 139 ),5648823.560000000521541,6242198.660000000149012,11891022.220000000670552
FS( 140 ),5780677.040000000968575,6347133.250000000000000,12127810.290000000968575
FS( 141 ),5751956.480000000447035,6315936.479999999515712,12067892.960000000894070
FS( 142 ),5745429.080000000074506,6324444.690000000409782,12069873.769999999552965
FS( 143 ),5684724.260000000707805,6222346.169999999925494,11907070.429999999701977
FS( 144 ),5664489.320000000298023,6162788.700000000186265,11827278.019999999552965
FS( 145 ),5644907.120000001043081,6066362.320000000298023,11711269.440000001341105
FS( 146 ),5639032.460000000894070,6074870.530000000260770,11713902.990000002086163
FS( 147 ),5552218.040000000968575,5924558.820000000298023,11476776.860000001266599
FS( 148 ),5583549.560000000521541,6202493.679999999701977,11786043.240000000223517
FS( 149 ),5501304.320000000298023,6026657.339999999850988,11527961.660000000149012
FS( 150 ),5553523.520000000484288,5913214.540000000037253,11466738.060000000521541
FS( 151 ),5359659.740000000223517,5618263.259999999776483,10977923.000000000000000
FS( 152 ),5610964.640000000596046,5867837.419999999925494,11478802.060000000521541
FS( 153 ),5488249.520000000484288,5621099.330000000074506,11109348.850000001490116
FS( 154 ),5631852.320000000298023,5992624.500000000000000,11624476.820000000298023
FS( 155 ),5646212.600000000558794,5944411.310000000521541,11590623.910000000149012
FS( 156 ),5667100.280000000260770,6089050.879999999888241,11756151.160000000149012
FS( 157 ),5657309.180000000633299,6086214.810000000521541,11743523.990000002086163
FS( 158 ),5711486.600000000558794,5955755.589999999850988,11667242.190000001341105
FS( 159 ),5588118.740000000223517,5692001.080000000074506,11280119.820000000298023
FS( 160 ),5693862.620000001043081,5643787.889999999664724,11337650.510000001639128
FS( 161 ),5728457.840000000782311,5657968.239999999292195,11386426.080000000074506
FS( 162 ),5843992.820000000298023,5938739.169999999925494,11782731.990000000223517
FS( 163 ),5883157.220000000670552,6125919.790000000037253,12009077.010000001639128
FS( 164 ),5790468.140000000596046,5964263.799999999813735,11754731.940000001341105
FS( 165 ),5870102.420000000856817,6086214.810000000521541,11956317.230000000447035
FS( 166 ),5926238.060000000521541,6140100.139999999664724,12066338.199999999254942
FS( 167 ),5925585.320000000298023,6233690.450000000186265,12159275.769999999552965
FS( 168 ),5901433.940000000409782,6230854.379999999888241,12132288.320000000298023
FS( 169 ),5879240.780000000260770,6219510.099999999627471,12098750.879999998956919
FS( 170 ),5815272.260000000707805,6066362.320000000298023,11881634.580000001937151
FS( 171 ),5797648.280000000260770,6089050.879999999888241,11886699.160000000149012
FS( 172 ),5828327.060000000521541,6273395.429999999701977,12101722.490000000223517
FS( 173 ),5783940.740000000223517,6202493.679999999701977,11986434.419999999925494
FS( 174 ),5550259.820000000298023,6123083.719999999739230,11673343.539999999105930
FS( 175 ),5625977.660000000149012,6199657.609999999403954,11825635.269999999552965
FS( 176 ),5621408.480000000447035,6222346.169999999925494,11843754.650000000372529
FS( 177 ),5662531.100000000558794,6352805.389999999664724,12015336.490000000223517
FS( 178 ),5748692.780000000260770,6418035.000000000000000,12166727.780000001192093
FS( 179 ),5763053.060000000521541,6440723.560000000521541,12203776.620000001043081
FS( 180 ),5796995.540000000968575,6384002.160000000149012,12180997.700000001117587
FS( 181 ),5829632.540000000968575,6582527.060000000521541,12412159.600000001490116
FS( 182 ),5712792.080000000074506,6483264.609999999403954,12196056.689999999478459
FS( 183 ),5612922.860000000335276,6262051.149999999441206,11874974.009999999776483
FS( 184 ),5703000.980000000447035,6386838.229999999515712,12089839.210000000894070
FS( 185 ),5831590.760000000707805,6401018.580000000074506,12232609.339999999850988
FS( 186 ),5857700.360000000335276,6344297.179999999701977,12201997.539999999105930
FS( 187 ),5746081.820000000298023,6213837.959999999962747,11959919.780000001192093
FS( 188 ),5795037.320000000298023,6216674.030000000260770,12011711.350000001490116
FS( 189 ),5732374.280000000260770,6077706.599999999627471,11810080.879999998956919
FS( 190 ),5614881.080000000074506,5975608.080000000074506,11590489.160000000149012
FS( 191 ),5644907.120000001043081,6012476.989999999292195,11657384.109999999403954
FS( 192 ),5602479.020000000484288,6026657.339999999850988,11629136.359999999403954
FS( 193 ),5686029.740000000223517,6176969.049999999813735,11862998.789999999105930
FS( 194 ),5691904.400000000372529,6114575.509999999776483,11806479.910000000149012
FS( 195 ),5777413.340000000782311,6327280.759999999776483,12104694.100000001490116
FS( 196 ),5831590.760000000707805,6418035.000000000000000,12249625.760000001639128
FS( 197 ),5767622.240000000223517,6463412.119999999180436,12231034.359999999403954
FS( 198 ),5829632.540000000968575,6565510.639999999664724,12395143.179999999701977
FS( 199 ),5870755.160000000149012,6659100.950000000186265,12529856.109999999403954
FS( 200 ),5787204.440000000409782,6466248.190000000409782,12253452.630000000819564
FS( 201 ),5851172.960000000894070,6659100.950000000186265,12510273.910000000149012
FS( 202 ),5849867.480000000447035,6386838.229999999515712,12236705.710000000894070
FS( 203 ),5810050.340000000782311,6477592.469999999739230,12287642.810000000521541
FS( 204 ),6026107.280000000260770,6625068.109999999403954,12651175.390000000596046
FS( 205 ),6005872.340000000782311,6678953.440000000409782,12684825.780000001192093
FS( 206 ),5990206.580000000074506,6429379.280000000260770,12419585.859999999403954
FS( 207 ),5990859.320000000298023,6525805.660000000149012,12516664.980000000447035
FS( 208 ),6103783.340000000782311,6693133.790000000037253,12796917.130000000819564
FS( 209 ),6089423.060000000521541,6744183.049999999813735,12833606.109999999403954
FS( 210 ),6060702.500000000000000,6613723.830000000074506,12674426.330000000074506
FS( 211 ),5999344.940000000409782,6384002.160000000149012,12383347.100000001490116
FS( 212 ),6039814.820000000298023,6488936.750000000000000,12528751.570000000298023
FS( 213 ),6070493.600000000558794,6608051.690000000409782,12678545.290000000968575
FS( 214 ),6123365.540000000968575,6568346.709999999962747,12691712.250000000000000
FS( 215 ),6176237.480000000447035,6591035.269999999552965,12767272.750000000000000
FS( 216 ),6174932.000000000000000,6704478.070000000298023,12879410.070000000298023
FS( 217 ),6047647.700000001117587,6602379.549999999813735,12650027.250000000000000
FS( 218 ),6087464.840000000782311,6596707.410000000149012,12684172.250000000000000
FS( 219 ),6185375.840000000782311,6747019.119999999180436,12932394.960000000894070
FS( 220 ),6139684.040000000968575,6653428.810000000521541,12793112.850000001490116
FS( 221 ),6166446.380000000819564,6781051.959999999962747,12947498.339999999850988
FS( 222 ),6080284.700000001117587,6622232.040000000037253,12702516.740000002086163
FS( 223 ),6024149.060000000521541,6480428.540000000037253,12504577.600000001490116
FS( 224 ),6053522.360000000335276,6437887.489999999292195,12491409.849999999627471
FS( 225 ),6023496.320000000298023,6466248.190000000409782,12489744.510000001639128
FS( 226 ),6047647.700000001117587,6440723.560000000521541,12488371.260000001639128
FS( 227 ),5996733.980000000447035,6330116.830000000074506,12326850.810000000521541
FS( 228 ),6011747.000000000000000,6313100.410000000149012,12324847.410000000149012
FS( 229 ),6120101.840000000782311,6627904.179999999701977,12748006.019999999552965
FS( 230 ),6100519.640000000596046,6588199.200000000186265,12688718.839999999850988
FS( 231 ),6234984.080000000074506,6874642.269999999552965,13109626.349999999627471
FS( 232 ),6233678.600000000558794,6931363.669999999925494,13165042.269999999552965
FS( 233 ),6246733.400000000372529,6891658.690000000409782,13138392.089999999850988
FS( 234 ),6223887.500000000000000,6812248.729999999515712,13036136.230000000447035
FS( 235 ),6266968.340000000782311,6761199.469999999739230,13028167.810000000521541
FS( 236 ),6295688.900000000372529,6883150.479999999515712,13178839.379999998956919
