代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11536553.830000000074506
真實報酬,1536553.830000000074506

夏普值報酬,0.144955383000000
夏普值風險,0.050623900038049
夏普值,2.863378421872901

二次趨勢線,687.233648428742526 x^2 + -17534.171847680001520 x + 10000000.000000000000000
二次加權預期報酬,40651.610385953536024
風險,103558.404631439509103
二次加權趨勢值,0.392547669410620
一次趨勢線,15193.301425524941806 x + 10000000.000000000000000
一次預期報酬,15193.301425524941806
一次風險,327755.168194908299483
一次趨勢值,0.046355642564543
找到最佳解世代,1763
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CVX[5](5),GS[8](1),MSFT[18](9),
Stock#,CVX[5](5),GS[8](1),MSFT[18](9),
張數,33263,19781,57880,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,47.770000000018626,36.690000000409782,23.799999999813735,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3357282.360000000335276,3346586.270000000484288,3337963.399999999906868,10041833.030000001192093
FS( 3 ),3407176.860000000335276,3349553.420000000856817,3334490.599999999627471,10091221.880000000819564
FS( 4 ),3422145.209999999962747,3356278.959999999962747,3337384.599999999627471,10115809.769999999552965
FS( 5 ),3463391.330000000074506,3395643.150000000372529,3324072.199999999720603,10183107.679999999701977
FS( 6 ),3368591.779999999795109,3334519.860000000335276,3253458.600000000093132,9956571.240000000223517
FS( 7 ),3401189.520000000018626,3383774.550000000279397,3302077.799999999813735,10087042.870000001043081
FS( 8 ),3307387.860000000335276,3303463.690000000409782,3271980.199999999720603,9882832.750000000000000
FS( 9 ),3273792.229999999981374,3286847.650000000372529,3256352.599999999627471,9816993.480000000447035
FS( 10 ),3309716.270000000018626,3324827.170000000856817,3310180.999999999534339,9944725.440000001341105
FS( 11 ),3254499.689999999944121,3283682.690000000409782,3313653.799999999813735,9851837.179999999701977
FS( 12 ),3261152.290000000037253,3287836.700000000651926,3295132.199999999720603,9844122.189999999478459
FS( 13 ),3249842.870000000111759,3292979.760000000242144,3288186.600000000093132,9831010.230000000447035
FS( 14 ),3314040.459999999962747,3304057.120000000577420,3343172.599999999627471,9961271.179999999701977
FS( 15 ),3325682.510000000242144,3323640.310000000521541,3346645.399999999906868,9995969.220000000670552
FS( 16 ),3300402.629999999888241,3266473.220000000204891,3324072.199999999720603,9890949.049999998882413
FS( 17 ),3285766.910000000149012,3194272.570000000298023,3293395.799999999813735,9773436.280000001192093
FS( 18 ),3292419.510000000242144,3222163.780000000260770,3354169.799999999813735,9868754.089999999850988
FS( 19 ),3397863.220000000204891,3233241.140000000130385,3358800.199999999720603,9989905.560000000521541
FS( 20 ),3368591.779999999795109,3144226.640000000130385,3322335.799999999813735,9835155.219999998807907
FS( 21 ),3423475.729999999981374,3190118.560000000521541,3333911.799999999813735,9947507.089999999850988
FS( 22 ),3407842.120000000111759,3186162.360000000335276,3323493.399999999906868,9917498.880000000819564
FS( 23 ),3368591.779999999795109,3209899.560000000521541,3313075.000000000000000,9891567.339999999850988
FS( 24 ),3400524.260000000242144,3291595.090000000316650,3336227.000000000000000,10028347.350000001490116
FS( 25 ),3398861.110000000335276,3306430.840000000316650,3342015.000000000000000,10047307.950000001117587
FS( 26 ),3401854.779999999795109,3359443.920000000856817,3345487.799999999813735,10106787.500000000000000
FS( 27 ),3458734.510000000242144,3383378.930000000167638,3359378.999999999534339,10201493.439999999478459
FS( 28 ),3427467.290000000037253,3343816.930000000167638,3310180.999999999534339,10081466.220000000670552
FS( 29 ),3397863.220000000204891,3348959.990000000689179,3305550.599999999627471,10052374.810000000521541
FS( 30 ),3352625.540000000037253,3311771.709999999962747,3294553.399999999906868,9958951.650000000372529
FS( 31 ),3362271.810000000055879,3373092.810000000521541,3323493.399999999906868,10058859.020000001415610
FS( 32 ),3371585.450000000186265,3343025.690000000409782,3311917.399999999906868,10026529.540000000968575
FS( 33 ),3385888.540000000037253,3414830.720000000204891,3337384.599999999627471,10138104.859999999403954
FS( 34 ),3401854.779999999795109,3452019.000000000000000,3329860.199999999720603,10183734.979999998584390
FS( 35 ),3388549.580000000074506,3452019.000000000000000,3313653.799999999813735,10154223.379999998956919
