代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11040010.389999998733401
真實報酬,1040010.389999998733401

夏普值報酬,0.095301039000000
夏普值風險,0.030789396165480
夏普值,3.095255213444152

二次趨勢線,77.409216863197031 x^2 + 13376.822148582008595 x + 10000000.000000000000000
二次加權預期報酬,19621.165642213236424
風險,61308.152911218348891
二次加權趨勢值,0.320041702620320
一次趨勢線,16889.025459151867835 x + 10000000.000000000000000
一次預期報酬,16889.025459151867835
一次風險,69065.005191641292186
一次趨勢值,0.244538104533378
找到最佳解世代,4770
找到最佳解實驗#,1
找到最佳解次數,42

stock[index](rank)
投資組合檔數,4
JNJ[12](1),MMM[16](2),NKE[19](15),VZ[26](13),
Stock#,JNJ[12](1),MMM[16](2),NKE[19](15),VZ[26](13),
張數,35893,27685,102501,56689,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,52.549999999813735,44.500000000000000,0.609999999869615,15.100000000093132,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2507537.529999999795109,2495016.700000000186265,2503075.030000000260770,2475623.729999999981374,9981252.990000000223517
FS( 3 ),2511485.759999999776483,2512735.100000000093132,2503075.030000000260770,2500000.000000000000000,10027295.890000000596046
FS( 4 ),2514357.199999999720603,2517995.250000000000000,2522550.219999999739230,2519841.150000000372529,10074743.820000000298023
FS( 5 ),2528714.399999999906868,2533498.850000000093132,2526650.259999999776483,2517573.589999999850988,10106437.099999999627471
FS( 6 ),2534098.349999999627471,2543465.450000000186265,2513325.129999999888241,2496031.770000000018626,10086920.699999999254942
FS( 7 ),2552044.849999999627471,2593575.300000000279397,2547150.459999999962747,2519274.259999999776483,10212044.870000001043081
FS( 8 ),2547019.829999999608845,2578071.700000000186265,2542025.410000000149012,2539115.410000000149012,10206232.349999999627471
FS( 9 ),2539482.299999999813735,2560907.000000000000000,2493849.939999999478459,2523809.380000000353903,10118048.619999999180436
FS( 10 ),2537328.719999999739230,2554816.299999999813735,2483599.839999999850988,2506235.790000000037253,10081980.649999998509884
FS( 11 ),2546301.969999999739230,2575580.049999999813735,2511275.109999999869615,2501133.779999999795109,10134290.909999998286366
FS( 12 ),2546660.899999999906868,2598281.750000000000000,2534850.339999999850988,2486961.529999999795109,10166754.519999999552965
FS( 13 ),2535175.139999999664724,2575303.199999999720603,2506150.059999999590218,2459183.920000000391155,10075812.320000000298023
FS( 14 ),2539482.299999999813735,2606033.549999999813735,2536900.359999999869615,2483560.190000000409782,10165976.399999998509884
FS( 15 ),2522253.659999999683350,2577518.000000000000000,2693726.890000000130385,2469954.830000000074506,10263453.380000000819564
FS( 16 ),2513280.409999999683350,2580009.649999999906868,2706027.009999999776483,2468254.160000000149012,10267571.230000000447035
FS( 17 ),2518664.359999999869615,2576687.449999999720603,2631201.280000000260770,2463152.150000000372529,10189705.240000000223517
FS( 18 ),2515792.919999999925494,2564782.899999999906868,2652726.489999999757856,2464852.819999999832362,10198155.130000000819564
FS( 19 ),2493898.189999999944121,2540973.799999999813735,2613776.109999999869615,2431973.200000000186265,10080621.300000000745058
FS( 20 ),2516151.849999999627471,2570596.750000000000000,2644526.410000000149012,2452948.130000000353903,10184223.140000000596046
FS( 21 ),2542712.669999999925494,2624028.799999999813735,2656826.530000000260770,2509637.130000000353903,10333205.130000000819564
FS( 22 ),2539123.369999999646097,2620983.450000000186265,2684501.799999999813735,2497732.440000000409782,10342341.060000000521541
FS( 23 ),2568196.699999999720603,2640362.950000000186265,2710127.049999999813735,2511337.799999999813735,10430024.500000000000000
FS( 24 ),2562812.750000000000000,2643685.149999999906868,2714227.089999999850988,2533446.509999999776483,10454171.500000000000000
FS( 25 ),2563171.679999999701977,2643962.000000000000000,2685526.809999999590218,2443311.000000000000000,10335971.489999998360872
FS( 26 ),2574657.439999999944121,2669155.350000000093132,2688601.839999999850988,2437642.100000000093132,10370056.730000000447035
FS( 27 ),2591168.219999999739230,2682444.149999999906868,2693726.890000000130385,2471088.610000000335276,10438427.870000001043081
FS( 28 ),2596911.099999999627471,2665556.299999999813735,2721402.160000000149012,2454648.799999999813735,10438518.359999999403954
FS( 29 ),2604448.629999999888241,2687704.299999999813735,2726527.209999999962747,2414399.610000000335276,10433079.750000000000000
FS( 30 ),2597628.959999999962747,2693518.150000000372529,2749077.429999999701977,2379252.430000000167638,10419476.970000000670552
FS( 31 ),2605166.489999999757856,2702100.500000000000000,2754202.479999999981374,2353175.489999999757856,10414644.960000000894070
FS( 32 ),2616652.250000000000000,2715389.299999999813735,2740877.349999999627471,2388322.670000000391155,10461241.570000000298023
FS( 33 ),2628496.939999999944121,2733661.399999999906868,2731652.259999999776483,2411565.160000000149012,10505375.759999999776483
FS( 34 ),2609114.719999999739230,2749995.549999999813735,2740877.349999999627471,2434240.759999999776483,10534228.379999998956919
FS( 35 ),2614857.599999999627471,2754425.149999999906868,2721402.160000000149012,2425737.410000000149012,10516422.320000000298023
FS( 36 ),2623830.849999999627471,2759408.450000000186265,2760352.540000000037253,2414399.610000000335276,10557991.449999999254942
FS( 37 ),2653263.109999999869615,2784878.649999999906868,2847478.390000000130385,2418934.729999999981374,10704554.880000000819564
FS( 38 ),2642495.209999999962747,2786539.750000000000000,2793152.859999999869615,2424603.630000000353903,10646791.450000001117587
FS( 39 ),2670850.679999999701977,2818654.350000000093132,2763427.569999999832362,2465986.600000000093132,10718919.199999999254942
