代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10075477.910000000149012
真實報酬,75477.910000000149012

夏普值報酬,-0.001152209000000
夏普值風險,0.031165271872858
夏普值,-0.036970927277662

二次趨勢線,925.221939600700239 x^2 + -57050.379982702797861 x + 10000000.000000000000000
二次加權預期報酬,21285.077570156485308
風險,135816.452825978223700
二次加權趨勢值,0.156719433671479
一次趨勢線,-12989.417063765458806 x + 10000000.000000000000000
一次預期報酬,-12989.417063765458806
一次風險,440130.955539259826764
一次趨勢值,-5717044544.173058509826660
找到最佳解世代,2144
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
GS[8](5),MMM[16](1),VZ[26](3),
Stock#,GS[8](5),MMM[16](1),VZ[26](3),
張數,22296,37115,121743,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,81.000000000000000,34.850000000093132,9.660000000149012,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3332218.199999999720603,3254278.050000000279397,3272461.500000000000000,9858958.750000000000000
FS( 3 ),3304125.239999999757856,3213822.700000000186265,3263939.490000000223517,9781888.429999999701977
FS( 4 ),3173247.719999999739230,3126602.449999999720603,3188458.830000000074506,9488310.000000000000000
FS( 5 ),3188186.040000000037253,3066847.299999999813735,3209155.140000000130385,9464189.480000000447035
FS( 6 ),3206914.680000000167638,3190811.399999999906868,3256634.910000000149012,9654361.990000000223517
FS( 7 ),3165444.120000000111759,3156294.450000000186265,3232286.310000000055879,9554025.880000000819564
FS( 8 ),3282052.199999999720603,3208255.450000000186265,3266374.350000000093132,9756683.000000000000000
FS( 9 ),3225197.399999999906868,3176707.700000000186265,3265156.920000000391155,9667063.019999999552965
FS( 10 ),3193537.079999999608845,3142933.050000000279397,3245678.040000000037253,9582149.169999999925494
FS( 11 ),3180382.439999999478459,3142933.050000000279397,3262722.060000000055879,9586038.550000000745058
FS( 12 ),3062659.560000000521541,3118437.149999999906868,3234721.170000000391155,9415818.880000000819564
FS( 13 ),3123750.600000000093132,3063506.950000000186265,3245678.040000000037253,9432936.589999999850988
FS( 14 ),3034566.600000000093132,2953646.549999999813735,3159240.510000000242144,9147454.660000000149012
FS( 15 ),3135344.520000000018626,2995215.350000000093132,3182371.680000000167638,9312932.550000000745058
FS( 16 ),3047721.239999999757856,2954017.700000000186265,3128804.760000000242144,9130544.699999999254942
FS( 17 ),3178598.760000000242144,2949563.899999999906868,3119065.320000000298023,9247228.980000000447035
FS( 18 ),3128209.800000000279397,2938429.400000000372529,3065498.399999999906868,9132138.600000001490116
FS( 19 ),3231886.199999999720603,3022309.300000000279397,3139761.629999999888241,9393958.129999998956919
FS( 20 ),3216501.959999999962747,2943625.500000000000000,3132457.050000000279397,9292585.509999999776483
FS( 21 ),3162991.560000000521541,2897602.899999999906868,3097151.580000000074506,9157747.040000000968575
FS( 22 ),3229210.680000000167638,2922469.949999999720603,3139761.629999999888241,9291443.259999999776483
FS( 23 ),3211596.839999999850988,2907623.950000000186265,3145848.780000000260770,9265070.570000000298023
FS( 24 ),3171687.000000000000000,2824486.350000000093132,3097151.580000000074506,9093325.929999999701977
FS( 25 ),3092090.280000000260770,2774009.949999999720603,3082542.420000000391155,8948643.650000000372529
FS( 26 ),3072023.879999999888241,2780690.650000000372529,3150718.500000000000000,9003434.030000001192093
FS( 27 ),3050173.800000000279397,2775865.700000000186265,3161675.370000000111759,8987715.870000001043081
FS( 28 ),2982616.920000000391155,2873849.300000000279397,3226199.160000000149012,9082666.380000000819564
FS( 29 ),3024310.439999999478459,2906139.350000000093132,3250547.760000000242144,9180998.549999998882413
FS( 30 ),2975259.239999999757856,2900200.950000000186265,3259069.770000000018626,9134530.959999999031425
FS( 31 ),3052403.399999999906868,2960698.399999999906868,3313854.120000000111759,9326956.919999999925494
FS( 32 ),3055970.760000000242144,3001896.049999999813735,3321158.700000000186265,9379026.510000001639128
FS( 33 ),3061767.719999999739230,3007463.300000000279397,3311419.260000000242144,9380651.279999999329448
FS( 34 ),3080942.280000000260770,3013030.550000000279397,3315071.550000000279397,9409045.380000000819564
FS( 35 ),3071132.040000000037253,3023793.899999999906868,3307766.970000000204891,9402693.910000000149012
FS( 36 ),3005358.839999999850988,2970348.300000000279397,3307766.970000000204891,9283475.110000001266599
FS( 37 ),3011601.719999999739230,2973688.650000000372529,3338202.720000000204891,9323494.089999999850988
FS( 38 ),3009595.079999999608845,2901685.550000000279397,3296810.100000000093132,9208091.730000000447035
FS( 39 ),3113940.359999999869615,2928408.350000000093132,3249330.330000000074506,9291680.039999999105930
FS( 40 ),3047052.359999999869615,2931377.550000000279397,3267591.780000000260770,9246022.690000001341105
FS( 41 ),2982393.959999999962747,2913191.199999999720603,3257852.340000000316650,9153438.500000000000000
FS( 42 ),2926876.920000000391155,2931748.699999999720603,3189676.260000000242144,9048302.880000000819564
FS( 43 ),2923978.439999999478459,2915418.100000000093132,3201850.560000000055879,9041248.099999999627471
FS( 44 ),2922640.680000000167638,2882756.900000000372529,3263939.490000000223517,9069338.070000000298023
FS( 45 ),2948949.959999999962747,2900200.950000000186265,3239590.890000000130385,9088742.800000000745058
FS( 46 ),3028546.680000000167638,2988534.649999999906868,3228634.020000000018626,9245716.349999999627471
FS( 47 ),3020297.160000000149012,3014515.149999999906868,3260287.200000000186265,9295100.510000001639128
FS( 48 ),3078266.760000000242144,3049403.250000000000000,3244460.609999999869615,9372131.619999999180436
FS( 49 ),3060207.000000000000000,3053114.750000000465661,3224981.729999999981374,9338304.480000000447035
FS( 50 ),3127095.000000000000000,3100993.100000000093132,3273678.930000000167638,9501768.029999999329448
FS( 51 ),3100562.760000000242144,3082435.600000000093132,3267591.780000000260770,9450591.140000000596046
FS( 52 ),3237906.120000000111759,3082806.750000000000000,3262722.060000000055879,9583435.929999999701977
FS( 53 ),3259087.319999999832362,3004494.100000000093132,3249330.330000000074506,9512912.750000000000000
FS( 54 ),3248162.280000000260770,3014515.149999999906868,3252982.620000000111759,9515661.050000000745058
FS( 55 ),3320178.359999999869615,3050516.700000000186265,3246895.470000000204891,9617591.530000001192093
FS( 56 ),3277370.040000000037253,3054599.350000000093132,3228634.020000000018626,9560604.410000000149012
FS( 57 ),3267559.800000000279397,3145531.100000000093132,3287070.660000000149012,9700162.560000000521541
FS( 58 ),3286065.479999999981374,3198234.400000000372529,3411248.520000000018626,9895549.400000000372529
FS( 59 ),3304348.199999999720603,3240916.649999999906868,3442901.700000000186265,9988167.550000000745058
FS( 60 ),3282721.079999999608845,3221616.850000000093132,3480642.030000000260770,9984980.960000000894070
FS( 61 ),3282052.199999999720603,3217534.200000000186265,3519599.790000000037253,10019187.190000001341105
FS( 62 ),3402004.680000000167638,3204543.950000000186265,3515947.500000000000000,10122497.130000000819564
FS( 63 ),3362763.719999999739230,3174851.950000000186265,3537861.240000000223517,10075477.910000000149012
