代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10967202.080000000074506
真實報酬,967202.080000000074506

夏普值報酬,0.088020208000000
夏普值風險,0.033416335405807
夏普值,2.634047298457060

二次趨勢線,-260.454352793456508 x^2 + 34661.985957161086844 x + 10000000.000000000000000
二次加權預期報酬,12957.456557706384046
風險,112011.132811731775291
二次加權趨勢值,0.115680077796243
一次趨勢線,22453.969533026109275 x + 10000000.000000000000000
一次預期報酬,22453.969533026109275
一次風險,159945.809383168176282
一次趨勢值,0.140384856718785
找到最佳解世代,1581
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
IBM[10](2),NKE[19](1),WBA[27](3),
Stock#,IBM[10](2),NKE[19](1),WBA[27](3),
張數,21552,72526,44509,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,100.680000000167638,38.040000000037253,53.989999999757856,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3415446.120000000111759,3385551.720000000204891,3328882.100000000093132,10129880.939999999478459
FS( 3 ),3382902.600000000558794,3355816.060000000055879,3323541.020000000018626,10062260.679999999701977
FS( 4 ),3403377.000000000000000,3384826.459999999962747,3328882.100000000093132,10117086.560000000521541
FS( 5 ),3377730.120000000111759,3328981.439999999944121,3389414.339999999850988,10096126.900000000372529
FS( 6 ),3356824.680000000167638,3306498.380000000353903,3400541.589999999850988,10063865.650000000372529
FS( 7 ),3417385.800000000279397,3363793.920000000391155,3413449.199999999720603,10194629.919999999925494
FS( 8 ),3409627.080000000074506,3311575.199999999720603,3539854.759999999776483,10261058.039999999105930
FS( 9 ),3416523.720000000204891,3336234.040000000037253,3558993.629999999422580,10311752.389999998733401
FS( 10 ),3457041.480000000447035,3337684.560000000055879,3504247.560000000055879,10298974.600000001490116
FS( 11 ),3469110.600000000558794,3331157.220000000204891,3471755.989999999757856,10272024.810000000521541
FS( 12 ),3495619.560000000055879,3394980.100000000093132,3462409.100000000093132,10353009.759999999776483
FS( 13 ),3532257.959999999962747,3397881.140000000130385,3431697.889999999664724,10361837.989999998360872
FS( 14 ),3527085.480000000447035,3442847.259999999776483,3433033.159999999683350,10402966.900000000372529
FS( 15 ),3511137.000000000000000,3445748.299999999813735,3498016.299999999813735,10454902.599999999627471
FS( 16 ),3552516.840000000316650,3460253.500000000000000,3578132.500000000000000,10590903.839999999850988
FS( 17 ),3508981.800000000279397,3511021.699999999720603,3561219.080000000074506,10581223.580000000074506
FS( 18 ),3467170.920000000391155,3517549.040000000037253,3634213.839999999850988,10618934.800000000745058
FS( 19 ),3490231.560000000055879,3521900.600000000093132,3697861.709999999497086,10709994.869999999180436
FS( 20 ),3458765.640000000130385,3581371.920000000391155,3721896.569999999832362,10762035.130000000819564
FS( 21 ),3470619.240000000223517,3553086.780000000260770,3703647.879999999422580,10727354.900000000372529
FS( 22 ),3435920.520000000018626,3536405.799999999813735,3695191.169999999459833,10667518.490000000223517
