代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10426275.009999997913837
真實報酬,426275.009999997913837

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21427.482941709444276
風險,16584.299045791056415
起點值,1.292034283905870
找到最佳解世代,1915
找到最佳解實驗#,2
找到最佳解次數,9

stock[index](rank)
投資組合檔數,9
CAT[3](7),DIS[6](16),JNJ[12](1),JPM[13](5),MCD[15](6),MRK[17](11),V[25](20),WBA[27](9),WMT[28](24),
Stock#,CAT[3](7),DIS[6](16),JNJ[12](1),JPM[13](5),MCD[15](6),MRK[17](11),V[25](20),WBA[27](9),WMT[28](24),
張數,11883,21743,15684,24879,12329,26877,28600,29193,16047,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,50.500000000000000,43.699999999953434,56.439999999944121,14.860000000102445,21.520000000018626,15.819999999832362,1.000000000000000,25.419999999925494,16.719999999972060,
FS( 1 ),1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,10000000.000000000000000
FS( 2 ),1121805.699999999953434,1113502.729999999981374,1109542.599999999860302,1108871.890000000130385,1117398.790000000037253,1137719.229999999748543,1111969.000000000000000,1103228.889999999897555,1104050.319999999832362,10028090.150000000372529
FS( 3 ),1127984.860000000102445,1134810.869999999878928,1122246.639999999897555,1128526.300000000046566,1107782.169999999925494,1128043.509999999776483,1120835.000000000000000,1085421.159999999916181,1108222.540000000037253,10063874.050000000745058
FS( 4 ),1131430.929999999934807,1108284.409999999916181,1119894.040000000037253,1129770.250000000000000,1120850.909999999916181,1132075.059999999823049,1128843.000000000000000,1110235.209999999962747,1097631.520000000018626,10079016.329999998211861
FS( 5 ),1117052.500000000000000,1103718.379999999888241,1120050.879999999888241,1132009.360000000102445,1121220.780000000027940,1133687.679999999934807,1139425.000000000000000,1114322.229999999981374,1100680.449999999953434,10082168.259999999776483
FS( 6 ),1122281.020000000018626,1104153.239999999990687,1125069.760000000009313,1131262.989999999990687,1119618.010000000009313,1144707.250000000000000,1156871.000000000000000,1122496.270000000018626,1100359.509999999776483,10126820.049999998882413
FS( 7 ),1129886.139999999897555,1104370.669999999925494,1132284.399999999906868,1148180.709999999962747,1126892.120000000111759,1149813.879999999888241,1147719.000000000000000,1125999.429999999934807,1096989.639999999897555,10162136.990000000223517
