訓練日期,20180323 - 20180625
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11264059.190000001341105
真實報酬,1264059.190000001341105

夏普值報酬,0.117705919000000
夏普值風險,0.044921462883543
夏普值,2.620260148364911

預期報酬,25565.151635936588718
風險,111134.975255633034976
趨勢值,0.230036958006528
找到最佳解世代,1888
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
NKE[19](3),UNH[23](1),V[25](4),
Stock#,NKE[19](3),UNH[23](1),V[25](4),
張數,51743,15488,27780,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,48.939999999944121,160.520000000018626,10.800000000279397,
20180323,3344199.029999999795109,3292134.920000000391155,3250270.800000000279397,9886605.750000000000000
20180326,3409912.640000000130385,3393116.679999999701977,3351390.000000000465661,10154420.320000000298023
20180327,3423883.250000000000000,3375925.000000000000000,3261382.800000000279397,10061192.050000000745058
20180328,3386110.859999999869615,3384288.520000000018626,3249993.000000000000000,10020393.379999998956919
20180329,3437853.859999999869615,3314592.520000000018626,3323054.400000000372529,10075501.780000001192093
20180402,3317810.100000000093132,3364154.119999999646097,3288885.000000000465661,9970850.220000000670552
20180403,3451307.040000000037253,3478455.560000000055879,3311386.800000000279397,10241150.400000000372529
20180404,3540305.000000000000000,3543660.040000000037253,3328332.600000000558794,10412298.640000000596046
20180405,3600844.310000000055879,3547996.679999999701977,3366669.000000000000000,10515510.990000000223517
20180406,3495288.589999999850988,3468853.000000000000000,3269716.800000000279397,10233859.390000000596046
20180409,3476143.680000000167638,3449802.759999999776483,3299997.000000000465661,10225944.439999999478459
20180410,3466829.939999999944121,3512684.040000000037253,3353612.400000000372529,10333127.380000000819564
20180411,3458033.629999999888241,3436947.720000000204891,3327499.200000000186265,10222481.550000000745058
20180412,3506672.049999999813735,3473189.640000000130385,3363335.399999999906868,10343198.089999999850988
20180413,3479765.689999999944121,3473809.160000000149012,3354445.800000000279397,10308021.650000000372529
20180416,3469934.520000000018626,3567356.679999999701977,3385837.200000000186265,10423129.399999998509884
20180417,3493218.870000000111759,3694822.920000000391155,3439174.800000000279397,10627217.590000001713634
20180418,3425435.540000000037253,3661523.720000000204891,3439174.800000000279397,10526135.060000000521541
20180419,3401116.330000000074506,3651611.399999999906868,3443619.600000000093132,10496348.330000000074506
20180420,3419743.810000000055879,3640769.800000000279397,3450286.800000000279397,10510801.410000000149012
20180423,3460620.779999999795109,3629618.439999999944121,3457509.600000000093132,10547749.820000000298023
20180424,3465277.649999999906868,3627759.879999999888241,3368891.400000000372529,10461929.929999999701977
20180425,3449754.750000000000000,3627759.879999999888241,3367224.600000000093132,10444740.230000000447035
20180426,3521160.089999999850988,3671281.160000000149012,3530293.200000000186265,10722735.449999999254942
20180427,3599292.020000000018626,3720068.360000000335276,3500568.600000000558794,10819929.980000000447035
20180430,3538752.709999999962747,3661523.720000000204891,3524737.200000000186265,10725014.629999998956919
20180501,3523747.239999999757856,3668493.319999999832362,3542238.600000000558794,10734480.160000000149012
20180502,3532026.120000000111759,3615989.000000000000000,3510847.200000000186265,10658863.320000000298023
20180503,3461655.640000000130385,3626675.720000000204891,3533071.200000000651926,10621403.560000000521541
20180504,3523747.239999999757856,3653779.720000000204891,3560295.600000000093132,10737823.560000000521541
20180507,3587908.560000000055879,3620945.160000000149012,3590853.600000000093132,10799708.320000000298023
20180508,3542374.719999999739230,3593841.160000000149012,3608632.800000000279397,10744849.679999999701977
20180509,3515985.790000000037253,3550165.000000000000000,3634746.000000000465661,10700897.790000000968575
20180510,3514433.500000000000000,3619861.000000000000000,3634746.000000000465661,10769041.500000000000000
20180511,3540822.430000000167638,3690641.160000000149012,3661970.399999999906868,10893434.990000000223517
20180514,3562037.060000000055879,3762195.720000000204891,3645024.600000000558794,10969258.380000000819564
20180515,3596187.439999999944121,3709536.520000000018626,3641968.800000000279397,10947693.759999999776483
20180516,3691394.560000000055879,3743919.879999999888241,3636135.000000000000000,11071450.439999999478459
20180517,3670697.359999999869615,3763125.000000000000000,3609466.200000000651926,11043289.560000000521541
20180518,3690359.699999999720603,3789144.839999999850988,3609466.200000000651926,11088971.740000000223517
20180521,3693464.279999999795109,3839635.720000000204891,3629745.600000000093132,11162846.599999999627471
20180522,3689842.270000000018626,3797508.360000000335276,3631134.600000000558794,11118486.230000000447035
20180523,3691394.560000000055879,3783259.399999999906868,3663637.200000000186265,11138292.160000000149012
20180524,3734858.680000000167638,3759562.759999999776483,3663915.000000000000000,11158337.439999999478459
20180525,3738480.689999999944121,3793946.119999999646097,3646969.200000000186265,11179397.009999999776483
20180529,3669662.500000000000000,3750889.479999999981374,3602799.000000000000000,11023351.980000000447035
20180530,3737445.830000000074506,3793791.239999999757856,3629190.000000000000000,11160428.070000000298023
20180531,3715196.339999999850988,3740667.399999999906868,3631412.400000000372529,11087277.140000000596046
20180601,3764869.620000000111759,3769165.319999999832362,3635023.800000000279397,11169059.740000000223517
20180604,3820234.629999999888241,3788989.959999999962747,3696695.399999999906868,11305920.990000000223517
20180605,3831618.089999999850988,3785892.360000000335276,3710307.600000000558794,11327819.050000000745058
20180606,3867838.189999999944121,3851251.720000000204891,3785869.200000000186265,11504960.109999999403954
20180607,3868355.620000000111759,3856362.759999999776483,3718086.000000000465661,11442805.380000000819564
20180608,3875599.640000000130385,3882692.360000000335276,3743088.000000000465661,11501381.000000000000000
20180611,3859559.310000000055879,3930705.160000000149012,3720030.600000000093132,11510296.070000000298023
20180612,3844036.410000000149012,3927607.560000000055879,3746421.600000000558794,11518066.570000000298023
20180613,3834722.669999999925494,3916611.080000000074506,3733642.800000000279397,11484977.550000000745058
20180614,3865251.040000000037253,3954711.560000000055879,3750310.800000000279397,11570274.400000000372529
20180615,3924238.060000000055879,3964778.759999999776483,3753088.800000000279397,11642106.620000001043081
20180618,3912337.169999999925494,3947587.080000000074506,3783646.799999999813735,11643572.050000000745058
20180619,3842484.120000000111759,3918934.280000000260770,3753366.600000000558794,11514786.000000000000000
20180620,3866285.899999999906868,3915681.800000000279397,3764200.800000000279397,11546169.500000000000000
20180621,3825926.359999999869615,3901432.839999999850988,3737254.200000000186265,11464614.399999998509884
20180622,3799537.430000000167638,3939843.080000000074506,3759478.200000000651926,11498859.710000000894070
20180625,3743654.989999999757856,3883157.000000000000000,3637246.200000000651926,11264059.190000001341105
