訓練日期,20181003 - 20190107
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10915188.240000000223517
真實報酬,915188.240000000223517

夏普值報酬,0.082818824000000
夏普值風險,0.045195296863845
夏普值,1.832465538383341

預期報酬,20094.699516681783280
風險,367804.015090942266397
趨勢值,0.054634258170654
找到最佳解世代,1907
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](2),PG[21](1),
Stock#,MCD[15](2),PG[21](1),
張數,30270,59269,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,1.399999999441206,67.160000000149012,
20181003,4984259.599999999627471,4921172.230000000447035,9905431.830000000074506
20181004,5018767.399999999441206,4855383.640000000596046,9874151.039999999105930
20181005,5042075.299999998882413,4869015.510000000707805,9911090.809999998658895
20181008,5078399.299999999813735,4883832.760000000707805,9962232.060000000521541
20181009,5140755.500000000000000,4871978.959999999962747,10012734.460000000894070
20181010,5096561.299999999813735,4826934.519999999552965,9923495.820000000298023
20181011,4933103.299999999813735,4674613.190000000409782,9607716.490000000223517
20181012,4958832.799999998882413,4685874.300000000745058,9644707.099999999627471
20181015,4954292.299999998882413,4749292.129999999888241,9703584.429999999701977
20181016,4966400.299999998882413,4801448.850000000558794,9767849.149999998509884
20181017,5048129.299999999813735,4851827.500000000000000,9899956.800000000745058
20181018,5049340.099999999627471,4755811.719999999739230,9805151.820000000298023
20181019,5069923.699999999254942,5174250.860000000335276,10244174.559999998658895
20181022,5043891.499999999068677,5132762.559999999590218,10176654.059999998658895
20181023,5362331.899999999441206,5165953.200000000186265,10528285.099999999627471
20181024,5368385.899999999441206,5302271.899999999441206,10670657.799999998882413
20181025,5306635.099999999627471,5275008.160000000149012,10581643.259999999776483
20181026,5247003.199999999254942,5207441.500000000000000,10454444.699999999254942
20181029,5243673.499999999068677,5229963.719999999739230,10473637.219999998807907
20181030,5402893.699999999254942,5286269.269999999552965,10689162.969999998807907
20181031,5354764.399999999441206,5256042.080000001005828,10610806.480000000447035
20181101,5293618.999999999068677,5309976.870000000111759,10603595.869999999180436
20181102,5350223.899999999441206,5323016.050000000745058,10673239.949999999254942
20181105,5460406.699999999254942,5405399.959999999962747,10865806.660000000149012
20181106,5530633.099999999627471,5423773.350000000558794,10954406.449999999254942
20181107,5577248.899999999441206,5410734.170000000856817,10987983.070000000298023
20181108,5614480.999999999068677,5414883.000000000000000,11029364.000000000000000
20181109,5628405.199999999254942,5477115.450000000186265,11105520.649999998509884
20181112,5580881.299999999813735,5494303.459999999962747,11075184.759999999776483
20181113,5569984.099999999627471,5539940.589999999850988,11109924.689999999478459
20181114,5565140.899999999441206,5541125.969999999739230,11106266.869999999180436
20181115,5556362.599999999627471,5561277.429999999701977,11117640.029999999329448
20181116,5678350.699999999254942,5560684.739999999292195,11239035.439999997615814
20181119,5652015.799999999813735,5529272.170000000856817,11181287.970000000670552
20181120,5560903.099999999627471,5458742.059999999590218,11019645.160000000149012
20181121,5530935.799999999813735,5417846.450000000186265,10948782.250000000000000
20181123,5507022.500000000000000,5425551.420000000856817,10932573.920000001788139
20181126,5566351.699999999254942,5449259.019999999552965,11015610.719999998807907
20181127,5588751.499999999068677,5495488.839999999850988,11084240.339999999850988
20181128,5686220.899999999441206,5512676.850000000558794,11198897.750000000000000
20181129,5728901.599999999627471,5501415.739999999292195,11230317.339999999850988
20181130,5706199.099999999627471,5601580.350000000558794,11307779.449999999254942
20181203,5611151.299999999813735,5531050.239999999292195,11142201.539999999105930
20181204,5601162.199999999254942,5530457.550000000745058,11131619.750000000000000
20181206,5613572.899999999441206,5544682.110000000335276,11158255.009999999776483
20181207,5538200.599999999627471,5479486.209999999962747,11017686.809999998658895
20181210,5589356.899999999441206,5513862.230000000447035,11103219.129999998956919
20181211,5557270.699999999254942,5566018.950000000186265,11123289.649999998509884
20181212,5553940.999999999068677,5573131.230000000447035,11127072.230000000447035
20181213,5643237.500000000000000,5718932.969999999739230,11362170.469999998807907
20181214,5548189.699999999254942,5727823.320000000298023,11276013.019999999552965
20181217,5472514.699999999254942,5498452.290000000037253,10970966.989999998360872
20181218,5439823.099999999627471,5481856.969999999739230,10921680.070000000298023
20181219,5423174.599999999627471,5438590.600000000558794,10861765.199999999254942
20181220,5257295.000000000000000,5392360.780000000260770,10649655.780000001192093
20181221,5271521.899999999441206,5391768.089999999850988,10663289.989999998360872
20181224,5154376.999999999068677,5177807.000000000000000,10332184.000000000000000
20181226,5267889.499999999068677,5339611.370000000111759,10607500.869999999180436
20181227,5318743.099999999627471,5454000.540000000037253,10772743.640000000596046
20181228,5314202.599999999627471,5404214.580000001005828,10718417.179999999701977
20181231,5375045.299999998882413,5448073.640000000596046,10823118.939999999478459
20190102,5329337.599999999627471,5410141.480000000447035,10739479.080000000074506
20190103,5294224.399999999441206,5372209.320000000298023,10666433.719999998807907
20190104,5396536.999999999068677,5481856.969999999739230,10878393.969999998807907
20190107,5455260.799999999813735,5459927.440000000409782,10915188.240000000223517
