訓練日期,20140612 - 20140912
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11037595.470000000670552
真實報酬,1037595.470000000670552

夏普值報酬,0.095059547000000
夏普值風險,0.029712891905899
夏普值,3.199269438365459

預期報酬,16486.836000854113081
風險,93674.317145983251976
趨勢值,0.176001667299702
找到最佳解世代,2361
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](9),DIS[6](4),GS[8](3),INTC[11](2),NKE[19](5),PG[21](10),
Stock#,AAPL[0](9),DIS[6](4),GS[8](3),INTC[11](2),NKE[19](5),PG[21](10),
張數,17756,19768,10074,59672,44361,20817,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,87.840000000083819,25.919999999925494,124.179999999934807,27.040000000037253,23.229999999981374,56.979999999981374,
20140612,1638789.080000000307336,1636816.319999999832362,1672005.219999999972060,1668456.160000000149012,1658681.020000000018626,1660420.900000000139698,9935172.700000001117587
20140613,1620855.520000000018626,1636816.319999999832362,1671300.039999999804422,1782429.680000000167638,1655132.140000000130385,1657922.860000000102445,10024460.560000000521541
20140616,1637191.040000000037253,1646700.319999999832362,1670897.079999999841675,1790783.760000000242144,1653801.310000000055879,1658963.709999999962747,10058341.219999998807907
20140617,1635060.320000000065193,1643932.799999999813735,1694772.459999999962747,1787203.439999999944121,1665778.779999999795109,1656673.839999999850988,10083425.639999998733401
20140618,1636835.920000000158325,1652235.359999999869615,1711293.820000000065193,1786010.000000000000000,1690177.330000000074506,1661045.410000000149012,10137601.839999999850988
20140619,1631154.000000000000000,1655991.279999999795109,1709984.199999999720603,1795557.520000000018626,1677756.250000000000000,1670413.059999999823049,10140860.310000000521541
20140620,1614285.800000000046566,1637211.679999999701977,1711092.340000000083819,1802121.439999999944121,1665778.779999999795109,1663959.790000000037253,10094453.829999998211861
20140623,1612865.320000000065193,1636025.600000000093132,1715121.939999999944121,1803911.600000000093132,1673763.759999999776483,1655424.819999999832362,10097117.039999999105930
20140624,1603099.520000000018626,1634444.160000000149012,1694873.199999999720603,1820023.040000000037253,1663117.120000000111759,1644808.150000000139698,10060369.189999999478459
20140625,1604520.000000000000000,1658561.120000000111759,1696384.299999999813735,1842698.399999999906868,1696387.870000000111759,1651261.419999999925494,10149817.110000001266599
20140626,1614108.240000000223517,1669433.520000000018626,1692656.919999999925494,1836731.200000000186265,1704816.459999999962747,1636689.520000000018626,10154439.859999999403954
