訓練日期,20150127 - 20150429
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11043203.439999999478459
真實報酬,1043203.439999999478459

夏普值報酬,0.095620344000000
夏普值風險,0.036638004646236
夏普值,2.609867674925998

預期報酬,19282.118582181177771
風險,139974.949407707405044
趨勢值,0.137754067165388
找到最佳解世代,2087
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,3
DD[7](9),NKE[19](15),WBA[27](1),
Stock#,DD[7](9),NKE[19](15),WBA[27](1),
張數,52526,69184,43952,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,33.040000000037253,47.879999999888241,13.319999999832362,
20150127,3303918.439999999944121,3268991.879999999888241,3293336.680000000167638,9866248.000000000000000
20150128,3218826.320000000298023,3228173.319999999832362,3242352.359999999869615,9689353.000000000000000
20150129,3366949.639999999664724,3282136.839999999850988,3277513.959999999497086,9926601.439999999478459
20150130,3377980.100000000093132,3191505.800000000279397,3241473.319999999832362,9810960.220000000670552
20150202,3382707.440000000409782,3179744.520000000018626,3291578.599999999627471,9854031.560000000521541
20150203,3507719.320000000298023,3229557.000000000000000,3287183.399999999906868,10024460.720000000670552
20150204,3457294.359999999869615,3201191.560000000055879,3281909.159999999683350,9940396.080000000074506
20150205,3575477.859999999869615,3228865.160000000149012,3287183.399999999906868,10091527.419999999925494
20150206,3620650.220000000204891,3175593.479999999981374,3346958.120000000111759,10143202.820000000298023
20150209,3610145.020000000018626,3154146.439999999944121,3357946.120000000111759,10122238.580000000074506
20150210,3628003.859999999869615,3208801.800000000279397,3370692.199999999720603,10207498.859999999403954
20150211,3596488.259999999776483,3158989.319999999832362,3495515.879999999888241,10250994.460000000894070
20150212,3676327.779999999795109,3182511.879999999888241,3514415.239999999757856,10373255.900000000372529
20150213,3698388.699999999720603,3183895.560000000055879,3460354.279999999795109,10342639.539999999105930
20150217,3707843.380000000353903,3177669.000000000000000,3428269.319999999832362,10313782.700000001117587
20150218,3695762.399999999906868,3238550.919999999925494,3419039.399999999906868,10353353.720000000670552
20150219,3716247.540000000037253,3241318.279999999795109,3388712.519999999552965,10346279.339999999850988
20150220,3705217.080000000540167,3284212.359999999869615,3390031.079999999608845,10379461.519999999552965
20150223,3702065.520000000018626,3286979.719999999739230,3454201.000000000000000,10443247.240000000223517
20150224,3725702.220000000204891,3300816.520000000018626,3533314.599999999627471,10559834.339999999850988
20150225,3728853.779999999795109,3349245.319999999832362,3516612.839999999850988,10594712.939999999478459
20150226,3684206.680000000167638,3355471.879999999888241,3588694.120000000111759,10628373.679999999701977
20150227,3683156.160000000149012,3359622.919999999925494,3651545.479999999981374,10694325.560000000521541
20150302,3691560.320000000298023,3416353.800000000279397,3675279.560000000055879,10783194.680000001564622
20150303,3684206.680000000167638,3389372.040000000037253,3657259.239999999757856,10730838.960000000894070
20150304,3707843.380000000353903,3373459.719999999739230,3648908.359999999869615,10730212.459999999031425
20150305,3656893.160000000149012,3405976.199999999720603,3656819.719999999739230,10719690.079999998211861
20150306,3585983.060000000055879,3352704.520000000018626,3619460.519999999552965,10558149.099999999627471
20150309,3585457.800000000279397,3370692.359999999869615,3670005.319999999832362,10626156.480000000447035
20150310,3524002.380000000353903,3338867.719999999739230,3635722.759999999776483,10498593.859999999403954
20150311,3499315.160000000149012,3298049.160000000149012,3626492.839999999850988,10423858.160000000149012
20150312,3550265.380000000353903,3356855.560000000055879,3702969.319999999832362,10610091.259999999776483
20150313,3519275.040000000037253,3314653.319999999832362,3679674.759999999776483,10513604.119999999180436
20150316,3518224.520000000018626,3336100.359999999869615,3813728.359999999869615,10668054.240000000223517
20150317,3488284.699999999720603,3339559.560000000055879,3791312.839999999850988,10619158.099999999627471
20150318,3556043.240000000223517,3373459.719999999739230,3831748.680000000167638,10761252.640000000596046
20150319,3495638.339999999850988,3401133.319999999832362,3839660.040000000037253,10736432.699999999254942
20150320,3537659.139999999664724,3527740.040000000037253,3877898.279999999795109,10943298.459999999031425
20150323,3532931.800000000279397,3509752.199999999720603,3864273.159999999683350,10906958.160000000149012
20150324,3531356.020000000018626,3482078.599999999627471,3867789.319999999832362,10881224.939999999478459
20150325,3502991.979999999981374,3424655.879999999888241,3774611.079999999608845,10702259.939999999478459
20150326,3505093.020000000018626,3436417.160000000149012,3711320.199999999720603,10652831.379999998956919
20150327,3572326.300000000279397,3455096.839999999850988,3748679.399999999906868,10776103.540000000968575
20150330,3641135.359999999869615,3490380.680000000167638,3779445.799999999813735,10910962.839999999850988
20150331,3589134.620000000111759,3471009.160000000149012,3721868.680000000167638,10782013.460000000894070
20150401,3582831.499999999534339,3444027.399999999906868,3703408.839999999850988,10730268.739999998360872
20150402,3608569.240000000223517,3447486.599999999627471,3778566.759999999776483,10834623.599999999627471
20150406,3641135.359999999869615,3450253.959999999497086,3868228.839999999850988,10959619.160000000149012
20150407,3629579.639999999664724,3446102.919999999925494,3836143.879999999888241,10911827.439999999478459
20150408,3618023.919999999925494,3488305.160000000149012,3853724.680000000167638,10960054.759999999776483
20150409,3645862.699999999720603,3484154.119999999646097,4070847.560000000055879,11200865.379999998956919
20150410,3619599.699999999720603,3458556.040000000037253,4044476.359999999869615,11122633.099999999627471
20150413,3610670.279999999795109,3434341.640000000130385,4030851.239999999757856,11075864.160000000149012
20150414,3652691.080000000540167,3443335.560000000055879,4042718.279999999795109,11138745.919999999925494
20150415,3748288.399999999906868,3453713.160000000149012,4023379.399999999906868,11225381.960000000894070
20150416,3721500.139999999664724,3455788.680000000167638,3934596.359999999869615,11111886.179999999701977
20150417,3714671.759999999776483,3409435.399999999906868,3822079.239999999757856,10946187.400000000372529
20150420,3746712.620000000111759,3459247.879999999888241,3829111.560000000055879,11035073.060000000521541
20150421,3714146.499999999534339,3469625.479999999981374,3827793.000000000000000,11011565.980000000447035
20150422,3741460.020000000018626,3464782.599999999627471,3824716.359999999869615,11030959.979999998584390
20150423,3814996.419999999925494,3497990.919999999925494,3810212.199999999720603,11123200.539999999105930
20150424,3823925.839999999850988,3492456.199999999720603,3779006.279999999795109,11095389.319999998435378
20150427,3850188.839999999850988,3491764.359999999869615,3785159.560000000055879,11127113.759999999776483
20150428,3876451.839999999850988,3454405.000000000000000,3783401.479999999981374,11114259.320000000298023
20150429,3860694.040000000037253,3465474.439999999944121,3717033.959999999497086,11043203.439999999478459
